"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.212,0.535,0.164,0.107
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.046,0.335,0.616,0.36
"P36","En blanco",0.532,0.088,0.16,0.218
"P36","No sabe",0.21,0.042,0.06,0.315
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.862,0.071,0.086,0.181
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.015,0.538,0.676,0.353
"P37","En blanco",0.057,0.223,0.212,0.13
"P37","No sabe",0.066,0.168,0.026,0.336
"P38","Lo votaría",0.869,0.028,0.054,0.161
"P38","Puede que lo vote",0.067,0.085,0.216,0.252
"P38","Nunca lo votaría",0.021,0.843,0.631,0.422
"P38","No sabe",0.043,0.044,0.099,0.165
"P39","Lo votaría",0.582,0.01,0.047,0.105
"P39","Puede que lo vote",0.237,0.037,0.031,0.219
"P39","Nunca lo votaría",0.136,0.909,0.685,0.477
"P39","No sabe",0.045,0.044,0.237,0.199
"P40","Lo votaría",0.1,0.707,0.022,0.051
"P40","Puede que lo vote",0.025,0.171,0.147,0.229
"P40","Nunca lo votaría",0.84,0.076,0.753,0.449
"P40","No sabe",0.035,0.046,0.078,0.271
"P41","Lo votaría",0.05,0.47,0.059,0.077
"P41","Puede que lo vote",0.074,0.285,0.17,0.122
"P41","Nunca lo votaría",0.797,0.207,0.688,0.472
"P41","No sabe",0.079,0.038,0.083,0.329
"P42","Lo votaría",0.102,0.193,0.043,0.109
"P42","Puede que lo vote",0.137,0.14,0.177,0.167
"P42","Nunca lo votaría",0.548,0.462,0.621,0.412
"P42","No sabe",0.213,0.205,0.159,0.312
"P43","Lo votaría",0.026,0.334,0.678,0.306
"P43","Puede que lo vote",0.068,0.23,0.064,0.13
"P43","Nunca lo votaría",0.849,0.363,0.22,0.425
"P43","No sabe",0.057,0.073,0.038,0.139
"P44","Lo votaría",0.098,0.059,0.142,0.089
"P44","Puede que lo vote",0.294,0.071,0.069,0.191
"P44","Nunca lo votaría",0.494,0.795,0.681,0.517
"P44","No sabe",0.114,0.075,0.108,0.203
"P45","Si",0.472,0.475,0.389,0.254
"P45","No",0.528,0.525,0.611,0.746
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.718,0.017,0,0.059
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.185,0.018,0.094,0.085
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.02,0.543,0.029,0.042
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.032,0.118,0.104,0.115
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.012,0.253,0.599,0.352
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.007,0.004,0.045,0.037
"PRESIDENTE","En blanco",0.008,0.027,0.051,0.062
"PRESIDENTE","No sabe",0.018,0.02,0.078,0.248
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.75,0.068,0.183,0.214
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.051,0.389,0.08,0.021
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.017,0.099,0.08,0.071
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.109,0.168,0.047,0.15
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.02,0.207,0.454,0.261
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.018,0.005,0.056,0.039
"DIPUTADOS","En blanco",0.01,0.029,0.069,0.04
"DIPUTADOS","No sabe",0.025,0.035,0.031,0.204
