"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Otros","En blanco","No sabe"
"P40","Nunca lo votaría",0.852,0.078,0.394,0.473,0.756,0.456,0.074,0.389
"P40","No sabe",0.065,0.016,0.197,0.063,0,0.044,0.27,0.378
"P41","Lo votaría",0.017,0.606,0.152,0.057,0.147,0.398,0.101,0.143
"P41","Puede que lo vote",0.066,0.258,0.29,0.173,0.098,0.179,0.074,0.186
"P41","Nunca lo votaría",0.824,0.091,0.375,0.668,0.755,0.401,0.557,0.274
"P41","No sabe",0.093,0.045,0.183,0.102,0,0.022,0.268,0.397
"P42","Lo votaría",0.024,0.155,0.596,0.046,0.134,0.113,0.066,0.122
"P42","Puede que lo vote",0.166,0.149,0.11,0.135,0.099,0.24,0.041,0.145
"P42","Nunca lo votaría",0.57,0.47,0.161,0.63,0.576,0.612,0.621,0.256
"P42","No sabe",0.24,0.226,0.133,0.189,0.191,0.035,0.272,0.477
"P43","Lo votaría",0.001,0.176,0.147,0.896,0.196,0.025,0,0.1
"P43","Puede que lo vote",0.067,0.293,0.13,0.03,0.037,0.328,0.107,0.199
"P43","Nunca lo votaría",0.858,0.478,0.638,0.043,0.733,0.619,0.611,0.412
"P43","No sabe",0.074,0.053,0.085,0.031,0.034,0.028,0.282,0.289
"P44","Lo votaría",0.051,0.039,0.083,0.144,0.411,0.043,0,0.129
"P44","Puede que lo vote",0.337,0.06,0.096,0.054,0.245,0.152,0,0.276
"P44","Nunca lo votaría",0.486,0.838,0.682,0.738,0.32,0.63,0.694,0.255
"P44","No sabe",0.126,0.063,0.139,0.064,0.024,0.175,0.306,0.34
"P45","Si",0.441,0.477,0.395,0.47,0.245,0.471,0.078,0.199
"P45","No",0.559,0.523,0.605,0.53,0.755,0.529,0.922,0.801
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.771,0.037,0.264,0.025,0,0.056,0.059,0.019
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.178,0.007,0.091,0.034,0.284,0.228,0.017,0.058
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.004,0.784,0.195,0.019,0.097,0.04,0.195,0.004
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.014,0.131,0.205,0.014,0.01,0.348,0.117,0.128
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.016,0.023,0.082,0.903,0.077,0.121,0,0.105
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.002,0.002,0.021,0,0.347,0.021,0,0.01
"PRESIDENTE","En blanco",0,0.006,0.096,0.003,0.006,0.067,0.358,0.125
"PRESIDENTE","No sabe",0.015,0.01,0.046,0.002,0.179,0.119,0.254,0.551
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.815,0.055,0.228,0.137,0.236,0.458,0.075,0.082
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.017,0.598,0.089,0.051,0.021,0.13,0.018,0.01
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.018,0.132,0.072,0.032,0.032,0.143,0.016,0.092
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.077,0.085,0.546,0.067,0,0.108,0.152,0.092
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.025,0.063,0.029,0.641,0.146,0,0,0.167
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.022,0,0.02,0.004,0.398,0.04,0,0.006
"DIPUTADOS","En blanco",0.008,0.021,0.004,0.04,0.032,0.035,0.481,0.099
"DIPUTADOS","No sabe",0.018,0.046,0.012,0.028,0.135,0.086,0.258,0.452
