"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Otros","En blanco","No sabe"
"PRESIDENTE","En blanco",0.009,0.002,0.098,0.002,0.007,0.026,0.109,0.135
"PRESIDENTE","No sabe",0.008,0.035,0.106,0.001,0.009,0.074,0.422,0.441
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.784,0.106,0.227,0.119,0.257,0.394,0.103,0.137
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.043,0.471,0.172,0.113,0.016,0.288,0.333,0.085
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.005,0.212,0.025,0.011,0.213,0.073,0.024,0.093
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.068,0.095,0.461,0.083,0,0.102,0.147,0.119
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.037,0.05,0.057,0.602,0.021,0.08,0,0.037
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.023,0,0.024,0.004,0.324,0.021,0.04,0
"DIPUTADOS","En blanco",0.018,0.014,0.004,0.039,0.03,0.003,0.307,0.106
"DIPUTADOS","No sabe",0.022,0.052,0.03,0.029,0.139,0.039,0.046,0.423
