"var","categoria","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora","Solo como gobernador a José Luis Espert","A los candidatos a presidente y gobernador del Frente de Izquierda","No sabe"
"P26","No sabe",0,0.009,0.024,0.056,0.022,0.054,0.142,0.551,0.633
"P28","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio",0.537,0.555,0.187,0.06,0.067,0.033,0.135,0.292,0
"P28","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.036,0.241,0.109,0.552,0.708,0,0,0,0.201
"P28","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.22,0.044,0.235,0.016,0.045,0.632,0.248,0,0.015
"P28","Solo como gobernador a José Luis Espert",0.093,0.045,0.189,0.109,0.007,0.11,0.6,0,0
"P28","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0,0.062,0.051,0.125,0.084,0,0.201,0.08
"P28","No sabe",0.114,0.115,0.218,0.212,0.048,0.141,0.017,0.507,0.704
"P29","A Patricia Bullrich presidenta con Joaquín De La Torre de gobernador por Juntos por el Cambio",0.729,0.604,0.679,0.044,0.031,0.023,0.17,0.176,0.023
"P29","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.039,0.098,0.121,0.642,0.875,0,0,0.021,0.277
"P29","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.101,0.036,0.134,0.054,0.044,0.695,0.244,0.021,0.016
"P29","Solo como gobernador a José Luis Espert",0.033,0.035,0.004,0.003,0,0.103,0.569,0,0
"P29","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.024,0.012,0.006,0.014,0.084,0.017,0.173,0.077
"P29","No sabe",0.098,0.203,0.05,0.251,0.036,0.095,0,0.609,0.607
"P30","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio",0.767,0.552,0.444,0.115,0.027,0.045,0.172,0.125,0.024
"P30","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.006,0.121,0.122,0.562,0.885,0,0,0,0.279
"P30","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.119,0.046,0.167,0.019,0.047,0.784,0.17,0,0.017
"P30","Solo como gobernador a José Luis Espert",0.03,0.078,0.141,0.093,0,0.123,0.641,0,0.044
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.011,0,0,0.015,0.048,0.017,0.455,0.064
"P30","No sabe",0.078,0.192,0.126,0.211,0.026,0,0,0.42,0.572
