"var","categoria","A Andrés Petrillo por Juntos por el Cambio","A Fernando Moreira por el Frente de Todos","Al candidato de los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P29","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.062,0.03,0.579,0,0.082
"P29","Solo como gobernador a José Luis Espert",0.019,0.004,0.141,0,0.037
"P29","A los candidatos a presidente y gobernador del Frente de Izquierda",0.027,0.012,0.012,0.375,0.016
"P29","No sabe",0.077,0.094,0.118,0.015,0.417
"P30","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio",0.666,0.062,0.153,0.073,0.219
"P30","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.058,0.775,0.01,0.258,0.28
"P30","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.09,0.028,0.58,0.073,0.076
"P30","Solo como gobernador a José Luis Espert",0.084,0.02,0.167,0.104,0.092
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0.012,0.028,0.005,0.444,0.007
"P30","No sabe",0.09,0.087,0.085,0.048,0.326
"P31","Muy buena",0.212,0.091,0.022,0.018,0.07
"P31","Buena",0.168,0.093,0.081,0.068,0.083
"P31","Ni buena ni mala",0.407,0.283,0.362,0.327,0.246
"P31","Mala",0.036,0.1,0.113,0.145,0.122
"P31","Muy mala",0.029,0.133,0.078,0.222,0.069
"P31","No sabe",0.148,0.3,0.344,0.22,0.41
"P32","Muy buena",0.095,0.263,0,0,0.048
"P32","Buena",0.071,0.227,0.018,0.075,0.04
"P32","Ni buena ni mala",0.33,0.272,0.286,0.51,0.256
"P32","Mala",0.248,0.034,0.176,0.182,0.125
"P32","Muy mala",0.12,0.052,0.25,0.088,0.186
"P32","No sabe",0.136,0.152,0.27,0.145,0.345
"P33","Muy buena",0.144,0.087,0,0,0.01
"P33","Buena",0.265,0.06,0.026,0.123,0.018
"P33","Ni buena ni mala",0.294,0.289,0.385,0.315,0.225
"P33","Mala",0.098,0.148,0.073,0.057,0.117
"P33","Muy mala",0.03,0.193,0.204,0.113,0.182
"P33","No sabe",0.169,0.223,0.312,0.392,0.448
"P34","Muy buena",0.072,0.587,0.005,0.229,0.148
"P34","Buena",0.134,0.138,0.056,0.305,0.115
"P34","Ni buena ni mala",0.255,0.116,0.27,0.151,0.246
"P34","Mala",0.229,0.044,0.252,0.199,0.06
"P34","Muy mala",0.258,0.067,0.343,0.062,0.242
"P34","No sabe",0.052,0.048,0.074,0.054,0.189
"P35","Muy buena",0.203,0.148,0.094,0.102,0.013
"P35","Buena",0.199,0.081,0.129,0.253,0.088
"P35","Ni buena ni mala",0.359,0.255,0.265,0.124,0.266
"P35","Mala",0.103,0.164,0.108,0.163,0.1
"P35","Muy mala",0.077,0.235,0.182,0.241,0.215
"P35","No sabe",0.059,0.117,0.222,0.117,0.318
"P36","Muy buena",0.12,0.108,0.061,0.09,0.025
"P36","Buena",0.059,0.13,0.124,0,0.02
"P36","Ni buena ni mala",0.383,0.401,0.279,0.366,0.26
"P36","Mala",0.18,0.074,0.143,0.22,0.083
"P36","Muy mala",0.072,0.084,0.173,0.018,0.144
"P36","No sabe",0.186,0.203,0.22,0.306,0.468
"P37","Muy buena",0.08,0.201,0,0.172,0.031
"P37","Buena",0.032,0.186,0,0.197,0.035
"P37","Ni buena ni mala",0.406,0.35,0.319,0.314,0.21
"P37","Mala",0.184,0.054,0.158,0.076,0.106
"P37","Muy mala",0.083,0.05,0.238,0,0.163
"P37","No sabe",0.215,0.159,0.285,0.241,0.455
"P38","Muy buena",0.065,0.325,0.005,0,0.056
"P38","Buena",0.032,0.29,0.043,0.101,0.055
"P38","Ni buena ni mala",0.305,0.205,0.206,0.429,0.201
"P38","Mala",0.354,0.06,0.21,0.246,0.135
"P38","Muy mala",0.17,0.048,0.408,0.118,0.276
"P38","No sabe",0.074,0.072,0.128,0.106,0.277
"P39","Que continúe el intendente Fernando Moreira",0.087,0.275,0.005,0.181,0.103
"P39","Que continúe Fernando Moreira pero con mejoras",0.015,0.412,0.055,0.162,0.133
"P39","Que cambie Fernando Moreira pero que se mantengan los avances",0.192,0.191,0.091,0.185,0.236
"P39","Que cambie el intendente Fernando Moreira",0.706,0.122,0.849,0.472,0.528
"P40","La seguridad",0.128,0.116,0.02,0.076,0.046
"P40","El tránsito",0.029,0.094,0.028,0.155,0.037
"P40","El arreglo de las calles",0.109,0.198,0.063,0.071,0.105
"P40","Los parques y espacios públicos",0.253,0.183,0.323,0.172,0.195
"P40","El sistema de salud",0.002,0.106,0.001,0.02,0.018
"P40","La limpieza de las calles",0.027,0.024,0.034,0.049,0.03
"P40","El deporte y la cultura",0.061,0.145,0.072,0.147,0.05
"P40","La luminaria",0.108,0.033,0.087,0.087,0.03
"P40","No sabe",0.283,0.101,0.372,0.223,0.489
"P41","La seguridad",0.665,0.441,0.612,0.599,0.544
"P41","El tránsito",0.043,0.091,0.035,0.018,0.033
"P41","El arreglo de las calles",0.08,0.109,0.096,0.05,0.032
"P41","Los parques y espacios públicos",0.034,0.03,0.046,0.02,0.048
"P41","El sistema de salud",0.03,0.068,0.091,0.189,0.104
"P41","La limpieza de las calles",0.036,0.064,0.003,0,0.025
"P41","El deporte y la cultura",0.038,0.036,0,0,0.057
"P41","La luminaria",0,0.007,0.013,0,0.021
"P41","No sabe",0.074,0.154,0.104,0.124,0.136
"P42","Agua corriente y cloacas",0.355,0.392,0.376,0.216,0.402
"P42","Energía eléctrica",0.199,0.155,0.175,0.235,0.126
"P42","Red de gas natural",0.053,0.039,0.037,0.024,0.044
"P42","Recolección de residuos",0.213,0.108,0.144,0.224,0.184
"P42","Ninguno",0.18,0.306,0.268,0.301,0.244
"P43","Los robos",0.39,0.311,0.23,0.311,0.351
"P43","El narcotráfico",0.332,0.309,0.378,0.352,0.255
"P43","La ausencia de patrulleros y personal policial",0.168,0.167,0.275,0.185,0.257
"P43","Otro",0.053,0.086,0.084,0.09,0.128
"P43","Ninguno",0.057,0.127,0.033,0.062,0.009
