"var","categoria","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora","Solo como gobernador a José Luis Espert","A los candidatos a presidente y gobernador del Frente de Izquierda","No sabe"
"P35","Muy buena",0.245,0.183,0.105,0.08,0.013,0.023,0,0.107
"P35","Buena",0.174,0.198,0.037,0.087,0.102,0.206,0.599,0.033
"P35","Ni buena ni mala",0.249,0.369,0.36,0.22,0.306,0.141,0.097,0.239
"P35","Mala",0.131,0.038,0.156,0.176,0.22,0.109,0.08,0.065
"P35","Muy mala",0.095,0.128,0.232,0.236,0.194,0.103,0.107,0.253
"P35","No sabe",0.106,0.084,0.11,0.201,0.165,0.418,0.117,0.303
"P36","Muy buena",0.137,0.073,0.053,0.13,0.03,0,0,0.064
"P36","Buena",0.14,0.06,0.072,0.079,0.107,0,0.462,0.014
"P36","Ni buena ni mala",0.391,0.354,0.456,0.336,0.273,0.189,0.097,0.29
"P36","Mala",0.111,0.197,0.105,0.061,0.214,0.082,0.117,0.01
"P36","Muy mala",0.06,0.107,0.07,0.074,0.257,0.302,0,0.158
"P36","No sabe",0.161,0.209,0.244,0.32,0.119,0.427,0.324,0.464
"P37","Muy buena",0.155,0.014,0.064,0.228,0,0,0.12,0.112
"P37","Buena",0.078,0.078,0.105,0.128,0.002,0,0.492,0.053
"P37","Ni buena ni mala",0.416,0.334,0.452,0.311,0.234,0.142,0.136,0.185
"P37","Mala",0.132,0.165,0.077,0.053,0.259,0.153,0,0.056
"P37","Muy mala",0.072,0.112,0.1,0.042,0.291,0.251,0,0.145
"P37","No sabe",0.147,0.297,0.202,0.238,0.214,0.454,0.252,0.449
"P38","Muy buena",0.176,0.027,0.186,0.273,0.008,0,0.05,0.238
"P38","Buena",0.101,0.109,0.114,0.254,0.008,0.224,0.461,0.035
"P38","Ni buena ni mala",0.239,0.255,0.299,0.234,0.21,0.21,0.237,0.091
"P38","Mala",0.275,0.272,0.099,0.067,0.335,0.068,0.215,0.073
"P38","Muy mala",0.148,0.249,0.161,0.044,0.368,0.298,0.037,0.239
"P38","No sabe",0.061,0.088,0.141,0.128,0.071,0.2,0,0.324
"P39","Que continúe el intendente Fernando Moreira",0.144,0.062,0.33,0.189,0.022,0,0,0.192
"P39","Que continúe Fernando Moreira pero con mejoras",0.111,0.077,0.223,0.382,0.013,0.227,0.597,0.178
"P39","Que cambie Fernando Moreira pero que se mantengan los avances",0.209,0.202,0.142,0.218,0.155,0.119,0.033,0.107
"P39","Que cambie el intendente Fernando Moreira",0.536,0.659,0.305,0.211,0.81,0.654,0.37,0.523
"P40","La seguridad",0.129,0.05,0.158,0.059,0.088,0.105,0,0.177
"P40","El tránsito",0.088,0.017,0.098,0.05,0.014,0,0.425,0.045
"P40","El arreglo de las calles",0.076,0.162,0.169,0.198,0.054,0.06,0.077,0.011
"P40","Los parques y espacios públicos",0.249,0.239,0.257,0.194,0.232,0.343,0.181,0.105
"P40","El sistema de salud",0.017,0.016,0.008,0.119,0.002,0,0.033,0.084
"P40","La limpieza de las calles",0.024,0.043,0.023,0.024,0.012,0,0.054,0.032
"P40","El deporte y la cultura",0.142,0.077,0.019,0.127,0.063,0,0.111,0.136
"P40","La luminaria",0.078,0.073,0.093,0.038,0.077,0.039,0,0.018
"P40","No sabe",0.197,0.323,0.175,0.191,0.458,0.453,0.119,0.392
"P41","La seguridad",0.65,0.573,0.494,0.448,0.712,0.705,0.361,0.508
"P41","El tránsito",0.021,0.056,0.076,0.074,0.044,0,0.423,0.022
"P41","El arreglo de las calles",0.113,0.049,0.148,0.102,0.006,0.031,0,0.047
"P41","Los parques y espacios públicos",0.005,0.042,0.066,0.017,0.056,0.025,0.033,0.096
"P41","El sistema de salud",0.037,0.063,0.078,0.086,0.082,0,0.119,0.084
"P41","La limpieza de las calles",0.044,0.031,0.069,0.048,0.024,0,0,0
"P41","El deporte y la cultura",0.064,0.039,0.03,0.027,0,0,0,0.03
"P41","La luminaria",0.01,0.006,0,0.004,0,0,0,0.054
"P41","No sabe",0.056,0.141,0.039,0.194,0.076,0.239,0.064,0.159
"P42","Agua corriente y cloacas",0.437,0.353,0.336,0.376,0.47,0.199,0.158,0.363
"P42","Energía eléctrica",0.13,0.227,0.156,0.144,0.198,0,0.49,0.117
"P42","Red de gas natural",0.072,0.047,0.059,0.027,0,0,0.039,0.047
"P42","Recolección de residuos",0.129,0.208,0.161,0.156,0.129,0.306,0.226,0.039
"P42","Ninguno",0.232,0.165,0.288,0.297,0.203,0.495,0.087,0.434
"P43","Los robos",0.459,0.303,0.244,0.253,0.391,0.22,0.454,0.485
"P43","El narcotráfico",0.27,0.355,0.293,0.288,0.42,0.563,0.326,0.286
"P43","La ausencia de patrulleros y personal policial",0.159,0.241,0.246,0.225,0.123,0.217,0.181,0.021
"P43","Otro",0.034,0.076,0.097,0.122,0.039,0,0.039,0.141
"P43","Ninguno",0.078,0.025,0.12,0.112,0.027,0,0,0.067
