"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P29","No sabe",0,0.082,0.013,0.025,0.007,0.011
"P30","Muy buena",0.06,0.042,0.027,0.187,0.17,0.025
"P30","Buena",0.047,0.049,0.139,0.14,0.176,0.325
"P30","Ni buena ni mala",0.109,0.186,0.171,0.108,0.099,0
"P30","Mala",0.347,0.27,0.202,0.124,0.135,0.307
"P30","Muy mala",0.428,0.384,0.409,0.437,0.396,0.343
"P30","No sabe",0.009,0.069,0.052,0.004,0.024,0
"P31","Muy buena",0.396,0.441,0.436,0.175,0.119,0.316
"P31","Buena",0.149,0.229,0.113,0.1,0.069,0.091
"P31","Ni buena ni mala",0.141,0.062,0.126,0.076,0.01,0.2
"P31","Mala",0.151,0.106,0.141,0.187,0.064,0.077
"P31","Muy mala",0.163,0.088,0.151,0.442,0.729,0.316
"P31","No sabe",0,0.074,0.033,0.02,0.009,0
"P32","Muy buena",0.144,0.081,0.11,0.262,0.184,0.268
"P32","Buena",0.052,0.107,0.141,0.232,0.136,0
"P32","Ni buena ni mala",0.266,0.192,0.24,0.067,0.171,0.074
"P32","Mala",0.259,0.303,0.071,0.066,0.064,0.538
"P32","Muy mala",0.234,0.283,0.318,0.292,0.417,0.109
"P32","No sabe",0.045,0.034,0.12,0.081,0.028,0.011
"P33","Muy buena",0.208,0.078,0.109,0.005,0.034,0.032
"P33","Buena",0.218,0.289,0.159,0.047,0.023,0.03
"P33","Ni buena ni mala",0.345,0.28,0.34,0.279,0.165,0.681
"P33","Mala",0.111,0.132,0.166,0.26,0.089,0.101
"P33","Muy mala",0.118,0.069,0.103,0.373,0.663,0.024
"P33","No sabe",0,0.152,0.123,0.036,0.026,0.132
"P34","Muy buena",0.194,0.057,0.055,0.219,0.228,0
"P34","Buena",0.054,0.063,0.055,0.241,0.172,0.325
"P34","Ni buena ni mala",0.178,0.106,0.228,0.065,0.116,0.339
"P34","Mala",0.244,0.204,0.205,0.094,0.034,0.034
"P34","Muy mala",0.299,0.402,0.362,0.355,0.431,0.094
"P34","No sabe",0.031,0.168,0.095,0.026,0.019,0.208
"P35","Muy buena",0.08,0.02,0.028,0.186,0.244,0.335
"P35","Buena",0.026,0.048,0.092,0.079,0.145,0.34
"P35","Ni buena ni mala",0.288,0.245,0.228,0.293,0.228,0.052
"P35","Mala",0.231,0.261,0.123,0.121,0.064,0.036
"P35","Muy mala",0.342,0.321,0.294,0.304,0.304,0.237
"P35","No sabe",0.033,0.105,0.235,0.017,0.015,0
