"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Martín Lousteau"
"P16","El tránsito",0.004,0.009,0.03,0.093,0
"P16","El arreglo de las calles",0.009,0.16,0.045,0.09,0
"P16","El estado de las escuelas y la educación",0.175,0.036,0.286,0,0
"P16","El sistema de salud",0.09,0,0.064,0,0
"P16","El deporte y la cultura",0,0.197,0.015,0,0
"P16","La obra pública",0.013,0,0,0,0
"P16","La luminaria",0.004,0,0.007,0.09,0
"P16","No sabe",0.14,0.054,0.008,0.09,0
"P17","Agua corriente y cloacas",0.384,0.618,0.789,0.27,0.072
"P17","Energía eléctrica",0.022,0.027,0.023,0.273,0.928
"P17","Red de gas natural",0.282,0.275,0.072,0,0
"P17","Recolección de residuos",0.026,0.036,0.045,0.27,0
"P17","Ninguno",0.286,0.044,0.071,0.187,0
"P18","Los robos",0.93,0.401,0.466,0.36,0
"P18","El narcotráfico",0.031,0.366,0.072,0.37,0.964
"P18","La ausencia de patrulleros y personal policial",0.022,0.215,0.398,0.18,0
"P18","Otro",0.013,0.009,0.056,0.09,0.036
"P18","Ninguno",0.004,0.009,0.008,0,0
"P19","Muy buena",0.26,0.027,0.007,0.09,0
"P19","Buena",0.017,0.124,0.038,0.273,0
"P19","Ni buena ni mala",0.296,0.107,0.432,0.18,0.964
"P19","Mala",0.209,0.178,0.346,0.18,0
"P19","Muy mala",0.052,0.555,0.169,0.18,0.036
"P19","No sabe",0.166,0.009,0.008,0.097,0
"P20","Muy buena",0.17,0.018,0,0,0
"P20","Buena",0.004,0.045,0.03,0.093,0
"P20","Ni buena ni mala",0.552,0.196,0.391,0.36,0.036
"P20","Mala",0.052,0.302,0.451,0,0
"P20","Muy mala",0.048,0.43,0.12,0.45,0.036
"P20","No sabe",0.174,0.009,0.008,0.097,0.928
"P21","Al candidato del Frente de Todos",0.306,0.009,0.007,0.183,0
"P21","Al candidato de Juntos por el Cambio",0.583,0.84,0.955,0.727,1
"P21","Al candidato de la Izquierda",0.004,0.124,0,0,0
"P21","A otro candidato",0.017,0.027,0.015,0.09,0
"P21","No sabe",0.09,0,0.023,0,0
"P22","A Gustavo Menéndez",1,1,0,0.165,0
"P22","A Karina Menéndez",0,0,0,0.835,0
"P22","A Florencia Lizaraso",0,0,0,0,0
"P22","A Raúl Otahacé",0,0,0,0,0
"P22","No sabe",0,0,1,0,0
"P28","Seguro lo votaria",0.29,0.179,0.361,0.187,0.036
"P28","Quizás lo votaría",0.169,0.495,0.181,0.18,0.037
"P28","Nunca lo votaría",0.541,0.326,0.458,0.633,0.927
"P29","Muy buena",0.184,0.018,0.023,0,0
"P29","Buena",0.004,0.009,0,0.103,0.926
"P29","Ni buena ni mala",0.31,0.009,0,0.205,0
"P29","Mala",0.018,0.028,0.314,0.297,0
"P29","Muy mala",0.484,0.927,0.663,0.395,0.074
"P29","No sabe",0,0.009,0,0,0
"P30","Muy buena",0.372,0.745,0.39,0,0
"P30","Buena",0.019,0.205,0.471,0.087,0.03
"P30","Ni buena ni mala",0.514,0.041,0.104,0.387,0.031
"P30","Mala",0.07,0,0.029,0,0
"P30","Muy mala",0.025,0.009,0.006,0.526,0.939
"P30","No sabe",0,0,0,0,0
"P31","Muy buena",0.158,0,0.01,0.439,0.939
"P31","Buena",0.107,0.014,0.006,0,0
"P31","Ni buena ni mala",0.003,0,0,0,0
"P31","Mala",0.135,0.018,0.276,0.152,0
"P31","Muy mala",0.597,0.968,0.708,0.409,0.061
"P31","No sabe",0,0,0,0,0
"P32","Muy buena",0.569,0.582,0.432,0.297,0
"P32","Buena",0.158,0.227,0.484,0.304,0.074
"P32","Ni buena ni mala",0.264,0.163,0.054,0.198,0
"P32","Mala",0.009,0,0.015,0.102,0.926
"P32","Muy mala",0,0.028,0.015,0.099,0
"P32","No sabe",0,0,0,0,0
"P33","Muy buena",0.217,0,0,0,0
"P33","Buena",0,0.009,0.018,0.043,0.939
"P33","Ni buena ni mala",0.089,0.193,0.012,0.439,0
"P33","Mala",0.271,0.05,0.177,0.196,0
"P33","Muy mala",0.331,0.739,0.793,0.322,0.061
"P33","No sabe",0.092,0.009,0,0,0
"P34","Muy buena",0.249,0.656,0.886,0.099,0.037
"P34","Buena",0.2,0.191,0.076,0.396,0.037
"P34","Ni buena ni mala",0.425,0.018,0.015,0.205,0
"P34","Mala",0.005,0,0,0,0.926
"P34","Muy mala",0.009,0.135,0.023,0.3,0
"P34","No sabe",0.112,0,0,0,0
"P35","Muy buena",0.165,0.021,0.029,0.326,0
"P35","Buena",0.021,0.391,0.083,0,0.02
"P35","Ni buena ni mala",0.609,0.443,0.615,0.161,0
"P35","Mala",0.047,0.061,0.163,0.451,0
"P35","Muy mala",0.155,0.084,0.072,0.062,0.98
"P35","No sabe",0.003,0,0.038,0,0
