"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.003,0.014,0.018,0.091,0.118,0.059
"P31","Otros",0.02,0.044,0.017,0.036,0.218,0.032
"P31","En blanco",0.004,0.014,0.003,0,0.05,0.101
"P31","No sabe",0.011,0.032,0.009,0.062,0.058,0.218
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.811,0.108,0.018,0.223,0.256,0.227
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.087,0.66,0.089,0.04,0.157,0.177
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.036,0.109,0.834,0.081,0.17,0.141
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.015,0.004,0.003,0.488,0.016,0.014
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.009,0.004,0.019,0.095,0.066,0.035
"P32","Otros",0.017,0.046,0.018,0.024,0.223,0.032
"P32","En blanco",0.008,0.032,0.005,0.016,0.098,0.078
"P32","No sabe",0.017,0.037,0.014,0.033,0.014,0.296
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.802,0.157,0.048,0.472,0.288,0.227
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.108,0.749,0.701,0.174,0.216,0.238
"P33","En blanco",0.069,0.055,0.185,0.239,0.321,0.172
"P33","No sabe",0.021,0.039,0.066,0.115,0.175,0.363
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.17,0.768,0.178,0.1,0.188,0.178
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.092,0.08,0.781,0.152,0.262,0.201
"P34","En blanco",0.593,0.107,0.021,0.612,0.3,0.222
"P34","No sabe",0.145,0.045,0.02,0.136,0.25,0.399
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.823,0.137,0.061,0.376,0.243,0.219
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.1,0.644,0.479,0.105,0.167,0.232
"P35","En blanco",0.048,0.12,0.338,0.408,0.332,0.197
"P35","No sabe",0.029,0.099,0.122,0.111,0.258,0.352
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.182,0.589,0.105,0.163,0.136,0.207
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.077,0.163,0.82,0.146,0.314,0.234
"P36","En blanco",0.578,0.131,0.05,0.517,0.345,0.19
"P36","No sabe",0.163,0.117,0.025,0.174,0.205,0.369
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.823,0.171,0.054,0.419,0.27,0.258
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.07,0.363,0.897,0.167,0.298,0.252
"P37","En blanco",0.068,0.261,0.039,0.265,0.282,0.121
"P37","No sabe",0.039,0.205,0.01,0.149,0.15,0.369
"P45","Lo votaría",0.796,0.133,0.02,0.279,0.227,0.143
"P45","Puede que lo vote",0.061,0.107,0.133,0.242,0.123,0.14
"P45","Nunca lo votaría",0.125,0.745,0.822,0.375,0.525,0.43
"P45","No sabe",0.018,0.015,0.025,0.104,0.125,0.287
"P46","Lo votaría",0.501,0.08,0.022,0.539,0.145,0.19
"P46","Puede que lo vote",0.23,0.042,0.023,0.214,0.185,0.092
"P46","Nunca lo votaría",0.221,0.862,0.929,0.229,0.591,0.465
"P46","No sabe",0.048,0.016,0.026,0.018,0.079,0.253
"P47","Lo votaría",0.15,0.66,0.271,0.093,0.055,0.108
"P47","Puede que lo vote",0.054,0.129,0.426,0.089,0.115,0.146
"P47","Nunca lo votaría",0.784,0.2,0.264,0.8,0.752,0.522
"P47","No sabe",0.012,0.011,0.039,0.018,0.078,0.224
"P48","Lo votaría",0.097,0.539,0.156,0.19,0.066,0.127
"P48","Puede que lo vote",0.052,0.229,0.32,0.086,0.167,0.233
"P48","Nunca lo votaría",0.82,0.193,0.478,0.637,0.706,0.343
"P48","No sabe",0.031,0.039,0.046,0.087,0.061,0.297
"P49","Lo votaría",0.081,0.174,0.79,0.169,0.194,0.155
"P49","Puede que lo vote",0.042,0.266,0.123,0.089,0.196,0.189
"P49","Nunca lo votaría",0.861,0.505,0.08,0.727,0.578,0.438
"P49","No sabe",0.016,0.055,0.007,0.015,0.032,0.218
"P50","Lo votaría",0.082,0.019,0.088,0.667,0.089,0.098
"P50","Puede que lo vote",0.301,0.08,0.051,0.127,0.176,0.116
"P50","Nunca lo votaría",0.569,0.865,0.837,0.206,0.624,0.561
"P50","No sabe",0.048,0.036,0.024,0,0.111,0.225
"P51","Lo votaría",0.02,0.013,0.041,0.234,0.143,0.013
"P51","Puede que lo vote",0.146,0.146,0.135,0.112,0.083,0.167
"P51","Nunca lo votaría",0.791,0.777,0.77,0.588,0.672,0.52
"P51","No sabe",0.043,0.064,0.054,0.066,0.102,0.3
"P52","Si",0.542,0.487,0.493,0.55,0.474,0.411
"P52","No",0.458,0.513,0.507,0.45,0.526,0.589
