"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.006,0.013,0.03,0.026
"P32","Otros",0.022,0.046,0.041,0.072
"P32","En blanco",0.009,0.006,0.06,0.015
"P32","No sabe",0.019,0.029,0.013,0.187
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.225,0.107,0.72,0.467
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.701,0.723,0.093,0.222
"P33","En blanco",0.041,0.127,0.18,0.03
"P33","No sabe",0.033,0.043,0.007,0.281
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.747,0.308,0.133,0.293
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.099,0.631,0.062,0.032
"P34","En blanco",0.107,0.041,0.754,0.164
"P34","No sabe",0.047,0.02,0.051,0.511
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.211,0.097,0.738,0.465
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.729,0.48,0.036,0.112
"P35","En blanco",0.037,0.284,0.209,0.057
"P35","No sabe",0.023,0.139,0.017,0.366
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.266,0.084,0.758,0.46
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.322,0.849,0.043,0.057
"P37","En blanco",0.234,0.041,0.186,0.069
"P37","No sabe",0.178,0.026,0.013,0.414
"P45","Lo votaría",0.197,0.08,0.705,0.435
"P45","Puede que lo vote",0.108,0.13,0.077,0.093
"P45","Nunca lo votaría",0.665,0.764,0.207,0.3
"P45","No sabe",0.03,0.026,0.011,0.172
"P46","Lo votaría",0.137,0.041,0.488,0.282
"P46","Puede que lo vote",0.044,0.056,0.217,0.185
"P46","Nunca lo votaría",0.793,0.877,0.246,0.405
"P46","No sabe",0.026,0.026,0.049,0.128
"P47","Lo votaría",0.588,0.359,0.113,0.291
"P47","Puede que lo vote",0.148,0.314,0.05,0.072
"P47","Nunca lo votaría",0.245,0.303,0.818,0.536
"P47","No sabe",0.019,0.024,0.019,0.101
"P48","Lo votaría",0.67,0.171,0.024,0.084
"P48","Puede que lo vote",0.188,0.332,0.037,0.166
"P48","Nunca lo votaría",0.126,0.445,0.899,0.57
"P48","No sabe",0.016,0.052,0.04,0.18
"P49","Lo votaría",0.181,0.691,0.017,0.044
"P49","Puede que lo vote",0.238,0.213,0.037,0.105
"P49","Nunca lo votaría",0.526,0.094,0.929,0.71
"P49","No sabe",0.055,0.002,0.017,0.141
"P50","Lo votaría",0.048,0.088,0.099,0.074
"P50","Puede que lo vote",0.094,0.056,0.294,0.197
"P50","Nunca lo votaría",0.813,0.835,0.55,0.617
"P50","No sabe",0.045,0.021,0.057,0.112
"P51","Lo votaría",0.032,0.041,0.018,0.053
"P51","Puede que lo vote",0.181,0.113,0.126,0.137
"P51","Nunca lo votaría",0.708,0.803,0.801,0.673
"P51","No sabe",0.079,0.043,0.055,0.137
"P52","Si",0.502,0.545,0.506,0.422
"P52","No",0.498,0.455,0.494,0.578
