"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P08","Juntos por el Cambio",0.117,0.118,0.585,0.598,0.319,0.067,0.106,0.155,0.194,0.194
"P08","Liberales",0.035,0.05,0.241,0.121,0.395,0.093,0.036,0.139,0.159,0.041
"P08","Izquierda",0.03,0.067,0.013,0.013,0.007,0.379,0.08,0.036,0.035,0.008
"P08","Otro",0.042,0.027,0.025,0.053,0.03,0.04,0.178,0.293,0.195,0.018
"P08","No sabe",0.08,0.06,0.036,0.076,0.1,0.157,0.415,0.205,0.378,0.666
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.708,0.566,0.054,0.1,0.069,0.25,0.149,0.064,0.068,0.122
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.134,0.25,0.012,0.026,0.048,0.346,0,0.055,0.007,0.01
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.045,0.058,0.49,0.418,0.235,0.04,0.07,0.09,0.098,0.099
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.024,0.036,0.165,0.246,0.131,0.027,0.047,0.056,0.011,0.017
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.036,0.03,0.251,0.165,0.492,0.01,0.028,0.177,0.229,0.025
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.009,0.05,0.004,0.018,0,0.266,0.013,0.027,0.023,0.002
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.004,0,0.001,0.005,0.013,0.012,0.493,0,0.022,0
"P15","Otros",0.024,0.005,0.013,0.009,0.006,0.008,0.008,0.403,0.026,0.112
"P15","En blanco",0,0,0.004,0.001,0.001,0.016,0.192,0.082,0.478,0.048
"P15","No sabe",0.016,0.005,0.006,0.012,0.005,0.025,0,0.046,0.038,0.565
"P25","Totalmente seguro",0.655,0.654,0.656,0.539,0.698,0.442,0.346,0.518,0.574,0.21
"P25","Bastante seguro",0.168,0.179,0.165,0.261,0.122,0.232,0.425,0.155,0.072,0.084
"P25","Algo seguro",0.077,0.134,0.091,0.134,0.098,0.179,0.175,0.044,0.062,0.16
"P25","Para nada seguro",0.1,0.033,0.088,0.066,0.082,0.147,0.054,0.283,0.292,0.546
"P26","Tiene Decidido que va a ir a votar",0.907,0.868,0.903,0.865,0.897,0.82,0.609,0.792,0.773,0.784
"P26","Tiene dudas sobre si va a ir a  votar",0.077,0.091,0.079,0.09,0.077,0.17,0.391,0.127,0.107,0.19
"P26","Tiene Decidido que no va a ir a votar",0.016,0.041,0.018,0.045,0.026,0.01,0,0.081,0.12,0.026
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.844,0.715,0.053,0.116,0.105,0.358,0.207,0.155,0.075,0.148
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.042,0.084,0.645,0.534,0.271,0.031,0.025,0.169,0.118,0.169
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.029,0.023,0.243,0.173,0.558,0.035,0.137,0.082,0.226,0.08
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.028,0.091,0.008,0.02,0.018,0.414,0.018,0.075,0.03,0
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.008,0.014,0.014,0.035,0.014,0.023,0.432,0.043,0.068,0.011
"P31","Otros",0.031,0.038,0.014,0.058,0.03,0.057,0,0.396,0.02,0.039
"P31","En blanco",0.004,0.01,0.016,0.01,0.002,0.023,0.159,0,0.309,0.042
"P31","No sabe",0.014,0.025,0.007,0.054,0.002,0.059,0.022,0.08,0.154,0.511
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.877,0.727,0.057,0.115,0.085,0.286,0.183,0.173,0.107,0.166
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.054,0.076,0.482,0.685,0.224,0.121,0.139,0.151,0.043,0.167
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.032,0.024,0.313,0.151,0.602,0.041,0.069,0.156,0.251,0.057
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.01,0.077,0.003,0.023,0,0.352,0.019,0.053,0.012,0
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.004,0.031,0.001,0.007,0.034,0.014,0.402,0,0.064,0.013
"P32","Otros",0.01,0.031,0.05,0.01,0.045,0.013,0,0.293,0.064,0.079
"P32","En blanco",0,0.015,0.039,0.003,0.003,0.024,0.16,0.045,0.373,0.051
"P32","No sabe",0.013,0.019,0.055,0.006,0.007,0.149,0.028,0.129,0.086,0.467
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.854,0.73,0.1,0.165,0.136,0.604,0.399,0.224,0.198,0.171
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.059,0.093,0.81,0.638,0.618,0.102,0.207,0.172,0.211,0.245
"P33","En blanco",0.052,0.144,0.054,0.096,0.177,0.184,0.258,0.507,0.499,0.087
"P33","No sabe",0.035,0.033,0.036,0.101,0.069,0.11,0.136,0.097,0.092,0.497
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.149,0.159,0.647,0.569,0.348,0.108,0.269,0.266,0.256,0.206
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.082,0.039,0.263,0.223,0.527,0.049,0.257,0.314,0.259,0.039
"P34","En blanco",0.594,0.697,0.052,0.119,0.088,0.618,0.254,0.278,0.469,0.096
"P34","No sabe",0.175,0.105,0.038,0.089,0.037,0.225,0.22,0.142,0.016,0.659
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.875,0.761,0.098,0.151,0.154,0.497,0.36,0.22,0.159,0.162
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.071,0.093,0.571,0.683,0.447,0.117,0.112,0.155,0.091,0.206
"P35","En blanco",0.03,0.101,0.214,0.085,0.247,0.294,0.327,0.355,0.593,0.128
"P35","No sabe",0.024,0.045,0.117,0.081,0.152,0.092,0.201,0.27,0.157,0.504
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.144,0.156,0.446,0.682,0.152,0.273,0.128,0.194,0.167,0.125
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.089,0.057,0.359,0.134,0.668,0.046,0.286,0.286,0.206,0.109
"P36","En blanco",0.572,0.673,0.097,0.097,0.106,0.518,0.401,0.348,0.511,0.106
"P36","No sabe",0.195,0.114,0.098,0.087,0.074,0.163,0.185,0.172,0.116,0.66
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.872,0.795,0.118,0.143,0.142,0.632,0.464,0.246,0.214,0.169
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.08,0.486,0.398,0.714,0.092,0.244,0.321,0.305,0.123
"P37","En blanco",0.038,0.1,0.213,0.273,0.093,0.137,0.137,0.259,0.393,0.102
"P37","No sabe",0.036,0.025,0.183,0.186,0.051,0.139,0.155,0.174,0.088,0.606
"P45","Lo votaría",0.817,0.689,0.099,0.189,0.128,0.294,0.362,0.121,0.166,0.115
"P45","Puede que lo vote",0.059,0.114,0.118,0.068,0.146,0.248,0.088,0.139,0.063,0.113
"P45","Nunca lo votaría",0.09,0.176,0.759,0.714,0.691,0.312,0.434,0.603,0.716,0.475
"P45","No sabe",0.034,0.021,0.024,0.029,0.035,0.146,0.116,0.137,0.055,0.297
"P46","Lo votaría",0.442,0.653,0.066,0.1,0.116,0.468,0.065,0.205,0.102,0.066
"P46","Puede que lo vote",0.27,0.207,0.028,0.041,0.053,0.236,0.18,0.12,0.072,0.101
"P46","Nunca lo votaría",0.217,0.134,0.885,0.839,0.795,0.206,0.755,0.528,0.744,0.512
"P46","No sabe",0.071,0.006,0.021,0.02,0.036,0.09,0,0.147,0.082,0.321
"P47","Lo votaría",0.052,0.086,0.629,0.549,0.366,0.054,0.044,0.22,0.188,0.134
"P47","Puede que lo vote",0.066,0.06,0.193,0.17,0.274,0.058,0.147,0.148,0.099,0.19
"P47","Nunca lo votaría",0.86,0.846,0.16,0.266,0.315,0.865,0.744,0.487,0.658,0.43
"P47","No sabe",0.022,0.008,0.018,0.015,0.045,0.023,0.065,0.145,0.055,0.246
"P48","Lo votaría",0.044,0.051,0.429,0.63,0.205,0.098,0.022,0.127,0.047,0.175
"P48","Puede que lo vote",0.062,0.034,0.264,0.252,0.247,0.059,0.22,0.103,0.084,0.227
"P48","Nunca lo votaría",0.856,0.873,0.252,0.097,0.513,0.736,0.537,0.704,0.765,0.244
"P48","No sabe",0.038,0.042,0.055,0.021,0.035,0.107,0.221,0.066,0.104,0.354
"P49","Lo votaría",0.059,0.058,0.353,0.212,0.623,0.038,0.181,0.184,0.215,0.041
"P49","Puede que lo vote",0.051,0.034,0.206,0.264,0.214,0.082,0.117,0.191,0.125,0.12
"P49","Nunca lo votaría",0.863,0.897,0.392,0.48,0.161,0.834,0.678,0.559,0.618,0.517
"P49","No sabe",0.027,0.011,0.049,0.044,0.002,0.046,0.024,0.066,0.042,0.322
"P50","Lo votaría",0.081,0.11,0.036,0.054,0.126,0.407,0.116,0.099,0.014,0
"P50","Puede que lo vote",0.274,0.356,0.058,0.092,0.072,0.34,0.064,0.097,0.227,0.132
"P50","Nunca lo votaría",0.579,0.505,0.874,0.811,0.793,0.204,0.653,0.632,0.653,0.585
"P50","No sabe",0.066,0.029,0.032,0.043,0.009,0.049,0.167,0.172,0.106,0.283
"P51","Lo votaría",0.028,0.006,0.03,0.046,0.036,0.034,0.512,0,0,0.027
"P51","Puede que lo vote",0.12,0.144,0.136,0.156,0.126,0.219,0.341,0.149,0.18,0.189
"P51","Nunca lo votaría",0.79,0.817,0.764,0.728,0.802,0.549,0.147,0.672,0.763,0.502
"P51","No sabe",0.062,0.033,0.07,0.07,0.036,0.198,0,0.179,0.057,0.282
"P52","Si",0.522,0.538,0.487,0.563,0.505,0.455,0.549,0.41,0.593,0.476
"P52","No",0.478,0.462,0.513,0.437,0.495,0.545,0.451,0.59,0.407,0.524
