"var","categoria","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza","A los candidatos a presidente y vicepresidente del Frente de Izquierda","En blanco","No sabe"
"P12","No sabe",0.021,0.088,0.017,0.091,0.085,0.034,0.181
"P13","Los votaría",0.047,0.579,0.231,0.093,0.014,0.054,0.02
"P13","Puede que los vote",0.05,0.271,0.51,0.229,0.077,0.066,0.125
"P13","Nunca los votaría",0.879,0.122,0.208,0.585,0.84,0.841,0.665
"P13","No sabe",0.024,0.028,0.051,0.093,0.069,0.039,0.19
"P14","Los votaría",0.023,0.174,0.509,0.07,0.011,0.009,0.003
"P14","Puede que los vote",0.023,0.375,0.351,0.282,0.048,0.053,0.085
"P14","Nunca los votaría",0.942,0.304,0.071,0.498,0.866,0.881,0.721
"P14","No sabe",0.012,0.147,0.069,0.15,0.075,0.057,0.191
"P15","Los votaría",0.571,0.029,0.07,0.037,0.086,0.029,0.012
"P15","Puede que los vote",0.28,0.147,0.051,0.049,0.266,0.088,0.235
"P15","Nunca los votaría",0.118,0.786,0.867,0.847,0.523,0.718,0.474
"P15","No sabe",0.031,0.038,0.012,0.067,0.125,0.165,0.279
"P16","Los votaría",0.059,0.168,0.522,0.045,0.085,0.024,0.036
"P16","Puede que los vote",0.051,0.376,0.285,0.279,0.049,0.028,0.124
"P16","Nunca los votaría",0.873,0.329,0.142,0.556,0.75,0.902,0.644
"P16","No sabe",0.017,0.127,0.051,0.12,0.116,0.046,0.196
"P17","Los votaría",0.033,0.334,0.239,0.042,0.012,0.014,0.01
"P17","Puede que los vote",0.049,0.375,0.461,0.188,0.063,0.061,0.065
"P17","Nunca los votaría",0.895,0.182,0.216,0.661,0.844,0.865,0.728
"P17","No sabe",0.023,0.109,0.084,0.109,0.081,0.06,0.197
"P18","Los votaría",0.034,0.263,0.644,0.1,0.012,0.009,0.035
"P18","Puede que los vote",0.015,0.382,0.245,0.284,0.04,0.056,0.116
"P18","Nunca los votaría",0.934,0.274,0.07,0.514,0.864,0.916,0.714
"P18","No sabe",0.017,0.081,0.041,0.102,0.084,0.019,0.135
"P19","Los votaría",0.7,0.04,0.087,0.025,0.133,0.175,0.116
"P19","Puede que los vote",0.15,0.104,0.029,0.058,0.385,0.212,0.309
"P19","Nunca los votaría",0.142,0.792,0.863,0.867,0.389,0.555,0.414
"P19","No sabe",0.008,0.064,0.021,0.05,0.093,0.058,0.161
"P20","Los votaría",0.117,0.189,0.599,0.186,0.013,0.021,0.089
"P20","Puede que los vote",0.026,0.339,0.231,0.294,0.073,0.063,0.088
"P20","Nunca los votaría",0.85,0.388,0.157,0.434,0.832,0.859,0.699
"P20","No sabe",0.007,0.084,0.013,0.086,0.082,0.057,0.124
"P21","Ricardo López Murphy",0.033,0.195,0.373,0.269,0.071,0.043,0.069
"P21","Rodolfo Suárez",0.008,0.064,0.079,0.055,0.037,0,0.03
"P21","Rodrigo de Loredo",0.149,0.108,0.148,0.156,0.094,0.125,0.167
"P21","Maximiliano Abad",0.025,0.046,0.013,0.045,0.058,0.02,0.033
"P21","Luis Naidenoff",0.005,0.063,0.047,0.01,0.003,0.045,0.007
"P21","Martín Tetaz",0.03,0.14,0.111,0.037,0.02,0.066,0.054
"P21","José Luis Espert",0.045,0.118,0.179,0.216,0.065,0.066,0.03
"P21","No sabe",0.705,0.266,0.05,0.212,0.652,0.635,0.61
"P22","Gustavo Valdés",0.01,0.078,0.07,0.063,0.032,0.004,0.022
"P22","Gerardo Morales",0.05,0.268,0.184,0.093,0.042,0.053,0.076
"P22","María Eugenia Vidal",0.068,0.229,0.233,0.208,0.043,0.088,0.074
"P22","Cristian Ritondo",0.018,0.021,0.068,0.035,0.051,0.005,0.012
"P22","Emilio Monzó",0.016,0.034,0.068,0.022,0.014,0.048,0.013
"P22","Martín Lousteau",0.063,0.261,0.118,0.089,0.065,0.072,0.11
"P22","Juan Schiaretti",0.028,0.032,0.046,0.066,0.039,0.008,0.038
"P22","Soledad Acuña",0.305,0.047,0.051,0.15,0.28,0.297,0.221
"P22","No sabe",0.442,0.03,0.162,0.274,0.434,0.425,0.434
"P23","Wado De Pedro",0.532,0.047,0.028,0.069,0.283,0.29,0.226
"P23","Victoria Tolosa Paz",0.162,0.093,0.062,0.098,0.141,0.016,0.113
"P23","Sergio Uñac",0.052,0.054,0.06,0.081,0.049,0.033,0.067
"P23","Fernanda Raverta",0.034,0.023,0.021,0.019,0.068,0.012,0.018
"P23","Anabel Fernández Sagasti",0.044,0.017,0.013,0.016,0.111,0.043,0.021
"P23","Gustavo Bordet",0.015,0.05,0.012,0.022,0.039,0.02,0.023
"P23","Juan Manzur",0.076,0.046,0.035,0.035,0.014,0.024,0.039
"P23","No sabe",0.085,0.67,0.769,0.66,0.295,0.562,0.493
"P24","Si",0.518,0.563,0.493,0.541,0.462,0.531,0.477
"P24","No",0.482,0.437,0.507,0.459,0.538,0.469,0.523
