"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P19","No sabe",0.012,0.031,0.027,0.411
"P20","Los votaría",0.661,0.225,0.08,0.06
"P20","Puede que los vote",0.182,0.506,0.058,0.253
"P20","Nunca los votaría",0.15,0.225,0.838,0.189
"P20","No sabe",0.007,0.044,0.024,0.498
"P21","Ricardo López Murphy",0.459,0.233,0.053,0.104
"P21","Rodolfo Suárez",0.053,0.09,0.023,0.077
"P21","Rodrigo de Loredo",0.136,0.145,0.153,0.09
"P21","Maximiliano Abad",0.009,0.032,0.027,0.163
"P21","Luis Naidenoff",0.051,0.026,0.015,0
"P21","Martín Tetaz",0.09,0.098,0.051,0.039
"P21","José Luis Espert",0.145,0.219,0.077,0.123
"P21","No sabe",0.057,0.157,0.601,0.404
"P22","Gustavo Valdés",0.078,0.064,0.023,0.053
"P22","Gerardo Morales",0.178,0.188,0.067,0.169
"P22","María Eugenia Vidal",0.23,0.22,0.109,0.076
"P22","Cristian Ritondo",0.061,0.027,0.018,0.11
"P22","Emilio Monzó",0.066,0.029,0.022,0.011
"P22","Martín Lousteau",0.122,0.131,0.093,0.183
"P22","Juan Schiaretti",0.031,0.058,0.039,0.055
"P22","Soledad Acuña",0.056,0.081,0.267,0.037
"P22","No sabe",0.178,0.202,0.362,0.306
"P23","Wado De Pedro",0.054,0.079,0.339,0.053
"P23","Victoria Tolosa Paz",0.068,0.112,0.122,0.093
"P23","Sergio Uñac",0.058,0.043,0.072,0.019
"P23","Fernanda Raverta",0.02,0.012,0.026,0.099
"P23","Anabel Fernández Sagasti",0.013,0.026,0.036,0.02
"P23","Gustavo Bordet",0.014,0.043,0.016,0.043
"P23","Juan Manzur",0.04,0.049,0.048,0.042
"P23","No sabe",0.733,0.636,0.341,0.631
"P24","Si",0.541,0.529,0.497,0.557
"P24","No",0.459,0.471,0.503,0.443
