"var","categoria","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.008,0.003,0.003,0.013,0.658,0.035,0.03,0.037
"P13","Al candidato del Frente de Izquierda",0.005,0.004,0.004,0.001,0.109,0.775,0,0.011
"P13","Votaría en blanco",0.011,0.017,0.003,0.021,0.018,0.02,0.441,0.063
"P13","No sabe",0.044,0.032,0.023,0.008,0.018,0.024,0.112,0.547
"P15","A Luis Juez por Juntos por el Cambio",0.694,0.116,0.019,0.179,0.199,0.065,0.384,0.249
"P15","A Martín Llaryora por Hacemos por Córdoba",0.172,0.776,0.095,0.059,0.054,0.053,0.184,0.167
"P15","Al candidato del Frente de Todos",0.013,0.049,0.849,0.003,0.008,0.047,0.017,0.015
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.043,0.012,0.005,0.708,0,0,0,0.012
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.027,0.002,0.005,0.008,0.615,0,0.014,0.017
"P15","Al candidato del Frente de Izquierda",0.006,0.005,0.004,0.021,0.096,0.802,0.003,0.015
"P15","Votaría en blanco",0.009,0.011,0.004,0.007,0.01,0.014,0.289,0.029
"P15","No sabe",0.036,0.029,0.019,0.015,0.018,0.019,0.109,0.496
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.817,0.12,0.025,0.135,0.22,0.068,0.309,0.215
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.101,0.745,0.057,0.041,0.023,0.028,0.22,0.08
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.008,0.044,0.874,0.002,0,0.014,0.052,0.009
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.031,0.011,0.003,0.742,0.01,0,0.003,0.004
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.011,0.007,0,0.012,0.653,0,0,0.02
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.005,0.006,0.036,0.01,0.037,0.87,0.006,0.007
"P17","Votaría en blanco",0.004,0.018,0.003,0.016,0,0,0.363,0.046
"P17","No sabe",0.023,0.049,0.002,0.042,0.057,0.02,0.047,0.619
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.897,0.06,0.019,0.093,0.067,0.009,0.07,0.122
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.057,0.827,0.042,0.041,0.036,0.028,0.133,0.062
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.005,0.05,0.893,0.017,0.01,0.022,0.017,0.009
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.013,0.011,0.003,0.799,0.016,0,0.055,0.002
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.007,0.005,0.003,0.018,0.835,0,0.038,0.008
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.001,0.008,0.02,0.001,0.006,0.925,0.043,0.025
"P18","Votaría en blanco",0.004,0.01,0.005,0.019,0.004,0,0.588,0.017
"P18","No sabe",0.016,0.029,0.015,0.012,0.026,0.016,0.056,0.755
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.874,0.024,0.004,0.128,0.174,0.021,0.322,0.217
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.036,0.912,0.025,0,0.015,0.015,0.015,0.027
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.008,0.021,0.935,0.002,0,0.043,0.021,0.012
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.029,0.009,0.008,0.84,0.02,0,0.005,0.007
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.011,0.003,0.003,0.013,0.71,0,0.038,0.002
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.008,0.004,0.016,0,0.02,0.902,0,0.004
"P19","Votaría en blanco",0.012,0.007,0.005,0.014,0.043,0,0.575,0.025
"P19","No sabe",0.022,0.02,0.004,0.003,0.018,0.019,0.024,0.706
"P21","Lo votaría",0.684,0.151,0.005,0.104,0.084,0.037,0.053,0.057
"P21","Puede que lo vote",0.263,0.276,0.041,0.334,0.272,0.04,0.238,0.268
"P21","Nunca lo votaría",0.053,0.573,0.943,0.498,0.562,0.883,0.643,0.502
"P21","No sabe",0,0,0.011,0.064,0.082,0.04,0.066,0.173
"P22","Lo votaría",0.16,0.733,0.059,0.065,0.086,0.037,0.151,0.119
"P22","Puede que lo vote",0.2,0.183,0.321,0.264,0.21,0.111,0.191,0.263
"P22","Nunca lo votaría",0.64,0.084,0.61,0.656,0.627,0.81,0.601,0.481
"P22","No sabe",0,0,0.01,0.015,0.077,0.042,0.057,0.137
"P23","Lo votaría",0.556,0.164,0.031,0.151,0.239,0.067,0.363,0.22
"P23","Puede que lo vote",0.277,0.144,0.066,0.283,0.141,0.055,0.084,0.157
"P23","Nunca lo votaría",0.164,0.671,0.892,0.527,0.551,0.836,0.509,0.48
"P23","No sabe",0.003,0.021,0.011,0.039,0.069,0.042,0.044,0.143
"P24","Lo votaría",0.135,0.088,0.368,0.065,0.064,0.068,0.064,0.024
"P24","Puede que lo vote",0.101,0.247,0.25,0.169,0.121,0.25,0.107,0.127
"P24","Nunca lo votaría",0.763,0.661,0.377,0.755,0.809,0.673,0.809,0.788
"P24","No sabe",0.001,0.004,0.005,0.011,0.006,0.009,0.02,0.061
"P25","Muy buena",0.514,0.082,0.047,0.125,0.11,0.027,0.046,0.079
"P25","Buena",0.242,0.171,0.039,0.158,0.137,0.15,0.165,0.234
"P25","Ni buena ni mala",0.216,0.394,0.178,0.445,0.452,0.237,0.447,0.411
"P25","Mala",0.007,0.149,0.257,0.134,0.206,0.283,0.113,0.095
"P25","Muy mala",0.006,0.134,0.457,0.093,0.066,0.282,0.167,0.095
"P25","No sabe",0.015,0.07,0.022,0.045,0.029,0.021,0.062,0.086
"P26","Muy buena",0.434,0.051,0.016,0.148,0.167,0.084,0.288,0.244
"P26","Buena",0.328,0.139,0.029,0.211,0.168,0.06,0.159,0.185
"P26","Ni buena ni mala",0.149,0.225,0.061,0.29,0.277,0.067,0.19,0.234
"P26","Mala",0.046,0.261,0.221,0.195,0.287,0.219,0.165,0.103
"P26","Muy mala",0.035,0.294,0.67,0.123,0.095,0.57,0.18,0.17
"P26","No sabe",0.008,0.03,0.003,0.033,0.006,0,0.018,0.064
"P27","Muy buena",0.116,0.524,0.095,0.08,0.11,0.038,0.098,0.152
"P27","Buena",0.14,0.283,0.175,0.105,0.135,0.085,0.178,0.262
"P27","Ni buena ni mala",0.361,0.109,0.29,0.312,0.378,0.254,0.221,0.231
"P27","Mala",0.244,0.034,0.22,0.258,0.177,0.148,0.181,0.141
"P27","Muy mala",0.128,0.033,0.206,0.21,0.165,0.465,0.303,0.157
"P27","No sabe",0.011,0.017,0.014,0.035,0.035,0.01,0.019,0.057
"P28","Muy buena",0.136,0.132,0.039,0.08,0.531,0,0.029,0.076
"P28","Buena",0.139,0.113,0.088,0.114,0.208,0.094,0.105,0.215
"P28","Ni buena ni mala",0.398,0.41,0.254,0.32,0.18,0.312,0.487,0.375
"P28","Mala",0.097,0.078,0.178,0.184,0.051,0.148,0.132,0.1
"P28","Muy mala",0.084,0.089,0.285,0.141,0.013,0.361,0.151,0.106
"P28","No sabe",0.146,0.178,0.156,0.161,0.017,0.085,0.096,0.128
"P29","Muy buena",0.036,0.084,0.164,0.025,0.083,0.029,0.014,0.076
"P29","Buena",0.021,0.203,0.321,0.011,0.03,0.193,0.031,0.062
"P29","Ni buena ni mala",0.1,0.228,0.239,0.084,0.144,0.286,0.173,0.187
"P29","Mala",0.164,0.205,0.134,0.16,0.219,0.185,0.208,0.188
"P29","Muy mala",0.641,0.234,0.12,0.674,0.507,0.307,0.554,0.428
"P29","No sabe",0.038,0.046,0.022,0.046,0.017,0,0.02,0.059
"P30","Muy buena",0.018,0.242,0.779,0.015,0.057,0.229,0.076,0.042
"P30","Buena",0.016,0.152,0.093,0.015,0.03,0.197,0.036,0.087
"P30","Ni buena ni mala",0.036,0.114,0.069,0.036,0.105,0.14,0.088,0.142
"P30","Mala",0.146,0.147,0.036,0.089,0.17,0.091,0.17,0.149
"P30","Muy mala",0.771,0.324,0.023,0.836,0.632,0.343,0.61,0.565
"P30","No sabe",0.013,0.021,0,0.009,0.006,0,0.02,0.015
"P31","Muy buena",0.34,0.107,0.122,0.138,0.13,0.049,0.27,0.096
"P31","Buena",0.25,0.109,0.018,0.201,0.156,0.046,0.151,0.166
"P31","Ni buena ni mala",0.172,0.127,0.03,0.221,0.131,0.043,0.126,0.264
"P31","Mala",0.087,0.248,0.1,0.153,0.256,0.049,0.141,0.17
"P31","Muy mala",0.146,0.387,0.723,0.277,0.321,0.813,0.292,0.291
"P31","No sabe",0.005,0.022,0.007,0.01,0.006,0,0.02,0.013
"P32","Muy buena",0.206,0.08,0.014,0.104,0.099,0.049,0.082,0.115
"P32","Buena",0.321,0.144,0.013,0.135,0.139,0.017,0.294,0.181
"P32","Ni buena ni mala",0.292,0.27,0.063,0.233,0.336,0.099,0.211,0.328
"P32","Mala",0.099,0.203,0.196,0.234,0.187,0.138,0.151,0.139
"P32","Muy mala",0.069,0.254,0.702,0.264,0.233,0.697,0.234,0.205
"P32","No sabe",0.013,0.049,0.012,0.03,0.006,0,0.028,0.032
"P33","Muy buena",0.052,0.115,0.127,0.025,0.088,0.023,0,0.025
"P33","Buena",0.071,0.227,0.337,0.022,0.084,0.072,0.102,0.108
"P33","Ni buena ni mala",0.097,0.265,0.292,0.142,0.067,0.287,0.162,0.199
"P33","Mala",0.224,0.166,0.12,0.139,0.228,0.176,0.203,0.238
"P33","Muy mala",0.535,0.196,0.111,0.648,0.527,0.442,0.501,0.396
"P33","No sabe",0.021,0.031,0.013,0.024,0.006,0,0.032,0.034
"P34","Muy buena",0.486,0.118,0.025,0.201,0.23,0.049,0.256,0.158
"P34","Buena",0.211,0.104,0.058,0.287,0.238,0.044,0.167,0.156
"P34","Ni buena ni mala",0.105,0.213,0.042,0.202,0.09,0.092,0.091,0.293
"P34","Mala",0.082,0.198,0.117,0.131,0.209,0.07,0.158,0.121
"P34","Muy mala",0.108,0.339,0.758,0.168,0.226,0.745,0.296,0.236
"P34","No sabe",0.008,0.028,0,0.011,0.007,0,0.032,0.036
"P35","Muy buena",0.176,0.45,0.052,0.116,0.066,0.029,0.126,0.159
"P35","Buena",0.206,0.253,0.109,0.207,0.193,0.052,0.156,0.192
"P35","Ni buena ni mala",0.288,0.132,0.161,0.263,0.317,0.107,0.103,0.265
"P35","Mala",0.166,0.078,0.27,0.195,0.253,0.254,0.267,0.155
"P35","Muy mala",0.152,0.075,0.407,0.185,0.164,0.558,0.327,0.188
"P35","No sabe",0.012,0.012,0.001,0.034,0.007,0,0.021,0.041
"P36","Muy buena",0.172,0.148,0.023,0.583,0.115,0.016,0.097,0.136
"P36","Buena",0.161,0.136,0.014,0.138,0.084,0.017,0.051,0.159
"P36","Ni buena ni mala",0.35,0.231,0.055,0.185,0.395,0.034,0.157,0.292
"P36","Mala",0.155,0.161,0.113,0.049,0.184,0.047,0.388,0.137
"P36","Muy mala",0.138,0.281,0.795,0.021,0.187,0.886,0.286,0.196
"P36","No sabe",0.024,0.043,0,0.024,0.035,0,0.021,0.08
"P37","Muy buena",0.182,0.057,0.023,0.087,0.103,0.081,0.068,0.051
"P37","Buena",0.277,0.117,0.025,0.12,0.216,0.089,0.105,0.18
"P37","Ni buena ni mala",0.32,0.412,0.189,0.312,0.457,0.189,0.244,0.344
"P37","Mala",0.093,0.159,0.289,0.114,0.133,0.113,0.368,0.184
"P37","Muy mala",0.092,0.156,0.448,0.286,0.085,0.486,0.133,0.131
"P37","No sabe",0.036,0.099,0.026,0.081,0.006,0.042,0.082,0.11
"P38","Muy buena",0.117,0.034,0.015,0.015,0.092,0,0.044,0.025
"P38","Buena",0.231,0.07,0.016,0.031,0.176,0.036,0.108,0.112
"P38","Ni buena ni mala",0.375,0.371,0.174,0.306,0.352,0.258,0.209,0.343
"P38","Mala",0.096,0.133,0.164,0.16,0.162,0.092,0.34,0.158
"P38","Muy mala",0.1,0.181,0.6,0.321,0.084,0.539,0.184,0.124
"P38","No sabe",0.081,0.211,0.031,0.167,0.134,0.075,0.115,0.238
"P39","Muy buena",0.145,0.053,0.016,0.032,0.184,0.109,0.105,0.047
"P39","Buena",0.222,0.104,0.062,0.074,0.119,0.052,0.081,0.123
"P39","Ni buena ni mala",0.369,0.425,0.265,0.334,0.334,0.252,0.246,0.391
"P39","Mala",0.117,0.102,0.22,0.163,0.192,0.123,0.304,0.148
"P39","Muy mala",0.079,0.115,0.325,0.265,0.108,0.421,0.127,0.109
"P39","No sabe",0.068,0.201,0.112,0.132,0.063,0.043,0.137,0.182
