"var","categoria","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P15","Votaría en blanco",0.008,0.007,0.016,0.006,0.011,0.031,0.473,0.041
"P15","No sabe",0.027,0.021,0.024,0.015,0.021,0.005,0.102,0.602
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.8,0.096,0.018,0.11,0.176,0.052,0.043,0.142
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.078,0.859,0.031,0.016,0.011,0.013,0.022,0.061
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.006,0.009,0.91,0.022,0,0.064,0.042,0.01
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.028,0.01,0.007,0.824,0.056,0.026,0.016,0.04
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.016,0.005,0.001,0.016,0.704,0.005,0.006,0.017
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.007,0.001,0,0.004,0.014,0.806,0.013,0.023
"P18","Votaría en blanco",0.022,0.007,0.015,0,0.028,0.012,0.709,0.024
"P18","No sabe",0.043,0.013,0.018,0.008,0.011,0.022,0.149,0.683
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.858,0.11,0.002,0.048,0.11,0.018,0.003,0.061
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.081,0.768,0.113,0.034,0.064,0.066,0.177,0.156
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.008,0.024,0.841,0.004,0,0.093,0,0.007
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.02,0.018,0.015,0.889,0.078,0.028,0.011,0.062
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.006,0.008,0.003,0.017,0.685,0,0.006,0.017
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.006,0.003,0.001,0.005,0,0.765,0,0.011
"P19","Votaría en blanco",0.005,0.033,0.014,0,0.051,0.018,0.664,0.039
"P19","No sabe",0.016,0.036,0.011,0.003,0.012,0.012,0.139,0.647
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.77,0.132,0.031,0.111,0.168,0.056,0.06,0.102
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.09,0.774,0.129,0.033,0.079,0.064,0.194,0.177
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.006,0.019,0.807,0.003,0,0.115,0.01,0.002
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.04,0.017,0.002,0.846,0.059,0.038,0.068,0.06
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.014,0.002,0,0.002,0.628,0.031,0,0.017
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.004,0.002,0.003,0,0,0.669,0,0.005
"P20","Votaría en blanco",0.031,0.031,0.021,0.001,0,0.008,0.531,0.023
"P20","No sabe",0.045,0.023,0.007,0.004,0.066,0.019,0.137,0.614
"P21","Lo votaría",0.584,0.191,0.027,0.136,0.197,0.022,0.154,0.141
"P21","Puede que lo vote",0.296,0.252,0.063,0.342,0.217,0.088,0.254,0.19
"P21","Nunca lo votaría",0.115,0.55,0.909,0.456,0.555,0.836,0.527,0.509
"P21","No sabe",0.005,0.007,0.001,0.066,0.031,0.054,0.065,0.16
"P22","Lo votaría",0.18,0.7,0.111,0.064,0.112,0.018,0.145,0.177
"P22","Puede que lo vote",0.183,0.171,0.331,0.259,0.258,0.182,0.367,0.291
"P22","Nunca lo votaría",0.633,0.123,0.558,0.668,0.606,0.744,0.437,0.405
"P22","No sabe",0.004,0.006,0,0.009,0.024,0.056,0.051,0.127
"P23","Lo votaría",0.593,0.175,0.046,0.109,0.131,0.02,0.135,0.066
"P23","Puede que lo vote",0.253,0.152,0.08,0.293,0.15,0.064,0.106,0.196
"P23","Nunca lo votaría",0.149,0.648,0.871,0.561,0.713,0.855,0.703,0.59
"P23","No sabe",0.005,0.025,0.003,0.037,0.006,0.061,0.056,0.148
"P24","Lo votaría",0.122,0.086,0.377,0.071,0.087,0.108,0.035,0.026
"P24","Puede que lo vote",0.095,0.225,0.285,0.139,0.119,0.314,0.193,0.195
"P24","Nunca lo votaría",0.78,0.682,0.338,0.78,0.794,0.566,0.758,0.723
"P24","No sabe",0.003,0.007,0,0.01,0,0.012,0.014,0.056
"P25","Muy buena",0.454,0.112,0.036,0.178,0.138,0.05,0.068,0.097
"P25","Buena",0.238,0.198,0.05,0.148,0.156,0.146,0.162,0.118
"P25","Ni buena ni mala",0.256,0.388,0.195,0.401,0.459,0.212,0.338,0.396
"P25","Mala",0.015,0.148,0.242,0.139,0.169,0.31,0.075,0.093
"P25","Muy mala",0.013,0.103,0.456,0.076,0.064,0.261,0.309,0.165
"P25","No sabe",0.024,0.051,0.021,0.058,0.014,0.021,0.048,0.131
"P26","Muy buena",0.47,0.072,0.009,0.11,0.123,0.047,0.01,0.061
"P26","Buena",0.335,0.153,0.029,0.184,0.136,0.102,0.122,0.103
"P26","Ni buena ni mala",0.136,0.215,0.095,0.317,0.284,0.057,0.278,0.298
"P26","Mala",0.035,0.261,0.198,0.224,0.354,0.215,0.133,0.211
"P26","Muy mala",0.017,0.272,0.666,0.135,0.103,0.574,0.415,0.237
"P26","No sabe",0.007,0.027,0.003,0.03,0,0.005,0.042,0.09
"P27","Muy buena",0.123,0.521,0.125,0.058,0.094,0.04,0.196,0.175
"P27","Buena",0.158,0.253,0.192,0.104,0.178,0.073,0.169,0.278
"P27","Ni buena ni mala",0.335,0.118,0.298,0.322,0.413,0.216,0.293,0.23
"P27","Mala",0.236,0.044,0.196,0.296,0.186,0.137,0.131,0.108
"P27","Muy mala",0.137,0.044,0.177,0.192,0.124,0.521,0.195,0.131
"P27","No sabe",0.011,0.02,0.012,0.028,0.005,0.013,0.016,0.078
"P28","Muy buena",0.139,0.119,0.047,0.107,0.457,0.005,0.117,0.037
"P28","Buena",0.154,0.095,0.073,0.094,0.195,0.106,0.159,0.224
"P28","Ni buena ni mala",0.386,0.454,0.276,0.323,0.263,0.257,0.181,0.356
"P28","Mala",0.091,0.075,0.169,0.201,0.053,0.154,0.202,0.119
"P28","Muy mala",0.087,0.083,0.303,0.127,0.032,0.329,0.177,0.077
"P28","No sabe",0.143,0.174,0.132,0.148,0,0.149,0.164,0.187
"P29","Muy buena",0.034,0.057,0.17,0.049,0.079,0.058,0.153,0.087
"P29","Buena",0.036,0.167,0.33,0.008,0.06,0.205,0.11,0.063
"P29","Ni buena ni mala",0.088,0.245,0.262,0.067,0.187,0.228,0.175,0.188
"P29","Mala",0.166,0.219,0.107,0.161,0.201,0.237,0.137,0.173
"P29","Muy mala",0.642,0.26,0.105,0.683,0.473,0.267,0.408,0.398
"P29","No sabe",0.034,0.052,0.026,0.032,0,0.005,0.017,0.091
"P30","Muy buena",0.023,0.208,0.761,0.015,0.094,0.304,0.112,0.071
"P30","Buena",0.03,0.119,0.1,0.017,0,0.177,0.129,0.126
"P30","Ni buena ni mala",0.038,0.11,0.077,0.042,0.093,0.14,0.082,0.142
"P30","Mala",0.128,0.17,0.042,0.122,0.18,0.097,0.038,0.152
"P30","Muy mala",0.771,0.366,0.02,0.797,0.633,0.277,0.622,0.489
"P30","No sabe",0.01,0.027,0,0.007,0,0.005,0.017,0.02
"P31","Muy buena",0.329,0.12,0.106,0.153,0.124,0.086,0.085,0.129
"P31","Buena",0.237,0.151,0.009,0.204,0.102,0.028,0.085,0.13
"P31","Ni buena ni mala",0.19,0.124,0.032,0.195,0.207,0.031,0.121,0.196
"P31","Mala",0.092,0.24,0.111,0.151,0.264,0.118,0.103,0.183
"P31","Muy mala",0.148,0.343,0.728,0.292,0.303,0.732,0.558,0.345
"P31","No sabe",0.004,0.022,0.014,0.005,0,0.005,0.048,0.017
"P32","Muy buena",0.196,0.104,0.006,0.091,0.127,0.067,0.154,0.034
"P32","Buena",0.319,0.181,0.024,0.084,0.151,0.006,0.064,0.173
"P32","Ni buena ni mala",0.302,0.258,0.06,0.288,0.284,0.081,0.183,0.293
"P32","Mala",0.093,0.202,0.212,0.235,0.244,0.15,0.139,0.161
"P32","Muy mala",0.073,0.213,0.685,0.273,0.181,0.69,0.43,0.29
"P32","No sabe",0.017,0.042,0.013,0.029,0.013,0.006,0.03,0.049
"P33","Muy buena",0.039,0.107,0.126,0.045,0.076,0.075,0.113,0.041
"P33","Buena",0.064,0.209,0.351,0.022,0.188,0.138,0.067,0.133
"P33","Ni buena ni mala",0.1,0.262,0.302,0.132,0.043,0.259,0.159,0.225
"P33","Mala",0.232,0.155,0.105,0.183,0.246,0.179,0.111,0.206
"P33","Muy mala",0.541,0.238,0.104,0.594,0.447,0.344,0.532,0.362
"P33","No sabe",0.024,0.029,0.012,0.024,0,0.005,0.018,0.033
"P34","Muy buena",0.461,0.165,0.032,0.204,0.24,0.033,0.056,0.132
"P34","Buena",0.216,0.129,0.039,0.278,0.189,0.077,0.112,0.102
"P34","Ni buena ni mala",0.107,0.205,0.056,0.197,0.114,0.078,0.258,0.27
"P34","Mala",0.089,0.186,0.129,0.15,0.22,0.061,0.136,0.125
"P34","Muy mala",0.109,0.295,0.744,0.161,0.237,0.746,0.42,0.343
"P34","No sabe",0.018,0.02,0,0.01,0,0.005,0.018,0.028
"P35","Muy buena",0.161,0.468,0.052,0.119,0.154,0.035,0.104,0.206
"P35","Buena",0.222,0.261,0.108,0.177,0.184,0.01,0.078,0.184
"P35","Ni buena ni mala",0.271,0.138,0.156,0.261,0.294,0.168,0.171,0.279
"P35","Mala",0.174,0.075,0.282,0.182,0.22,0.251,0.28,0.107
"P35","Muy mala",0.159,0.049,0.402,0.227,0.148,0.53,0.348,0.164
"P35","No sabe",0.013,0.009,0,0.034,0,0.006,0.019,0.06
"P36","Muy buena",0.191,0.15,0.021,0.531,0.112,0.019,0.123,0.178
"P36","Buena",0.16,0.136,0.008,0.155,0.107,0.015,0.05,0.153
"P36","Ni buena ni mala",0.327,0.26,0.072,0.214,0.329,0.037,0.248,0.201
"P36","Mala",0.162,0.176,0.127,0.051,0.169,0.037,0.191,0.125
"P36","Muy mala",0.131,0.248,0.772,0.025,0.179,0.887,0.363,0.261
"P36","No sabe",0.029,0.03,0,0.024,0.104,0.005,0.025,0.082
"P37","Muy buena",0.175,0.061,0.017,0.091,0.083,0.118,0.023,0.067
"P37","Buena",0.277,0.128,0.021,0.117,0.176,0.056,0.053,0.167
"P37","Ni buena ni mala",0.324,0.407,0.209,0.321,0.44,0.208,0.311,0.294
"P37","Mala",0.1,0.169,0.291,0.135,0.13,0.101,0.229,0.132
"P37","Muy mala",0.088,0.132,0.439,0.276,0.102,0.476,0.319,0.201
"P37","No sabe",0.036,0.103,0.023,0.06,0.069,0.041,0.065,0.139
"P38","Muy buena",0.108,0.026,0.017,0.024,0.073,0.058,0.015,0.07
"P38","Buena",0.21,0.099,0.024,0.043,0.189,0.036,0.032,0.06
"P38","Ni buena ni mala",0.379,0.383,0.168,0.297,0.295,0.233,0.317,0.28
"P38","Mala",0.11,0.137,0.17,0.153,0.162,0.077,0.263,0.143
"P38","Muy mala",0.096,0.15,0.587,0.335,0.08,0.527,0.27,0.22
"P38","No sabe",0.097,0.205,0.034,0.148,0.201,0.069,0.103,0.227
"P39","Muy buena",0.14,0.056,0.025,0.032,0.169,0.141,0.036,0.048
"P39","Buena",0.196,0.127,0.052,0.099,0.139,0.049,0.047,0.135
"P39","Ni buena ni mala",0.384,0.415,0.289,0.289,0.314,0.278,0.366,0.329
"P39","Mala",0.129,0.103,0.229,0.162,0.169,0.095,0.216,0.124
"P39","Muy mala",0.079,0.104,0.3,0.305,0.077,0.367,0.168,0.152
"P39","No sabe",0.072,0.195,0.105,0.113,0.132,0.07,0.167,0.212
