"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros"
"P29","Lo votaría",0.28,0.71,0.188,0.024,0.082,0.063,0,0.045
"P29","Puede que lo vote",0.215,0.107,0.229,0.032,0.028,0.011,0.045,0.167
"P29","Nunca lo votaría",0.345,0.171,0.554,0.899,0.879,0.892,0.792,0.36
"P29","No sabe",0.16,0.012,0.029,0.045,0.011,0.034,0.163,0.428
"P30","Lo votaría",0.246,0.443,0.631,0.019,0.019,0.078,0.101,0.208
"P30","Puede que lo vote",0.16,0.303,0.142,0.037,0.068,0.026,0,0.025
"P30","Nunca lo votaría",0.503,0.227,0.201,0.889,0.89,0.89,0.745,0.328
"P30","No sabe",0.091,0.027,0.026,0.055,0.023,0.006,0.154,0.439
"P31","Lo votaría",0.09,0.233,0.123,0.733,0.18,0.109,0.033,0.074
"P31","Puede que lo vote",0.07,0.143,0.117,0.168,0.474,0.267,0.023,0.082
"P31","Nunca lo votaría",0.766,0.615,0.739,0.096,0.305,0.584,0.783,0.635
"P31","No sabe",0.074,0.009,0.021,0.003,0.041,0.04,0.161,0.209
"P32","Lo votaría",0.068,0.273,0.061,0.465,0.755,0.082,0,0
"P32","Puede que lo vote",0.102,0.052,0.102,0.352,0.139,0.152,0.09,0.159
"P32","Nunca lo votaría",0.748,0.649,0.792,0.146,0.094,0.717,0.809,0.37
"P32","No sabe",0.082,0.026,0.045,0.037,0.012,0.049,0.101,0.471
"P33","Lo votaría",0.073,0.175,0.051,0.125,0.114,0.74,0.016,0.07
"P33","Puede que lo vote",0.061,0.059,0.138,0.238,0.11,0.048,0.114,0.092
"P33","Nunca lo votaría",0.782,0.759,0.804,0.572,0.701,0.208,0.656,0.339
"P33","No sabe",0.084,0.007,0.007,0.065,0.075,0.004,0.214,0.499
"P34","Si",0.382,0.307,0.462,0.395,0.245,0.451,0.439,0.043
"P34","No",0.618,0.693,0.538,0.605,0.755,0.549,0.561,0.957
