"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P30","Nunca lo votaría",0.673,0.502,0.629
"P30","No sabe",0.034,0.256,0.059
"P31","Lo votaría",0.231,0.259,0.117
"P31","Puede que lo vote",0.201,0.118,0.248
"P31","Nunca lo votaría",0.539,0.439,0.598
"P31","No sabe",0.029,0.184,0.037
"P32","Lo votaría",0.256,0.145,0.304
"P32","Puede que lo vote",0.16,0.178,0.145
"P32","Nunca lo votaría",0.543,0.441,0.507
"P32","No sabe",0.041,0.236,0.044
"P33","Lo votaría",0.232,0.154,0.049
"P33","Puede que lo vote",0.112,0.114,0.085
"P33","Nunca lo votaría",0.611,0.489,0.838
"P33","No sabe",0.045,0.243,0.028
"P34","Si",0.391,0.344,0.171
"P34","No",0.609,0.656,0.829
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.247,0.232,0.113
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.138,0.069,0.198
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.19,0.205,0.105
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.143,0.059,0.357
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.189,0.168,0.2
"PRESIDENTE","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.018,0.058,0.011
"PRESIDENTE","Otros",0.046,0.109,0.016
"PRESIDENTE","No sabe",0.029,0.1,0
"INTENDENTE","Malena Galmarini a intendenta por Unión por la Patria",0.238,0.154,0.188
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria",0.294,0.304,0.174
"INTENDENTE","Claudio Cufré a intendente por Juntos por el Cambio",0.088,0.109,0.033
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0.208,0.168,0.421
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0.119,0.068,0.084
"INTENDENTE","Alguno de los candidatos a intendente de la Izquierda",0.015,0.023,0
"INTENDENTE","Otros",0.016,0.057,0.042
"INTENDENTE","No sabe",0.022,0.117,0.058
"INTENDENTE_CORTA_1","Malena Galmarini a intendenta por Unión por la Patria",0.17,0.167,0.351
"INTENDENTE_CORTA_1","Julio Zamora a intendente por Unión por la Patria",0.072,0.007,0
"INTENDENTE_CORTA_1","Claudio Cufré a intendente por Juntos por el Cambio",0.323,0.133,0.419
"INTENDENTE_CORTA_1","Segundo Cernadas a intendente por Juntos por el Cambio",0.132,0.025,0.092
"INTENDENTE_CORTA_1","Claudio Baumgarten a intendente por la Libertad Avanza",0.179,0.396,0
"INTENDENTE_CORTA_1","Alguno de los candidatos a intendente de la Izquierda",0.004,0.134,0
"INTENDENTE_CORTA_1","Otros",0.085,0.02,0.078
"INTENDENTE_CORTA_1","No sabe",0.035,0.118,0.06
"INTENDENTE_CORTA_2","Malena Galmarini a intendenta por Unión por la Patria",0.088,0.075,0
"INTENDENTE_CORTA_2","Julio Zamora a intendente por Unión por la Patria",0.439,0.475,0.247
"INTENDENTE_CORTA_2","Claudio Cufré a intendente por Juntos por el Cambio",0.091,0.101,0.06
"INTENDENTE_CORTA_2","Segundo Cernadas a intendente por Juntos por el Cambio",0.316,0.189,0.335
"INTENDENTE_CORTA_2","Claudio Baumgarten a intendente por la Libertad Avanza",0.026,0.091,0.147
"INTENDENTE_CORTA_2","Alguno de los candidatos a intendente de la Izquierda",0.008,0,0
"INTENDENTE_CORTA_2","Otros",0.007,0,0.075
"INTENDENTE_CORTA_2","No sabe",0.025,0.069,0.136
