"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza","Alguno de los candidatos a presidente y gobernador de la Izquierda","Otros","No sabe"
"P31","Lo votaría",0.059,0.154,0.703,0.164,0.1,0.036,0.207,0
"P31","Puede que lo vote",0.107,0.05,0.163,0.462,0.28,0.026,0.053,0.082
"P31","Nunca lo votaría",0.81,0.776,0.11,0.326,0.582,0.938,0.632,0.389
"P31","No sabe",0.024,0.02,0.024,0.048,0.038,0,0.108,0.529
"P32","Lo votaría",0.053,0.154,0.44,0.717,0.077,0,0.113,0.008
"P32","Puede que lo vote",0.073,0.062,0.369,0.152,0.161,0.047,0.061,0.022
"P32","Nunca lo votaría",0.838,0.76,0.155,0.082,0.713,0.953,0.438,0.435
"P32","No sabe",0.036,0.024,0.036,0.049,0.049,0,0.388,0.535
"P33","Lo votaría",0.057,0.063,0.106,0.089,0.78,0.018,0.141,0.008
"P33","Puede que lo vote",0.042,0.126,0.245,0.139,0.028,0.054,0.012,0.201
"P33","Nunca lo votaría",0.873,0.811,0.599,0.661,0.182,0.768,0.482,0.241
"P33","No sabe",0.028,0,0.05,0.111,0.01,0.16,0.365,0.55
"P34","Si",0.417,0.366,0.402,0.25,0.46,0.59,0.144,0.07
"P34","No",0.583,0.634,0.598,0.75,0.54,0.41,0.856,0.93
"INTENDENTE","Malena Galmarini a intendenta por Unión por la Patria",0.694,0.247,0.043,0.045,0.027,0,0.133,0.009
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria",0.21,0.692,0.239,0.24,0.189,0.292,0.275,0.385
"INTENDENTE","Claudio Cufré a intendente por Juntos por el Cambio",0.033,0.004,0.291,0.055,0.07,0.071,0,0
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0.025,0.04,0.378,0.646,0.145,0.054,0.115,0.017
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0.019,0.002,0.035,0.012,0.549,0,0,0.012
"INTENDENTE","Alguno de los candidatos a intendente de la Izquierda",0.001,0.011,0,0.001,0,0.583,0,0
"INTENDENTE","Otros",0.006,0,0.007,0,0.007,0,0.323,0.012
"INTENDENTE","No sabe",0.012,0.004,0.007,0.001,0.013,0,0.154,0.565
"INTENDENTE_CORTA_1","Malena Galmarini a intendenta por Unión por la Patria",0.551,0.311,0.05,0,0.134,0,0.154,0.523
"INTENDENTE_CORTA_1","Julio Zamora a intendente por Unión por la Patria",0.082,0.079,0.039,0.001,0.023,0,0.025,0
"INTENDENTE_CORTA_1","Claudio Cufré a intendente por Juntos por el Cambio",0.071,0.113,0.737,0.131,0.046,0.505,0.028,0
"INTENDENTE_CORTA_1","Segundo Cernadas a intendente por Juntos por el Cambio",0.023,0,0.029,0.67,0.015,0,0.026,0
"INTENDENTE_CORTA_1","Claudio Baumgarten a intendente por la Libertad Avanza",0.102,0.102,0.092,0.094,0.739,0.201,0,0.118
"INTENDENTE_CORTA_1","Alguno de los candidatos a intendente de la Izquierda",0.01,0.038,0.015,0,0.023,0,0.236,0.025
"INTENDENTE_CORTA_1","Otros",0.113,0.191,0.03,0.006,0.02,0,0.531,0
"INTENDENTE_CORTA_1","No sabe",0.048,0.166,0.008,0.098,0,0.294,0,0.334
"INTENDENTE_CORTA_2","Malena Galmarini a intendenta por Unión por la Patria",0.119,0.189,0.051,0.106,0.066,0,0.1,0
"INTENDENTE_CORTA_2","Julio Zamora a intendente por Unión por la Patria",0.579,0.455,0.371,0.565,0.373,0.201,0.118,0.899
"INTENDENTE_CORTA_2","Claudio Cufré a intendente por Juntos por el Cambio",0.135,0.026,0.041,0.134,0.163,0.288,0,0
"INTENDENTE_CORTA_2","Segundo Cernadas a intendente por Juntos por el Cambio",0.061,0.213,0.48,0.156,0.326,0.511,0.274,0.101
"INTENDENTE_CORTA_2","Claudio Baumgarten a intendente por la Libertad Avanza",0.066,0.014,0.045,0.03,0.026,0,0,0
"INTENDENTE_CORTA_2","Alguno de los candidatos a intendente de la Izquierda",0.006,0.079,0,0.004,0,0,0,0
"INTENDENTE_CORTA_2","Otros",0.007,0,0.01,0,0,0,0.064,0
"INTENDENTE_CORTA_2","No sabe",0.027,0.024,0.002,0.005,0.046,0,0.444,0
