"var","categoria","Malena Galmarini a intendenta por Unión por la Patria","Julio Zamora a intendente por Unión por la Patria","Claudio Cufré a intendente por Juntos por el Cambio","Segundo Cernadas a intendente por Juntos por el Cambio","Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a intendente de la Izquierda","Otros"
"P31","Puede que lo vote",0.211,0.154,0.312,0.28,0.26,0,0.438
"P31","Nunca lo votaría",0.543,0.443,0.206,0.243,0.194,1,0.313
"P31","No sabe",0.061,0.087,0,0.03,0.046,0,0.152
"P32","Lo votaría",0.065,0.2,0.301,0.362,0.274,0,0.098
"P32","Puede que lo vote",0.013,0.229,0.053,0.448,0.524,0,0.538
"P32","Nunca lo votaría",0.814,0.462,0.646,0.152,0.137,1,0.21
"P32","No sabe",0.108,0.109,0,0.038,0.065,0,0.154
"P33","Lo votaría",0.341,0.108,0.517,0.198,0.107,0,0
"P33","Puede que lo vote",0.047,0.131,0.051,0.241,0.497,0,0.124
"P33","Nunca lo votaría",0.612,0.641,0.417,0.503,0.329,1,0.876
"P33","No sabe",0,0.12,0.015,0.058,0.067,0,0
"P34","Si",0.333,0.36,0.344,0.385,0.676,0,0.708
"P34","No",0.667,0.64,0.656,0.615,0.324,1,0.292
