"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros","No sabe"
"P15","Algo seguro",0.064,0.076,0.011,0.204,0.083,0.198
"P15","Para nada seguro",0.045,0.047,0.068,0.161,0.131,0.319
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.595,0.052,0.094,0.144,0.039,0.157
"P17","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.168,0.046,0.082,0.44,0.233,0.074
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.089,0.634,0.071,0.04,0.155,0.174
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.018,0.131,0.061,0.091,0.274,0.252
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora  por la Libertad Avanza",0.059,0.092,0.668,0.05,0.107,0.084
"P17","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.005,0.025,0.005,0.104,0.011,0
"P17","Otros",0.045,0.02,0.007,0.099,0.17,0.071
"P17","No sabe",0.021,0,0.012,0.032,0.011,0.188
"P20","Malena Galmarini a intendenta por Unión por la Patria",0.353,0.066,0.068,0.223,0.031,0.082
"P20","Julio Zamora a intendente por Unión por la Patria",0.522,0.359,0.239,0.397,0.659,0.65
"P20","Claudio Cufré a intendente por Juntos por el Cambio",0.012,0.156,0.13,0.091,0.013,0
"P20","Segundo Cernadas a intendente por Juntos por el Cambio",0.058,0.348,0.32,0.15,0.234,0.069
"P20","Claudio Baumgarten a intendente por la Libertad Avanza",0.036,0.052,0.224,0,0.007,0.013
"P20","Alguno de los candidatos a intendente de la Izquierda",0.004,0.001,0,0.037,0.017,0
"P20","Otros",0,0.011,0.007,0.06,0.037,0
"P20","No sabe",0.015,0.007,0.012,0.042,0.002,0.186
"P23","Totalmente seguro",0.675,0.726,0.788,0.465,0.599,0.368
"P23","Bastante seguro",0.17,0.231,0.117,0.281,0.224,0.225
"P23","Algo seguro",0.112,0.026,0.021,0.018,0.123,0.095
"P23","Para nada seguro",0.043,0.017,0.074,0.236,0.054,0.312
"P27","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.761,0.178,0.155,0.137,0.014,0.031
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.138,0.537,0.13,0.189,0.307,0.083
"P27","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.05,0.115,0.652,0.015,0.034,0.087
"P27","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.019,0.01,0,0.557,0.015,0
"P27","Otros",0.021,0.127,0.019,0.081,0.536,0.315
"P27","No sabe",0.011,0.033,0.044,0.021,0.094,0.484
"P28","Lo votaría",0.723,0.082,0.167,0.069,0.028,0.026
"P28","Puede que lo vote",0.142,0.047,0.06,0.319,0.129,0.14
"P28","Nunca lo votaría",0.116,0.862,0.76,0.474,0.706,0.508
"P28","No sabe",0.019,0.009,0.013,0.138,0.137,0.326
"P29","Lo votaría",0.308,0.082,0.091,0.265,0.075,0.084
"P29","Puede que lo vote",0.261,0.009,0.062,0.214,0.069,0.012
"P29","Nunca lo votaría",0.318,0.902,0.813,0.489,0.756,0.66
"P29","No sabe",0.113,0.007,0.034,0.032,0.1,0.244
"P30","Lo votaría",0.246,0.126,0.109,0.267,0.292,0.245
"P30","Puede que lo vote",0.215,0.014,0.025,0.238,0.102,0.008
"P30","Nunca lo votaría",0.482,0.853,0.865,0.462,0.504,0.462
"P30","No sabe",0.057,0.007,0.001,0.033,0.102,0.285
"P31","Lo votaría",0.063,0.652,0.082,0.02,0.153,0.012
"P31","Puede que lo vote",0.093,0.207,0.296,0.15,0.304,0.108
"P31","Nunca lo votaría",0.822,0.135,0.578,0.751,0.48,0.677
"P31","No sabe",0.022,0.006,0.044,0.079,0.063,0.203
"P32","Lo votaría",0.024,0.532,0.146,0.02,0.394,0.151
"P32","Puede que lo vote",0.083,0.283,0.136,0.056,0.111,0.207
"P32","Nunca lo votaría",0.861,0.159,0.673,0.852,0.428,0.364
"P32","No sabe",0.032,0.026,0.045,0.072,0.067,0.278
"P33","Lo votaría",0.021,0.207,0.724,0,0.092,0.115
"P33","Puede que lo vote",0.051,0.224,0.078,0.051,0.068,0.103
"P33","Nunca lo votaría",0.895,0.543,0.194,0.928,0.671,0.522
"P33","No sabe",0.033,0.026,0.004,0.021,0.169,0.26
"P34","Si",0.382,0.357,0.523,0.337,0.353,0.196
"P34","No",0.618,0.643,0.477,0.663,0.647,0.804
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.715,0.035,0.1,0.113,0.025,0.098
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.127,0.068,0.081,0.294,0.218,0.174
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.052,0.59,0.046,0.023,0.118,0.106
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.017,0.193,0.08,0.106,0.347,0.206
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.046,0.077,0.675,0.026,0.073,0.149
"PRESIDENTE","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.011,0.02,0.005,0.36,0.008,0
"PRESIDENTE","Otros",0.017,0.017,0.006,0.056,0.166,0.1
"PRESIDENTE","No sabe",0.015,0,0.007,0.022,0.045,0.167
"INTENDENTE","Malena Galmarini a intendenta por Unión por la Patria",0.644,0.082,0.088,0.161,0.026,0.049
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria",0.243,0.252,0.155,0.275,0.503,0.475
"INTENDENTE","Claudio Cufré a intendente por Juntos por el Cambio",0.017,0.231,0.066,0.073,0.011,0.011
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0.035,0.362,0.217,0.124,0.331,0.114
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0.041,0.052,0.461,0,0.006,0.113
"INTENDENTE","Alguno de los candidatos a intendente de la Izquierda",0.009,0.003,0.002,0.312,0.01,0
"INTENDENTE","Otros",0,0.013,0.006,0.031,0.075,0.064
"INTENDENTE","No sabe",0.011,0.005,0.005,0.024,0.038,0.174
"INTENDENTE_CORTA_1","Malena Galmarini a intendenta por Unión por la Patria",0.565,0.055,0.047,0.013,0.081,0.203
"INTENDENTE_CORTA_1","Julio Zamora a intendente por Unión por la Patria",0.016,0.061,0.025,0,0.02,0.113
"INTENDENTE_CORTA_1","Claudio Cufré a intendente por Juntos por el Cambio",0.061,0.633,0.12,0.036,0.352,0
"INTENDENTE_CORTA_1","Segundo Cernadas a intendente por Juntos por el Cambio",0.015,0.114,0.022,0.152,0.214,0.299
"INTENDENTE_CORTA_1","Claudio Baumgarten a intendente por la Libertad Avanza",0.194,0.109,0.743,0.023,0.168,0
"INTENDENTE_CORTA_1","Alguno de los candidatos a intendente de la Izquierda",0,0,0,0.381,0,0.211
"INTENDENTE_CORTA_1","Otros",0.037,0.02,0.043,0.066,0.128,0.009
"INTENDENTE_CORTA_1","No sabe",0.112,0.008,0,0.329,0.037,0.165
"INTENDENTE_CORTA_2","Malena Galmarini a intendenta por Unión por la Patria",0.067,0.03,0.138,0.329,0.056,0.113
"INTENDENTE_CORTA_2","Julio Zamora a intendente por Unión por la Patria",0.71,0.412,0.245,0.149,0.392,0.623
"INTENDENTE_CORTA_2","Claudio Cufré a intendente por Juntos por el Cambio",0.016,0.128,0.122,0.152,0.012,0
"INTENDENTE_CORTA_2","Segundo Cernadas a intendente por Juntos por el Cambio",0.114,0.369,0.403,0.37,0.461,0.079
"INTENDENTE_CORTA_2","Claudio Baumgarten a intendente por la Libertad Avanza",0.068,0.038,0.068,0,0.019,0.017
"INTENDENTE_CORTA_2","Alguno de los candidatos a intendente de la Izquierda",0.006,0.001,0,0,0.04,0
"INTENDENTE_CORTA_2","Otros",0,0.013,0.008,0,0.014,0
"INTENDENTE_CORTA_2","No sabe",0.019,0.009,0.016,0,0.006,0.168
