"var","categoria","Malena Galmarini a intendenta por Unión por la Patria","Julio Zamora a intendente por Unión por la Patria","Claudio Cufré a intendente por Juntos por el Cambio","Segundo Cernadas a intendente por Juntos por el Cambio","Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a intendente de la Izquierda","Otros","No sabe"
"P33","Puede que lo vote",0.077,0.126,0.242,0.281,0.069,0.301,0.158,0.059
"P33","Nunca lo votaría",0.76,0.808,0.576,0.697,0.241,0.483,0.714,0.692
"P33","No sabe",0.143,0,0.081,0.012,0.007,0.216,0,0.249
"P34","Si",0.425,0.447,0.427,0.214,0.463,0.302,0.089,0.071
"P34","No",0.575,0.553,0.573,0.786,0.537,0.698,0.911,0.929
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.565,0.392,0.044,0.042,0.094,0.08,0.3,0.202
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.112,0.133,0.025,0,0.033,0.104,0.178,0.245
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.093,0.34,0.835,0.096,0.153,0.207,0.145,0.065
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0,0.003,0.056,0.827,0.059,0,0.012,0.282
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.129,0.105,0.027,0.025,0.643,0.173,0.051,0
"PRESIDENTE","Alguno de los candidatos a presidente y gobernador de la Izquierda",0,0,0.009,0,0.005,0,0,0.035
"PRESIDENTE","Otros",0.035,0.027,0.004,0.01,0,0.411,0.314,0
"PRESIDENTE","No sabe",0.066,0,0,0,0.013,0.025,0,0.171
"INTENDENTE","Malena Galmarini a intendenta por Unión por la Patria",0,0.199,0.02,0.149,0.159,0,0.067,0.285
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria",0.6,0,0.399,0.599,0.31,0.24,0.605,0.614
"INTENDENTE","Claudio Cufré a intendente por Juntos por el Cambio",0.102,0.395,0,0.179,0.177,0,0,0.031
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0.14,0.153,0.512,0,0.35,0.59,0.076,0.07
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0.082,0.084,0.045,0.038,0,0,0.053,0
"INTENDENTE","Alguno de los candidatos a intendente de la Izquierda",0.034,0.014,0,0,0,0,0,0
"INTENDENTE","Otros",0,0.067,0.011,0.013,0,0,0,0
"INTENDENTE","No sabe",0.042,0.088,0.013,0.022,0.004,0.17,0.199,0
"INTENDENTE_CORTA_2","Malena Galmarini a intendenta por Unión por la Patria",0,0.199,0.02,0.149,0.159,0,0.067,0.285
"INTENDENTE_CORTA_2","Julio Zamora a intendente por Unión por la Patria",0.6,0,0.399,0.599,0.31,0.24,0.605,0.614
"INTENDENTE_CORTA_2","Claudio Cufré a intendente por Juntos por el Cambio",0.102,0.395,0,0.179,0.177,0,0,0.031
"INTENDENTE_CORTA_2","Segundo Cernadas a intendente por Juntos por el Cambio",0.14,0.153,0.512,0,0.35,0.59,0.076,0.07
"INTENDENTE_CORTA_2","Claudio Baumgarten a intendente por la Libertad Avanza",0.082,0.084,0.045,0.038,0,0,0.053,0
"INTENDENTE_CORTA_2","Alguno de los candidatos a intendente de la Izquierda",0.034,0.014,0,0,0,0,0,0
"INTENDENTE_CORTA_2","Otros",0,0.067,0.011,0.013,0,0,0,0
"INTENDENTE_CORTA_2","No sabe",0.042,0.088,0.013,0.022,0.004,0.17,0.199,0
