"var","categoria","Malena Galmarini a intendenta por Unión por la Patria","Julio Zamora a intendente por Unión por la Patria","Claudio Cufré a intendente por Juntos por el Cambio","Segundo Cernadas a intendente por Juntos por el Cambio","Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a intendente de la Izquierda","Otros"
"P27","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.647,0.185,0.068,0.073,0.25,0,0
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.152,0.178,0.552,0.701,0.045,0,0.167
"P27","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.011,0.099,0.098,0.024,0.615,0,0.195
"P27","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0.308,0.003,0,0.037,0.393,0
"P27","Otros",0.091,0.014,0.228,0.061,0.03,0.201,0.424
"P27","No sabe",0.096,0.216,0.051,0.141,0.023,0.406,0.214
"P28","Lo votaría",0.465,0.128,0.018,0,0.134,0.101,0.087
"P28","Puede que lo vote",0.251,0.158,0.062,0.263,0.035,0.101,0.249
"P28","Nunca lo votaría",0.235,0.714,0.863,0.694,0.787,0.414,0.618
"P28","No sabe",0.049,0,0.057,0.043,0.044,0.384,0.046
"P29","Lo votaría",0.144,0.123,0.025,0.136,0.13,0,0.086
"P29","Puede que lo vote",0.202,0.091,0.037,0.063,0.009,0.104,0.181
"P29","Nunca lo votaría",0.453,0.786,0.884,0.79,0.768,0.483,0.552
"P29","No sabe",0.201,0,0.054,0.011,0.093,0.413,0.181
"P30","Lo votaría",0.305,0.433,0.028,0.064,0.16,0.229,0.312
"P30","Puede que lo vote",0.236,0.017,0.039,0.221,0.076,0,0
"P30","Nunca lo votaría",0.367,0.55,0.87,0.68,0.751,0.377,0.506
"P30","No sabe",0.092,0,0.063,0.035,0.013,0.394,0.182
"P31","Lo votaría",0.127,0.419,0.703,0.12,0.229,0,0.124
"P31","Puede que lo vote",0.019,0.071,0.198,0.504,0.328,0,0.138
"P31","Nunca lo votaría",0.729,0.423,0.095,0.321,0.44,0.484,0.554
"P31","No sabe",0.125,0.087,0.004,0.055,0.003,0.516,0.184
"P32","Lo votaría",0.082,0.084,0.43,0.369,0.149,0,0
"P32","Puede que lo vote",0.227,0.159,0.4,0.336,0.129,0.311,0.264
"P32","Nunca lo votaría",0.519,0.628,0.139,0.259,0.705,0.345,0.548
"P32","No sabe",0.172,0.129,0.031,0.036,0.017,0.344,0.188
"P33","Lo votaría",0.018,0.057,0.101,0.009,0.672,0,0.104
"P33","Puede que lo vote",0.088,0.11,0.24,0.241,0.077,0.305,0.13
"P33","Nunca lo votaría",0.719,0.833,0.577,0.74,0.241,0.483,0.579
"P33","No sabe",0.175,0,0.082,0.01,0.01,0.212,0.187
"P34","Si",0.4,0.431,0.426,0.181,0.461,0.306,0.061
"P34","No",0.6,0.569,0.574,0.819,0.539,0.694,0.939
