"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.081,0.08,0.05,0.127,0.131,0.165
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.032,0.678,0.081,0.069,0.085,0.056
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.123,0.193,0.082,0.179,0.071,0.162
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.007,0.687,0.435,0.187,0.056
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.007,0.001,0.136,0.023,0.132
"P24","En blanco",0.004,0.007,0.005,0.024,0.191,0.045
"P24","No sabe",0.025,0.008,0.005,0,0.148,0.22
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.741,0.017,0.056,0.162,0.123,0.084
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.031,0.646,0.026,0.036,0.094,0.102
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.095,0.254,0.075,0.047,0.16,0.124
"P25","Julio Zamora a intendente por un partido vecinal",0.078,0.047,0.091,0.197,0.195,0.241
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.02,0.015,0.739,0.411,0.194,0.032
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.003,0.002,0.005,0.127,0.049,0.114
"P25","En blanco",0.001,0.007,0.002,0.004,0.137,0.04
"P25","No sabe",0.031,0.012,0.006,0.016,0.048,0.263
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.839,0.03,0.071,0.11,0.283,0.165
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.035,0.641,0.033,0.03,0.143,0.248
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.048,0.169,0.646,0.273,0.082,0.076
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.028,0.045,0.317,0.081,0.019
"P26","En blanco",0.008,0.055,0.165,0.212,0.366,0.045
"P26","No sabe",0.059,0.077,0.04,0.058,0.045,0.447
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.786,0.035,0.029,0.103,0.139,0.148
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.031,0.657,0.036,0.025,0.207,0.254
"P27","Julio Zamora a intendente por un partido vecinal",0.114,0.08,0.216,0.3,0.15,0.192
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0,0.104,0.641,0.338,0.075,0.024
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.011,0.044,0.234,0.256,0.027
"P27","En blanco",0.02,0.039,0.025,0,0.173,0.214
"P27","No sabe",0.031,0.074,0.009,0,0,0.141
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.886,0.033,0.051,0.118,0.167,0.237
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.016,0.862,0.056,0.023,0.153,0.2
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.038,0.731,0.437,0.098,0.036
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.021,0.081,0.317,0.053,0.004
"P28","En blanco",0.029,0.019,0.051,0.087,0.507,0.045
"P28","No sabe",0.057,0.027,0.03,0.018,0.022,0.478
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.806,0.026,0.024,0.163,0.304,0.2
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.038,0.827,0.085,0.186,0.049,0.125
"P29","Julio Zamora a intendente por un partido vecinal",0.084,0.064,0.263,0.258,0.147,0.267
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.001,0.043,0.578,0.281,0.148,0.013
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.033,0.012,0.022,0.1,0.208,0.057
"P29","En blanco",0.01,0.014,0.009,0.012,0.136,0.155
"P29","No sabe",0.028,0.014,0.019,0,0.008,0.183
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.811,0.006,0.059,0.101,0.156,0.125
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.023,0.458,0.029,0.095,0.041,0.144
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.04,0.422,0.053,0.144,0.207,0.187
"P30","Julio Zamora a intendente por un partido vecinal",0.093,0.054,0.138,0.234,0.184,0.277
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.011,0.03,0.7,0.325,0.187,0.017
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0.001,0.073,0.028,0.049
"P30","En blanco",0,0.012,0.011,0,0.175,0.033
"P30","No sabe",0.022,0.018,0.009,0.028,0.022,0.168
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.81,0.057,0.039,0.23,0.097,0.169
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.025,0.694,0.07,0.114,0.118,0.259
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.073,0.148,0.681,0.161,0.166,0.031
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.017,0.012,0.058,0.13,0.03,0.028
"P31","En blanco",0.023,0.024,0.114,0.343,0.459,0.021
"P31","No sabe",0.052,0.065,0.038,0.022,0.13,0.492
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.786,0.037,0.015,0.1,0.101,0.153
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.02,0.705,0.097,0.104,0.168,0.218
"P32","Julio Zamora a intendente por un partido vecinal",0.13,0.08,0.306,0.14,0.368,0.255
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.012,0.077,0.516,0.414,0.072,0.01
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.02,0.015,0.058,0.229,0.077,0.027
"P32","En blanco",0.019,0.045,0.006,0,0.207,0.127
"P32","No sabe",0.013,0.041,0.002,0.013,0.007,0.21
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.884,0.037,0.048,0.112,0.164,0.169
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.029,0.774,0.033,0.065,0.175,0.122
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.023,0.074,0.709,0.243,0.064,0.07
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.004,0.005,0.122,0.363,0,0
"P33","En blanco",0.016,0.032,0.059,0.151,0.311,0.07
"P33","No sabe",0.044,0.078,0.029,0.066,0.286,0.569
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.806,0.042,0.049,0.104,0.287,0.115
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.023,0.779,0.021,0.062,0.058,0.11
"P34","Julio Zamora a intendente por un partido vecinal",0.093,0.064,0.25,0.198,0.225,0.232
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.004,0.04,0.609,0.187,0.034,0.032
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.021,0.008,0.023,0.449,0.043,0.027
"P34","En blanco",0.052,0.03,0.02,0,0.353,0.143
"P34","No sabe",0.001,0.037,0.028,0,0,0.341
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.713,0.042,0.064,0.081,0.142,0.062
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.126,0.123,0.115,0.142,0.131,0.198
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.03,0.444,0.018,0.1,0.035,0.115
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.069,0.326,0.089,0.07,0.31,0.217
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.02,0.033,0.667,0.457,0.085,0.051
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.022,0,0.008,0.143,0.032,0.033
"P35","En blanco",0.008,0.005,0.028,0,0.176,0.068
"P35","No sabe",0.012,0.027,0.011,0.007,0.089,0.256
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.801,0.028,0.084,0.108,0.115,0.056
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.025,0.41,0.011,0.037,0.145,0.137
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.033,0.424,0.052,0.07,0.042,0.211
"P36","Julio Zamora a intendente por un partido vecinal",0.093,0.056,0.143,0.116,0.244,0.257
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.023,0.035,0.662,0.496,0.358,0.006
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.022,0.006,0,0.142,0.018,0.005
"P36","En blanco",0,0.002,0.036,0,0.078,0.095
"P36","No sabe",0.003,0.039,0.012,0.031,0,0.233
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.86,0.055,0.016,0.118,0.148,0.163
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.024,0.675,0.056,0.06,0.169,0.216
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.058,0.147,0.648,0.196,0.037,0.12
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0.004,0.107,0.225,0,0.037
"P37","En blanco",0.024,0.037,0.123,0.31,0.6,0.034
"P37","No sabe",0.029,0.082,0.05,0.091,0.046,0.43
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.854,0.047,0.016,0.057,0.247,0.129
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.036,0.718,0.074,0.101,0.174,0.193
"P38","Julio Zamora a intendente por un partido vecinal",0.078,0.059,0.245,0.129,0.324,0.258
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.001,0.063,0.591,0.352,0,0.042
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.016,0.012,0.047,0.356,0.21,0.024
"P38","En blanco",0.015,0.041,0.013,0.005,0.045,0.171
"P38","No sabe",0,0.06,0.014,0,0,0.183
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.876,0.035,0.017,0.065,0.264,0.179
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.053,0.812,0.057,0.107,0.082,0.169
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.018,0.043,0.715,0.36,0.056,0.08
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.016,0.133,0.23,0.064,0.004
"P39","En blanco",0.022,0.017,0.051,0.225,0.376,0.073
"P39","No sabe",0.031,0.077,0.027,0.013,0.158,0.495
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.606,0.24,0.029,0.058,0.249,0.12
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.265,0.587,0.042,0.263,0.093,0.16
"P40","Julio Zamora a intendente por un partido vecinal",0.08,0.057,0.308,0.235,0.218,0.191
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.047,0.587,0.119,0,0.009
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.015,0.001,0.014,0.313,0.177,0.036
"P40","En blanco",0.032,0.026,0.002,0.012,0.149,0.266
"P40","No sabe",0,0.042,0.018,0,0.114,0.218
"P41","Muy buena",0.469,0.072,0.013,0.101,0.054,0.088
"P41","Buena",0.243,0.132,0.033,0.081,0.232,0.108
"P41","Ni buena ni mala",0.212,0.102,0.223,0.064,0.238,0.261
"P41","Mala",0.041,0.19,0.195,0.216,0.209,0.072
"P41","Muy mala",0.035,0.486,0.533,0.538,0.179,0.382
"P41","No sabe",0,0.018,0.003,0,0.088,0.089
"P42","Muy buena",0.361,0.042,0.103,0.182,0.195,0.189
"P42","Buena",0.274,0.136,0.091,0.12,0.221,0.191
"P42","Ni buena ni mala",0.214,0.249,0.167,0.094,0.321,0.303
"P42","Mala",0.068,0.235,0.144,0.186,0.046,0.036
"P42","Muy mala",0.061,0.301,0.495,0.418,0.197,0.214
"P42","No sabe",0.022,0.037,0,0,0.02,0.067
"P43","Muy buena",0.123,0.232,0.114,0.044,0.211,0.057
"P43","Buena",0.058,0.385,0.133,0.224,0.01,0.195
"P43","Ni buena ni mala",0.223,0.239,0.331,0.146,0.195,0.367
"P43","Mala",0.244,0.032,0.086,0.123,0.097,0.046
"P43","Muy mala",0.279,0.081,0.297,0.463,0.458,0.213
"P43","No sabe",0.073,0.031,0.039,0,0.029,0.122
"P44","Muy buena",0.084,0.223,0.05,0.025,0.039,0.047
"P44","Buena",0.035,0.324,0.201,0.156,0.064,0.109
"P44","Ni buena ni mala",0.251,0.305,0.392,0.208,0.344,0.399
"P44","Mala",0.233,0.037,0.086,0.157,0.01,0.062
"P44","Muy mala",0.278,0.033,0.183,0.449,0.328,0.265
"P44","No sabe",0.119,0.078,0.088,0.005,0.215,0.118
"P45","Muy buena",0.281,0.065,0.12,0.016,0.239,0.118
"P45","Buena",0.329,0.183,0.14,0.133,0.252,0.285
"P45","Ni buena ni mala",0.183,0.327,0.19,0.354,0.266,0.242
"P45","Mala",0.065,0.213,0.188,0.096,0.095,0.243
"P45","Muy mala",0.069,0.185,0.351,0.401,0.111,0.085
"P45","No sabe",0.073,0.027,0.011,0,0.037,0.027
"P46","Que continúe el intendente Julio Zamora",0.243,0.059,0.13,0.133,0.286,0.177
"P46","Que continúe Julio Zamora pero con mejoras",0.364,0.124,0.13,0.168,0.199,0.337
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.19,0.2,0.114,0.21,0.019,0.28
"P46","Que cambie el intendente Julio Zamora",0.203,0.617,0.626,0.489,0.496,0.206
"P47","Es kirchnerista",0.157,0.196,0.261,0.094,0.151,0.137
"P47","Forma parte del Frente de Todos",0.349,0.291,0.233,0.199,0.274,0.261
"P47","Es un hombre de Massa",0.156,0.108,0.179,0.132,0.154,0.198
"P47","Es un peronista independiente de centro",0.133,0.115,0.117,0.332,0.099,0.131
"P47","Es un oportunista y está donde le conviene",0.089,0.212,0.158,0.213,0.195,0.197
"P47","No sabe",0.116,0.078,0.052,0.03,0.127,0.076
"P48","El tránsito",0.322,0.243,0.3,0.246,0.28,0.168
"P48","El arreglo de las calles",0.122,0.082,0.071,0.118,0.076,0.122
"P48","Los parques y espacios públicos",0.118,0.046,0.089,0.021,0.082,0.13
"P48","El sistema de salud",0.055,0.039,0.053,0.146,0.034,0
"P48","La limpieza de las calles",0.148,0.129,0.059,0.068,0.13,0.135
"P48","El deporte y la cultura",0.075,0.108,0.083,0.136,0.09,0.221
"P48","La obra pública",0.014,0.035,0.03,0.028,0.052,0.058
"P48","La luminaria",0.058,0.079,0.067,0,0.012,0.014
"P48","No sabe",0.088,0.239,0.248,0.237,0.244,0.152
"P49","El tránsito",0.182,0.213,0.273,0.239,0.324,0.238
"P49","El arreglo de las calles",0.09,0.114,0.071,0.195,0.099,0.127
"P49","Los parques y espacios públicos",0.189,0.149,0.158,0.101,0.095,0.093
"P49","El sistema de salud",0.087,0.087,0.106,0.076,0.129,0.108
"P49","La limpieza de las calles",0.203,0.171,0.186,0.187,0.125,0.161
"P49","El deporte y la cultura",0.049,0.052,0.024,0.077,0.084,0.004
"P49","La obra pública",0.023,0.049,0.046,0,0.058,0
"P49","La luminaria",0.043,0.01,0.007,0.018,0,0.008
"P49","No sabe",0.134,0.155,0.129,0.107,0.086,0.261
"P50","Agua corriente y cloacas",0.32,0.492,0.382,0.517,0.486,0.421
"P50","Energía eléctrica",0.161,0.162,0.09,0.114,0.11,0.14
"P50","Red de gas natural",0.1,0.083,0.14,0.15,0.101,0.022
"P50","Recolección de residuos",0.162,0.102,0.238,0.019,0.114,0
"P50","Ninguno",0.257,0.161,0.15,0.2,0.189,0.417
"P51","Los robos",0.337,0.304,0.294,0.408,0.334,0.321
"P51","El narcotráfico",0.212,0.341,0.293,0.227,0.296,0.233
"P51","La ausencia de patrulleros y personal policial",0.139,0.114,0.147,0.126,0.057,0.145
"P51","Otro",0.17,0.147,0.161,0.089,0.159,0.121
"P51","Ninguno",0.142,0.094,0.105,0.15,0.154,0.18
"P52","Muy buena",0.219,0.065,0.025,0,0.047,0.08
"P52","Buena",0.261,0.052,0.092,0.203,0.066,0.203
"P52","Ni buena ni mala",0.274,0.051,0.047,0.15,0.017,0.214
"P52","Mala",0.137,0.084,0.056,0.053,0.41,0.195
"P52","Muy mala",0.085,0.748,0.775,0.594,0.434,0.265
"P52","No sabe",0.024,0,0.005,0,0.026,0.043
"P53","Muy buena",0.119,0.33,0.181,0.173,0.047,0.099
"P53","Buena",0.074,0.291,0.225,0.025,0.02,0.188
"P53","Ni buena ni mala",0.068,0.158,0.124,0.099,0.074,0.198
"P53","Mala",0.146,0.066,0.22,0.123,0.144,0.216
"P53","Muy mala",0.564,0.148,0.25,0.58,0.715,0.284
"P53","No sabe",0.029,0.007,0,0,0,0.015
"P54","Muy buena",0.713,0.026,0.081,0.167,0.386,0.254
"P54","Buena",0.067,0.053,0.066,0.03,0.018,0.26
"P54","Ni buena ni mala",0.083,0.04,0.035,0.062,0,0.121
"P54","Mala",0.011,0.076,0.059,0.145,0.023,0.091
"P54","Muy mala",0.109,0.802,0.759,0.596,0.573,0.257
"P54","No sabe",0.017,0.003,0,0,0,0.017
"P55","Muy buena",0.195,0.109,0.06,0,0.066,0.07
"P55","Buena",0.051,0.324,0.172,0.097,0.023,0.26
"P55","Ni buena ni mala",0.089,0.278,0.167,0.258,0.092,0.266
"P55","Mala",0.205,0.116,0.144,0.203,0.251,0.125
"P55","Muy mala",0.454,0.172,0.457,0.442,0.568,0.238
"P55","No sabe",0.006,0.001,0,0,0,0.041
"P56","Muy buena",0.349,0.017,0.02,0,0.047,0.129
"P56","Buena",0.297,0.051,0.02,0.088,0.037,0.084
"P56","Ni buena ni mala",0.208,0.074,0.11,0.201,0.199,0.243
"P56","Mala",0.053,0.149,0.082,0.006,0.381,0.082
"P56","Muy mala",0.093,0.695,0.762,0.705,0.336,0.462
"P56","No sabe",0,0.014,0.006,0,0,0
"P57","Muy buena",0.549,0.016,0.009,0.072,0.209,0.224
"P57","Buena",0.258,0.027,0.026,0.128,0.064,0.133
"P57","Ni buena ni mala",0.112,0.146,0.121,0.041,0.462,0.165
"P57","Mala",0.013,0.191,0.129,0.194,0.028,0.119
"P57","Muy mala",0.043,0.557,0.67,0.565,0.202,0.221
