"var","categoria","A Malena Galmarini","A Julio Zamora"
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.035,0.084
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.098,0.102
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.029,0.086
"P20","En blanco",0.036,0.067
"P20","No sabe",0.032,0.159
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.825,0.416
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.032,0.087
"P21","Julio Zamora a intendente por un partido vecinal",0.045,0.264
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.052,0.101
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0.027
"P21","En blanco",0.007,0.032
"P21","No sabe",0.026,0.073
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.828,0.502
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.035,0.094
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.06,0.113
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.033,0.05
"P22","En blanco",0.015,0.057
"P22","No sabe",0.029,0.184
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.85,0.398
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.037,0.107
"P23","Julio Zamora a intendente por un partido vecinal",0.032,0.3
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.055,0.058
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.037
"P23","En blanco",0.008,0.039
"P23","No sabe",0.014,0.061
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.779,0.415
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.038,0.202
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.012,0.159
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.125,0.082
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.028,0.064
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.029
"P24","En blanco",0.002,0.016
"P24","No sabe",0.015,0.033
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.759,0.408
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.054,0.086
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.064,0.082
"P25","Julio Zamora a intendente por un partido vecinal",0.049,0.296
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.029,0.066
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.029
"P25","En blanco",0.003,0.003
"P25","No sabe",0.042,0.03
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.787,0.532
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.052,0.103
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.082,0.122
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.028,0.055
"P26","En blanco",0.013,0.038
"P26","No sabe",0.038,0.15
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.77,0.45
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.075,0.078
"P27","Julio Zamora a intendente por un partido vecinal",0.067,0.316
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.05,0.047
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.012,0.016
"P27","En blanco",0.009,0.042
"P27","No sabe",0.017,0.051
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.848,0.56
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.052,0.111
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.047,0.113
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.027,0.017
"P28","En blanco",0.011,0.039
"P28","No sabe",0.015,0.16
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.818,0.492
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.05,0.124
"P29","Julio Zamora a intendente por un partido vecinal",0.069,0.303
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.042,0.028
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.01
"P29","En blanco",0.007,0.017
"P29","No sabe",0.012,0.026
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.834,0.434
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.051,0.094
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.063,0.062
"P30","Julio Zamora a intendente por un partido vecinal",0.034,0.374
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.009,0.017
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.001
"P30","En blanco",0,0.014
"P30","No sabe",0.009,0.004
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.804,0.502
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.087,0.11
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.062,0.111
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.061
"P31","En blanco",0.007,0.082
"P31","No sabe",0.04,0.134
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.82,0.422
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.075,0.061
"P32","Julio Zamora a intendente por un partido vecinal",0.054,0.42
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.025,0.05
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0.011
"P32","En blanco",0.011,0.007
"P32","No sabe",0.01,0.029
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.87,0.488
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.056,0.078
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.023,0.149
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.016,0.056
"P33","En blanco",0.001,0.087
"P33","No sabe",0.034,0.142
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.851,0.411
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.06,0.076
"P34","Julio Zamora a intendente por un partido vecinal",0.032,0.312
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.023,0.05
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.014
"P34","En blanco",0.021,0.094
"P34","No sabe",0.013,0.043
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.743,0.424
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.096,0.36
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.03,0.045
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.101,0.078
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.006,0.021
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.012
"P35","En blanco",0.012,0.022
"P35","No sabe",0.012,0.038
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.844,0.463
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.048,0.03
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.056,0.069
"P36","Julio Zamora a intendente por un partido vecinal",0.035,0.363
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.006,0.032
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.005
"P36","En blanco",0.001,0.002
"P36","No sabe",0.01,0.036
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.81,0.5
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.071,0.073
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.068,0.142
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.017,0.064
"P37","En blanco",0.016,0.098
"P37","No sabe",0.018,0.123
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.888,0.428
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.046,0.084
"P38","Julio Zamora a intendente por un partido vecinal",0.026,0.378
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.022,0.023
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.027
"P38","En blanco",0.001,0.035
"P38","No sabe",0.017,0.025
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.826,0.495
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.116,0.113
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.012,0.133
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0.033
"P39","En blanco",0.017,0.077
"P39","No sabe",0.028,0.149
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.665,0.218
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.272,0.325
"P40","Julio Zamora a intendente por un partido vecinal",0.035,0.295
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.01,0.038
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.023
"P40","En blanco",0.003,0.083
"P40","No sabe",0.015,0.018
"P41","Muy buena",0.566,0.094
"P41","Buena",0.175,0.335
"P41","Ni buena ni mala",0.197,0.26
"P41","Mala",0.007,0.136
"P41","Muy mala",0.055,0.152
"P41","No sabe",0,0.023
"P42","Muy buena",0.271,0.435
"P42","Buena",0.303,0.322
"P42","Ni buena ni mala",0.274,0.124
"P42","Mala",0.065,0.033
"P42","Muy mala",0.078,0.068
"P42","No sabe",0.009,0.018
"P43","Muy buena",0.164,0.063
"P43","Buena",0.082,0.19
"P43","Ni buena ni mala",0.244,0.187
"P43","Mala",0.254,0.159
"P43","Muy mala",0.207,0.334
"P43","No sabe",0.049,0.067
"P44","Muy buena",0.119,0.029
"P44","Buena",0.042,0.17
"P44","Ni buena ni mala",0.315,0.196
"P44","Mala",0.202,0.2
"P44","Muy mala",0.22,0.262
"P44","No sabe",0.102,0.143
"P45","Muy buena",0.205,0.39
"P45","Buena",0.344,0.359
"P45","Ni buena ni mala",0.245,0.173
"P45","Mala",0.065,0.035
"P45","Muy mala",0.091,0.014
"P45","No sabe",0.05,0.029
"P46","Que continúe el intendente Julio Zamora",0.196,0.402
"P46","Que continúe Julio Zamora pero con mejoras",0.319,0.447
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.237,0.099
"P46","Que cambie el intendente Julio Zamora",0.248,0.052
"P47","Es kirchnerista",0.175,0.202
"P47","Forma parte del Frente de Todos",0.333,0.437
"P47","Es un hombre de Massa",0.169,0.118
"P47","Es un peronista independiente de centro",0.082,0.119
"P47","Es un oportunista y está donde le conviene",0.126,0.042
"P47","No sabe",0.115,0.082
"P48","El tránsito",0.36,0.344
"P48","El arreglo de las calles",0.14,0.079
"P48","Los parques y espacios públicos",0.097,0.079
"P48","El sistema de salud",0.037,0.068
"P48","La limpieza de las calles",0.102,0.149
"P48","El deporte y la cultura",0.077,0.062
"P48","La obra pública",0.022,0.033
"P48","La luminaria",0.06,0.052
"P48","No sabe",0.105,0.134
"P49","El tránsito",0.246,0.159
"P49","El arreglo de las calles",0.076,0.11
"P49","Los parques y espacios públicos",0.207,0.158
"P49","El sistema de salud",0.089,0.106
"P49","La limpieza de las calles",0.195,0.164
"P49","El deporte y la cultura",0.025,0.043
"P49","La obra pública",0.028,0.046
"P49","La luminaria",0.02,0.047
"P49","No sabe",0.114,0.167
"P50","Agua corriente y cloacas",0.384,0.369
"P50","Energía eléctrica",0.105,0.083
"P50","Red de gas natural",0.126,0.055
"P50","Recolección de residuos",0.135,0.17
"P50","Ninguno",0.25,0.323
"P51","Los robos",0.391,0.174
"P51","El narcotráfico",0.233,0.266
"P51","La ausencia de patrulleros y personal policial",0.13,0.17
"P51","Otro",0.133,0.186
"P51","Ninguno",0.113,0.204
"P52","Muy buena",0.303,0.049
"P52","Buena",0.216,0.278
"P52","Ni buena ni mala",0.246,0.218
"P52","Mala",0.101,0.201
"P52","Muy mala",0.105,0.248
"P52","No sabe",0.029,0.006
"P53","Muy buena",0.197,0.115
"P53","Buena",0.056,0.174
"P53","Ni buena ni mala",0.087,0.048
"P53","Mala",0.148,0.147
"P53","Muy mala",0.498,0.516
"P53","No sabe",0.014,0
"P54","Muy buena",0.697,0.515
"P54","Buena",0.069,0.15
"P54","Ni buena ni mala",0.047,0.085
"P54","Mala",0.041,0.023
"P54","Muy mala",0.146,0.227
"P54","No sabe",0,0
"P55","Muy buena",0.219,0.097
"P55","Buena",0.1,0.055
"P55","Ni buena ni mala",0.069,0.234
"P55","Mala",0.214,0.117
"P55","Muy mala",0.391,0.494
"P55","No sabe",0.007,0.003
"P56","Muy buena",0.382,0.105
"P56","Buena",0.261,0.123
"P56","Ni buena ni mala",0.167,0.299
"P56","Mala",0.057,0.112
"P56","Muy mala",0.133,0.361
"P56","No sabe",0,0
"P57","Muy buena",0.51,0.297
"P57","Buena",0.267,0.194
"P57","Ni buena ni mala",0.105,0.179
"P57","Mala",0.036,0.053
"P57","Muy mala",0.057,0.208
"P57","No sabe",0.025,0.069
"P58","Muy buena",0.141,0.083
"P58","Buena",0.036,0.146
"P58","Ni buena ni mala",0.094,0.074
"P58","Mala",0.137,0.119
"P58","Muy mala",0.592,0.578
"P58","No sabe",0,0
"P59","Muy buena",0.117,0.083
"P59","Buena",0.045,0.144
"P59","Ni buena ni mala",0.059,0.052
"P59","Mala",0.147,0.114
"P59","Muy mala",0.623,0.595
"P59","No sabe",0.009,0.012
"P60","Muy buena",0.651,0.397
"P60","Buena",0.145,0.252
"P60","Ni buena ni mala",0.033,0.019
"P60","Mala",0.028,0.08
"P60","Muy mala",0.137,0.252
"P60","No sabe",0.006,0
"P61","Muy buena",0.161,0.102
"P61","Buena",0.028,0.063
"P61","Ni buena ni mala",0.25,0.266
"P61","Mala",0.148,0.15
"P61","Muy mala",0.297,0.25
"P61","No sabe",0.116,0.169
"P62","Muy buena",0.138,0.057
"P62","Buena",0.014,0.085
"P62","Ni buena ni mala",0.221,0.221
"P62","Mala",0.256,0.218
"P62","Muy mala",0.336,0.329
"P62","No sabe",0.035,0.09
