"var","categoria","A Malena Galmarini por el Frente de Todos","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","A Nicolás Massot por Juntos por el Cambio","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.025,0.056,0.033,0.052,0.12,0.227,0.106
"P22","En blanco",0.015,0.058,0.012,0.071,0.031,0.057,0.038
"P22","No sabe",0.031,0.182,0.083,0.067,0.003,0.335,0.37
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.742,0.349,0.067,0.115,0.04,0.365,0.113
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.102,0.095,0.616,0.618,0.093,0.098,0.169
"P23","Julio Zamora a intendente por un partido vecinal",0.042,0.35,0.065,0.061,0.196,0.07,0.014
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.058,0.04,0.146,0.098,0.614,0.044,0.201
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.051,0.002,0.036,0.026,0.113,0.035
"P23","En blanco",0.032,0.063,0.021,0.025,0.022,0.223,0.178
"P23","No sabe",0.022,0.052,0.083,0.047,0.009,0.087,0.29
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.68,0.403,0.042,0.107,0.021,0.211,0.087
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.049,0.21,0.069,0.058,0.029,0.081,0.096
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.093,0.122,0.409,0.555,0.134,0.071,0.202
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.088,0.11,0.307,0.123,0.053,0.109,0.127
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.062,0.041,0.12,0.1,0.744,0.052,0.165
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.024,0.009,0.016,0.01,0.293,0.099
"P24","En blanco",0.008,0.024,0.025,0,0.004,0.059,0.055
"P24","No sabe",0.016,0.066,0.019,0.041,0.005,0.124,0.169
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.676,0.397,0.045,0.058,0.02,0.276,0.093
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.099,0.074,0.383,0.596,0.102,0.099,0.148
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.068,0.087,0.323,0.144,0.055,0.038,0.18
"P25","Julio Zamora a intendente por un partido vecinal",0.028,0.339,0.05,0.099,0.006,0.039,0.041
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.071,0.034,0.153,0.056,0.804,0.085,0.167
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.027,0.004,0.015,0.008,0.271,0.071
"P25","En blanco",0.008,0.003,0.02,0,0.003,0.016,0.074
"P25","No sabe",0.044,0.039,0.022,0.032,0.002,0.176,0.226
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.681,0.477,0.088,0.169,0.048,0.309,0.136
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.081,0.08,0.545,0.557,0.037,0.007,0.306
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.126,0.132,0.167,0.118,0.703,0.085,0.107
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0.086,0.026,0.031,0.017,0.211,0.083
"P26","En blanco",0.045,0.064,0.076,0.07,0.172,0.05,0.125
"P26","No sabe",0.057,0.161,0.098,0.055,0.023,0.338,0.243
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.672,0.383,0.09,0.107,0.037,0.094,0.103
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.097,0.088,0.584,0.542,0.037,0.033,0.244
"P27","Julio Zamora a intendente por un partido vecinal",0.089,0.335,0.071,0.078,0.155,0.127,0.036
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.069,0.064,0.153,0.132,0.68,0.075,0.144
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0.021,0.021,0.037,0.083,0.211,0.136
"P27","En blanco",0.027,0.052,0.044,0.037,0.003,0.363,0.167
"P27","No sabe",0.036,0.057,0.037,0.067,0.005,0.097,0.17
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.748,0.482,0.108,0.157,0.053,0.084,0.17
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.072,0.142,0.646,0.667,0.089,0.07,0.339
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.094,0.142,0.134,0.048,0.683,0.134,0.132
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.03,0.019,0.041,0.108,0.062,0.155
"P28","En blanco",0.038,0.04,0.042,0.06,0.057,0.2,0.081
"P28","No sabe",0.033,0.164,0.051,0.027,0.01,0.45,0.123
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.729,0.401,0.091,0.139,0.018,0.194,0.131
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.077,0.138,0.601,0.69,0.1,0.231,0.38
"P29","Julio Zamora a intendente por un partido vecinal",0.09,0.349,0.125,0.023,0.131,0.069,0.025
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.056,0.032,0.093,0.096,0.657,0.025,0.161
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.003,0.014,0.016,0.03,0.087,0.223,0.065
"P29","En blanco",0.024,0.038,0.028,0.019,0.003,0.146,0.041
"P29","No sabe",0.021,0.028,0.046,0.003,0.004,0.112,0.197
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.725,0.382,0.038,0.11,0.02,0.098,0.135
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.07,0.063,0.279,0.541,0.093,0.046,0.093
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.084,0.051,0.52,0.203,0.03,0.103,0.222
"P30","Julio Zamora a intendente por un partido vecinal",0.024,0.446,0.029,0.058,0,0.056,0.079
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.072,0.008,0.101,0.086,0.842,0.028,0.232
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.018,0,0.002,0,0.117,0.053
"P30","En blanco",0.025,0.003,0.008,0,0.012,0.15,0.032
"P30","No sabe",0,0.029,0.025,0,0.003,0.402,0.154
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.693,0.426,0.075,0.152,0.025,0.142,0.149
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.101,0.109,0.625,0.53,0.063,0.046,0.28
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.135,0.153,0.166,0.14,0.715,0.008,0.207
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.085,0.022,0.03,0.002,0.099,0.049
"P31","En blanco",0.045,0.058,0.04,0.085,0.172,0.146,0.133
"P31","No sabe",0.026,0.169,0.072,0.063,0.023,0.559,0.182
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.742,0.318,0.078,0.127,0.022,0.124,0.121
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.097,0.062,0.662,0.502,0.095,0.019,0.295
"P32","Julio Zamora a intendente por un partido vecinal",0.067,0.49,0.061,0.132,0.146,0.039,0.062
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.06,0.056,0.123,0.129,0.587,0.158,0.109
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.01,0.018,0.007,0.017,0.137,0.119,0.167
"P32","En blanco",0.014,0.038,0.038,0.029,0.013,0.274,0.092
"P32","No sabe",0.01,0.018,0.031,0.064,0,0.267,0.154
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.789,0.42,0.054,0.091,0.053,0.103,0.178
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.07,0.126,0.614,0.639,0.075,0.013,0.201
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.071,0.167,0.13,0.147,0.687,0.03,0.149
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.03,0.055,0.022,0.035,0.068,0.118,0.208
"P33","En blanco",0.013,0.081,0.056,0,0.099,0.03,0.108
"P33","No sabe",0.027,0.151,0.124,0.088,0.018,0.706,0.156
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.783,0.309,0.042,0.232,0.03,0.092,0.17
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.094,0.076,0.612,0.559,0.095,0,0.144
"P34","Julio Zamora a intendente por un partido vecinal",0.031,0.435,0.074,0.033,0.11,0.07,0.151
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.051,0.037,0.117,0.119,0.621,0,0.212
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.021,0.031,0.015,0,0.096,0.284,0.128
"P34","En blanco",0.017,0.076,0.056,0.052,0.013,0.263,0.098
"P34","No sabe",0.003,0.036,0.084,0.005,0.035,0.291,0.097
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.688,0.33,0.024,0.138,0.048,0.085,0.053
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.054,0.352,0.142,0.065,0.032,0.021,0.052
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.043,0.067,0.261,0.506,0.079,0,0.155
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.128,0.054,0.411,0.217,0.042,0.057,0.191
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.076,0.059,0.133,0.06,0.742,0.202,0.249
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.032,0.006,0,0.007,0.258,0.075
"P35","En blanco",0.01,0.035,0,0.005,0.05,0.063,0.039
"P35","No sabe",0.001,0.071,0.023,0.009,0,0.314,0.186
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.76,0.348,0.038,0.192,0.03,0.112,0.036
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.07,0.055,0.255,0.402,0.08,0.066,0.063
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.062,0.059,0.461,0.271,0.008,0.024,0.29
"P36","Julio Zamora a intendente por un partido vecinal",0.024,0.458,0.063,0.009,0.005,0,0.033
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.078,0.019,0.118,0.087,0.813,0.04,0.355
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.021,0.002,0.01,0.002,0.287,0.063
"P36","En blanco",0.001,0.019,0.003,0.005,0.042,0.18,0.039
"P36","No sabe",0.005,0.021,0.06,0.024,0.02,0.291,0.121
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.715,0.423,0.066,0.145,0.031,0.13,0.168
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.096,0.095,0.649,0.53,0.029,0.033,0.115
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.127,0.153,0.201,0.15,0.642,0.053,0.085
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.02,0.086,0.022,0.002,0.062,0.065,0.067
"P37","En blanco",0.019,0.075,0.011,0.113,0.199,0.071,0.394
"P37","No sabe",0.023,0.168,0.051,0.06,0.037,0.648,0.171
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.791,0.344,0.046,0.16,0.011,0.129,0.138
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.095,0.059,0.683,0.609,0.075,0.031,0.21
"P38","Julio Zamora a intendente por un partido vecinal",0.034,0.413,0.095,0.043,0.091,0.044,0.038
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.07,0.048,0.105,0.075,0.671,0.022,0.196
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.01,0.043,0,0.039,0.138,0.116,0.201
"P38","En blanco",0,0.056,0.03,0.045,0.012,0.241,0.109
"P38","No sabe",0,0.037,0.041,0.029,0.002,0.417,0.108
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.753,0.43,0.043,0.16,0.009,0.145,0.132
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.126,0.086,0.681,0.621,0.141,0.035,0.262
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.087,0.207,0.112,0.092,0.592,0.049,0.235
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.022,0.029,0.035,0.01,0.127,0.081,0.178
"P39","En blanco",0.007,0.071,0.036,0.055,0.127,0.075,0.09
"P39","No sabe",0.005,0.177,0.093,0.062,0.004,0.615,0.103
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.541,0.247,0.264,0.314,0.03,0.056,0.065
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.319,0.196,0.465,0.493,0.098,0.038,0.288
"P40","Julio Zamora a intendente por un partido vecinal",0.043,0.372,0.077,0.072,0.18,0.035,0.131
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.069,0.014,0.106,0.061,0.589,0.011,0.208
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.021,0.04,0,0,0.099,0.129,0.116
"P40","En blanco",0.003,0.101,0.033,0,0.002,0.523,0.05
"P40","No sabe",0.004,0.03,0.055,0.06,0.002,0.208,0.142
"P41","Muy buena",0.502,0.113,0.086,0.113,0.019,0.04,0.044
"P41","Buena",0.195,0.228,0.094,0.156,0.028,0.016,0.137
"P41","Ni buena ni mala",0.131,0.305,0.172,0.16,0.09,0.202,0.108
"P41","Mala",0.048,0.116,0.178,0.122,0.226,0.122,0.306
"P41","Muy mala",0.113,0.2,0.451,0.445,0.633,0.581,0.394
"P41","No sabe",0.011,0.038,0.019,0.004,0.004,0.039,0.011
"P42","Muy buena",0.221,0.489,0.044,0.071,0.019,0.017,0.027
"P42","Buena",0.304,0.256,0.06,0.175,0.062,0.02,0.166
"P42","Ni buena ni mala",0.222,0.137,0.345,0.195,0.126,0.296,0.253
"P42","Mala",0.087,0.039,0.223,0.182,0.187,0.011,0.289
"P42","Muy mala",0.136,0.071,0.287,0.349,0.598,0.656,0.214
"P42","No sabe",0.03,0.008,0.041,0.028,0.008,0,0.051
"P43","Muy buena",0.133,0.078,0.312,0.225,0.025,0,0.008
"P43","Buena",0.098,0.133,0.336,0.367,0.144,0.036,0.157
"P43","Ni buena ni mala",0.289,0.251,0.194,0.242,0.315,0.135,0.391
"P43","Mala",0.245,0.102,0.041,0.025,0.146,0.057,0.024
"P43","Muy mala",0.189,0.355,0.076,0.134,0.33,0.772,0.257
"P43","No sabe",0.046,0.081,0.041,0.007,0.04,0,0.163
"P44","Muy buena",0.095,0.065,0.127,0.341,0.066,0,0
"P44","Buena",0.083,0.123,0.251,0.364,0.187,0,0.153
"P44","Ni buena ni mala",0.335,0.213,0.426,0.17,0.314,0.398,0.357
"P44","Mala",0.168,0.179,0.069,0.028,0.088,0.036,0.06
"P44","Muy mala",0.211,0.285,0.037,0.047,0.294,0.515,0.257
"P44","No sabe",0.108,0.135,0.09,0.05,0.051,0.051,0.173
"P45","Muy buena",0.169,0.372,0.066,0.115,0.014,0,0
"P45","Buena",0.328,0.381,0.098,0.237,0.059,0.124,0.191
"P45","Ni buena ni mala",0.267,0.137,0.381,0.249,0.236,0.059,0.175
"P45","Mala",0.078,0.061,0.253,0.094,0.225,0.335,0.318
"P45","Muy mala",0.09,0.028,0.193,0.3,0.452,0.183,0.273
"P45","No sabe",0.068,0.021,0.009,0.005,0.014,0.299,0.043
"P46","Que continúe el intendente Julio Zamora",0.14,0.436,0.053,0.076,0.023,0,0.013
"P46","Que continúe Julio Zamora pero con mejoras",0.269,0.439,0.085,0.099,0.073,0.268,0.349
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.253,0.092,0.237,0.146,0.096,0.314,0.206
"P46","Que cambie el intendente Julio Zamora",0.338,0.033,0.625,0.679,0.808,0.418,0.432
"P47","Es kirchnerista",0.136,0.179,0.188,0.222,0.303,0,0.108
"P47","Forma parte del Frente de Todos",0.321,0.397,0.289,0.272,0.135,0.023,0.27
"P47","Es un hombre de Massa",0.142,0.092,0.147,0.16,0.175,0.228,0.247
"P47","Es un peronista independiente de centro",0.132,0.211,0.088,0.134,0.079,0.205,0.179
"P47","Es un oportunista y está donde le conviene",0.141,0.064,0.205,0.18,0.24,0.42,0.09
"P47","No sabe",0.128,0.057,0.083,0.032,0.068,0.124,0.106
"P48","El tránsito",0.282,0.335,0.203,0.259,0.354,0.143,0.135
"P48","El arreglo de las calles",0.177,0.071,0.06,0.078,0.089,0.054,0.097
"P48","Los parques y espacios públicos",0.065,0.099,0.088,0.044,0.12,0.047,0.045
"P48","El sistema de salud",0.056,0.095,0.028,0.042,0.017,0,0.08
"P48","La limpieza de las calles",0.12,0.115,0.11,0.065,0.032,0.488,0.346
"P48","El deporte y la cultura",0.093,0.124,0.125,0.056,0.072,0.149,0.157
"P48","La obra pública",0.012,0.048,0.041,0.065,0,0,0
"P48","La luminaria",0.066,0.039,0.079,0.045,0.059,0,0.068
"P48","No sabe",0.129,0.074,0.266,0.346,0.257,0.119,0.072
"P49","El tránsito",0.161,0.17,0.222,0.365,0.341,0,0.196
"P49","El arreglo de las calles",0.164,0.06,0.062,0.148,0.079,0.1,0.21
"P49","Los parques y espacios públicos",0.138,0.238,0.179,0.141,0.075,0,0.056
"P49","El sistema de salud",0.073,0.109,0.074,0.052,0.104,0.366,0.137
"P49","La limpieza de las calles",0.211,0.144,0.194,0.066,0.215,0.325,0.254
"P49","El deporte y la cultura",0.07,0.027,0.051,0.034,0.041,0,0
"P49","La obra pública",0.031,0.032,0.028,0.077,0.035,0,0
"P49","La luminaria",0.018,0.046,0.005,0,0.011,0,0.058
"P49","No sabe",0.134,0.174,0.185,0.117,0.099,0.209,0.089
"P50","Agua corriente y cloacas",0.404,0.326,0.483,0.601,0.399,0.115,0.273
"P50","Energía eléctrica",0.143,0.123,0.15,0.11,0.163,0.188,0.106
"P50","Red de gas natural",0.087,0.068,0.12,0.063,0.137,0.076,0.199
"P50","Recolección de residuos",0.132,0.201,0.071,0.094,0.206,0,0.121
"P50","Ninguno",0.234,0.282,0.176,0.132,0.095,0.621,0.301
"P51","Los robos",0.408,0.209,0.315,0.401,0.34,0.084,0.287
"P51","El narcotráfico",0.27,0.219,0.326,0.284,0.292,0.127,0.361
"P51","La ausencia de patrulleros y personal policial",0.082,0.242,0.123,0.108,0.06,0.288,0.053
"P51","Otro",0.141,0.137,0.13,0.178,0.197,0.201,0.126
"P51","Ninguno",0.099,0.193,0.106,0.029,0.111,0.3,0.173
"P52","Muy buena",0.236,0.058,0.067,0.093,0.016,0.048,0.042
"P52","Buena",0.232,0.222,0.038,0.045,0.101,0.318,0.133
"P52","Ni buena ni mala",0.223,0.24,0.064,0.093,0.002,0.072,0.072
"P52","Mala",0.12,0.224,0.068,0.09,0.028,0.163,0.044
"P52","Muy mala",0.169,0.235,0.762,0.654,0.853,0.399,0.709
"P52","No sabe",0.02,0.021,0.001,0.025,0,0,0
