"var","categoria","El tránsito","El arreglo de las calles","Los parques y espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P12","A Paula Akerfeld por el Frente de Izquierda",0.004,0.048,0.014,0.18,0.027,0.033,0,0,0.025
"P12","No sabe",0.172,0.163,0.118,0.126,0.074,0.077,0.023,0.086,0.167
"P14","A Malena Galmarini por el Frente de Todos",0.136,0.306,0.403,0.304,0.355,0.201,0.226,0.592,0.224
"P14","A Segundo Cernadas por Juntos por el Cambio",0.387,0.323,0.309,0.211,0.303,0.321,0.476,0.128,0.393
"P14","Al candidato de los liberales libertarios",0.292,0.247,0.218,0.179,0.24,0.323,0.199,0.232,0.159
"P14","A Paula Akerfeld por el Frente de Izquierda",0.028,0.003,0.011,0.146,0.04,0.105,0,0,0.013
"P14","No sabe",0.157,0.121,0.059,0.16,0.062,0.05,0.099,0.048,0.211
"P16","A Malena Galmarini por el Frente de Todos",0.14,0.279,0.283,0.209,0.332,0.177,0.278,0.444,0.313
"P16","A Segundo Cernadas por Juntos por el Cambio",0.289,0.209,0.26,0.243,0.244,0.282,0.404,0.225,0.264
"P16","A Nicolás Massot por Juntos por el Cambio",0.15,0.201,0.173,0.089,0.038,0.069,0.145,0,0.059
"P16","A Julio Zamora por un partido vecinal",0.107,0.117,0.119,0.102,0.151,0.128,0.098,0.218,0.105
"P16","Al candidato de los liberales libertarios",0.235,0.111,0.099,0.176,0.191,0.344,0.065,0.084,0.204
"P16","A Paula Akerfeld por el Frente de Izquierda",0.005,0,0.038,0.112,0.019,0,0,0,0.013
"P16","No sabe",0.074,0.083,0.028,0.069,0.025,0,0.01,0.029,0.042
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.178,0.275,0.305,0.199,0.254,0.167,0.143,0.246,0.275
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.07,0.056,0.119,0.108,0.089,0.102,0.171,0.427,0.112
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.284,0.295,0.328,0.211,0.211,0.14,0.366,0.058,0.303
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.141,0.088,0.064,0.096,0.113,0.232,0.063,0.076,0.053
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.211,0.244,0.148,0.238,0.251,0.337,0.215,0.085,0.178
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.021,0.003,0,0.033,0.031,0,0,0,0.01
"P18","En blanco",0.006,0.022,0.012,0.015,0.02,0.014,0.042,0,0.019
"P18","No sabe",0.089,0.017,0.024,0.1,0.031,0.008,0,0.108,0.05
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.242,0.264,0.325,0.219,0.261,0.2,0.184,0.165,0.202
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.202,0.297,0.282,0.186,0.219,0.116,0.397,0.355,0.271
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.136,0.148,0.101,0.123,0.107,0.256,0.063,0.03,0.059
"P19","Julio Zamora a intendente por un partido vecinal",0.188,0.056,0.108,0.147,0.162,0.071,0.135,0.275,0.174
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.168,0.223,0.156,0.206,0.173,0.337,0.179,0.085,0.152
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0,0,0.018,0.035,0,0,0,0.048
"P19","En blanco",0.016,0.006,0.011,0.015,0.019,0.012,0.042,0,0.037
"P19","No sabe",0.043,0.006,0.017,0.086,0.024,0.008,0,0.09,0.057
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.184,0.235,0.377,0.226,0.274,0.25,0.226,0.592,0.228
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.33,0.291,0.228,0.222,0.217,0.321,0.3,0.185,0.237
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.209,0.285,0.3,0.252,0.279,0.139,0.301,0.067,0.145
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.152,0.044,0.017,0.116,0.062,0.026,0.023,0,0.01
"P20","En blanco",0.061,0.093,0.042,0.028,0.083,0.256,0.042,0,0.182
"P20","No sabe",0.064,0.052,0.036,0.156,0.085,0.008,0.108,0.156,0.198
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.208,0.229,0.345,0.168,0.266,0.272,0.226,0.462,0.196
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.319,0.306,0.198,0.209,0.243,0.321,0.3,0.116,0.22
"P21","Julio Zamora a intendente por un partido vecinal",0.126,0.077,0.152,0.158,0.139,0.161,0.157,0.218,0.145
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.262,0.235,0.201,0.252,0.23,0.192,0.265,0.085,0.228
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.053,0.104,0.015,0.046,0.033,0.046,0,0.09,0.053
"P21","En blanco",0.009,0.022,0.039,0.125,0.035,0,0.052,0.029,0.052
"P21","No sabe",0.023,0.027,0.05,0.042,0.054,0.008,0,0,0.106
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.227,0.242,0.345,0.26,0.312,0.316,0.185,0.643,0.254
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.311,0.362,0.321,0.306,0.309,0.39,0.472,0.178,0.347
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.264,0.15,0.224,0.246,0.222,0.121,0.291,0.085,0.19
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.064,0.113,0.04,0.048,0.062,0.105,0,0.057,0.043
"P22","En blanco",0.045,0.03,0.019,0.043,0.021,0.06,0.052,0,0.018
"P22","No sabe",0.089,0.103,0.051,0.097,0.074,0.008,0,0.037,0.148
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.256,0.229,0.345,0.247,0.282,0.313,0.184,0.462,0.209
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.311,0.372,0.311,0.295,0.241,0.274,0.422,0.178,0.361
"P23","Julio Zamora a intendente por un partido vecinal",0.111,0.081,0.164,0.103,0.157,0.16,0.26,0.275,0.181
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.207,0.147,0.09,0.179,0.202,0.123,0.082,0.067,0.149
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.057,0,0.067,0.083,0.007,0,0,0,0
"P23","En blanco",0.014,0.146,0.01,0.072,0.02,0.13,0.052,0,0.075
"P23","No sabe",0.044,0.025,0.013,0.021,0.091,0,0,0.018,0.025
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.235,0.32,0.354,0.225,0.299,0.196,0.283,0.44,0.215
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.11,0.115,0.067,0.111,0.105,0.127,0,0.181,0.145
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.183,0.309,0.315,0.225,0.196,0.141,0.302,0.167,0.297
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.196,0.058,0.089,0.145,0.14,0.245,0.2,0.057,0.08
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.213,0.164,0.126,0.167,0.193,0.214,0.215,0.085,0.164
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.012,0.03,0.054,0.009,0.077,0,0,0.041
"P24","En blanco",0.018,0.006,0,0.013,0.034,0,0,0,0
"P24","No sabe",0.023,0.016,0.019,0.06,0.024,0,0,0.07,0.058
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.228,0.338,0.385,0.178,0.316,0.195,0.184,0.462,0.212
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.221,0.233,0.212,0.216,0.192,0.155,0.302,0.149,0.278
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.172,0.212,0.116,0.109,0.106,0.295,0.195,0.047,0.098
"P25","Julio Zamora a intendente por un partido vecinal",0.083,0.034,0.077,0.163,0.056,0.05,0.126,0.257,0.146
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.236,0.149,0.145,0.211,0.26,0.305,0.193,0.085,0.173
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0,0.049,0.041,0.006,0,0,0,0.041
"P25","En blanco",0.023,0,0,0.022,0.034,0,0,0,0.002
"P25","No sabe",0.015,0.034,0.016,0.06,0.03,0,0,0,0.05
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.298,0.279,0.371,0.284,0.307,0.315,0.364,0.643,0.201
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.326,0.285,0.232,0.218,0.202,0.283,0.135,0.139,0.219
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.239,0.245,0.199,0.255,0.243,0.177,0.209,0.171,0.271
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.082,0.083,0.03,0.063,0.039,0.012,0.028,0,0.016
"P26","En blanco",0.01,0.042,0.094,0.046,0.155,0.162,0.156,0.047,0.054
"P26","No sabe",0.045,0.066,0.074,0.134,0.054,0.051,0.108,0,0.239
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.242,0.33,0.305,0.172,0.292,0.315,0.322,0.462,0.19
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.335,0.335,0.232,0.194,0.18,0.321,0.135,0.03,0.226
"P27","Julio Zamora a intendente por un partido vecinal",0.133,0.099,0.156,0.196,0.156,0.131,0.07,0.371,0.243
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.201,0.155,0.205,0.232,0.244,0.149,0.343,0.018,0.163
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.039,0.046,0.003,0.042,0.057,0.046,0.022,0,0.01
"P27","En blanco",0.026,0.024,0.074,0.059,0.055,0,0,0.029,0.094
"P27","No sabe",0.024,0.011,0.025,0.105,0.016,0.038,0.108,0.09,0.074
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.262,0.38,0.35,0.302,0.31,0.326,0.322,0.643,0.216
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.368,0.326,0.314,0.273,0.266,0.334,0.285,0.196,0.352
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.211,0.158,0.263,0.241,0.213,0.232,0.267,0.142,0.187
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.067,0.057,0.012,0.024,0.075,0.012,0,0,0.023
"P28","En blanco",0.041,0.058,0.008,0.053,0.074,0.084,0,0,0.031
"P28","No sabe",0.051,0.021,0.053,0.107,0.062,0.012,0.126,0.019,0.191
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.262,0.314,0.376,0.174,0.28,0.286,0.322,0.462,0.216
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.334,0.373,0.291,0.284,0.244,0.218,0.307,0.178,0.365
"P29","Julio Zamora a intendente por un partido vecinal",0.083,0.066,0.173,0.159,0.158,0.295,0.191,0.293,0.256
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.198,0.191,0.1,0.224,0.243,0.018,0.17,0.067,0.102
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.051,0.033,0.027,0.05,0.036,0.105,0,0,0.01
"P29","En blanco",0.021,0.017,0.015,0.109,0.015,0.039,0.01,0,0.045
"P29","No sabe",0.051,0.006,0.018,0,0.024,0.039,0,0,0.006
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.251,0.276,0.365,0.194,0.253,0.183,0.226,0.462,0.225
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.148,0.271,0.225,0.179,0.096,0.102,0.335,0.119,0.262
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.215,0.169,0.133,0.164,0.263,0.27,0.098,0.059,0.126
"P30","Julio Zamora a intendente por un partido vecinal",0.093,0.098,0.154,0.158,0.101,0.122,0.126,0.275,0.15
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.232,0.125,0.119,0.215,0.21,0.323,0.215,0.085,0.174
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.015,0,0.002,0.005,0,0,0,0,0.041
"P30","En blanco",0.018,0.048,0,0.049,0.009,0,0,0,0
"P30","No sabe",0.028,0.013,0.002,0.036,0.068,0,0,0,0.022
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.283,0.341,0.395,0.249,0.286,0.144,0.257,0.643,0.219
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.322,0.311,0.223,0.258,0.263,0.296,0.328,0.138,0.277
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.282,0.237,0.229,0.28,0.251,0.184,0.128,0.153,0.22
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.028,0.01,0.026,0.078,0.02,0.024,0.232,0.019,0.013
"P31","En blanco",0.035,0.048,0.067,0.044,0.092,0.313,0.055,0.029,0.096
"P31","No sabe",0.05,0.053,0.06,0.091,0.088,0.039,0,0.018,0.175
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.246,0.338,0.363,0.211,0.245,0.221,0.226,0.462,0.235
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.333,0.301,0.244,0.238,0.237,0.283,0.331,0.059,0.288
"P32","Julio Zamora a intendente por un partido vecinal",0.131,0.1,0.205,0.185,0.194,0.149,0.168,0.275,0.202
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.217,0.119,0.117,0.243,0.139,0.185,0.242,0.085,0.169
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.026,0.057,0.006,0.005,0.077,0.162,0.023,0.029,0.023
"P32","En blanco",0.026,0.08,0.036,0.067,0.052,0,0.01,0,0.041
"P32","No sabe",0.021,0.005,0.029,0.051,0.056,0,0,0.09,0.042
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.253,0.326,0.372,0.273,0.324,0.222,0.226,0.643,0.242
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.32,0.311,0.267,0.295,0.178,0.374,0.441,0.149,0.334
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.26,0.251,0.206,0.12,0.237,0.212,0.333,0.104,0.176
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.058,0.039,0.057,0.158,0.021,0.012,0,0.067,0.045
"P33","En blanco",0.013,0.047,0.023,0.03,0.12,0.18,0,0,0.04
"P33","No sabe",0.096,0.026,0.075,0.124,0.12,0,0,0.037,0.163
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.249,0.36,0.349,0.211,0.259,0.209,0.268,0.462,0.235
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.329,0.274,0.263,0.248,0.202,0.372,0.39,0.15,0.33
"P34","Julio Zamora a intendente por un partido vecinal",0.111,0.102,0.151,0.157,0.166,0.266,0.126,0.275,0.164
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.219,0.178,0.128,0.239,0.201,0.018,0.216,0.084,0.105
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.02,0.07,0.04,0.005,0.073,0.135,0,0,0.02
"P34","En blanco",0.036,0.016,0.048,0.073,0.051,0,0,0.029,0.049
"P34","No sabe",0.036,0,0.021,0.067,0.048,0,0,0,0.097
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.234,0.273,0.332,0.264,0.247,0.132,0.184,0.462,0.195
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.135,0.097,0.18,0.097,0.113,0.147,0.148,0.271,0.115
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.156,0.194,0.188,0.14,0.146,0.153,0.275,0.104,0.26
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.204,0.242,0.141,0.143,0.152,0.245,0.2,0.059,0.127
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.207,0.171,0.108,0.224,0.243,0.323,0.193,0.085,0.175
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.015,0,0.038,0.027,0.044,0,0,0,0.021
"P35","En blanco",0.017,0.013,0.003,0.069,0.009,0,0,0,0.056
"P35","No sabe",0.032,0.01,0.01,0.036,0.046,0,0,0.019,0.051
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.246,0.271,0.345,0.212,0.271,0.196,0.184,0.462,0.235
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.163,0.202,0.173,0.164,0.094,0.113,0.265,0.09,0.226
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.238,0.232,0.155,0.162,0.197,0.231,0.394,0.058,0.121
"P36","Julio Zamora a intendente por un partido vecinal",0.066,0.118,0.135,0.136,0.094,0.098,0.098,0.305,0.174
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.254,0.174,0.119,0.224,0.249,0.323,0.059,0.085,0.172
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.015,0,0.036,0.005,0.025,0,0,0,0.016
"P36","En blanco",0.003,0.003,0.003,0.049,0.009,0,0,0,0.034
"P36","No sabe",0.015,0,0.034,0.048,0.061,0.039,0,0,0.022
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.272,0.376,0.353,0.3,0.265,0.13,0.236,0.643,0.206
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.311,0.266,0.23,0.233,0.283,0.195,0.279,0.049,0.283
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.29,0.176,0.281,0.225,0.213,0.391,0.312,0.096,0.251
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.04,0.044,0.023,0.017,0.063,0.012,0.098,0.057,0.021
"P37","En blanco",0.068,0.123,0.016,0.103,0.094,0.233,0.023,0.029,0.055
"P37","No sabe",0.019,0.015,0.097,0.122,0.082,0.039,0.052,0.126,0.184
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.238,0.349,0.376,0.204,0.295,0.195,0.226,0.462,0.212
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.313,0.306,0.244,0.26,0.245,0.283,0.465,0.029,0.319
"P38","Julio Zamora a intendente por un partido vecinal",0.131,0.092,0.15,0.147,0.102,0.28,0.028,0.305,0.211
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.231,0.182,0.135,0.245,0.193,0.03,0.15,0.085,0.138
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.04,0.037,0.051,0.027,0.078,0.134,0,0.029,0.021
"P38","En blanco",0.006,0.017,0.042,0.065,0.037,0.039,0.033,0,0.061
"P38","No sabe",0.041,0.017,0.002,0.052,0.05,0.039,0.098,0.09,0.038
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.219,0.419,0.353,0.316,0.291,0.208,0.226,0.643,0.212
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.366,0.276,0.295,0.24,0.258,0.333,0.46,0.149,0.366
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.207,0.187,0.279,0.229,0.161,0.214,0.216,0.189,0.166
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.08,0.055,0.016,0.029,0.072,0.03,0,0,0.066
"P39","En blanco",0.044,0.031,0.038,0.032,0.105,0.176,0,0,0.035
"P39","No sabe",0.084,0.032,0.019,0.154,0.113,0.039,0.098,0.019,0.155
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.239,0.23,0.37,0.19,0.241,0.259,0.341,0.411,0.298
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.322,0.412,0.309,0.264,0.274,0.282,0.318,0.2,0.301
"P40","Julio Zamora a intendente por un partido vecinal",0.134,0.084,0.212,0.188,0.161,0.142,0.028,0.304,0.139
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.207,0.152,0.064,0.192,0.172,0.113,0.215,0.085,0.107
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.021,0.09,0.009,0.015,0.035,0.165,0,0,0.012
"P40","En blanco",0.003,0.026,0.009,0.084,0.093,0,0,0,0.107
"P40","No sabe",0.074,0.006,0.027,0.067,0.024,0.039,0.098,0,0.036
"P41","Muy buena",0.185,0.19,0.224,0.101,0.176,0.008,0.216,0.184,0.136
"P41","Buena",0.11,0.215,0.114,0.123,0.123,0.14,0.137,0.229,0.16
"P41","Ni buena ni mala",0.172,0.058,0.238,0.244,0.134,0.19,0.231,0.336,0.208
"P41","Mala",0.123,0.218,0.142,0.079,0.179,0.207,0,0.076,0.142
"P41","Muy mala",0.39,0.319,0.268,0.413,0.388,0.409,0.416,0.175,0.325
"P41","No sabe",0.02,0,0.014,0.04,0,0.046,0,0,0.029
"P42","Muy buena",0.162,0.144,0.187,0.177,0.133,0.122,0.098,0.59,0.212
"P42","Buena",0.07,0.272,0.218,0.16,0.239,0.13,0.166,0.105,0.122
"P42","Ni buena ni mala",0.213,0.167,0.24,0.237,0.259,0.069,0.099,0.032,0.294
"P42","Mala",0.153,0.192,0.109,0.119,0.075,0.263,0.232,0.149,0.177
"P42","Muy mala",0.393,0.209,0.219,0.29,0.291,0.377,0.276,0.067,0.146
"P42","No sabe",0.009,0.016,0.027,0.017,0.003,0.039,0.129,0.057,0.049
"P43","Muy buena",0.23,0.105,0.14,0.126,0.124,0.192,0.183,0.134,0.137
"P43","Buena",0.22,0.321,0.241,0.096,0.194,0.116,0.109,0.029,0.157
"P43","Ni buena ni mala",0.195,0.185,0.17,0.409,0.288,0.31,0.282,0.236,0.347
"P43","Mala",0.072,0.124,0.091,0.106,0.14,0.285,0.135,0,0.122
"P43","Muy mala",0.243,0.245,0.3,0.239,0.233,0.046,0.173,0.459,0.124
"P43","No sabe",0.04,0.02,0.058,0.024,0.021,0.051,0.118,0.142,0.113
"P44","Muy buena",0.22,0.096,0.063,0.068,0.078,0.101,0,0,0.164
"P44","Buena",0.213,0.307,0.249,0.096,0.158,0.039,0.173,0.029,0.106
"P44","Ni buena ni mala",0.247,0.186,0.274,0.509,0.382,0.362,0.331,0.212,0.335
"P44","Mala",0.084,0.12,0.134,0.072,0.105,0.051,0.12,0.577,0.105
"P44","Muy mala",0.184,0.21,0.18,0.159,0.231,0.198,0.198,0.032,0.149
"P44","No sabe",0.052,0.081,0.1,0.096,0.046,0.249,0.178,0.15,0.141
"P45","Muy buena",0.22,0.115,0.113,0.086,0.132,0.122,0.098,0.325,0.155
"P45","Buena",0.093,0.374,0.285,0.272,0.251,0.105,0.135,0.383,0.23
"P45","Ni buena ni mala",0.237,0.189,0.256,0.237,0.235,0.385,0.304,0.142,0.263
"P45","Mala",0.167,0.117,0.21,0.245,0.15,0,0.247,0.059,0.133
"P45","Muy mala",0.267,0.18,0.13,0.123,0.184,0.272,0.193,0.091,0.148
"P45","No sabe",0.016,0.025,0.006,0.037,0.048,0.116,0.023,0,0.071
