"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P16","A Nicolás Massot por Juntos por el Cambio",0.03,0.226,0.151,0.063,0.078,0.077,0.14
"P16","A Julio Zamora por un partido vecinal",0.155,0.033,0.328,0.033,0.089,0.162,0.191
"P16","Al candidato de los liberales libertarios",0.03,0.039,0.203,0.612,0.269,0.14,0.026
"P16","A Paula Akerfeld por el Frente de Izquierda",0.008,0.002,0.009,0.021,0.104,0.19,0.035
"P16","No sabe",0.039,0.024,0.012,0.026,0.198,0.118,0.236
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.699,0.035,0.228,0.002,0.051,0.172,0.149
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.135,0.03,0.22,0.049,0.102,0.025,0.063
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.031,0.544,0.164,0.178,0.144,0.324,0.422
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.024,0.306,0.052,0.029,0,0,0.072
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.032,0.239,0.729,0.47,0.051,0.007
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0.002,0.029,0.008,0.197,0.101,0
"P18","En blanco",0.012,0.01,0.012,0.004,0.02,0.13,0
"P18","No sabe",0.069,0.041,0.056,0.001,0.016,0.197,0.287
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.777,0.035,0.168,0.016,0.051,0.056,0.153
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.053,0.516,0.151,0.143,0.071,0.255,0.326
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.02,0.338,0.072,0.033,0.079,0.045,0.082
"P19","Julio Zamora a intendente por un partido vecinal",0.071,0.053,0.379,0.215,0.12,0.149,0.097
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.027,0.017,0.173,0.584,0.506,0.05,0.007
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.009,0.004,0.006,0.124,0.125,0
"P19","En blanco",0.014,0.016,0.038,0.002,0.033,0.139,0.102
"P19","No sabe",0.03,0.016,0.015,0.001,0.016,0.181,0.233
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.773,0.051,0.24,0.015,0.051,0.056,0.164
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.045,0.786,0.104,0.055,0.091,0.051,0.159
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.061,0.066,0.346,0.725,0.304,0.128,0.07
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.025,0.021,0.101,0.051,0.208,0.089,0.018
"P20","En blanco",0.047,0.007,0.079,0.141,0.28,0.223,0.061
"P20","No sabe",0.049,0.069,0.13,0.013,0.066,0.453,0.528
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.803,0.043,0.141,0.008,0.114,0.079,0.08
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.039,0.827,0.06,0.046,0.036,0.058,0.187
"P21","Julio Zamora a intendente por un partido vecinal",0.063,0.027,0.426,0.106,0.081,0.138,0.114
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.035,0.022,0.247,0.791,0.384,0.084,0.025
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.019,0.01,0.031,0.041,0.296,0.151,0.043
"P21","En blanco",0.01,0.014,0.046,0.004,0.089,0.362,0.064
"P21","No sabe",0.031,0.057,0.049,0.004,0,0.128,0.487
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.837,0.035,0.22,0,0.115,0.111,0.181
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.039,0.79,0.162,0.158,0.078,0.227,0.462
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.024,0.032,0.327,0.719,0.229,0.108,0.042
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.006,0.116,0.097,0.306,0,0
"P22","En blanco",0.018,0.028,0.035,0.013,0.205,0.115,0
"P22","No sabe",0.06,0.109,0.14,0.013,0.067,0.439,0.315
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.821,0.042,0.207,0.002,0.115,0.079,0.107
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.027,0.795,0.134,0.149,0.082,0.292,0.476
"P23","Julio Zamora a intendente por un partido vecinal",0.054,0.023,0.441,0.158,0.107,0.134,0.064
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.02,0.01,0.133,0.633,0.31,0.026,0
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0.01,0.025,0.032,0.249,0.018,0
"P23","En blanco",0.032,0.035,0.033,0.015,0.137,0.354,0.035
"P23","No sabe",0.039,0.085,0.027,0.011,0,0.097,0.318
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.763,0.047,0.208,0.034,0.127,0.126,0.136
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.074,0.094,0.211,0.034,0.109,0.046,0.091
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.009,0.553,0.196,0.158,0.189,0.339,0.431
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.106,0.247,0.133,0.104,0,0.023,0.026
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.022,0.006,0.197,0.651,0.435,0.044,0.025
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.003,0.019,0.005,0.017,0.124,0.148,0.053
"P24","En blanco",0.001,0.011,0.016,0.001,0.016,0.116,0.007
"P24","No sabe",0.022,0.023,0.034,0.001,0,0.158,0.231
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.831,0.016,0.156,0.016,0.186,0.039,0.109
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.01,0.556,0.126,0.144,0.103,0.289,0.378
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.081,0.354,0.116,0.018,0.072,0.079,0.092
"P25","Julio Zamora a intendente por un partido vecinal",0.022,0.023,0.393,0.053,0.047,0.117,0.102
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.024,0.007,0.182,0.742,0.419,0.067,0
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.001,0,0.026,0.124,0.163,0.035
"P25","En blanco",0,0.016,0.015,0,0.021,0.088,0.017
"P25","No sabe",0.031,0.027,0.012,0.001,0.028,0.158,0.267
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.942,0.047,0.183,0.001,0.168,0.053,0.051
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.007,0.853,0.083,0.033,0.007,0.042,0.229
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.031,0.049,0.431,0.706,0.122,0,0.099
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.014,0.11,0.06,0.189,0.062,0.018
"P26","En blanco",0,0.011,0.051,0.171,0.486,0.215,0.031
"P26","No sabe",0.019,0.026,0.142,0.029,0.028,0.628,0.572
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.981,0.032,0.218,0.012,0.019,0.062,0.134
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.006,0.867,0.122,0.131,0.134,0.298,0.387
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0,0.007,0.427,0.651,0.206,0.106,0.01
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.006,0.021,0.175,0.152,0,0
"P28","En blanco",0.002,0.053,0.055,0.016,0.489,0.106,0.011
"P28","No sabe",0.01,0.035,0.157,0.015,0,0.428,0.458
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.909,0.053,0.083,0.018,0.063,0.179,0.074
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.027,0.791,0.188,0.131,0.141,0.331,0.458
"P29","Julio Zamora a intendente por un partido vecinal",0.035,0.042,0.568,0.143,0.107,0.121,0.083
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.017,0.119,0.673,0.215,0,0
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.016,0.018,0.021,0.44,0.031,0.007
"P29","En blanco",0.001,0.038,0.015,0,0.005,0.235,0.108
"P29","No sabe",0.007,0.043,0.009,0.014,0.029,0.103,0.27
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.845,0.021,0.152,0.002,0.067,0.042,0.166
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.026,0.399,0.102,0.119,0.066,0.264,0.253
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.049,0.504,0.115,0.051,0.098,0.066,0.216
"P30","Julio Zamora a intendente por un partido vecinal",0.057,0.034,0.406,0.071,0.191,0.214,0.109
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.012,0.016,0.215,0.726,0.304,0.018,0.006
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0,0.003,0.002,0.122,0.088,0
"P30","En blanco",0.01,0.012,0,0.014,0.02,0.091,0.047
"P30","No sabe",0,0.014,0.007,0.015,0.132,0.217,0.203
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.828,0.056,0.159,0.053,0.095,0.087,0.172
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.02,0.78,0.186,0.079,0.127,0.132,0.236
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.064,0.102,0.364,0.645,0.219,0.084,0.009
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.015,0.015,0.073,0.03,0.134,0.017,0.049
"P31","En blanco",0.017,0.027,0.116,0.154,0.229,0.13,0.1
"P31","No sabe",0.056,0.02,0.102,0.039,0.196,0.55,0.434
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.827,0.055,0.065,0.009,0.105,0.119,0.255
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.019,0.825,0.108,0.098,0.179,0.091,0.173
"P32","Julio Zamora a intendente por un partido vecinal",0.068,0.05,0.589,0.154,0.077,0.27,0.155
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.021,0.007,0.205,0.638,0.106,0.012,0.036
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.026,0.017,0.013,0.087,0.277,0.034,0
"P32","En blanco",0.019,0.025,0.005,0.009,0.256,0.256,0.065
"P32","No sabe",0.02,0.021,0.015,0.005,0,0.218,0.316
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.884,0.046,0.211,0.002,0.13,0.125,0.199
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.014,0.782,0.143,0.121,0.041,0.201,0.327
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.023,0.034,0.367,0.637,0.159,0.132,0.083
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.021,0.005,0.051,0.142,0.212,0,0
"P33","En blanco",0.021,0.026,0.097,0.063,0.216,0.099,0.026
"P33","No sabe",0.037,0.107,0.131,0.035,0.242,0.443,0.365
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.855,0.08,0.139,0.002,0.121,0.127,0.147
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.015,0.76,0.091,0.119,0.036,0.204,0.327
"P34","Julio Zamora a intendente por un partido vecinal",0.059,0.039,0.469,0.136,0.128,0.175,0.107
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.02,0.017,0.119,0.648,0.202,0.013,0.01
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.021,0.009,0.078,0.07,0.218,0.048,0
"P34","En blanco",0.009,0.058,0.05,0.024,0.249,0.154,0.181
"P34","No sabe",0.021,0.037,0.054,0.001,0.046,0.279,0.228
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.721,0.071,0.176,0.021,0.093,0.048,0.107
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.105,0.114,0.264,0.087,0.125,0.091,0.132
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.022,0.371,0.103,0.134,0.095,0.117,0.269
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.11,0.373,0.147,0.045,0.157,0.129,0.093
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.023,0.029,0.221,0.689,0.207,0.142,0.011
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.005,0.013,0.022,0.267,0.03,0.019
"P35","En blanco",0,0.012,0.054,0.002,0,0.153,0.085
"P35","No sabe",0.016,0.025,0.022,0,0.056,0.29,0.284
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.826,0.061,0.197,0.005,0.121,0.096,0.081
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.013,0.341,0.068,0.128,0.158,0.181,0.278
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.073,0.459,0.055,0.067,0.024,0.151,0.191
"P36","Julio Zamora a intendente por un partido vecinal",0.034,0.055,0.411,0.053,0.041,0.228,0.092
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.025,0.052,0.211,0.708,0.284,0.013,0.011
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0.007,0.005,0.019,0.259,0.005,0
"P36","En blanco",0,0,0.044,0.007,0.022,0.157,0.093
"P36","No sabe",0.028,0.025,0.009,0.013,0.091,0.169,0.254
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.879,0.076,0.163,0,0.148,0.093,0.099
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.026,0.734,0.154,0.085,0.143,0.107,0.315
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.049,0.096,0.314,0.666,0.059,0.145,0.027
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.008,0.002,0.105,0.076,0.134,0.02,0.074
"P37","En blanco",0.033,0.049,0.128,0.121,0.342,0.156,0
"P37","No sabe",0.005,0.043,0.136,0.052,0.174,0.479,0.485
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.896,0.07,0.074,0.007,0.147,0.093,0.117
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.04,0.807,0.086,0.124,0.144,0.168,0.299
"P38","Julio Zamora a intendente por un partido vecinal",0.041,0.036,0.551,0.131,0.088,0.097,0.019
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.003,0.02,0.244,0.615,0.146,0.013,0.012
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.019,0.016,0.031,0.106,0.295,0.057,0
"P38","En blanco",0.001,0.027,0.008,0.015,0.111,0.341,0.097
"P38","No sabe",0,0.024,0.006,0.002,0.069,0.231,0.456
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.878,0.064,0.16,0.002,0.147,0.108,0.106
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.065,0.812,0.191,0.14,0.047,0.262,0.418
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.019,0.018,0.345,0.66,0.07,0.112,0.012
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.01,0.113,0.105,0.23,0,0
"P39","En blanco",0.025,0.027,0.062,0.078,0.228,0.154,0.019
"P39","No sabe",0.013,0.069,0.129,0.015,0.278,0.364,0.445
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.623,0.259,0.086,0.061,0.194,0.124,0.138
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.298,0.598,0.131,0.131,0.013,0.284,0.358
"P40","Julio Zamora a intendente por un partido vecinal",0.053,0.049,0.49,0.192,0,0.108,0.038
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.014,0.184,0.557,0.152,0,0.012
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.019,0.021,0.039,0.031,0.33,0.015,0
"P40","En blanco",0.005,0.018,0.07,0.011,0.137,0.439,0
"P40","No sabe",0,0.041,0,0.017,0.174,0.03,0.454
"P41","Muy buena",0.479,0.082,0.04,0.031,0.09,0.095,0.079
"P41","Buena",0.237,0.159,0.133,0.024,0,0.142,0.108
"P41","Ni buena ni mala",0.177,0.146,0.23,0.17,0.267,0.157,0.078
"P41","Mala",0.058,0.162,0.118,0.21,0.242,0.156,0.211
"P41","Muy mala",0.049,0.429,0.46,0.562,0.318,0.42,0.431
"P41","No sabe",0,0.022,0.019,0.003,0.083,0.03,0.093
"P42","Muy buena",0.307,0.058,0.328,0.037,0.111,0.165,0.1
"P42","Buena",0.296,0.138,0.186,0.085,0.07,0.022,0.21
"P42","Ni buena ni mala",0.23,0.319,0.059,0.148,0.297,0.288,0.321
"P42","Mala",0.065,0.203,0.142,0.196,0.189,0.027,0.108
"P42","Muy mala",0.063,0.253,0.278,0.517,0.333,0.491,0.204
"P42","No sabe",0.039,0.029,0.007,0.017,0,0.007,0.057
"P43","Muy buena",0.12,0.279,0.06,0.1,0.187,0.079,0.137
"P43","Buena",0.095,0.373,0.21,0.19,0.02,0.106,0.109
"P43","Ni buena ni mala",0.214,0.223,0.273,0.37,0.115,0.272,0.278
"P43","Mala",0.244,0.019,0.076,0.101,0.068,0.067,0.114
"P43","Muy mala",0.254,0.073,0.324,0.209,0.61,0.434,0.216
"P43","No sabe",0.073,0.033,0.057,0.03,0,0.042,0.146
"P44","Muy buena",0.073,0.202,0.069,0.1,0.056,0.055,0.19
"P44","Buena",0.063,0.334,0.213,0.135,0.015,0.241,0.126
"P44","Ni buena ni mala",0.262,0.263,0.311,0.431,0.245,0.373,0.357
"P44","Mala",0.23,0.039,0.094,0.094,0.072,0.03,0.059
"P44","Muy mala",0.25,0.059,0.229,0.172,0.582,0.239,0.116
"P44","No sabe",0.122,0.103,0.084,0.068,0.03,0.062,0.152
"P45","Muy buena",0.258,0.063,0.267,0.039,0.089,0.05,0.111
"P45","Buena",0.304,0.177,0.294,0.112,0.161,0.27,0.222
"P45","Ni buena ni mala",0.237,0.396,0.215,0.189,0.097,0.082,0.225
"P45","Mala",0.067,0.162,0.061,0.27,0.084,0.524,0.156
"P45","Muy mala",0.075,0.187,0.144,0.385,0.419,0.074,0.139
"P45","No sabe",0.059,0.015,0.019,0.005,0.15,0,0.147
"P46","Que continúe el intendente Julio Zamora",0.221,0.065,0.285,0.044,0.142,0.149,0.132
"P46","Que continúe Julio Zamora pero con mejoras",0.346,0.125,0.311,0.11,0.224,0.065,0.234
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.188,0.218,0.161,0.1,0.198,0.277,0.233
"P46","Que cambie el intendente Julio Zamora",0.245,0.592,0.243,0.746,0.436,0.509,0.401
"P47","Es kirchnerista",0.151,0.167,0.281,0.182,0.184,0.166,0.225
"P47","Forma parte del Frente de Todos",0.373,0.344,0.253,0.236,0.092,0.057,0.17
"P47","Es un hombre de Massa",0.183,0.14,0.172,0.101,0.188,0.082,0.118
"P47","Es un peronista independiente de centro",0.112,0.099,0.157,0.139,0.297,0.223,0.153
"P47","Es un oportunista y está donde le conviene",0.089,0.159,0.059,0.285,0.193,0.428,0.172
"P47","No sabe",0.092,0.091,0.078,0.057,0.046,0.044,0.162
"P48","El tránsito",0.324,0.241,0.345,0.239,0.111,0.117,0.324
"P48","El arreglo de las calles",0.142,0.092,0.107,0.062,0.076,0.007,0.067
"P48","Los parques y espacios públicos",0.106,0.076,0.107,0.041,0.024,0.093,0.102
"P48","El sistema de salud",0.056,0.043,0.014,0.055,0.102,0.114,0.041
"P48","La limpieza de las calles",0.137,0.085,0.055,0.082,0.361,0.373,0.076
"P48","El deporte y la cultura",0.05,0.131,0.147,0.114,0.019,0.104,0.136
"P48","La obra pública",0.043,0.019,0.052,0.023,0.024,0,0
"P48","La luminaria",0.065,0.078,0.047,0.052,0,0.034,0.053
"P48","No sabe",0.077,0.235,0.126,0.332,0.283,0.158,0.201
"P49","El tránsito",0.204,0.302,0.185,0.224,0.27,0.12,0.129
"P49","El arreglo de las calles",0.129,0.139,0.063,0.08,0.147,0.05,0.028
"P49","Los parques y espacios públicos",0.176,0.143,0.148,0.156,0.015,0.228,0.094
"P49","El sistema de salud",0.06,0.073,0.113,0.108,0.121,0.111,0.238
"P49","La limpieza de las calles",0.2,0.132,0.176,0.22,0.318,0.2,0.073
"P49","El deporte y la cultura",0.052,0.056,0.035,0.032,0.061,0,0.041
"P49","La obra pública",0.042,0.019,0.015,0.058,0.024,0,0.09
"P49","La luminaria",0.032,0.002,0.043,0.002,0,0.011,0.041
"P49","No sabe",0.105,0.134,0.222,0.12,0.044,0.28,0.266
"P50","Agua corriente y cloacas",0.307,0.562,0.445,0.356,0.458,0.434,0.349
"P50","Energía eléctrica",0.2,0.128,0.093,0.152,0.034,0.155,0.014
"P50","Red de gas natural",0.109,0.047,0.098,0.159,0.147,0.037,0.116
"P50","Recolección de residuos",0.174,0.088,0.183,0.133,0.024,0.116,0.093
"P50","Ninguno",0.21,0.175,0.181,0.2,0.337,0.258,0.428
"P51","Los robos",0.316,0.398,0.28,0.297,0.304,0.301,0.165
"P51","El narcotráfico",0.243,0.317,0.247,0.299,0.158,0.293,0.345
"P51","La ausencia de patrulleros y personal policial",0.142,0.086,0.183,0.11,0.146,0.112,0.215
"P51","Otro",0.169,0.139,0.163,0.145,0.044,0.191,0.132
"P51","Ninguno",0.13,0.06,0.127,0.149,0.348,0.103,0.143
"P52","Muy buena",0.226,0.062,0.039,0.016,0.044,0.162,0.047
"P52","Buena",0.278,0.051,0.16,0.05,0.062,0.164,0.223
"P52","Ni buena ni mala",0.25,0.067,0.192,0.044,0.015,0.128,0.043
"P52","Mala",0.142,0.096,0.117,0.065,0.202,0.185,0.03
