"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.025,0.295,0.053,0.031,0.076,0.09
"P19","Julio Zamora a intendente por un partido vecinal",0.165,0.061,0.259,0.049,0.144,0.113
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.06,0.093,0.551,0.141,0.198,0.09
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0.001,0.011,0.244,0.053,0.021
"P19","En blanco",0.033,0.011,0.016,0.018,0.119,0.129
"P19","No sabe",0.037,0.02,0.012,0.2,0.152,0.177
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.64,0.092,0.023,0.217,0.134,0.151
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.056,0.616,0.059,0.05,0.144,0.178
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.099,0.139,0.736,0.154,0.209,0.167
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.058,0.017,0.025,0.318,0.074,0.024
"P20","En blanco",0.051,0.052,0.108,0.018,0.193,0.087
"P20","No sabe",0.096,0.084,0.049,0.243,0.246,0.393
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.621,0.068,0.019,0.178,0.206,0.162
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.057,0.606,0.048,0.039,0.111,0.188
"P21","Julio Zamora a intendente por un partido vecinal",0.158,0.08,0.117,0.048,0.215,0.122
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.075,0.132,0.73,0.17,0.179,0.146
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.02,0.02,0.042,0.288,0.051,0.019
"P21","En blanco",0.021,0.028,0.016,0.235,0.116,0.144
"P21","No sabe",0.048,0.066,0.028,0.042,0.122,0.219
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.669,0.072,0.011,0.252,0.247,0.235
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.062,0.692,0.097,0.182,0.115,0.26
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.087,0.13,0.69,0.066,0.209,0.035
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.04,0.023,0.133,0.257,0.082,0.052
"P22","En blanco",0.034,0.012,0.031,0.042,0.122,0.076
"P22","No sabe",0.108,0.071,0.038,0.201,0.225,0.342
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.629,0.085,0.004,0.286,0.252,0.161
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.069,0.655,0.108,0.179,0.11,0.239
"P23","Julio Zamora a intendente por un partido vecinal",0.166,0.087,0.194,0.056,0.152,0.081
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.055,0.068,0.607,0.139,0.156,0.056
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.019,0.003,0.037,0.135,0.04,0.063
"P23","En blanco",0.024,0.051,0.029,0.14,0.106,0.154
"P23","No sabe",0.038,0.051,0.021,0.065,0.184,0.246
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.603,0.052,0.039,0.198,0.141,0.134
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.123,0.082,0.039,0.058,0.077,0.118
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.077,0.497,0.152,0.205,0.115,0.225
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.105,0.257,0.051,0.131,0.142,0.096
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.045,0.074,0.694,0.07,0.174,0.075
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0.008,0.014,0.199,0.123,0.058
"P24","En blanco",0.01,0.013,0.003,0.039,0.042,0.099
"P24","No sabe",0.024,0.017,0.008,0.1,0.186,0.195
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.583,0.049,0.049,0.209,0.104,0.157
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.064,0.493,0.104,0.183,0.172,0.182
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.073,0.278,0.079,0.053,0.122,0.112
"P25","Julio Zamora a intendente por un partido vecinal",0.176,0.046,0.028,0.166,0.121,0.157
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.049,0.084,0.715,0.062,0.247,0.069
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.012,0.004,0.014,0.196,0.094,0.064
"P25","En blanco",0.003,0.015,0,0,0.071,0.058
"P25","No sabe",0.04,0.031,0.011,0.131,0.069,0.201
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.653,0.084,0.022,0.343,0.324,0.241
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.079,0.605,0.058,0,0.206,0.106
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.103,0.13,0.675,0.065,0.093,0.146
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.042,0.043,0.035,0.204,0,0.031
"P26","En blanco",0.026,0.075,0.17,0.029,0.151,0.181
"P26","No sabe",0.097,0.063,0.04,0.359,0.226,0.295
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.621,0.075,0.017,0.071,0.182,0.173
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.069,0.619,0.045,0.141,0.297,0.173
"P27","Julio Zamora a intendente por un partido vecinal",0.185,0.081,0.187,0.128,0.08,0.17
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.052,0.113,0.638,0.098,0.115,0.064
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.014,0.095,0.219,0.045,0.066
"P27","En blanco",0.023,0.033,0.014,0.276,0.19,0.21
"P27","No sabe",0.035,0.065,0.004,0.067,0.091,0.144
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.709,0.086,0.025,0.197,0.217,0.243
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.079,0.703,0.114,0.282,0.21,0.274
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.078,0.116,0.654,0.023,0.103,0.122
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0.011,0.122,0.114,0.05,0.04
"P28","En blanco",0.026,0.034,0.058,0.135,0.231,0.109
"P28","No sabe",0.085,0.05,0.027,0.249,0.189,0.212
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.659,0.062,0.033,0.064,0.267,0.198
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.081,0.695,0.154,0.266,0.12,0.305
"P29","Julio Zamora a intendente por un partido vecinal",0.185,0.086,0.192,0.08,0.042,0.229
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.039,0.082,0.56,0.059,0.159,0.049
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.017,0.04,0.29,0.158,0.03
"P29","En blanco",0.012,0.024,0.006,0.146,0.158,0.069
"P29","No sabe",0.019,0.034,0.015,0.095,0.096,0.12
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.651,0.043,0.006,0.192,0.139,0.193
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.059,0.365,0.104,0.141,0.141,0.176
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.058,0.454,0.079,0,0.078,0.144
"P30","Julio Zamora a intendente por un partido vecinal",0.203,0.059,0.069,0.112,0.052,0.195
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.014,0.058,0.722,0.032,0.328,0.079
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0,0,0.149,0.101,0
"P30","En blanco",0.006,0.004,0.017,0.057,0.092,0.047
"P30","No sabe",0.008,0.017,0.003,0.317,0.069,0.166
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.667,0.08,0.025,0.104,0.167,0.178
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.096,0.636,0.107,0.018,0.153,0.275
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.085,0.174,0.654,0.225,0.156,0.06
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.033,0.024,0.005,0.238,0.041,0.036
"P31","En blanco",0.046,0.035,0.16,0,0.265,0.107
"P31","No sabe",0.073,0.051,0.049,0.415,0.218,0.344
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.629,0.053,0.009,0.207,0.183,0.171
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.065,0.666,0.138,0.029,0.103,0.225
"P32","Julio Zamora a intendente por un partido vecinal",0.228,0.118,0.178,0.08,0.26,0.133
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.04,0.101,0.566,0.071,0.056,0.097
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.007,0.009,0.083,0.208,0.187,0.064
"P32","En blanco",0.01,0.016,0.021,0.187,0.198,0.172
"P32","No sabe",0.021,0.037,0.005,0.218,0.013,0.138
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.698,0.05,0.045,0.179,0.205,0.232
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.06,0.689,0.08,0.229,0.186,0.209
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.078,0.132,0.619,0.039,0.222,0.09
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.038,0.004,0.148,0.155,0,0
"P33","En blanco",0.045,0.034,0.065,0,0.12,0.15
"P33","No sabe",0.081,0.091,0.043,0.398,0.267,0.319
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.645,0.063,0.028,0.215,0.282,0.237
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.064,0.685,0.066,0.016,0.142,0.198
"P34","Julio Zamora a intendente por un partido vecinal",0.163,0.086,0.174,0.143,0.173,0.18
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.037,0.08,0.581,0.072,0.073,0.052
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.006,0.024,0.089,0.134,0.157,0.08
"P34","En blanco",0.058,0.043,0.023,0.193,0.105,0.05
"P34","No sabe",0.027,0.019,0.039,0.227,0.068,0.203
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.595,0.038,0.024,0.284,0.165,0.137
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.222,0.095,0.061,0,0.064,0.155
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.036,0.403,0.077,0.06,0.078,0.133
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.089,0.333,0.103,0.01,0.153,0.222
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.013,0.115,0.672,0.09,0.328,0.066
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0.006,0.024,0.265,0.011,0.017
"P35","En blanco",0.016,0,0.028,0.069,0.118,0.039
"P35","No sabe",0.024,0.01,0.011,0.222,0.083,0.231
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.67,0.059,0.012,0.22,0.135,0.146
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.041,0.34,0.083,0.107,0.042,0.246
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.058,0.431,0.046,0,0.105,0.223
"P36","Julio Zamora a intendente por un partido vecinal",0.186,0.087,0.053,0.092,0.039,0.116
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.017,0.052,0.742,0.049,0.527,0.042
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.007,0.016,0.254,0.009,0
"P36","En blanco",0.001,0.001,0.037,0.12,0.073,0.043
"P36","No sabe",0.025,0.023,0.011,0.158,0.07,0.184
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.671,0.081,0.024,0.279,0.191,0.221
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.069,0.657,0.09,0.061,0.083,0.238
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.098,0.165,0.604,0.1,0.17,0.097
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.043,0.02,0.065,0.132,0.022,0.018
"P37","En blanco",0.058,0.017,0.159,0.017,0.417,0.116
"P37","No sabe",0.061,0.06,0.058,0.411,0.117,0.31
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.688,0.054,0.027,0.2,0.216,0.216
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.054,0.737,0.096,0.061,0.151,0.206
"P38","Julio Zamora a intendente por un partido vecinal",0.181,0.099,0.121,0.109,0.122,0.12
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.026,0.053,0.65,0.114,0.065,0.033
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.012,0.016,0.095,0.101,0.261,0.052
"P38","En blanco",0.017,0.015,0.011,0.161,0.179,0.16
"P38","No sabe",0.022,0.026,0,0.254,0.006,0.213
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.69,0.054,0.036,0.294,0.235,0.232
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.11,0.739,0.11,0.073,0.182,0.239
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.061,0.109,0.612,0.047,0.249,0.072
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.016,0.028,0.14,0.145,0,0.016
"P39","En blanco",0.048,0.032,0.056,0.022,0.192,0.123
"P39","No sabe",0.075,0.038,0.046,0.419,0.142,0.318
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.465,0.262,0.049,0.184,0.19,0.212
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.286,0.511,0.123,0.013,0.221,0.266
"P40","Julio Zamora a intendente por un partido vecinal",0.166,0.083,0.189,0.11,0.281,0.098
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.024,0.073,0.543,0.05,0.073,0.023
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.011,0.005,0.071,0.214,0.137,0.027
"P40","En blanco",0.032,0.031,0.002,0.352,0.098,0.11
"P40","No sabe",0.016,0.035,0.023,0.077,0,0.264
"P41","Muy buena",0.358,0.086,0.045,0.08,0.022,0.189
"P41","Buena",0.244,0.102,0.02,0.126,0.162,0.151
"P41","Ni buena ni mala",0.226,0.14,0.095,0.233,0.337,0.152
"P41","Mala",0.062,0.165,0.258,0.014,0.041,0.242
"P41","Muy mala",0.1,0.492,0.578,0.547,0.375,0.179
"P41","No sabe",0.01,0.015,0.004,0,0.063,0.087
"P42","Muy buena",0.344,0.081,0.06,0.18,0.023,0.129
"P42","Buena",0.323,0.078,0.078,0.054,0.174,0.182
"P42","Ni buena ni mala",0.205,0.266,0.101,0.214,0.392,0.33
"P42","Mala",0.048,0.235,0.214,0.078,0,0.125
"P42","Muy mala",0.067,0.297,0.541,0.474,0.338,0.191
"P42","No sabe",0.013,0.043,0.006,0,0.073,0.043
"P43","Muy buena",0.116,0.277,0.088,0.038,0.007,0.08
"P43","Buena",0.119,0.348,0.177,0.094,0.083,0.162
"P43","Ni buena ni mala",0.213,0.234,0.309,0.104,0.369,0.469
"P43","Mala",0.218,0.009,0.109,0.078,0.139,0.04
"P43","Muy mala",0.281,0.087,0.29,0.672,0.284,0.137
"P43","No sabe",0.053,0.045,0.027,0.014,0.118,0.112
"P44","Muy buena",0.076,0.207,0.078,0.114,0.024,0.049
"P44","Buena",0.085,0.325,0.166,0.022,0.159,0.144
"P44","Ni buena ni mala",0.26,0.297,0.379,0.224,0.384,0.452
"P44","Mala",0.209,0.045,0.098,0.045,0.019,0.04
"P44","Muy mala",0.253,0.041,0.234,0.595,0.23,0.13
"P44","No sabe",0.117,0.085,0.045,0,0.184,0.185
"P45","Muy buena",0.285,0.086,0.054,0.039,0,0.125
"P45","Buena",0.354,0.143,0.115,0.316,0.167,0.222
"P45","Ni buena ni mala",0.215,0.366,0.193,0.061,0.141,0.261
"P45","Mala",0.047,0.177,0.224,0.235,0.378,0.252
"P45","Muy mala",0.056,0.218,0.4,0.238,0.247,0.028
"P45","No sabe",0.043,0.01,0.014,0.111,0.067,0.112
"P46","Que continúe el intendente Julio Zamora",0.28,0.079,0.069,0.042,0.018,0.155
"P46","Que continúe Julio Zamora pero con mejoras",0.375,0.083,0.109,0.391,0.256,0.207
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.177,0.213,0.125,0.212,0.19,0.194
"P46","Que cambie el intendente Julio Zamora",0.168,0.625,0.697,0.355,0.536,0.444
"P47","Es kirchnerista",0.17,0.208,0.194,0.129,0.192,0.179
"P47","Forma parte del Frente de Todos",0.386,0.291,0.188,0.165,0.258,0.126
"P47","Es un hombre de Massa",0.159,0.131,0.155,0.153,0.116,0.148
"P47","Es un peronista independiente de centro",0.109,0.113,0.17,0.301,0.28,0.064
"P47","Es un oportunista y está donde le conviene",0.093,0.17,0.242,0.252,0.013,0.325
"P47","No sabe",0.083,0.087,0.051,0,0.141,0.158
"P48","El tránsito",0.345,0.223,0.255,0.103,0.329,0.241
"P48","El arreglo de las calles",0.104,0.097,0.108,0,0.059,0.091
"P48","Los parques y espacios públicos",0.085,0.074,0.052,0.125,0.292,0.031
"P48","El sistema de salud",0.055,0.045,0.054,0.086,0,0.034
"P48","La limpieza de las calles",0.133,0.078,0.088,0.302,0.116,0.194
"P48","El deporte y la cultura",0.08,0.096,0.114,0.304,0.163,0.072
"P48","La obra pública",0.025,0.066,0,0,0,0.018
"P48","La luminaria",0.061,0.081,0.056,0,0,0.019
"P48","No sabe",0.112,0.24,0.273,0.08,0.041,0.3
"P49","El tránsito",0.196,0.251,0.284,0.143,0.18,0.133
"P49","El arreglo de las calles",0.086,0.097,0.145,0.086,0.025,0.163
"P49","Los parques y espacios públicos",0.189,0.153,0.109,0.032,0.192,0.146
"P49","El sistema de salud",0.091,0.068,0.113,0.349,0.042,0.039
"P49","La limpieza de las calles",0.19,0.147,0.173,0.341,0.108,0.292
"P49","El deporte y la cultura",0.035,0.047,0.049,0,0.109,0.038
"P49","La obra pública",0.037,0.048,0.019,0,0.029,0.024
"P49","La luminaria",0.036,0.009,0.013,0,0.008,0.009
"P49","No sabe",0.14,0.18,0.095,0.049,0.307,0.156
"P50","Agua corriente y cloacas",0.362,0.508,0.415,0.194,0.389,0.418
"P50","Energía eléctrica",0.102,0.172,0.14,0.127,0.279,0.095
"P50","Red de gas natural",0.096,0.095,0.125,0.036,0.109,0.093
"P50","Recolección de residuos",0.152,0.097,0.18,0.131,0.129,0.082
"P50","Ninguno",0.288,0.128,0.14,0.512,0.094,0.312
"P51","Los robos",0.282,0.337,0.349,0.371,0.312,0.32
"P51","El narcotráfico",0.249,0.257,0.335,0.186,0.329,0.372
"P51","La ausencia de patrulleros y personal policial",0.161,0.149,0.057,0.08,0.048,0.185
"P51","Otro",0.153,0.159,0.135,0.136,0.263,0.086
"P51","Ninguno",0.155,0.098,0.124,0.227,0.048,0.037
"P52","Muy buena",0.181,0.06,0.025,0.043,0.071,0.085
"P52","Buena",0.244,0.034,0.097,0.215,0.235,0.136
"P52","Ni buena ni mala",0.23,0.091,0.028,0.263,0.109,0.052
"P52","Mala",0.156,0.081,0.059,0.115,0.079,0.192
"P52","Muy mala",0.167,0.724,0.791,0.339,0.498,0.535
"P52","No sabe",0.022,0.01,0,0.025,0.008,0
"P53","Muy buena",0.145,0.343,0.159,0.043,0.107,0.113
"P53","Buena",0.098,0.268,0.238,0.103,0.167,0.112
"P53","Ni buena ni mala",0.063,0.147,0.12,0.11,0.058,0.403
"P53","Mala",0.151,0.084,0.218,0.014,0.13,0.188
"P53","Muy mala",0.533,0.15,0.265,0.73,0.4,0.184
"P53","No sabe",0.01,0.008,0,0,0.138,0
"P54","Muy buena",0.621,0.06,0.066,0.232,0.238,0.044
"P54","Buena",0.101,0.054,0.054,0.191,0,0.068
"P54","Ni buena ni mala",0.063,0.045,0.042,0.029,0,0.204
"P54","Mala",0.039,0.08,0.045,0.085,0.069,0.073
"P54","Muy mala",0.176,0.757,0.793,0.345,0.658,0.611
"P54","No sabe",0,0.004,0,0.118,0.035,0
"P55","Muy buena",0.158,0.13,0.023,0.05,0.147,0.056
"P55","Buena",0.082,0.343,0.135,0.117,0.038,0.312
"P55","Ni buena ni mala",0.136,0.246,0.208,0.049,0.211,0.279
"P55","Mala",0.179,0.112,0.191,0.084,0.243,0.124
"P55","Muy mala",0.44,0.168,0.443,0.7,0.361,0.172
"P55","No sabe",0.005,0.001,0,0,0,0.057
"P56","Muy buena",0.26,0.044,0.026,0.065,0.087,0.051
"P56","Buena",0.207,0.063,0.042,0.172,0.039,0.151
"P56","Ni buena ni mala",0.221,0.095,0.06,0.09,0.25,0.206
"P56","Mala",0.085,0.152,0.075,0,0.126,0.059
"P56","Muy mala",0.227,0.642,0.795,0.673,0.468,0.48
"P56","No sabe",0,0.004,0.002,0,0.03,0.053
"P57","Muy buena",0.426,0.043,0.018,0.34,0.103,0.121
"P57","Buena",0.234,0.04,0.029,0.131,0,0.044
"P57","Ni buena ni mala",0.138,0.134,0.094,0.033,0.297,0.232
"P57","Mala",0.049,0.18,0.134,0.112,0.194,0.083
"P57","Muy mala",0.114,0.571,0.678,0.368,0.406,0.253
"P57","No sabe",0.039,0.032,0.047,0.016,0,0.267
"P58","Muy buena",0.105,0.502,0.224,0.049,0.136,0.245
"P58","Buena",0.073,0.26,0.225,0,0.142,0.396
"P58","Ni buena ni mala",0.073,0.107,0.184,0.101,0.272,0.091
"P58","Mala",0.148,0.032,0.145,0.126,0.043,0.016
"P58","Muy mala",0.601,0.095,0.2,0.701,0.407,0.211
"P58","No sabe",0,0.004,0.022,0.023,0,0.041
