"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.028,0.779,0.206,0.179,0.184,0.215
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.051,0.031,0.616,0.223,0.43,0.087
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.021,0.008,0.069,0.418,0.148,0.033
"P22","En blanco",0.032,0.021,0.012,0.062,0.149,0.015
"P22","No sabe",0.06,0.117,0.036,0.046,0.059,0.481
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.788,0.035,0.087,0.135,0.027,0.119
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.025,0.804,0.183,0.096,0.113,0.251
"P23","Julio Zamora a intendente por un partido vecinal",0.066,0.034,0.207,0.277,0.318,0.197
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.021,0.034,0.465,0.203,0.34,0.055
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.009,0.008,0.143,0.108,0.006
"P23","En blanco",0.04,0.033,0.022,0.094,0.074,0.15
"P23","No sabe",0.042,0.051,0.028,0.052,0.02,0.222
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.705,0.015,0.134,0.106,0.035,0.128
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.07,0.112,0.044,0.227,0.097,0.149
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.022,0.576,0.199,0.234,0.154,0.291
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.125,0.244,0.084,0.165,0.14,0.014
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.024,0.02,0.525,0.126,0.48,0.105
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0.02,0.007,0.108,0.03,0.062
"P24","En blanco",0.001,0.009,0.004,0.034,0.055,0.031
"P24","No sabe",0.037,0.004,0.003,0,0.009,0.22
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.732,0.006,0.103,0.163,0.036,0.039
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.024,0.586,0.159,0.048,0.123,0.216
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.109,0.345,0.082,0.045,0.004,0.074
"P25","Julio Zamora a intendente por un partido vecinal",0.072,0.026,0.046,0.506,0.124,0.289
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.026,0.003,0.583,0.067,0.59,0.072
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0.001,0.001,0.137,0.053,0.062
"P25","En blanco",0,0.022,0,0.034,0.062,0.007
"P25","No sabe",0.024,0.011,0.026,0,0.008,0.241
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.831,0.007,0.036,0.008,0,0.051
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.038,0.862,0.052,0.081,0.035,0.065
"P27","Julio Zamora a intendente por un partido vecinal",0.089,0.05,0.271,0.365,0.096,0.21
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.001,0.027,0.598,0.268,0.436,0.057
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.024,0.001,0.023,0.184,0.27,0.012
"P27","En blanco",0.009,0.009,0,0.074,0.144,0.329
"P27","No sabe",0.008,0.044,0.02,0.02,0.019,0.276
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.874,0.018,0.08,0.1,0.025,0.122
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.035,0.875,0.176,0.101,0.125,0.258
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.032,0.011,0.611,0.325,0.436,0.06
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.005,0.072,0.37,0.118,0.012
"P28","En blanco",0.032,0.03,0.037,0.074,0.266,0.036
"P28","No sabe",0.026,0.061,0.024,0.03,0.03,0.512
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.81,0.014,0.06,0.026,0.067,0.097
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.054,0.805,0.198,0.237,0.133,0.278
"P29","Julio Zamora a intendente por un partido vecinal",0.08,0.066,0.202,0.32,0.217,0.296
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.011,0.015,0.486,0.281,0.371,0.041
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.03,0.011,0.023,0.136,0.148,0.016
"P29","En blanco",0.003,0.032,0.019,0,0.06,0.122
"P29","No sabe",0.012,0.057,0.012,0,0.004,0.15
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.772,0.006,0.078,0.048,0.045,0.082
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.027,0.396,0.144,0.068,0.106,0.24
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.063,0.503,0.074,0.172,0.104,0.101
"P30","Julio Zamora a intendente por un partido vecinal",0.096,0.062,0.076,0.464,0.165,0.261
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.021,0.006,0.601,0.085,0.483,0.061
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.001,0,0.118,0,0.042
"P30","En blanco",0,0.012,0.023,0,0.062,0.028
"P30","No sabe",0.019,0.014,0.004,0.045,0.035,0.185
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.773,0.06,0.057,0.208,0.088,0.086
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.043,0.8,0.122,0.217,0.077,0.153
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.096,0.069,0.677,0.2,0.181,0.086
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.027,0.013,0.017,0.207,0.054,0.04
"P31","En blanco",0.022,0.032,0.086,0.125,0.489,0.02
"P31","No sabe",0.039,0.026,0.041,0.043,0.111,0.615
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.727,0.053,0.051,0.044,0.042,0.097
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.056,0.82,0.143,0.112,0.081,0.116
"P32","Julio Zamora a intendente por un partido vecinal",0.157,0.054,0.199,0.345,0.288,0.31
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.018,0.007,0.539,0.326,0.223,0.061
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.019,0.007,0.033,0.173,0.254,0.01
"P32","En blanco",0.017,0.031,0.025,0,0.109,0.135
"P32","No sabe",0.006,0.028,0.01,0,0.003,0.271
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.82,0.032,0.097,0.102,0.062,0.11
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.057,0.76,0.158,0.187,0.07,0.207
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.049,0.043,0.565,0.168,0.369,0.187
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.02,0.003,0.095,0.324,0.087,0.005
"P33","En blanco",0.012,0.045,0.038,0.096,0.334,0.013
"P33","No sabe",0.042,0.117,0.047,0.123,0.078,0.478
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.765,0.033,0.092,0.047,0.058,0.091
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.035,0.779,0.148,0.092,0.051,0.201
"P34","Julio Zamora a intendente por un partido vecinal",0.133,0.046,0.183,0.338,0.206,0.176
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.017,0.018,0.476,0.258,0.416,0.052
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.018,0.01,0.039,0.221,0.186,0.039
"P34","En blanco",0.03,0.073,0.024,0.044,0.058,0.162
"P34","No sabe",0.002,0.041,0.038,0,0.025,0.279
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.672,0.05,0.063,0.078,0.058,0.053
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.115,0.138,0.084,0.212,0.133,0.237
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.037,0.376,0.133,0.116,0.083,0.206
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.119,0.379,0.126,0.042,0.062,0.097
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.019,0.018,0.557,0.4,0.529,0.02
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.021,0.003,0.008,0.117,0.058,0.02
"P35","En blanco",0.001,0.013,0.028,0.035,0.026,0.092
"P35","No sabe",0.016,0.023,0.001,0,0.051,0.275
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.745,0.036,0.084,0.039,0.059,0.084
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.044,0.34,0.141,0.075,0.096,0.142
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.06,0.483,0.073,0.152,0.09,0.098
"P36","Julio Zamora a intendente por un partido vecinal",0.083,0.077,0.082,0.403,0.076,0.296
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.044,0.029,0.574,0.203,0.549,0.02
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.021,0.007,0.001,0.102,0.052,0.002
"P36","En blanco",0,0,0.035,0,0.036,0.097
"P36","No sabe",0.003,0.028,0.01,0.026,0.042,0.261
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.806,0.056,0.06,0.059,0.065,0.091
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.053,0.761,0.114,0.206,0.072,0.147
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.07,0.087,0.598,0.289,0.339,0.078
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.007,0.013,0.065,0.218,0.046,0.095
"P37","En blanco",0.042,0.052,0.109,0.204,0.325,0.008
"P37","No sabe",0.022,0.031,0.054,0.024,0.153,0.581
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.797,0.037,0.072,0,0.07,0.088
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.072,0.805,0.141,0.128,0.115,0.166
"P38","Julio Zamora a intendente por un partido vecinal",0.099,0.064,0.179,0.309,0.24,0.172
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.004,0.012,0.552,0.397,0.169,0.073
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.014,0.029,0.034,0.142,0.31,0
"P38","En blanco",0.014,0.025,0.022,0,0.06,0.193
"P38","No sabe",0,0.028,0,0.024,0.036,0.308
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.808,0.03,0.067,0.131,0.07,0.101
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.076,0.821,0.214,0.159,0.056,0.279
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.054,0.012,0.536,0.276,0.403,0.131
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.016,0.104,0.286,0.099,0
"P39","En blanco",0.022,0.043,0.032,0.095,0.322,0.023
"P39","No sabe",0.037,0.078,0.047,0.053,0.05,0.466
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.596,0.233,0.068,0,0.091,0.15
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.251,0.599,0.22,0.067,0.097,0.225
"P40","Julio Zamora a intendente por un partido vecinal",0.103,0.089,0.195,0.464,0.227,0.08
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.015,0.463,0.24,0.303,0.021
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.02,0.005,0.027,0.195,0.116,0.054
"P40","En blanco",0.015,0.013,0.023,0.034,0.096,0.269
"P40","No sabe",0.013,0.046,0.004,0,0.07,0.201
"P41","Muy buena",0.453,0.066,0.022,0,0.088,0.061
"P41","Buena",0.231,0.143,0.062,0.137,0,0.147
"P41","Ni buena ni mala",0.215,0.148,0.17,0.107,0.185,0.146
"P41","Mala",0.054,0.159,0.21,0.249,0.214,0.099
"P41","Muy mala",0.047,0.464,0.522,0.507,0.471,0.484
"P41","No sabe",0,0.02,0.014,0,0.042,0.063
"P42","Muy buena",0.322,0.028,0.045,0.354,0.172,0.272
"P42","Buena",0.279,0.166,0.143,0.04,0.074,0.046
"P42","Ni buena ni mala",0.235,0.32,0.126,0,0.152,0.3
"P42","Mala",0.064,0.183,0.217,0.348,0.076,0.059
"P42","Muy mala",0.066,0.269,0.466,0.258,0.488,0.299
"P42","No sabe",0.034,0.034,0.003,0,0.038,0.024
"P43","Muy buena",0.136,0.269,0.094,0.045,0.112,0.091
"P43","Buena",0.106,0.39,0.148,0.132,0.193,0.183
"P43","Ni buena ni mala",0.197,0.211,0.361,0.286,0.294,0.28
"P43","Mala",0.206,0.016,0.131,0.066,0.046,0.081
"P43","Muy mala",0.291,0.069,0.241,0.46,0.319,0.251
"P43","No sabe",0.064,0.045,0.025,0.011,0.036,0.114
"P44","Muy buena",0.082,0.199,0.119,0.012,0.05,0.082
"P44","Buena",0.082,0.341,0.161,0.162,0.106,0.187
"P44","Ni buena ni mala",0.247,0.264,0.365,0.274,0.537,0.355
"P44","Mala",0.208,0.042,0.126,0.053,0.013,0.036
"P44","Muy mala",0.247,0.064,0.162,0.463,0.247,0.218
"P44","No sabe",0.134,0.09,0.067,0.036,0.047,0.122
"P45","Muy buena",0.266,0.044,0.07,0.208,0.115,0.192
"P45","Buena",0.296,0.213,0.19,0.174,0.068,0.239
"P45","Ni buena ni mala",0.247,0.382,0.194,0.111,0.233,0.131
"P45","Mala",0.06,0.155,0.19,0.128,0.305,0.303
"P45","Muy mala",0.064,0.184,0.337,0.379,0.264,0.096
"P45","No sabe",0.067,0.022,0.019,0,0.015,0.039
"P46","Que continúe el intendente Julio Zamora",0.229,0.038,0.082,0.293,0.216,0.206
"P46","Que continúe Julio Zamora pero con mejoras",0.35,0.157,0.155,0.188,0.116,0.174
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.192,0.207,0.138,0.095,0.157,0.241
"P46","Que cambie el intendente Julio Zamora",0.229,0.598,0.625,0.424,0.511,0.379
"P47","Es kirchnerista",0.186,0.158,0.18,0.248,0.236,0.216
"P47","Forma parte del Frente de Todos",0.34,0.353,0.218,0.277,0.228,0.151
"P47","Es un hombre de Massa",0.182,0.115,0.195,0,0.091,0.114
"P47","Es un peronista independiente de centro",0.125,0.121,0.13,0.415,0.136,0.064
"P47","Es un oportunista y está donde le conviene",0.084,0.157,0.202,0.04,0.294,0.315
"P47","No sabe",0.083,0.096,0.075,0.02,0.015,0.14
"P48","El tránsito",0.35,0.232,0.266,0.295,0.179,0.206
"P48","El arreglo de las calles",0.126,0.081,0.11,0.011,0.067,0.068
"P48","Los parques y espacios públicos",0.091,0.066,0.085,0.111,0.049,0.099
"P48","El sistema de salud",0.053,0.05,0.028,0.164,0.09,0
"P48","La limpieza de las calles",0.129,0.093,0.052,0.153,0.241,0.183
"P48","El deporte y la cultura",0.076,0.154,0.087,0.107,0.079,0.122
"P48","La obra pública",0.032,0.025,0.008,0.035,0.079,0.053
"P48","La luminaria",0.058,0.077,0.06,0,0.066,0.03
"P48","No sabe",0.085,0.222,0.304,0.124,0.15,0.239
"P49","El tránsito",0.221,0.296,0.228,0.38,0.031,0.11
"P49","El arreglo de las calles",0.095,0.119,0.108,0.178,0.058,0.075
"P49","Los parques y espacios públicos",0.188,0.144,0.129,0.095,0.193,0.123
"P49","El sistema de salud",0.088,0.082,0.101,0.121,0.056,0.137
"P49","La limpieza de las calles",0.184,0.149,0.187,0.147,0.377,0.107
"P49","El deporte y la cultura",0.045,0.05,0.033,0.011,0.094,0.024
"P49","La obra pública",0.041,0.019,0.03,0.02,0.072,0.04
"P49","La luminaria",0.04,0.01,0.014,0,0.012,0
"P49","No sabe",0.098,0.131,0.17,0.048,0.107,0.384
"P50","Agua corriente y cloacas",0.324,0.553,0.406,0.388,0.25,0.52
"P50","Energía eléctrica",0.149,0.135,0.165,0.08,0.14,0.085
"P50","Red de gas natural",0.128,0.059,0.072,0.113,0.294,0.026
"P50","Recolección de residuos",0.178,0.083,0.177,0.136,0.093,0.058
"P50","Ninguno",0.221,0.17,0.18,0.283,0.223,0.311
"P51","Los robos",0.339,0.368,0.298,0.265,0.235,0.277
"P51","El narcotráfico",0.22,0.313,0.337,0.171,0.306,0.246
"P51","La ausencia de patrulleros y personal policial",0.167,0.096,0.086,0.146,0.245,0.11
"P51","Otro",0.148,0.159,0.154,0.176,0.125,0.142
"P51","Ninguno",0.126,0.064,0.125,0.242,0.089,0.225
"P52","Muy buena",0.206,0.046,0.038,0,0.073,0.088
"P52","Buena",0.249,0.065,0.08,0.035,0.11,0.23
"P52","Ni buena ni mala",0.259,0.049,0.049,0.16,0.113,0.146
"P52","Mala",0.14,0.11,0.086,0.1,0.033,0.148
"P52","Muy mala",0.123,0.727,0.747,0.705,0.621,0.378
"P52","No sabe",0.023,0.003,0,0,0.05,0.01
"P53","Muy buena",0.162,0.316,0.181,0.179,0.1,0.163
"P53","Buena",0.083,0.279,0.222,0.19,0.19,0.14
"P53","Ni buena ni mala",0.07,0.146,0.119,0.08,0.199,0.207
"P53","Mala",0.147,0.073,0.212,0.155,0.127,0.115
"P53","Muy mala",0.511,0.177,0.266,0.396,0.384,0.361
"P53","No sabe",0.027,0.009,0,0,0,0.014
"P54","Muy buena",0.675,0.039,0.091,0.228,0.063,0.198
"P54","Buena",0.077,0.063,0.028,0.066,0.136,0.17
"P54","Ni buena ni mala",0.076,0.054,0.046,0.074,0.058,0.028
"P54","Mala",0.037,0.106,0.05,0.069,0.074,0.004
"P54","Muy mala",0.12,0.73,0.783,0.563,0.669,0.6
"P54","No sabe",0.015,0.008,0.002,0,0,0
"P55","Muy buena",0.18,0.12,0.032,0.034,0.081,0.13
"P55","Buena",0.076,0.385,0.178,0.071,0.141,0.136
"P55","Ni buena ni mala",0.091,0.253,0.155,0.281,0.416,0.249
"P55","Mala",0.195,0.076,0.237,0.013,0.13,0.132
"P55","Muy mala",0.452,0.165,0.398,0.601,0.232,0.315
"P55","No sabe",0.006,0.001,0,0,0,0.038
"P56","Muy buena",0.295,0.047,0.027,0,0.02,0.105
"P56","Buena",0.255,0.079,0.052,0.025,0.011,0.064
"P56","Ni buena ni mala",0.226,0.064,0.129,0.147,0.187,0.103
"P56","Mala",0.067,0.176,0.08,0,0.16,0.068
"P56","Muy mala",0.157,0.634,0.703,0.828,0.622,0.618
"P56","No sabe",0,0,0.009,0,0,0.042
"P57","Muy buena",0.519,0.03,0.054,0,0.05,0.083
"P57","Buena",0.258,0.044,0.015,0.098,0.082,0.044
"P57","Ni buena ni mala",0.088,0.16,0.14,0.164,0.122,0.217
"P57","Mala",0.037,0.177,0.131,0.186,0.163,0.112
