"var","categoria","Que continúe el intendente Julio Zamora","Que continúe Julio Zamora pero con mejoras","Que cambie Julio Zamora pero que se mantengan los avances","Que cambie el intendente Julio Zamora"
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.025,0.098,0.078,0.276
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.039,0.042,0.018,0.038
"P29","En blanco",0.003,0.014,0.1,0.019
"P29","No sabe",0,0.028,0.006,0.031
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.411,0.441,0.283,0.126
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.147,0.116,0.15,0.247
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.021,0.115,0.283,0.239
"P30","Julio Zamora a intendente por un partido vecinal",0.37,0.203,0.085,0.02
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.025,0.068,0.123,0.321
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0.031,0.01
"P30","En blanco",0.005,0.021,0.018,0.014
"P30","No sabe",0.021,0.036,0.027,0.023
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.48,0.476,0.287,0.159
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.156,0.165,0.357,0.34
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.115,0.19,0.203,0.322
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.059,0.055,0.017,0.02
"P31","En blanco",0.082,0.036,0.043,0.098
"P31","No sabe",0.108,0.078,0.093,0.061
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.405,0.427,0.308,0.143
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.112,0.135,0.387,0.362
"P32","Julio Zamora a intendente por un partido vecinal",0.423,0.266,0.138,0.05
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.039,0.04,0.065,0.309
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.006,0.049,0.021,0.05
"P32","En blanco",0.015,0.047,0.054,0.043
"P32","No sabe",0,0.036,0.027,0.043
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.476,0.505,0.304,0.141
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.125,0.17,0.311,0.392
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.175,0.168,0.18,0.269
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.064,0.011,0.041,0.074
"P33","En blanco",0.07,0.039,0.032,0.053
"P33","No sabe",0.09,0.107,0.132,0.071
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.407,0.466,0.303,0.134
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.152,0.119,0.3,0.399
"P34","Julio Zamora a intendente por un partido vecinal",0.324,0.251,0.116,0.062
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.014,0.037,0.138,0.292
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.036,0.047,0.023,0.044
"P34","En blanco",0.036,0.041,0.04,0.042
"P34","No sabe",0.031,0.039,0.08,0.027
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.396,0.426,0.213,0.138
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.322,0.104,0.124,0.084
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.108,0.089,0.217,0.231
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.033,0.196,0.193,0.202
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.056,0.09,0.148,0.299
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.034,0.045,0.011,0.013
"P35","En blanco",0.028,0.002,0.067,0.011
"P35","No sabe",0.023,0.048,0.027,0.022
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.421,0.434,0.292,0.125
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.12,0.118,0.129,0.216
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.04,0.121,0.258,0.263
"P36","Julio Zamora a intendente por un partido vecinal",0.364,0.201,0.053,0.018
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.009,0.081,0.167,0.327
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.034,0.021,0.007,0.012
"P36","En blanco",0.005,0.002,0.046,0.007
"P36","No sabe",0.007,0.022,0.048,0.032
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.458,0.511,0.258,0.144
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.155,0.169,0.269,0.345
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.109,0.147,0.293,0.326
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.053,0.058,0.014,0.032
"P37","En blanco",0.079,0.052,0.05,0.096
"P37","No sabe",0.146,0.063,0.116,0.057
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.444,0.489,0.299,0.118
