"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.006,0.025,0.096,0.121,0.055
"P18","En blanco",0.012,0.004,0.003,0,0.138,0.03
"P18","No sabe",0.078,0.03,0.007,0,0.012,0.27
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.712,0.024,0.056,0.063,0.06,0.143
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.047,0.606,0.064,0.137,0.057,0.052
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.024,0.271,0.059,0.019,0.068,0.088
"P19","Julio Zamora a intendente por un partido vecinal",0.112,0.052,0.244,0.195,0.298,0.292
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.034,0.02,0.572,0.513,0.289,0.033
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0,0,0.066,0.133,0.096
"P19","En blanco",0.03,0.015,0.002,0.007,0.083,0.073
"P19","No sabe",0.033,0.012,0.003,0,0.012,0.223
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.725,0.048,0.048,0,0.051,0.201
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.04,0.653,0.045,0.053,0.215,0.135
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.061,0.158,0.676,0.529,0.233,0.042
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.04,0.003,0.062,0.287,0.194,0.092
"P20","En blanco",0.061,0.033,0.159,0.114,0.201,0.062
"P20","No sabe",0.073,0.105,0.01,0.017,0.106,0.468
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.747,0.017,0.034,0.011,0.249,0.089
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.038,0.649,0.021,0.101,0.164,0.194
"P21","Julio Zamora a intendente por un partido vecinal",0.096,0.067,0.198,0.231,0.118,0.277
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.031,0.122,0.675,0.464,0.212,0.093
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.025,0.016,0.041,0.193,0.123,0.063
"P21","En blanco",0.015,0.046,0.023,0,0.102,0.156
"P21","No sabe",0.048,0.083,0.008,0,0.032,0.128
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.816,0.016,0.016,0,0.16,0.202
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.03,0.848,0.051,0.128,0.104,0.094
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.035,0.042,0.768,0.39,0.211,0.08
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0.005,0.131,0.433,0.102,0.014
"P22","En blanco",0.019,0.019,0.017,0.041,0.336,0.009
"P22","No sabe",0.077,0.07,0.017,0.008,0.087,0.601
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.772,0.024,0.077,0,0.184,0.093
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.023,0.847,0.031,0.154,0.066,0.135
"P23","Julio Zamora a intendente por un partido vecinal",0.082,0.046,0.259,0.155,0.153,0.29
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.021,0.017,0.568,0.526,0.165,0.012
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0.014,0.033,0.086,0.102,0.018
"P23","En blanco",0.037,0.019,0.024,0.068,0.166,0.233
"P23","No sabe",0.055,0.033,0.008,0.011,0.164,0.219
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.749,0.022,0.062,0.058,0.187,0.107
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.086,0.107,0.042,0.081,0.127,0.153
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.017,0.653,0.104,0.215,0.023,0.174
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.098,0.173,0.126,0.134,0.143,0.094
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.025,0.016,0.644,0.426,0.305,0.023
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.003,0.017,0.016,0.086,0.015,0.149
"P24","En blanco",0.001,0.003,0.001,0,0.117,0.054
"P24","No sabe",0.021,0.009,0.005,0,0.083,0.246
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.752,0.018,0.083,0.074,0.139,0.046
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.033,0.637,0.024,0.129,0.084,0.086
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.071,0.27,0.068,0.026,0.167,0.109
"P25","Julio Zamora a intendente por un partido vecinal",0.088,0.03,0.076,0.228,0.185,0.289
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.026,0.021,0.721,0.457,0.252,0.053
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.002,0.018,0.086,0.016,0.156
"P25","En blanco",0.002,0.005,0,0,0.157,0.021
"P25","No sabe",0.028,0.017,0.01,0,0,0.24
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.87,0.037,0.049,0.007,0.189,0.101
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.013,0.686,0.012,0.028,0.128,0.17
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.058,0.14,0.675,0.365,0.158,0.068
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.016,0.072,0.373,0.065,0.017
"P26","En blanco",0.006,0.034,0.164,0.202,0.393,0.029
"P26","No sabe",0.038,0.087,0.028,0.025,0.067,0.615
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.833,0.005,0,0.007,0.01,0.033
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.024,0.708,0.009,0.03,0.235,0.103
"P27","Julio Zamora a intendente por un partido vecinal",0.104,0.063,0.307,0.068,0.155,0.292
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.088,0.609,0.742,0.06,0.036
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.003,0.021,0.045,0.153,0.423,0
"P27","En blanco",0.011,0.056,0.028,0,0.108,0.288
"P27","No sabe",0.018,0.059,0.002,0,0.009,0.248
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.847,0.009,0.016,0.021,0.116,0.098
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.037,0.861,0.056,0.211,0.046,0.093
"P29","Julio Zamora a intendente por un partido vecinal",0.077,0.057,0.355,0.064,0.133,0.294
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.041,0.555,0.567,0.178,0.023
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.026,0.003,0.008,0.085,0.335,0.038
"P29","En blanco",0.001,0.01,0.002,0,0.154,0.208
"P29","No sabe",0.008,0.019,0.008,0.052,0.038,0.246
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.792,0.012,0.037,0,0.071,0.094
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.041,0.458,0.054,0.031,0.049,0.056
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.043,0.424,0.072,0.048,0.204,0.177
"P30","Julio Zamora a intendente por un partido vecinal",0.095,0.073,0.099,0.255,0.174,0.343
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.01,0.013,0.729,0.528,0.24,0.019
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0,0.002,0.093,0.026,0.05
"P30","En blanco",0.009,0.01,0.003,0,0.127,0.034
"P30","No sabe",0.009,0.01,0.004,0.045,0.109,0.227
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.802,0.053,0.023,0.121,0.06,0.108
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.035,0.698,0.078,0.151,0.123,0.186
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.071,0.162,0.705,0.203,0.145,0.034
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.024,0.014,0.025,0.198,0.052,0.053
"P31","En blanco",0.012,0.023,0.137,0.327,0.414,0.048
"P31","No sabe",0.056,0.05,0.032,0,0.206,0.571
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.75,0.05,0.006,0,0.047,0.145
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.034,0.722,0.091,0.148,0.107,0.122
"P32","Julio Zamora a intendente por un partido vecinal",0.127,0.087,0.285,0.105,0.324,0.364
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.019,0.065,0.595,0.32,0.068,0.045
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.026,0.009,0.014,0.427,0.175,0
"P32","En blanco",0.015,0.035,0.004,0,0.279,0.109
"P32","No sabe",0.029,0.032,0.005,0,0,0.215
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.854,0.035,0.036,0,0.096,0.141
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.039,0.776,0.029,0.087,0.159,0.048
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.035,0.058,0.741,0.294,0.151,0.124
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.018,0.008,0.117,0.354,0.029,0.021
"P33","En blanco",0.015,0.031,0.037,0.193,0.37,0.058
"P33","No sabe",0.039,0.092,0.04,0.072,0.195,0.608
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.792,0.04,0.024,0,0.188,0.131
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.028,0.782,0.016,0.071,0.085,0.041
"P34","Julio Zamora a intendente por un partido vecinal",0.112,0.062,0.257,0.114,0.228,0.239
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.017,0.025,0.594,0.505,0.054,0.034
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.019,0.013,0.061,0.251,0.178,0.02
"P34","En blanco",0.014,0.049,0.017,0.059,0.267,0.187
"P34","No sabe",0.018,0.029,0.031,0,0,0.348
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.659,0.058,0.066,0,0.084,0.108
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.126,0.132,0.067,0.18,0.221,0.227
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.036,0.429,0.017,0.138,0.073,0.109
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.118,0.325,0.076,0.01,0.202,0.132
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.025,0.023,0.718,0.565,0.151,0.008
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0.006,0.015,0.094,0.141,0.053
"P35","En blanco",0.008,0.005,0.04,0,0.073,0.08
"P35","No sabe",0.027,0.022,0.001,0.013,0.055,0.283
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.767,0.046,0.054,0,0.082,0.078
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.038,0.419,0.011,0.029,0.095,0.062
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.061,0.408,0.052,0.075,0.094,0.149
"P36","Julio Zamora a intendente por un partido vecinal",0.086,0.075,0.113,0.132,0.193,0.339
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.02,0.019,0.699,0.66,0.321,0.023
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0.004,0.018,0.104,0.122,0.012
"P36","En blanco",0,0.005,0.036,0,0.05,0.112
"P36","No sabe",0.027,0.024,0.017,0,0.043,0.225
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.848,0.058,0,0,0.083,0.142
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.039,0.693,0.058,0.057,0.12,0.111
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.064,0.142,0.722,0.096,0.068,0.088
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.007,0.002,0.063,0.344,0.089,0.086
"P37","En blanco",0.027,0.03,0.1,0.383,0.551,0.03
"P37","No sabe",0.015,0.075,0.057,0.12,0.089,0.543
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.833,0.041,0.006,0,0.163,0.097
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.052,0.736,0.071,0.068,0.149,0.104
"P38","Julio Zamora a intendente por un partido vecinal",0.078,0.075,0.254,0.053,0.157,0.319
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.012,0.052,0.611,0.442,0.11,0.016
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.015,0.013,0.043,0.401,0.21,0.059
"P38","En blanco",0.01,0.032,0.015,0.008,0.211,0.129
"P38","No sabe",0,0.051,0,0.028,0,0.276
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.874,0.018,0.003,0,0.195,0.101
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.067,0.832,0.061,0.03,0.132,0.1
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.021,0.042,0.768,0.212,0.14,0.074
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.013,0.118,0.478,0,0.017
"P39","En blanco",0.022,0.022,0.024,0.237,0.396,0.086
"P39","No sabe",0.013,0.073,0.026,0.043,0.137,0.622
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.585,0.237,0.011,0.038,0.188,0.126
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.286,0.582,0.097,0,0.148,0.086
"P40","Julio Zamora a intendente por un partido vecinal",0.096,0.076,0.273,0.294,0.165,0.185
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.023,0.589,0.349,0.071,0
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.026,0.004,0.012,0.264,0.247,0.011
"P40","En blanco",0.005,0.022,0.012,0.047,0.181,0.316
"P40","No sabe",0,0.056,0.006,0.008,0,0.276
"P41","Muy buena",0.452,0.058,0.035,0.031,0.044,0.079
"P41","Buena",0.263,0.124,0.031,0.057,0.087,0.097
"P41","Ni buena ni mala",0.175,0.132,0.189,0.16,0.207,0.293
"P41","Mala",0.063,0.177,0.222,0.18,0.112,0.086
"P41","Muy mala",0.047,0.488,0.512,0.572,0.488,0.377
"P41","No sabe",0,0.021,0.011,0,0.062,0.068
"P42","Muy buena",0.326,0.037,0.096,0.111,0.211,0.32
"P42","Buena",0.294,0.134,0.095,0.053,0.143,0.13
"P42","Ni buena ni mala",0.215,0.282,0.129,0.132,0.181,0.292
"P42","Mala",0.075,0.216,0.175,0.148,0.162,0
"P42","Muy mala",0.056,0.301,0.499,0.556,0.284,0.225
"P42","No sabe",0.034,0.03,0.006,0,0.019,0.033
"P43","Muy buena",0.121,0.244,0.107,0.071,0.1,0.051
"P43","Buena",0.095,0.377,0.158,0.017,0.185,0.108
"P43","Ni buena ni mala",0.213,0.245,0.324,0.301,0.14,0.362
"P43","Mala",0.227,0.015,0.1,0.116,0.11,0.087
"P43","Muy mala",0.28,0.084,0.272,0.474,0.445,0.266
"P43","No sabe",0.064,0.035,0.039,0.021,0.02,0.126
"P44","Muy buena",0.08,0.234,0.04,0.036,0.042,0.033
"P44","Buena",0.065,0.328,0.198,0.05,0.128,0.069
"P44","Ni buena ni mala",0.247,0.301,0.427,0.281,0.229,0.369
"P44","Mala",0.218,0.037,0.098,0.038,0.075,0.085
"P44","Muy mala",0.284,0.034,0.149,0.53,0.347,0.288
"P44","No sabe",0.106,0.066,0.088,0.065,0.179,0.156
"P45","Muy buena",0.266,0.067,0.077,0.056,0.148,0.211
"P45","Buena",0.331,0.193,0.129,0.119,0.179,0.247
"P45","Ni buena ni mala",0.218,0.325,0.257,0.045,0.238,0.162
"P45","Mala",0.059,0.211,0.183,0.154,0.148,0.272
"P45","Muy mala",0.074,0.187,0.333,0.626,0.166,0.061
"P45","No sabe",0.052,0.017,0.021,0,0.121,0.047
"P46","Que continúe el intendente Julio Zamora",0.222,0.065,0.108,0.119,0.205,0.28
"P46","Que continúe Julio Zamora pero con mejoras",0.382,0.131,0.086,0.19,0.279,0.238
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.184,0.183,0.18,0.109,0.029,0.283
"P46","Que cambie el intendente Julio Zamora",0.212,0.621,0.626,0.582,0.487,0.199
"P47","Es kirchnerista",0.151,0.183,0.244,0.147,0.281,0.155
"P47","Forma parte del Frente de Todos",0.378,0.302,0.164,0.326,0.233,0.202
"P47","Es un hombre de Massa",0.17,0.119,0.165,0.055,0.101,0.197
"P47","Es un peronista independiente de centro",0.12,0.123,0.141,0.289,0.174,0.116
"P47","Es un oportunista y está donde le conviene",0.09,0.198,0.219,0.183,0.133,0.174
"P47","No sabe",0.091,0.075,0.067,0,0.078,0.156
"P48","El tránsito",0.324,0.241,0.292,0.169,0.217,0.232
"P48","El arreglo de las calles",0.139,0.083,0.071,0.02,0.181,0.043
"P48","Los parques y espacios públicos",0.103,0.053,0.085,0.055,0.014,0.167
"P48","El sistema de salud",0.051,0.041,0.072,0.079,0.05,0
"P48","La limpieza de las calles",0.13,0.106,0.057,0.229,0.249,0.134
"P48","El deporte y la cultura",0.077,0.125,0.122,0,0.022,0.177
"P48","La obra pública",0.038,0.011,0.03,0.039,0.045,0.063
"P48","La luminaria",0.058,0.081,0.041,0,0.138,0
"P48","No sabe",0.08,0.259,0.23,0.409,0.084,0.184
"P49","El tránsito",0.193,0.26,0.221,0.352,0.213,0.151
"P49","El arreglo de las calles",0.129,0.106,0.076,0.14,0.139,0.029
"P49","Los parques y espacios públicos",0.176,0.151,0.187,0.042,0.027,0.106
"P49","El sistema de salud",0.092,0.08,0.105,0.052,0.115,0.13
"P49","La limpieza de las calles",0.184,0.152,0.18,0.322,0.314,0.148
"P49","El deporte y la cultura",0.047,0.046,0.047,0.013,0.085,0.007
"P49","La obra pública",0.036,0.031,0.043,0,0,0.056
"P49","La luminaria",0.039,0.011,0.012,0,0,0.005
"P49","No sabe",0.104,0.163,0.129,0.079,0.107,0.368
"P50","Agua corriente y cloacas",0.327,0.525,0.369,0.401,0.471,0.422
"P50","Energía eléctrica",0.17,0.135,0.115,0.055,0.16,0.139
"P50","Red de gas natural",0.12,0.059,0.156,0.148,0,0.064
"P50","Recolección de residuos",0.166,0.101,0.189,0.142,0.124,0
"P50","Ninguno",0.217,0.18,0.171,0.254,0.245,0.375
"P51","Los robos",0.328,0.348,0.271,0.455,0.383,0.196
"P51","El narcotráfico",0.253,0.312,0.298,0.193,0.193,0.263
"P51","La ausencia de patrulleros y personal policial",0.146,0.106,0.146,0.076,0.06,0.186
"P51","Otro",0.162,0.147,0.177,0.076,0.111,0.116
"P51","Ninguno",0.111,0.087,0.108,0.2,0.253,0.239
"P52","Muy buena",0.209,0.055,0.007,0.038,0.13,0.079
"P52","Buena",0.262,0.052,0.079,0.041,0.088,0.293
"P52","Ni buena ni mala",0.274,0.05,0.056,0.021,0.119,0.179
"P52","Mala",0.157,0.093,0.064,0.094,0.063,0.17
"P52","Muy mala",0.073,0.75,0.794,0.783,0.6,0.232
"P52","No sabe",0.025,0,0,0.023,0,0.047
"P53","Muy buena",0.13,0.332,0.167,0.146,0.075,0.137
"P53","Buena",0.075,0.296,0.206,0.071,0.139,0.163
"P53","Ni buena ni mala",0.071,0.152,0.149,0.051,0.191,0.135
"P53","Mala",0.148,0.078,0.233,0.126,0.075,0.146
"P53","Muy mala",0.55,0.133,0.242,0.606,0.52,0.419
"P53","No sabe",0.026,0.009,0.003,0,0,0
"P54","Muy buena",0.706,0.03,0.059,0.156,0.09,0.274
"P54","Buena",0.068,0.051,0.048,0,0.137,0.273
"P54","Ni buena ni mala",0.071,0.035,0.054,0.072,0.033,0.114
"P54","Mala",0.04,0.089,0.079,0.019,0,0
"P54","Muy mala",0.115,0.787,0.76,0.753,0.633,0.339
"P54","No sabe",0,0.008,0,0,0.107,0
"P55","Muy buena",0.176,0.098,0.01,0.149,0.098,0.18
"P55","Buena",0.067,0.315,0.177,0.111,0.145,0.224
"P55","Ni buena ni mala",0.08,0.27,0.231,0.224,0.177,0.212
"P55","Mala",0.191,0.146,0.156,0.037,0.176,0.124
"P55","Muy mala",0.48,0.17,0.426,0.479,0.404,0.215
"P55","No sabe",0.006,0.001,0,0,0,0.045
"P56","Muy buena",0.301,0.037,0.007,0.025,0.038,0.137
"P56","Buena",0.278,0.044,0.04,0.013,0.016,0.105
"P56","Ni buena ni mala",0.226,0.054,0.121,0.228,0.183,0.198
"P56","Mala",0.049,0.174,0.073,0.028,0.199,0.074
"P56","Muy mala",0.146,0.688,0.753,0.698,0.564,0.444
"P56","No sabe",0,0.003,0.006,0.008,0,0.042
"P57","Muy buena",0.541,0.009,0.016,0.024,0.068,0.168
"P57","Buena",0.269,0.034,0.036,0.013,0.036,0.051
"P57","Ni buena ni mala",0.08,0.155,0.134,0.082,0.199,0.281
"P57","Mala",0.037,0.175,0.136,0.214,0.145,0.083
"P57","Muy mala",0.039,0.581,0.646,0.637,0.435,0.258
"P57","No sabe",0.034,0.046,0.032,0.03,0.117,0.159
