"var","categoria","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P23","Julio Zamora a intendente por un partido vecinal",0.098,0.088,0.213,0.166,0.186
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.031,0.086,0.532,0.145,0.114
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.019,0.001,0.021,0.136,0.068
"P23","En blanco",0.033,0.03,0.033,0.164,0.122
"P23","No sabe",0.04,0.073,0.011,0.077,0.165
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.674,0.064,0.039,0.188,0.182
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.075,0.092,0.057,0.139,0.141
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.07,0.475,0.169,0.093,0.21
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.101,0.225,0.095,0.199,0.099
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.026,0.084,0.626,0.032,0.125
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.019,0.009,0.002,0.2,0.071
"P24","En blanco",0.009,0.01,0.006,0.034,0.065
"P24","No sabe",0.026,0.041,0.006,0.115,0.107
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.68,0.055,0.053,0.164,0.141
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.066,0.441,0.121,0.171,0.219
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.073,0.272,0.089,0,0.12
"P25","Julio Zamora a intendente por un partido vecinal",0.076,0.094,0.053,0.226,0.219
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.033,0.092,0.665,0.08,0.095
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0.005,0.003,0.231,0.059
"P25","En blanco",0.006,0.01,0.002,0,0.05
"P25","No sabe",0.05,0.031,0.014,0.128,0.097
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.716,0.103,0.08,0.42,0.203
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.067,0.565,0.07,0.038,0.212
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.101,0.152,0.608,0.039,0.1
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.03,0.03,0.057,0.149,0.054
"P26","En blanco",0.035,0.057,0.144,0.115,0.137
"P26","No sabe",0.051,0.093,0.041,0.239,0.294
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.665,0.101,0.04,0.17,0.179
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.098,0.585,0.05,0.117,0.177
"P27","Julio Zamora a intendente por un partido vecinal",0.108,0.093,0.221,0.185,0.213
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.042,0.118,0.6,0.07,0.085
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.03,0.019,0.051,0.15,0.081
"P27","En blanco",0.021,0.037,0.03,0.246,0.13
"P27","No sabe",0.036,0.047,0.008,0.062,0.135
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.781,0.116,0.054,0.354,0.212
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.08,0.668,0.128,0.053,0.267
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.052,0.079,0.668,0.054,0.106
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.027,0.083,0.084,0.076
"P28","En blanco",0.031,0.047,0.055,0.099,0.095
"P28","No sabe",0.039,0.063,0.012,0.356,0.244
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.713,0.116,0.027,0.388,0.2
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.104,0.614,0.188,0.048,0.24
"P29","Julio Zamora a intendente por un partido vecinal",0.103,0.103,0.215,0.166,0.233
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.091,0.497,0.062,0.116
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.028,0.008,0.061,0.102,0.058
"P29","En blanco",0.019,0.02,0.004,0.141,0.083
"P29","No sabe",0.017,0.048,0.008,0.093,0.07
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.737,0.063,0.039,0.177,0.148
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.067,0.346,0.093,0.132,0.136
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.056,0.415,0.064,0.056,0.15
"P30","Julio Zamora a intendente por un partido vecinal",0.1,0.079,0.093,0.227,0.288
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.012,0.068,0.702,0.022,0.086
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0,0,0.101,0.049
"P30","En blanco",0.008,0.016,0.006,0.053,0.038
"P30","No sabe",0.019,0.013,0.003,0.232,0.105
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.736,0.097,0.05,0.194,0.195
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.089,0.631,0.069,0.116,0.151
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.1,0.15,0.641,0.04,0.115
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.007,0.021,0.021,0.182,0.097
"P31","En blanco",0.01,0.032,0.19,0.119,0.146
"P31","No sabe",0.058,0.069,0.029,0.349,0.296
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.696,0.097,0.055,0.163,0.143
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.086,0.614,0.085,0.169,0.155
"P32","Julio Zamora a intendente por un partido vecinal",0.147,0.108,0.242,0.206,0.288
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.021,0.105,0.516,0.089,0.078
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.015,0.006,0.093,0.091,0.092
"P32","En blanco",0.02,0.036,0.004,0.068,0.146
"P32","No sabe",0.015,0.034,0.005,0.214,0.098
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.813,0.086,0.05,0.175,0.172
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.074,0.637,0.068,0.222,0.173
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.048,0.102,0.681,0.031,0.086
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.033,0.014,0.111,0.138,0.054
"P33","En blanco",0.004,0.046,0.063,0.109,0.15
"P33","No sabe",0.028,0.115,0.027,0.325,0.365
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.765,0.112,0.052,0.163,0.136
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.064,0.602,0.073,0.212,0.158
"P34","Julio Zamora a intendente por un partido vecinal",0.092,0.075,0.236,0.198,0.244
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.04,0.084,0.494,0.029,0.1
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.012,0.012,0.117,0.099,0.055
"P34","En blanco",0.022,0.064,0,0.073,0.194
"P34","No sabe",0.005,0.051,0.028,0.226,0.113
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.671,0.058,0.088,0.229,0.107
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.119,0.138,0.081,0.142,0.226
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.038,0.37,0.055,0.166,0.106
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.095,0.346,0.054,0.01,0.169
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.024,0.058,0.689,0.026,0.12
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.033,0.004,0.003,0.09,0.051
"P35","En blanco",0.01,0,0.027,0.073,0.08
"P35","No sabe",0.01,0.026,0.003,0.264,0.141
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.763,0.078,0.086,0.146,0.096
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.054,0.296,0.056,0.197,0.155
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.04,0.427,0.018,0,0.159
"P36","Julio Zamora a intendente por un partido vecinal",0.067,0.092,0.1,0.207,0.282
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.029,0.057,0.705,0.04,0.134
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.036,0.003,0.003,0.057,0.028
"P36","En blanco",0.001,0.002,0.03,0.133,0.052
"P36","No sabe",0.01,0.045,0.002,0.22,0.094
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.748,0.111,0.044,0.271,0.219
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.065,0.632,0.048,0.164,0.12
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.099,0.125,0.663,0.026,0.075
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.007,0.028,0.068,0.114,0.087
"P37","En blanco",0.022,0.035,0.16,0.088,0.228
"P37","No sabe",0.059,0.069,0.017,0.337,0.271
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.783,0.101,0.033,0.171,0.184
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.07,0.674,0.067,0.137,0.157
"P38","Julio Zamora a intendente por un partido vecinal",0.062,0.089,0.217,0.222,0.243
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.037,0.067,0.563,0.073,0.047
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.028,0,0.104,0.068,0.119
"P38","En blanco",0.02,0.033,0.009,0.066,0.134
"P38","No sabe",0,0.036,0.007,0.263,0.116
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.792,0.101,0.037,0.314,0.193
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.107,0.68,0.117,0.145,0.186
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.04,0.079,0.654,0.039,0.094
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.024,0.022,0.104,0.127,0.053
"P39","En blanco",0.012,0.049,0.077,0.061,0.128
"P39","No sabe",0.025,0.069,0.011,0.314,0.346
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.528,0.282,0.048,0.284,0.14
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.331,0.476,0.121,0.027,0.227
"P40","Julio Zamora a intendente por un partido vecinal",0.07,0.103,0.25,0.177,0.216
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.023,0.069,0.494,0.051,0.038
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.016,0,0.083,0.129,0.063
"P40","En blanco",0.023,0.036,0.001,0.252,0.14
"P40","No sabe",0.009,0.034,0.003,0.08,0.176
"P41","Muy buena",0.455,0.089,0.025,0.164,0.054
"P41","Buena",0.251,0.131,0.057,0.012,0.116
"P41","Ni buena ni mala",0.196,0.14,0.11,0.151,0.334
"P41","Mala",0.046,0.16,0.204,0.143,0.184
"P41","Muy mala",0.043,0.469,0.593,0.478,0.259
"P41","No sabe",0.009,0.011,0.011,0.052,0.053
"P42","Muy buena",0.303,0.084,0.078,0.364,0.213
"P42","Buena",0.31,0.126,0.094,0.051,0.162
"P42","Ni buena ni mala",0.205,0.265,0.123,0.121,0.335
"P42","Mala",0.094,0.204,0.16,0.015,0.096
"P42","Muy mala",0.058,0.296,0.528,0.449,0.159
"P42","No sabe",0.03,0.025,0.017,0,0.035
"P43","Muy buena",0.135,0.256,0.049,0.152,0.083
"P43","Buena",0.089,0.381,0.18,0.009,0.076
"P43","Ni buena ni mala",0.239,0.221,0.296,0.015,0.394
"P43","Mala",0.207,0.031,0.12,0.111,0.098
"P43","Muy mala",0.276,0.082,0.326,0.699,0.206
"P43","No sabe",0.054,0.029,0.029,0.014,0.143
"P44","Muy buena",0.07,0.194,0.081,0.132,0.054
"P44","Buena",0.038,0.297,0.249,0.008,0.108
"P44","Ni buena ni mala",0.308,0.308,0.319,0.206,0.349
"P44","Mala",0.222,0.05,0.091,0.074,0.074
"P44","Muy mala",0.259,0.06,0.215,0.566,0.212
"P44","No sabe",0.103,0.091,0.045,0.014,0.203
"P45","Muy buena",0.224,0.11,0.07,0.23,0.165
"P45","Buena",0.326,0.172,0.139,0.27,0.263
"P45","Ni buena ni mala",0.218,0.298,0.261,0.115,0.219
"P45","Mala",0.067,0.208,0.179,0.288,0.153
"P45","Muy mala",0.096,0.206,0.339,0.097,0.115
"P45","No sabe",0.069,0.006,0.012,0,0.085
"P46","Que continúe el intendente Julio Zamora",0.219,0.083,0.082,0.272,0.238
"P46","Que continúe Julio Zamora pero con mejoras",0.363,0.127,0.131,0.291,0.255
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.235,0.163,0.153,0.229,0.142
"P46","Que cambie el intendente Julio Zamora",0.183,0.627,0.634,0.208,0.365
"P47","Es kirchnerista",0.104,0.216,0.237,0.19,0.198
"P47","Forma parte del Frente de Todos",0.361,0.326,0.19,0.35,0.173
"P47","Es un hombre de Massa",0.175,0.115,0.133,0.139,0.196
"P47","Es un peronista independiente de centro",0.15,0.105,0.179,0.028,0.128
"P47","Es un oportunista y está donde le conviene",0.13,0.172,0.21,0.272,0.108
"P47","No sabe",0.08,0.066,0.051,0.021,0.197
"P48","El tránsito",0.292,0.229,0.297,0.352,0.278
"P48","El arreglo de las calles",0.104,0.093,0.079,0.097,0.118
"P48","Los parques y espacios públicos",0.111,0.065,0.097,0.017,0.054
"P48","El sistema de salud",0.077,0.029,0.053,0,0.051
"P48","La limpieza de las calles",0.171,0.07,0.085,0.188,0.155
"P48","El deporte y la cultura",0.074,0.12,0.097,0.258,0.096
"P48","La obra pública",0.014,0.065,0,0,0.037
"P48","La luminaria",0.058,0.072,0.055,0,0.046
"P48","No sabe",0.099,0.257,0.237,0.088,0.165
"P49","El tránsito",0.111,0.261,0.281,0.175,0.292
"P49","El arreglo de las calles",0.114,0.1,0.109,0.009,0.104
"P49","Los parques y espacios públicos",0.222,0.142,0.143,0.048,0.075
"P49","El sistema de salud",0.102,0.059,0.071,0.384,0.124
"P49","La limpieza de las calles",0.232,0.166,0.187,0.202,0.094
"P49","El deporte y la cultura",0.032,0.042,0.06,0.128,0.018
"P49","La obra pública",0.028,0.049,0.029,0,0.028
"P49","La luminaria",0.04,0.007,0.019,0,0.007
"P49","No sabe",0.119,0.174,0.101,0.054,0.258
"P50","Agua corriente y cloacas",0.318,0.507,0.418,0.329,0.41
"P50","Energía eléctrica",0.142,0.156,0.1,0.189,0.153
"P50","Red de gas natural",0.125,0.065,0.143,0.075,0.058
"P50","Recolección de residuos",0.157,0.083,0.227,0.129,0.049
"P50","Ninguno",0.258,0.189,0.112,0.278,0.33
"P51","Los robos",0.294,0.333,0.309,0.351,0.352
"P51","El narcotráfico",0.239,0.331,0.304,0.168,0.197
"P51","La ausencia de patrulleros y personal policial",0.161,0.096,0.133,0.121,0.146
"P51","Otro",0.165,0.126,0.163,0.149,0.167
"P51","Ninguno",0.141,0.114,0.091,0.211,0.138
"P52","Muy buena",0.177,0.079,0.026,0.129,0.081
"P52","Buena",0.249,0.073,0.071,0.303,0.166
"P52","Ni buena ni mala",0.237,0.08,0.028,0.255,0.191
"P52","Mala",0.161,0.085,0.044,0.19,0.171
"P52","Muy mala",0.141,0.679,0.827,0.123,0.388
"P52","No sabe",0.035,0.004,0.004,0,0.003
"P53","Muy buena",0.099,0.322,0.21,0.129,0.111
"P53","Buena",0.108,0.254,0.212,0,0.158
"P53","Ni buena ni mala",0.078,0.16,0.118,0,0.17
"P53","Mala",0.162,0.085,0.207,0.015,0.147
"P53","Muy mala",0.541,0.172,0.228,0.856,0.414
"P53","No sabe",0.012,0.007,0.025,0,0
"P54","Muy buena",0.632,0.095,0.05,0.526,0.251
"P54","Buena",0.049,0.08,0.04,0.238,0.133
"P54","Ni buena ni mala",0.062,0.028,0.039,0.017,0.176
"P54","Mala",0.085,0.041,0.065,0,0.048
"P54","Muy mala",0.15,0.754,0.804,0.219,0.392
"P54","No sabe",0.022,0.002,0.002,0,0
"P55","Muy buena",0.115,0.141,0.048,0.186,0.12
"P55","Buena",0.055,0.371,0.104,0,0.2
"P55","Ni buena ni mala",0.105,0.242,0.218,0.017,0.266
"P55","Mala",0.22,0.094,0.186,0.13,0.137
"P55","Muy mala",0.499,0.151,0.444,0.667,0.249
"P55","No sabe",0.006,0.001,0,0,0.028
"P56","Muy buena",0.266,0.079,0.023,0.131,0.072
"P56","Buena",0.267,0.051,0.035,0.177,0.097
"P56","Ni buena ni mala",0.213,0.068,0.097,0.114,0.3
"P56","Mala",0.068,0.145,0.046,0.009,0.188
"P56","Muy mala",0.183,0.657,0.794,0.569,0.312
"P56","No sabe",0.003,0,0.005,0,0.031
"P57","Muy buena",0.473,0.064,0.021,0.549,0.1
"P57","Buena",0.295,0.046,0.003,0.053,0.066
"P57","Ni buena ni mala",0.08,0.172,0.065,0.087,0.315
"P57","Mala",0.052,0.153,0.149,0.017,0.139
"P57","Muy mala",0.084,0.497,0.745,0.279,0.228
"P57","No sabe",0.016,0.068,0.017,0.015,0.152
"P58","Muy buena",0.111,0.455,0.232,0.14,0.157
"P58","Buena",0.042,0.279,0.247,0.065,0.149
"P58","Ni buena ni mala",0.071,0.086,0.144,0,0.282
"P58","Mala",0.117,0.063,0.156,0.017,0.067
"P58","Muy mala",0.654,0.1,0.218,0.778,0.336
"P58","No sabe",0.005,0.017,0.003,0,0.009
"P59","Muy buena",0.116,0.144,0.572,0.181,0.077
"P59","Buena",0.031,0.131,0.214,0.01,0.2
"P59","Ni buena ni mala",0.039,0.334,0.146,0,0.186
"P59","Mala",0.163,0.192,0.024,0,0.165
"P59","Muy mala",0.644,0.143,0.044,0.809,0.312
"P59","No sabe",0.007,0.056,0,0,0.06
"P60","Muy buena",0.596,0.049,0.137,0.754,0.203
"P60","Buena",0.181,0.058,0.022,0.081,0.13
"P60","Ni buena ni mala",0.033,0.092,0.051,0.017,0.209
"P60","Mala",0.032,0.12,0.085,0,0.035
"P60","Muy mala",0.153,0.663,0.705,0.148,0.384
"P60","No sabe",0.005,0.018,0,0,0.039
"P61","Muy buena",0.088,0.166,0.117,0.252,0.061
"P61","Buena",0.051,0.254,0.216,0.05,0.077
"P61","Ni buena ni mala",0.243,0.281,0.205,0.201,0.432
"P61","Mala",0.166,0.059,0.105,0.286,0.024
"P61","Muy mala",0.338,0.129,0.298,0.196,0.218
"P61","No sabe",0.114,0.111,0.059,0.015,0.188
"P62","Muy buena",0.076,0.182,0.055,0.13,0.016
"P62","Buena",0.061,0.393,0.249,0,0.166
"P62","Ni buena ni mala",0.154,0.297,0.306,0.187,0.332
"P62","Mala",0.293,0.063,0.123,0.032,0.134
"P62","Muy mala",0.358,0.055,0.205,0.651,0.236
"P62","No sabe",0.058,0.01,0.062,0,0.116
