"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.85,0.042,0.022,0.125,0.032,0.132,0.037,0.093
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.028,0.556,0.706,0.079,0.017,0.102,0.024,0.064
"P21","Julio Zamora a intendente por un partido vecinal",0.086,0.084,0.089,0.337,0.108,0.075,0.134,0.014
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.162,0.085,0.37,0.726,0.242,0.023,0.004
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.013,0.023,0.027,0.092,0.19,0.118,0.046
"P21","En blanco",0.004,0.058,0.049,0.039,0.004,0.117,0.171,0.335
"P21","No sabe",0.016,0.085,0.026,0.023,0.021,0.142,0.493,0.444
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.91,0.057,0.037,0.129,0.025,0.146,0.082,0.16
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.018,0.843,0.663,0.062,0.034,0,0.012,0.106
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.041,0.039,0.095,0.467,0.68,0.045,0.032,0.018
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0.027,0.03,0.071,0.193,0.33,0.032,0.007
"P22","En blanco",0.002,0.007,0.036,0.083,0.038,0.113,0.221,0.029
"P22","No sabe",0.016,0.027,0.139,0.188,0.03,0.366,0.621,0.68
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.911,0.059,0.041,0.065,0.026,0.149,0.085,0.11
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.021,0.829,0.6,0.05,0.037,0,0.033,0.141
"P23","Julio Zamora a intendente por un partido vecinal",0.038,0.06,0.144,0.431,0.164,0.013,0.115,0.033
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.01,0.019,0.02,0.292,0.661,0.283,0.011,0.007
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.004,0.039,0.029,0.052,0.126,0.137,0.02
"P23","En blanco",0.015,0.009,0.068,0.06,0.048,0.326,0.136,0.237
"P23","No sabe",0.005,0.02,0.088,0.073,0.012,0.103,0.483,0.452
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.746,0.041,0.026,0.227,0.016,0.309,0.168,0.236
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.058,0.1,0.072,0.232,0.025,0.022,0.137,0.027
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.024,0.777,0.296,0.081,0.051,0,0.042,0.109
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.131,0.057,0.527,0.078,0.092,0.222,0.03,0.01
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.01,0.012,0.3,0.779,0.012,0.019,0.008
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.003,0.003,0.038,0.009,0.026,0.397,0.108,0.119
"P24","En blanco",0.004,0.006,0.017,0.015,0.001,0.038,0.209,0.1
"P24","No sabe",0.018,0.006,0.012,0.058,0.01,0,0.287,0.391
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.762,0.063,0.015,0.136,0.023,0.286,0.229,0.142
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.036,0.777,0.173,0.046,0.039,0,0.086,0.153
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.112,0.1,0.66,0.046,0.03,0,0.023,0.014
"P25","Julio Zamora a intendente por un partido vecinal",0.047,0.03,0.063,0.435,0.02,0.193,0.175,0.033
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.015,0.015,0.274,0.846,0.035,0.084,0.021
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.001,0.022,0.003,0.035,0.384,0.04,0.113
"P25","En blanco",0.001,0.01,0.017,0.015,0,0.102,0.106,0.016
"P25","No sabe",0.029,0.004,0.035,0.045,0.007,0,0.257,0.508
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.831,0.066,0.089,0.179,0.05,0.545,0.222,0.265
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.035,0.573,0.644,0.092,0.041,0.075,0.092,0.086
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.075,0.176,0.143,0.325,0.578,0.039,0.133,0.022
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.012,0.036,0.029,0.129,0.036,0.15,0.012,0.034
"P26","En blanco",0.01,0.054,0.058,0.063,0.262,0.065,0.192,0.019
"P26","No sabe",0.037,0.095,0.037,0.212,0.033,0.126,0.349,0.574
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.808,0.063,0.046,0.127,0.041,0.115,0.133,0.226
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.034,0.572,0.724,0.089,0.024,0.121,0.147,0.11
"P27","Julio Zamora a intendente por un partido vecinal",0.097,0.098,0.091,0.377,0.143,0.034,0.205,0.062
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.125,0.056,0.288,0.652,0.069,0.018,0.007
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.014,0.029,0.035,0.123,0.299,0.052,0.019
"P27","En blanco",0.011,0.059,0.02,0.053,0.015,0.362,0.266,0.264
"P27","No sabe",0.029,0.069,0.034,0.031,0.002,0,0.179,0.312
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.861,0.068,0.068,0.235,0.06,0.125,0.382,0.312
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.027,0.808,0.715,0.101,0.033,0,0.179,0.102
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.045,0.062,0.111,0.341,0.673,0,0.016,0.018
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.029,0.008,0.059,0.132,0.148,0.014,0
"P28","En blanco",0.012,0.014,0.033,0.106,0.087,0.345,0.175,0.02
"P28","No sabe",0.044,0.019,0.065,0.158,0.015,0.382,0.234,0.548
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.815,0.06,0.063,0.149,0.032,0.367,0.318,0.318
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.077,0.808,0.624,0.071,0.05,0,0.119,0.166
"P29","Julio Zamora a intendente por un partido vecinal",0.059,0.066,0.123,0.456,0.176,0.016,0.161,0.026
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.015,0.04,0.042,0.245,0.625,0.028,0.02,0.006
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.01,0.029,0.019,0.1,0.358,0.095,0.021
"P29","En blanco",0.014,0.01,0.045,0.028,0.003,0.148,0.23,0.171
"P29","No sabe",0.019,0.006,0.074,0.032,0.014,0.083,0.057,0.292
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.862,0.047,0.007,0.053,0.032,0.128,0.254,0.264
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.021,0.551,0.233,0.026,0.026,0.047,0.18,0.085
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.042,0.289,0.683,0.095,0.05,0.04,0.068,0.036
"P30","Julio Zamora a intendente por un partido vecinal",0.073,0.05,0.038,0.455,0.06,0.055,0.171,0.076
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.039,0.017,0.322,0.795,0.025,0.043,0
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0,0.003,0.018,0.345,0.042,0.015
"P30","En blanco",0,0.012,0.014,0.02,0.009,0.027,0.172,0.078
"P30","No sabe",0.002,0.012,0.008,0.026,0.01,0.333,0.07,0.446
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.802,0.097,0.074,0.124,0.041,0.129,0.387,0.29
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.02,0.632,0.657,0.126,0.079,0.046,0.196,0.172
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.111,0.139,0.187,0.356,0.587,0.025,0,0
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.022,0.01,0.023,0.077,0.046,0.145,0.021,0
"P31","En blanco",0.015,0.05,0.027,0.117,0.221,0.068,0.131,0.023
"P31","No sabe",0.03,0.072,0.032,0.2,0.026,0.587,0.265,0.515
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.801,0.085,0.023,0.035,0.036,0.066,0.406,0.367
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.025,0.611,0.795,0.11,0.059,0.04,0.253,0.021
"P32","Julio Zamora a intendente por un partido vecinal",0.134,0.082,0.092,0.498,0.158,0.097,0.187,0.014
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.024,0.112,0.024,0.263,0.563,0.02,0,0
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0.013,0.032,0.012,0.172,0.165,0.046,0
"P32","En blanco",0.002,0.055,0.017,0.046,0.008,0.612,0.108,0.094
"P32","No sabe",0.009,0.042,0.017,0.036,0.004,0,0,0.504
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.865,0.094,0.033,0.112,0.036,0.129,0.485,0.419
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.036,0.706,0.673,0.103,0.021,0.027,0.144,0.055
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.046,0.084,0.059,0.416,0.642,0.072,0,0.008
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.018,0.001,0.044,0.048,0.172,0.175,0.056,0
"P33","En blanco",0.005,0.042,0.03,0.112,0.104,0.027,0.193,0
"P33","No sabe",0.03,0.073,0.161,0.209,0.025,0.57,0.122,0.518
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.853,0.098,0.008,0.067,0.036,0.066,0.288,0.409
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.031,0.71,0.631,0.067,0.017,0,0.186,0.054
"P34","Julio Zamora a intendente por un partido vecinal",0.085,0.06,0.102,0.395,0.172,0.102,0.166,0
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.017,0.027,0.038,0.287,0.623,0.02,0,0.007
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.043,0.041,0.02,0.142,0.167,0.042,0
"P34","En blanco",0.013,0.026,0.091,0.102,0.01,0.466,0.261,0.104
"P34","No sabe",0.001,0.036,0.089,0.062,0,0.179,0.057,0.426
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.746,0.086,0.006,0.076,0.039,0.105,0.121,0.335
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.089,0.103,0.152,0.359,0.037,0.039,0.172,0.051
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.033,0.534,0.141,0.049,0.036,0,0.187,0
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.111,0.204,0.51,0.126,0.081,0.022,0.196,0.028
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.001,0.045,0.075,0.289,0.788,0.02,0.058,0
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0,0.052,0.009,0.013,0.442,0.114,0.04
"P35","En blanco",0.008,0,0.058,0.033,0.006,0.195,0.095,0.064
"P35","No sabe",0.01,0.028,0.006,0.059,0,0.177,0.057,0.482
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.868,0.078,0.005,0.038,0.039,0.064,0.164,0.373
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.025,0.509,0.152,0.038,0.025,0.06,0.206,0.041
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.066,0.303,0.59,0.06,0.036,0,0.217,0.022
"P36","Julio Zamora a intendente por un partido vecinal",0.039,0.043,0.092,0.468,0.043,0.06,0.21,0
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.026,0.041,0.334,0.816,0.019,0.088,0
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.006,0.034,0.004,0.014,0.471,0,0.014
"P36","En blanco",0,0,0.071,0,0.004,0.203,0.115,0.163
"P36","No sabe",0,0.035,0.015,0.058,0.023,0.123,0,0.387
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.85,0.104,0.057,0.116,0.038,0.085,0.339,0.341
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.023,0.643,0.608,0.131,0.038,0,0.305,0.031
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.075,0.126,0.193,0.345,0.597,0.103,0,0
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.006,0.031,0.128,0.084,0.117,0.055,0
"P37","En blanco",0.031,0.038,0.047,0.146,0.201,0.178,0.197,0.028
"P37","No sabe",0.018,0.083,0.064,0.134,0.042,0.517,0.104,0.6
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.89,0.104,0.006,0.076,0.025,0.082,0.344,0.271
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.026,0.68,0.733,0.085,0.075,0,0.266,0.07
"P38","Julio Zamora a intendente por un partido vecinal",0.063,0.044,0.084,0.421,0.191,0.151,0.103,0.031
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.017,0.076,0.047,0.315,0.538,0.045,0,0
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.004,0.014,0.061,0.051,0.154,0.088,0.065,0.026
"P38","En blanco",0,0.04,0.024,0.032,0.017,0.634,0.175,0.086
"P38","No sabe",0,0.042,0.045,0.02,0,0,0.047,0.516
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.89,0.097,0.032,0.127,0.023,0.096,0.362,0.266
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.06,0.769,0.682,0.125,0.052,0,0.163,0.118
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.029,0.042,0.101,0.379,0.64,0.148,0.039,0
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.019,0,0.098,0.151,0.188,0.028,0.009
"P39","En blanco",0.018,0.023,0.04,0.108,0.116,0.033,0.21,0.029
"P39","No sabe",0.001,0.05,0.145,0.163,0.018,0.535,0.198,0.578
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.6,0.298,0.181,0.058,0.021,0.068,0.441,0.338
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.329,0.568,0.511,0.059,0.086,0.031,0.154,0.049
"P40","Julio Zamora a intendente por un partido vecinal",0.066,0.04,0.124,0.456,0.199,0.152,0.029,0.026
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.004,0.032,0.021,0.292,0.535,0.028,0,0
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.005,0.051,0.02,0.129,0.142,0.068,0
"P40","En blanco",0.001,0.014,0.043,0.072,0.012,0.579,0.257,0.285
"P40","No sabe",0,0.043,0.069,0.043,0.018,0,0.051,0.302
"P41","Muy buena",0.495,0.108,0.067,0.022,0.02,0.102,0.167,0.125
"P41","Buena",0.251,0.135,0.134,0.137,0.052,0,0.078,0
"P41","Ni buena ni mala",0.176,0.095,0.236,0.188,0.198,0.561,0.05,0.212
"P41","Mala",0.04,0.16,0.193,0.179,0.185,0.126,0.295,0.115
"P41","Muy mala",0.038,0.483,0.353,0.457,0.536,0.211,0.324,0.413
"P41","No sabe",0,0.019,0.017,0.017,0.009,0,0.086,0.135
"P42","Muy buena",0.314,0.079,0.088,0.33,0.037,0,0.396,0.048
"P42","Buena",0.32,0.141,0.119,0.223,0.061,0.035,0,0.027
"P42","Ni buena ni mala",0.194,0.184,0.429,0.078,0.17,0.692,0.38,0.453
"P42","Mala",0.064,0.25,0.151,0.116,0.167,0.063,0,0.04
"P42","Muy mala",0.083,0.304,0.205,0.253,0.538,0.21,0.205,0.374
"P42","No sabe",0.025,0.042,0.008,0,0.027,0,0.019,0.058
"P43","Muy buena",0.134,0.187,0.316,0.106,0.071,0.028,0.238,0.039
"P43","Buena",0.094,0.358,0.371,0.149,0.111,0.061,0.074,0.114
"P43","Ni buena ni mala",0.194,0.265,0.183,0.271,0.354,0.303,0.346,0.29
"P43","Mala",0.251,0.027,0.037,0.111,0.116,0.101,0,0.012
"P43","Muy mala",0.261,0.121,0.048,0.322,0.313,0.507,0.254,0.417
"P43","No sabe",0.066,0.042,0.045,0.041,0.035,0,0.088,0.128
"P44","Muy buena",0.088,0.238,0.138,0.052,0.039,0,0.141,0.039
"P44","Buena",0.073,0.333,0.263,0.165,0.12,0.028,0.049,0.106
"P44","Ni buena ni mala",0.24,0.251,0.38,0.29,0.435,0.368,0.264,0.454
"P44","Mala",0.215,0.046,0.062,0.131,0.078,0.035,0.204,0.059
"P44","Muy mala",0.263,0.068,0.042,0.252,0.258,0.569,0.177,0.207
"P44","No sabe",0.121,0.064,0.115,0.11,0.07,0,0.165,0.135
"P45","Muy buena",0.257,0.069,0.075,0.3,0.034,0.031,0.222,0.048
"P45","Buena",0.354,0.225,0.124,0.293,0.09,0,0.136,0.151
"P45","Ni buena ni mala",0.185,0.274,0.438,0.1,0.281,0.193,0.459,0.286
"P45","Mala",0.062,0.215,0.186,0.155,0.142,0.335,0.115,0.359
"P45","Muy mala",0.084,0.189,0.17,0.148,0.433,0.171,0.068,0.048
"P45","No sabe",0.058,0.028,0.007,0.004,0.02,0.27,0,0.108
"P46","Que continúe el intendente Julio Zamora",0.226,0.069,0.081,0.359,0.03,0.032,0.238,0.08
"P46","Que continúe Julio Zamora pero con mejoras",0.366,0.154,0.128,0.215,0.128,0.39,0.306,0.179
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.203,0.199,0.211,0.079,0.176,0.294,0,0.257
"P46","Que cambie el intendente Julio Zamora",0.205,0.578,0.58,0.347,0.666,0.284,0.456,0.484
"P47","Es kirchnerista",0.168,0.24,0.11,0.235,0.189,0.034,0.158,0.071
"P47","Forma parte del Frente de Todos",0.359,0.296,0.345,0.315,0.193,0.103,0.092,0.054
"P47","Es un hombre de Massa",0.147,0.107,0.199,0.127,0.187,0,0.119,0.211
"P47","Es un peronista independiente de centro",0.124,0.113,0.068,0.164,0.179,0.568,0.109,0.045
"P47","Es un oportunista y está donde le conviene",0.11,0.189,0.186,0.079,0.195,0.295,0.325,0.363
"P47","No sabe",0.092,0.055,0.092,0.08,0.057,0,0.197,0.256
"P48","El tránsito",0.339,0.277,0.179,0.31,0.232,0.033,0.351,0.197
"P48","El arreglo de las calles",0.128,0.099,0.079,0.08,0.075,0.031,0.049,0.13
"P48","Los parques y espacios públicos",0.103,0.03,0.136,0.064,0.111,0,0,0.134
"P48","El sistema de salud",0.058,0.042,0.047,0.084,0.036,0,0.059,0
"P48","La limpieza de las calles",0.125,0.145,0.084,0.046,0.115,0.284,0,0.237
"P48","El deporte y la cultura",0.067,0.059,0.169,0.157,0.096,0.388,0.106,0.151
"P48","La obra pública",0.016,0.034,0.029,0.055,0.036,0,0,0
"P48","La luminaria",0.063,0.068,0.089,0.048,0.037,0.037,0,0.047
"P48","No sabe",0.101,0.246,0.188,0.156,0.262,0.227,0.435,0.104
"P49","El tránsito",0.219,0.188,0.267,0.289,0.209,0.066,0.198,0.271
