"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.748,0.033,0.056,0.089,0.023,0.071
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.072,0.584,0.091,0.006,0.181,0.152
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.013,0.295,0.034,0.106,0.068,0.178
"P19","Julio Zamora a intendente por un partido vecinal",0.056,0.056,0.296,0.143,0.316,0.286
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.021,0.013,0.516,0.576,0.331,0.039
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0.002,0.006,0.058,0.009,0.086
"P19","En blanco",0.033,0.01,0,0.022,0.072,0.022
"P19","No sabe",0.05,0.007,0.001,0,0,0.166
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.779,0.035,0.057,0.074,0.031,0.094
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.031,0.711,0.072,0.018,0.1,0.27
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.061,0.138,0.67,0.545,0.295,0.052
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.041,0.021,0.06,0.169,0.09,0.074
"P20","En blanco",0.034,0.029,0.097,0.168,0.294,0.076
"P20","No sabe",0.054,0.066,0.044,0.026,0.19,0.434
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.772,0.027,0.034,0,0.076,0.061
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.036,0.699,0.063,0.018,0.116,0.27
"P21","Julio Zamora a intendente por un partido vecinal",0.082,0.054,0.2,0.224,0.296,0.192
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.025,0.108,0.653,0.559,0.195,0.116
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.027,0.025,0.029,0.186,0.116,0.032
"P21","En blanco",0.022,0.024,0.019,0.013,0.116,0.171
"P21","No sabe",0.036,0.063,0.002,0,0.085,0.158
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.832,0.029,0.03,0.024,0.082,0.112
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.039,0.868,0.109,0.03,0.185,0.222
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.036,0.027,0.754,0.542,0.249,0.059
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.021,0.013,0.065,0.404,0.16,0.034
"P22","En blanco",0.019,0.022,0.011,0,0.202,0.09
"P22","No sabe",0.053,0.041,0.031,0,0.122,0.483
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.782,0.036,0.063,0.063,0.074,0.085
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.04,0.845,0.103,0.103,0.194,0.202
"P23","Julio Zamora a intendente por un partido vecinal",0.077,0.031,0.262,0.149,0.293,0.213
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.019,0.535,0.458,0.21,0.031
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.001,0.008,0.143,0.058,0.073
"P23","En blanco",0.027,0.029,0.022,0.078,0.121,0.157
"P23","No sabe",0.04,0.039,0.007,0.006,0.05,0.239
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.787,0.02,0.088,0.069,0.051,0.126
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.091,0.101,0.074,0.094,0.303,0.095
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.024,0.617,0.1,0.152,0.138,0.242
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.048,0.209,0.107,0.111,0.035,0.229
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.02,0.013,0.614,0.379,0.35,0.032
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.013,0,0.176,0.012,0.078
"P24","En blanco",0,0.003,0,0.006,0.111,0.055
"P24","No sabe",0.026,0.024,0.017,0.013,0,0.143
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.82,0.004,0.037,0.134,0.089,0.094
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.039,0.595,0.085,0.047,0.18,0.148
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.04,0.314,0.071,0.037,0.053,0.21
"P25","Julio Zamora a intendente por un partido vecinal",0.05,0.054,0.109,0.128,0.221,0.212
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.031,0.007,0.682,0.46,0.344,0.034
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.001,0,0.181,0.009,0.08
"P25","En blanco",0.002,0.003,0,0,0.095,0.058
"P25","No sabe",0.018,0.022,0.016,0.013,0.009,0.164
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.83,0.062,0.07,0.121,0.068,0.114
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.027,0.683,0.051,0.018,0.209,0.265
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.077,0.135,0.632,0.441,0.168,0.102
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.03,0.036,0.287,0.08,0.05
"P26","En blanco",0.015,0.018,0.126,0.124,0.452,0.051
"P26","No sabe",0.036,0.072,0.085,0.009,0.023,0.418
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.789,0.014,0.029,0.108,0.105,0.089
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.04,0.733,0.042,0.027,0.127,0.252
"P27","Julio Zamora a intendente por un partido vecinal",0.104,0.076,0.255,0.148,0.268,0.176
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.001,0.086,0.598,0.555,0.234,0.063
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.006,0.029,0.162,0.156,0.085
"P27","En blanco",0.02,0.035,0.03,0,0.089,0.194
"P27","No sabe",0.029,0.05,0.017,0,0.021,0.141
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.885,0.044,0.052,0.108,0.084,0.109
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.037,0.878,0.085,0.049,0.185,0.264
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.025,0.022,0.72,0.475,0.14,0.075
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.014,0.061,0.307,0.158,0.029
"P28","En blanco",0.016,0.029,0.036,0.028,0.348,0.089
"P28","No sabe",0.037,0.013,0.046,0.033,0.085,0.434
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.831,0.041,0.032,0.173,0.014,0.062
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.046,0.839,0.116,0.12,0.172,0.227
"P29","Julio Zamora a intendente por un partido vecinal",0.091,0.06,0.26,0.17,0.302,0.213
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0,0.024,0.546,0.425,0.262,0.081
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0.01,0.014,0.099,0.155,0.084
"P29","En blanco",0.009,0.01,0.008,0,0.086,0.157
"P29","No sabe",0.01,0.016,0.024,0.013,0.009,0.176
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.851,0.004,0.043,0.028,0,0.046
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.034,0.512,0.042,0.108,0.019,0.103
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.027,0.409,0.095,0.018,0.266,0.287
"P30","Julio Zamora a intendente por un partido vecinal",0.061,0.049,0.138,0.308,0.306,0.216
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.004,0.022,0.677,0.414,0.355,0.016
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0,0,0.092,0,0.039
"P30","En blanco",0.01,0,0,0.032,0.054,0.058
"P30","No sabe",0.012,0.004,0.005,0,0,0.235
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.853,0.026,0.04,0.19,0.021,0.077
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.045,0.736,0.045,0.102,0.278,0.234
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.065,0.137,0.734,0.361,0.049,0.047
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.006,0.018,0.032,0.23,0.008,0.036
"P31","En blanco",0,0.04,0.105,0.084,0.597,0.104
"P31","No sabe",0.031,0.043,0.044,0.033,0.047,0.502
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.847,0.006,0.016,0.032,0.014,0.054
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.031,0.787,0.06,0.096,0.188,0.222
"P32","Julio Zamora a intendente por un partido vecinal",0.088,0.075,0.343,0.122,0.275,0.26
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.01,0.053,0.543,0.637,0.043,0.039
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.016,0.03,0.113,0.39,0.01
"P32","En blanco",0.01,0.027,0.005,0,0.09,0.217
"P32","No sabe",0.014,0.036,0.003,0,0,0.198
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.882,0.025,0.067,0,0,0.009
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.022,0.876,0.031,0.019,0.036,0.069
"P34","Julio Zamora a intendente por un partido vecinal",0.075,0.058,0.329,0.055,0.273,0.14
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.001,0.018,0.554,0.731,0.116,0.018
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.002,0.017,0.182,0.43,0.068
"P34","En blanco",0.001,0.005,0.002,0,0.134,0.382
"P34","No sabe",0.019,0.016,0,0.013,0.011,0.314
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.749,0.016,0.08,0,0.012,0.025
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.108,0.139,0.076,0.247,0.222,0.181
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.011,0.499,0.051,0.1,0.049,0.07
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.09,0.318,0.118,0,0.138,0.229
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.023,0.656,0.452,0.459,0.061
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0,0.006,0.191,0.03,0.086
"P35","En blanco",0.028,0.002,0.003,0,0.071,0.071
"P35","No sabe",0.013,0.003,0.01,0.01,0.019,0.277
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.838,0.001,0.101,0,0,0.019
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.012,0.478,0.023,0.043,0.063,0.08
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.059,0.405,0.059,0.082,0.166,0.173
"P36","Julio Zamora a intendente por un partido vecinal",0.065,0.063,0.158,0.079,0.219,0.253
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.041,0.635,0.591,0.499,0.03
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0.002,0.001,0.19,0.006,0.077
"P36","En blanco",0.022,0.003,0.002,0,0.047,0.087
"P36","No sabe",0.003,0.007,0.021,0.015,0,0.281
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.889,0.038,0.029,0,0.009,0.053
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.026,0.725,0.034,0.032,0.202,0.264
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.047,0.132,0.705,0.424,0.034,0.069
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.014,0.002,0.096,0.197,0.085,0.033
"P37","En blanco",0.005,0.046,0.099,0.237,0.597,0.072
"P37","No sabe",0.019,0.057,0.037,0.11,0.073,0.509
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.909,0.019,0.036,0.014,0,0.034
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.038,0.766,0.063,0.031,0.197,0.282
"P38","Julio Zamora a intendente por un partido vecinal",0.052,0.072,0.275,0.105,0.294,0.194
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.05,0.576,0.582,0.013,0.012
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.009,0.029,0.254,0.411,0.059
"P38","En blanco",0.001,0.037,0.008,0.014,0.065,0.208
"P38","No sabe",0,0.047,0.013,0,0.02,0.211
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.908,0.048,0.039,0.02,0.009,0.013
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.074,0.881,0.064,0.051,0.108,0.142
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.011,0.02,0.743,0.484,0.089,0.003
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.011,0.116,0.32,0.058,0.014
"P39","En blanco",0.002,0.006,0.015,0.099,0.665,0.107
"P39","No sabe",0.002,0.034,0.023,0.026,0.071,0.721
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.622,0.293,0.009,0.052,0.019,0.046
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.31,0.58,0.107,0.126,0.094,0.136
"P40","Julio Zamora a intendente por un partido vecinal",0.062,0.062,0.29,0.288,0.224,0.197
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.02,0.52,0.429,0.098,0.009
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.013,0.03,0.096,0.373,0.009
"P40","En blanco",0.002,0.006,0.028,0.009,0.144,0.319
"P40","No sabe",0,0.026,0.016,0,0.048,0.284
"P41","Muy buena",0.475,0.068,0.014,0.124,0,0.047
"P41","Buena",0.253,0.142,0.072,0,0.025,0.086
"P41","Ni buena ni mala",0.182,0.119,0.139,0.235,0.099,0.41
"P41","Mala",0.052,0.17,0.213,0.114,0.233,0.134
"P41","Muy mala",0.033,0.491,0.552,0.527,0.606,0.232
"P41","No sabe",0.005,0.01,0.01,0,0.037,0.091
"P42","Muy buena",0.313,0.072,0.105,0.19,0.166,0.168
"P42","Buena",0.329,0.117,0.114,0,0.107,0.105
"P42","Ni buena ni mala",0.21,0.285,0.105,0.208,0.125,0.365
"P42","Mala",0.067,0.24,0.128,0.27,0.086,0.074
"P42","Muy mala",0.052,0.253,0.535,0.332,0.509,0.25
"P42","No sabe",0.029,0.033,0.013,0,0.007,0.038
"P43","Muy buena",0.139,0.232,0.093,0.064,0.083,0.137
"P43","Buena",0.094,0.363,0.175,0.175,0.103,0.164
"P43","Ni buena ni mala",0.22,0.227,0.322,0.35,0.154,0.336
"P43","Mala",0.226,0.026,0.103,0.041,0.175,0.037
"P43","Muy mala",0.261,0.105,0.284,0.337,0.445,0.22
"P43","No sabe",0.06,0.047,0.023,0.033,0.04,0.106
"P44","Muy buena",0.096,0.221,0.074,0.047,0.02,0.025
"P44","Buena",0.076,0.326,0.237,0.014,0.044,0.092
"P44","Ni buena ni mala",0.244,0.263,0.356,0.484,0.192,0.542
"P44","Mala",0.221,0.04,0.102,0.091,0.006,0.068
"P44","Muy mala",0.262,0.049,0.172,0.312,0.621,0.121
"P44","No sabe",0.101,0.101,0.059,0.052,0.117,0.152
"P45","Muy buena",0.251,0.067,0.107,0.047,0.222,0.136
"P45","Buena",0.35,0.159,0.175,0.031,0.115,0.285
"P45","Ni buena ni mala",0.209,0.351,0.245,0.18,0.164,0.174
"P45","Mala",0.068,0.208,0.136,0.326,0.106,0.275
"P45","Muy mala",0.067,0.191,0.326,0.402,0.393,0.039
"P45","No sabe",0.055,0.024,0.011,0.014,0,0.091
"P46","Que continúe el intendente Julio Zamora",0.235,0.063,0.118,0.178,0.212,0.142
"P46","Que continúe Julio Zamora pero con mejoras",0.365,0.126,0.166,0.044,0.174,0.249
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.184,0.193,0.149,0.139,0.119,0.257
"P46","Que cambie el intendente Julio Zamora",0.216,0.618,0.567,0.639,0.495,0.352
"P47","Es kirchnerista",0.15,0.192,0.276,0.097,0.296,0.073
"P47","Forma parte del Frente de Todos",0.385,0.285,0.264,0.085,0.206,0.182
"P47","Es un hombre de Massa",0.17,0.131,0.133,0.138,0.092,0.188
"P47","Es un peronista independiente de centro",0.104,0.141,0.147,0.204,0.178,0.12
"P47","Es un oportunista y está donde le conviene",0.1,0.18,0.161,0.303,0.191,0.237
"P47","No sabe",0.091,0.071,0.019,0.173,0.037,0.2
"P48","El tránsito",0.332,0.275,0.305,0.087,0.095,0.196
"P48","El arreglo de las calles",0.139,0.09,0.085,0.037,0.076,0.05
"P48","Los parques y espacios públicos",0.104,0.055,0.083,0.035,0.199,0.056
"P48","El sistema de salud",0.054,0.025,0.054,0.171,0.022,0.047
"P48","La limpieza de las calles",0.145,0.1,0.063,0.167,0.131,0.164
"P48","El deporte y la cultura",0.075,0.123,0.088,0.084,0.15,0.161
"P48","La obra pública",0.013,0.028,0.048,0.032,0.032,0.044
"P48","La luminaria",0.053,0.088,0.042,0.024,0.089,0.027
"P48","No sabe",0.085,0.216,0.232,0.363,0.206,0.255
"P49","El tránsito",0.191,0.249,0.267,0.246,0.06,0.23
"P49","El arreglo de las calles",0.114,0.112,0.119,0.076,0.098,0.029
"P49","Los parques y espacios públicos",0.192,0.142,0.144,0.166,0.069,0.122
"P49","El sistema de salud",0.086,0.095,0.051,0.28,0.056,0.124
"P49","La limpieza de las calles",0.198,0.112,0.197,0.072,0.44,0.231
"P49","El deporte y la cultura",0.033,0.057,0.042,0.01,0.159,0
"P49","La obra pública",0.026,0.052,0.052,0,0,0
"P49","La luminaria",0.04,0.01,0.009,0.024,0,0.007
"P49","No sabe",0.12,0.171,0.119,0.126,0.118,0.257
"P50","Agua corriente y cloacas",0.34,0.524,0.401,0.387,0.437,0.364
"P50","Energía eléctrica",0.165,0.141,0.104,0.107,0.255,0.097
"P50","Red de gas natural",0.128,0.039,0.15,0.161,0.045,0.071
"P50","Recolección de residuos",0.15,0.122,0.22,0.069,0.069,0
"P50","Ninguno",0.217,0.174,0.125,0.276,0.194,0.468
"P51","Los robos",0.33,0.367,0.271,0.376,0.278,0.247
"P51","El narcotráfico",0.259,0.311,0.341,0.108,0.272,0.181
"P51","La ausencia de patrulleros y personal policial",0.14,0.085,0.165,0.063,0.06,0.225
"P51","Otro",0.171,0.126,0.134,0.207,0.261,0.116
"P51","Ninguno",0.1,0.111,0.089,0.246,0.129,0.231
"P52","Muy buena",0.234,0.058,0.015,0.018,0.091,0.014
"P52","Buena",0.29,0.045,0.08,0.119,0.042,0.175
"P52","Ni buena ni mala",0.234,0.096,0.053,0.055,0.082,0.168
"P52","Mala",0.154,0.071,0.095,0.01,0.208,0.139
"P52","Muy mala",0.063,0.729,0.753,0.798,0.577,0.47
"P52","No sabe",0.025,0.001,0.004,0,0,0.034
"P53","Muy buena",0.155,0.316,0.204,0.115,0.064,0.11
"P53","Buena",0.068,0.306,0.179,0.266,0.082,0.184
"P53","Ni buena ni mala",0.057,0.155,0.167,0.044,0.21,0.129
"P53","Mala",0.138,0.072,0.212,0.149,0.073,0.212
"P53","Muy mala",0.566,0.151,0.238,0.426,0.475,0.341
"P53","No sabe",0.016,0,0,0,0.096,0.024
"P54","Muy buena",0.701,0.062,0.07,0.155,0.125,0.141
"P54","Buena",0.066,0.062,0.042,0.078,0.18,0.156
"P54","Ni buena ni mala",0.071,0.033,0.041,0.059,0.029,0.143
"P54","Mala",0.044,0.075,0.059,0.087,0.057,0.036
"P54","Muy mala",0.118,0.761,0.785,0.621,0.609,0.475
"P54","No sabe",0,0.007,0.003,0,0,0.049
"P55","Muy buena",0.169,0.127,0.049,0.028,0.013,0.123
"P55","Buena",0.071,0.345,0.195,0.048,0.112,0.172
"P55","Ni buena ni mala",0.089,0.219,0.167,0.325,0.482,0.284
"P55","Mala",0.218,0.129,0.136,0.101,0.143,0.139
"P55","Muy mala",0.447,0.179,0.453,0.498,0.25,0.244
"P55","No sabe",0.006,0.001,0,0,0,0.038
"P56","Muy buena",0.31,0.045,0,0.018,0,0.137
"P56","Buena",0.258,0.078,0.048,0.01,0,0.072
"P56","Ni buena ni mala",0.24,0.057,0.124,0.056,0.08,0.251
"P56","Mala",0.071,0.159,0.069,0,0.217,0.091
"P56","Muy mala",0.121,0.657,0.752,0.916,0.703,0.413
"P56","No sabe",0,0.004,0.007,0,0,0.036
"P57","Muy buena",0.534,0.044,0.01,0.028,0.141,0.073
"P57","Buena",0.258,0.036,0.014,0.128,0.033,0.091
"P57","Ni buena ni mala",0.099,0.14,0.117,0.075,0.189,0.299
"P57","Mala",0.041,0.183,0.17,0.038,0.028,0.13
"P57","Muy mala",0.034,0.564,0.669,0.721,0.411,0.235
"P57","No sabe",0.034,0.033,0.02,0.01,0.198,0.172
"P58","Muy buena",0.125,0.487,0.215,0.234,0.067,0.196
"P58","Buena",0.038,0.253,0.238,0.282,0.207,0.21
