"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.842,0.03,0.057,0.157,0,0,0,0.013
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.041,0.715,0.352,0.094,0.046,0,0.172,0.084
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.003,0.164,0.452,0.039,0.011,0,0.112,0.029
"P19","Julio Zamora a intendente por un partido vecinal",0.03,0.022,0.076,0.566,0.246,0.042,0.192,0.119
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.02,0.026,0.045,0.084,0.691,0.298,0.092,0.051
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.004,0.003,0.007,0.002,0.521,0.027,0.16
"P19","En blanco",0.02,0.021,0.008,0.03,0.004,0.085,0.226,0.045
"P19","No sabe",0.036,0.018,0.007,0.023,0,0.054,0.179,0.499
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.817,0.028,0.109,0.218,0,0,0,0.038
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.019,0.59,0.671,0.123,0.029,0,0.066,0.037
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.051,0.2,0.102,0.239,0.778,0,0.155,0.018
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.036,0.018,0.025,0.086,0.047,0.478,0.301,0.216
"P20","En blanco",0.026,0.061,0.033,0.105,0.137,0.064,0.253,0.099
"P20","No sabe",0.051,0.103,0.06,0.229,0.009,0.458,0.225,0.592
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.829,0.025,0.046,0.102,0.032,0,0,0.122
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.018,0.527,0.742,0.083,0.024,0.304,0.195,0.029
"P21","Julio Zamora a intendente por un partido vecinal",0.08,0.056,0.037,0.523,0.122,0.042,0.046,0.121
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.149,0.108,0.149,0.777,0.027,0.282,0.057
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.063,0.011,0.056,0.039,0.515,0.146,0.058
"P21","En blanco",0.01,0.075,0.014,0.062,0.005,0.112,0.331,0.241
"P21","No sabe",0.029,0.105,0.042,0.025,0.001,0,0,0.372
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.853,0.037,0.059,0.214,0.016,0,0,0.188
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.007,0.807,0.696,0.139,0.047,0,0.238,0.17
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.05,0.037,0.063,0.254,0.797,0.027,0.156,0.062
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.031,0.045,0.113,0.096,0.413,0,0.051
"P22","En blanco",0.022,0.008,0.04,0.056,0.035,0.102,0.405,0.025
"P22","No sabe",0.046,0.08,0.097,0.224,0.009,0.458,0.201,0.504
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.879,0.037,0.061,0.105,0.019,0,0,0.122
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.011,0.832,0.678,0.133,0.047,0.027,0.112,0.138
"P23","Julio Zamora a intendente por un partido vecinal",0.022,0.036,0.067,0.53,0.176,0,0.264,0.145
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.02,0.012,0.036,0.067,0.692,0.106,0.036,0.051
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.024,0.02,0.04,0.019,0.409,0.179,0
"P23","En blanco",0.027,0.029,0.044,0.101,0.028,0.458,0.409,0.154
"P23","No sabe",0.033,0.03,0.094,0.024,0.019,0,0,0.39
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.81,0.037,0.046,0.244,0.022,0.027,0.172,0.173
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.071,0.13,0.085,0.305,0.021,0.069,0.046,0.013
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.004,0.753,0.406,0.185,0.059,0,0,0.151
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.078,0.032,0.356,0.113,0.071,0,0.195,0.148
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.015,0.008,0.031,0.104,0.802,0.101,0.127,0.037
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.028,0.018,0.004,0.001,0.803,0.175,0
"P24","En blanco",0,0,0.034,0.002,0.005,0,0.285,0.063
"P24","No sabe",0.016,0.012,0.024,0.043,0.019,0,0,0.415
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.863,0.009,0.048,0.186,0.024,0.027,0.172,0.111
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.022,0.777,0.305,0.095,0.047,0,0.046,0.17
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.052,0.132,0.502,0.044,0.005,0.027,0.195,0.029
"P25","Julio Zamora a intendente por un partido vecinal",0.022,0.025,0.024,0.584,0.024,0.042,0,0.087
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.009,0.052,0.066,0.883,0,0.127,0.096
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.02,0.002,0.016,0.006,0.904,0.175,0
"P25","En blanco",0.003,0,0.034,0,0.001,0,0.285,0.062
"P25","No sabe",0.022,0.028,0.033,0.009,0.01,0,0,0.445
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.872,0.046,0.099,0.237,0.032,0.069,0,0.177
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.006,0.565,0.672,0.129,0.008,0.027,0.195,0.103
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.071,0.195,0.095,0.15,0.73,0,0.345,0.026
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.018,0.042,0.174,0.02,0.515,0,0.063
"P26","En blanco",0.013,0.044,0.04,0.1,0.18,0,0.285,0.078
"P26","No sabe",0.03,0.132,0.052,0.21,0.03,0.389,0.175,0.553
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.849,0.038,0.069,0.126,0.016,0.027,0.172,0
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.02,0.592,0.699,0.074,0.021,0,0.195,0.11
"P27","Julio Zamora a intendente por un partido vecinal",0.084,0.085,0.09,0.493,0.161,0.042,0,0.034
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.134,0.054,0.117,0.733,0.037,0.173,0.093
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0.015,0.021,0.064,0.063,0.478,0.051,0.164
"P27","En blanco",0.008,0.073,0.017,0.087,0.005,0.416,0.281,0.327
"P27","No sabe",0.027,0.063,0.05,0.039,0.001,0,0.128,0.272
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.914,0.072,0.069,0.242,0.016,0.027,0.172,0.08
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.014,0.816,0.708,0.189,0.021,0,0.204,0.095
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.029,0.064,0.079,0.169,0.769,0.042,0.035,0.027
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.008,0.012,0.097,0.123,0.413,0,0.062
"P28","En blanco",0.014,0.014,0.056,0.074,0.063,0.129,0.414,0.173
"P28","No sabe",0.029,0.026,0.076,0.229,0.008,0.389,0.175,0.563
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.877,0.077,0.064,0.134,0.016,0.027,0.172,0
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.061,0.781,0.658,0.144,0.044,0.027,0.204,0.162
"P29","Julio Zamora a intendente por un partido vecinal",0.038,0.072,0.08,0.598,0.178,0.042,0,0.034
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0,0.036,0.08,0.066,0.68,0.037,0.035,0.1
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.015,0.011,0.018,0.053,0.478,0.197,0.156
"P29","En blanco",0.013,0.019,0.046,0.022,0.008,0.389,0.346,0.125
"P29","No sabe",0.007,0,0.061,0.018,0.021,0,0.046,0.423
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.856,0.058,0.084,0.194,0,0.042,0.093,0.128
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.008,0.72,0.654,0.147,0.011,0,0.067,0.019
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.102,0.115,0.2,0.141,0.696,0,0,0.029
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.004,0,0,0.179,0.026,0.518,0,0
"P31","En blanco",0,0.036,0.039,0.107,0.24,0,0.365,0
"P31","No sabe",0.03,0.071,0.023,0.232,0.027,0.44,0.475,0.824
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.865,0.06,0.076,0.034,0,0.024,0.117,0.046
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.003,0.628,0.774,0.055,0.037,0,0,0.018
"P32","Julio Zamora a intendente por un partido vecinal",0.108,0.046,0.093,0.734,0.151,0.04,0.019,0.117
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.006,0.095,0.045,0.129,0.661,0,0,0.01
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.032,0,0.02,0.146,0.532,0.03,0
"P32","En blanco",0.008,0.052,0.002,0.023,0.005,0.404,0.834,0.289
"P32","No sabe",0.008,0.087,0.01,0.005,0,0,0,0.52
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.938,0.056,0.043,0.155,0.006,0.033,0.218,0.11
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.004,0.795,0.602,0.117,0.032,0,0,0.034
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.034,0.049,0.107,0.25,0.745,0,0,0.036
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0.031,0.005,0.134,0.109,0.505,0.115,0
"P33","En blanco",0,0.006,0.075,0.14,0.099,0,0.208,0
"P33","No sabe",0.019,0.063,0.168,0.204,0.009,0.462,0.459,0.82
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.935,0.054,0.048,0.016,0.035,0,0.259,0.105
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.001,0.774,0.576,0.084,0.013,0,0,0.03
"P34","Julio Zamora a intendente por un partido vecinal",0.05,0.029,0.097,0.625,0.159,0,0.021,0.046
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.004,0.021,0.052,0.132,0.692,0,0,0
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.027,0.072,0.025,0.1,0.541,0.034,0
"P34","En blanco",0.008,0.014,0.1,0.1,0.001,0.06,0.686,0.31
"P34","No sabe",0.002,0.081,0.055,0.018,0,0.399,0,0.509
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.816,0.071,0.007,0.085,0.025,0,0,0.012
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.056,0.145,0.123,0.521,0.023,0,0,0.067
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.004,0.645,0.16,0.105,0.011,0,0,0.011
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.102,0.057,0.595,0.07,0.069,0,0.323,0.068
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.023,0.086,0.084,0.869,0,0,0
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.018,0.01,0.026,0,0.61,0.134,0.177
"P35","En blanco",0.008,0.036,0,0.03,0.001,0.39,0.522,0
"P35","No sabe",0.012,0.005,0.019,0.079,0.002,0,0.021,0.665
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.93,0.057,0.046,0.039,0.009,0,0,0
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.001,0.699,0.065,0.07,0.004,0,0,0
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.037,0.108,0.714,0.078,0.021,0,0.328,0.072
"P36","Julio Zamora a intendente por un partido vecinal",0.026,0.005,0.101,0.734,0.007,0,0.019,0.083
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.009,0.048,0.066,0.941,0,0.187,0
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.026,0.002,0.005,0.001,0.596,0,0.201
"P36","En blanco",0,0.04,0,0.002,0.003,0.404,0.466,0.07
"P36","No sabe",0.004,0.056,0.024,0.006,0.014,0,0,0.574
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.886,0.048,0.079,0.198,0.007,0,0.265,0.082
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.008,0.658,0.664,0.12,0.01,0,0,0.021
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.06,0.128,0.173,0.219,0.677,0,0,0.009
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0.025,0.031,0.114,0.05,0.509,0,0.079
"P37","En blanco",0.018,0.048,0.013,0.157,0.223,0,0.465,0.079
"P37","No sabe",0.023,0.093,0.04,0.192,0.033,0.491,0.27,0.73
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.934,0.054,0.037,0.044,0.036,0,0.256,0.07
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.02,0.674,0.785,0.041,0.029,0,0,0.021
"P38","Julio Zamora a intendente por un partido vecinal",0.043,0.028,0.088,0.648,0.135,0,0,0.025
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.003,0.098,0.046,0.117,0.665,0.043,0,0
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.042,0.009,0.065,0.124,0.454,0.284,0
"P38","En blanco",0,0.062,0.002,0.052,0.011,0.503,0.46,0.218
"P38","No sabe",0,0.042,0.033,0.033,0,0,0,0.666
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.921,0.052,0.041,0.151,0.03,0,0.292,0.105
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.046,0.853,0.66,0.121,0.031,0,0,0
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.021,0.041,0.106,0.284,0.685,0,0,0.025
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.016,0.025,0.07,0.143,0.499,0,0
"P39","En blanco",0.005,0.01,0.052,0.15,0.1,0,0.464,0
"P39","No sabe",0.004,0.028,0.116,0.224,0.011,0.501,0.244,0.87
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.652,0.333,0.179,0.039,0.03,0,0,0.011
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.317,0.625,0.491,0.029,0.033,0,0.293,0.084
"P40","Julio Zamora a intendente por un partido vecinal",0.026,0.006,0.088,0.66,0.204,0,0.219,0.02
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.019,0.069,0.07,0.63,0,0,0.025
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.017,0.035,0.027,0.092,0.47,0,0
"P40","En blanco",0.001,0,0.042,0.119,0.007,0.53,0.268,0.464
"P40","No sabe",0,0,0.096,0.056,0.004,0,0.22,0.396
"P41","Muy buena",0.496,0.16,0.028,0.017,0.007,0,0,0.136
"P41","Buena",0.268,0.128,0.113,0.109,0.039,0,0.29,0.019
"P41","Ni buena ni mala",0.163,0.076,0.184,0.341,0.151,0.434,0.271,0.174
"P41","Mala",0.041,0.118,0.229,0.166,0.204,0,0.073,0.2
"P41","Muy mala",0.03,0.51,0.422,0.319,0.596,0.566,0.287,0.354
"P41","No sabe",0.002,0.008,0.024,0.048,0.003,0,0.079,0.117
"P42","Muy buena",0.314,0.089,0.05,0.476,0.009,0,0.05,0.104
"P42","Buena",0.321,0.111,0.077,0.287,0.071,0,0.29,0.011
"P42","Ni buena ni mala",0.213,0.226,0.384,0.03,0.134,0.436,0.22,0.443
"P42","Mala",0.07,0.231,0.202,0.063,0.168,0,0,0.126
"P42","Muy mala",0.062,0.305,0.26,0.092,0.612,0.564,0.44,0.316
"P42","No sabe",0.02,0.038,0.027,0.052,0.006,0,0,0
"P43","Muy buena",0.118,0.16,0.341,0.055,0.078,0,0.049,0.085
"P43","Buena",0.095,0.37,0.355,0.143,0.096,0,0.297,0.046
"P43","Ni buena ni mala",0.209,0.274,0.187,0.252,0.365,0.444,0.242,0.301
"P43","Mala",0.252,0.032,0.006,0.103,0.135,0,0,0
"P43","Muy mala",0.27,0.117,0.071,0.368,0.294,0.556,0.339,0.464
"P43","No sabe",0.056,0.047,0.04,0.079,0.032,0,0.073,0.104
"P44","Muy buena",0.072,0.29,0.107,0.076,0.049,0,0,0.096
"P44","Buena",0.075,0.326,0.285,0.156,0.118,0,0.296,0.035
"P44","Ni buena ni mala",0.25,0.232,0.38,0.215,0.432,0.476,0.485,0.385
"P44","Mala",0.237,0.046,0.053,0.105,0.087,0,0,0.019
"P44","Muy mala",0.263,0.056,0.044,0.335,0.234,0.524,0.041,0.36
"P44","No sabe",0.103,0.05,0.131,0.113,0.08,0,0.178,0.105
"P45","Muy buena",0.257,0.071,0.056,0.371,0.022,0,0.047,0.115
"P45","Buena",0.343,0.167,0.163,0.397,0.076,0,0.301,0.139
"P45","Ni buena ni mala",0.221,0.25,0.442,0.098,0.221,0.034,0.243,0.181
"P45","Mala",0.065,0.246,0.212,0.009,0.19,0.441,0.33,0.313
"P45","Muy mala",0.058,0.25,0.116,0.09,0.479,0.525,0,0
"P45","No sabe",0.056,0.016,0.011,0.035,0.012,0,0.079,0.252
"P46","Que continúe el intendente Julio Zamora",0.228,0.115,0.017,0.444,0.02,0,0.047,0.119
"P46","Que continúe Julio Zamora pero con mejoras",0.36,0.134,0.132,0.357,0.078,0,0.298,0.295
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.193,0.145,0.271,0.124,0.119,0.545,0.22,0.187
"P46","Que cambie el intendente Julio Zamora",0.219,0.606,0.58,0.075,0.783,0.455,0.435,0.399
"P47","Es kirchnerista",0.17,0.222,0.129,0.222,0.225,0.317,0,0.135
"P47","Forma parte del Frente de Todos",0.362,0.228,0.327,0.373,0.193,0,0.3,0.022
"P47","Es un hombre de Massa",0.17,0.126,0.175,0.061,0.178,0.067,0.266,0
"P47","Es un peronista independiente de centro",0.096,0.101,0.118,0.258,0.144,0.433,0.023,0.171
"P47","Es un oportunista y está donde le conviene",0.113,0.27,0.131,0.017,0.206,0.183,0.191,0.537
"P47","No sabe",0.089,0.053,0.12,0.069,0.054,0,0.22,0.135
"P48","El tránsito",0.36,0.251,0.198,0.301,0.247,0,0.265,0.242
"P48","El arreglo de las calles",0.141,0.075,0.093,0.07,0.075,0,0.324,0
"P48","Los parques y espacios públicos",0.088,0.066,0.104,0.062,0.102,0.035,0,0
"P48","El sistema de salud",0.053,0.058,0.024,0.12,0.011,0.326,0,0
"P48","La limpieza de las calles",0.13,0.148,0.096,0.099,0.061,0,0.082,0.442
"P48","El deporte y la cultura",0.059,0.055,0.137,0.158,0.122,0.451,0.219,0.069
"P48","La obra pública",0.013,0.04,0.03,0.065,0.028,0,0,0
"P48","La luminaria",0.06,0.059,0.096,0.031,0.05,0,0.04,0
"P48","No sabe",0.096,0.248,0.222,0.094,0.304,0.188,0.07,0.247
"P49","El tránsito",0.215,0.179,0.262,0.167,0.274,0.329,0.266,0.232
"P49","El arreglo de las calles",0.109,0.151,0.095,0.081,0.068,0,0.323,0.051
"P49","Los parques y espacios públicos",0.213,0.184,0.111,0.189,0.096,0.034,0,0.012
"P49","El sistema de salud",0.069,0.089,0.083,0.118,0.105,0.048,0.302,0.125
"P49","La limpieza de las calles",0.175,0.093,0.26,0.148,0.201,0,0.109,0.458
"P49","El deporte y la cultura",0.03,0.024,0.064,0.043,0.074,0,0,0
"P49","La obra pública",0.03,0.061,0.018,0.035,0.039,0,0,0
"P49","La luminaria",0.033,0.012,0.006,0.041,0.008,0,0,0
"P49","No sabe",0.126,0.207,0.101,0.178,0.135,0.589,0,0.122
"P50","Agua corriente y cloacas",0.337,0.571,0.453,0.37,0.383,0.951,0.306,0.147
