"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.052,0.005,0.03,0.013,0.028
"P24","En blanco",0.013,0.005,0.015,0.022,0.009
"P24","No sabe",0.016,0.036,0.032,0.033,0.046
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.281,0.233,0.302,0.28,0.324
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.227,0.241,0.143,0.28,0.177
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.167,0.2,0.116,0.042,0.079
"P25","Julio Zamora a intendente por un partido vecinal",0.063,0.052,0.215,0.056,0.18
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.181,0.233,0.173,0.251,0.179
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.044,0,0.004,0.032,0.032
"P25","En blanco",0.012,0.009,0.015,0.028,0.009
"P25","No sabe",0.025,0.032,0.032,0.031,0.02
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.32,0.24,0.387,0.295,0.31
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.285,0.279,0.182,0.26,0.129
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.221,0.288,0.158,0.241,0.242
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.04,0.03,0.055,0.057,0.096
"P26","En blanco",0.054,0.081,0.14,0.061,0.054
"P26","No sabe",0.08,0.082,0.078,0.086,0.169
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.261,0.231,0.288,0.294,0.28
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.31,0.284,0.164,0.229,0.122
"P27","Julio Zamora a intendente por un partido vecinal",0.142,0.144,0.228,0.175,0.168
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.187,0.218,0.171,0.193,0.245
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.031,0.019,0.037,0.01,0.094
"P27","En blanco",0.047,0.052,0.043,0.063,0.042
"P27","No sabe",0.022,0.052,0.069,0.036,0.049
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.312,0.278,0.341,0.325,0.276
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.347,0.358,0.26,0.31,0.226
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.183,0.232,0.244,0.253,0.191
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.059,0.029,0.024,0.021,0.068
"P28","En blanco",0.052,0.03,0.02,0.032,0.089
"P28","No sabe",0.047,0.073,0.111,0.059,0.15
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.287,0.267,0.304,0.288,0.256
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.343,0.351,0.231,0.288,0.196
"P29","Julio Zamora a intendente por un partido vecinal",0.104,0.13,0.278,0.137,0.269
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.166,0.186,0.132,0.181,0.155
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.04,0.018,0.01,0.065,0.063
"P29","En blanco",0.035,0.036,0.004,0.006,0.061
"P29","No sabe",0.025,0.012,0.041,0.035,0
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.267,0.234,0.273,0.3,0.255
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.218,0.192,0.124,0.167,0.177
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.217,0.214,0.172,0.143,0.087
"P30","Julio Zamora a intendente por un partido vecinal",0.067,0.089,0.241,0.129,0.236
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.182,0.22,0.118,0.227,0.177
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.026,0,0.004,0.01,0
"P30","En blanco",0.012,0.02,0.017,0.002,0.028
"P30","No sabe",0.011,0.031,0.051,0.022,0.04
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.339,0.263,0.348,0.235,0.263
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.282,0.304,0.176,0.294,0.286
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.255,0.273,0.278,0.19,0.174
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.028,0.021,0.052,0.06,0.027
"P31","En blanco",0.054,0.071,0.058,0.127,0.078
"P31","No sabe",0.042,0.068,0.088,0.094,0.172
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.269,0.274,0.302,0.263,0.242
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.329,0.28,0.168,0.256,0.25
"P32","Julio Zamora a intendente por un partido vecinal",0.133,0.12,0.326,0.2,0.19
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.158,0.204,0.101,0.176,0.203
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.036,0.04,0.028,0.049,0.03
"P32","En blanco",0.052,0.037,0.012,0.021,0.085
"P32","No sabe",0.023,0.045,0.063,0.035,0
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.306,0.278,0.321,0.335,0.243
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.329,0.321,0.187,0.239,0.26
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.187,0.27,0.279,0.196,0.161
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.063,0.021,0.026,0.073,0.107
"P33","En blanco",0.042,0.048,0.023,0.084,0.051
"P33","No sabe",0.073,0.062,0.164,0.073,0.178
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.282,0.273,0.274,0.282,0.249
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.326,0.278,0.197,0.284,0.261
"P34","Julio Zamora a intendente por un partido vecinal",0.095,0.172,0.265,0.132,0.141
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.171,0.174,0.137,0.209,0.17
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.06,0.018,0.02,0.049,0.046
"P34","En blanco",0.035,0.034,0.018,0.012,0.13
"P34","No sabe",0.031,0.051,0.089,0.032,0.003
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.294,0.21,0.244,0.239,0.257
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.126,0.113,0.231,0.069,0.167
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.167,0.177,0.119,0.232,0.221
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.18,0.225,0.118,0.176,0.054
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.181,0.226,0.186,0.18,0.176
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.026,0.003,0.031,0.019,0.056
"P35","En blanco",0.025,0.006,0.011,0.048,0.028
"P35","No sabe",0.001,0.04,0.06,0.037,0.041
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.272,0.247,0.282,0.278,0.248
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.215,0.136,0.105,0.168,0.167
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.199,0.247,0.165,0.187,0.082
"P36","Julio Zamora a intendente por un partido vecinal",0.07,0.093,0.236,0.088,0.204
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.195,0.225,0.127,0.231,0.218
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.027,0,0.008,0.013,0.038
"P36","En blanco",0.016,0.006,0.014,0.005,0.028
"P36","No sabe",0.006,0.046,0.063,0.03,0.015
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.326,0.273,0.323,0.216,0.26
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.298,0.255,0.21,0.291,0.228
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.196,0.298,0.307,0.302,0.189
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.044,0.049,0.014,0.032,0.036
"P37","En blanco",0.08,0.06,0.041,0.105,0.102
"P37","No sabe",0.056,0.065,0.105,0.054,0.185
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.299,0.247,0.293,0.278,0.261
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.305,0.305,0.25,0.278,0.214
"P38","Julio Zamora a intendente por un partido vecinal",0.096,0.116,0.26,0.146,0.21
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.193,0.215,0.099,0.154,0.179
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.06,0.03,0.025,0.088,0.015
"P38","En blanco",0.04,0.017,0.01,0.025,0.092
"P38","No sabe",0.007,0.07,0.063,0.031,0.029
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.301,0.279,0.306,0.3,0.247
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.366,0.333,0.217,0.298,0.238
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.152,0.232,0.283,0.231,0.165
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.07,0.039,0.028,0.037,0.079
"P39","En blanco",0.062,0.043,0.032,0.055,0.079
"P39","No sabe",0.049,0.074,0.134,0.079,0.192
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.306,0.265,0.246,0.217,0.281
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.349,0.3,0.235,0.365,0.212
"P40","Julio Zamora a intendente por un partido vecinal",0.089,0.153,0.295,0.175,0.131
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.157,0.166,0.135,0.124,0.155
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.045,0.022,0.015,0.04,0.031
"P40","En blanco",0.018,0.043,0.02,0.042,0.152
"P40","No sabe",0.036,0.051,0.054,0.037,0.038
"P41","Muy buena",0.215,0.153,0.153,0.081,0.201
"P41","Buena",0.159,0.149,0.073,0.149,0.11
"P41","Ni buena ni mala",0.151,0.104,0.346,0.265,0.164
"P41","Mala",0.145,0.179,0.102,0.04,0.227
"P41","Muy mala",0.322,0.408,0.29,0.45,0.256
"P41","No sabe",0.008,0.007,0.036,0.015,0.042
"P42","Muy buena",0.193,0.095,0.219,0.134,0.299
"P42","Buena",0.112,0.28,0.127,0.148,0.113
"P42","Ni buena ni mala",0.239,0.181,0.248,0.24,0.213
"P42","Mala",0.122,0.156,0.137,0.145,0.187
"P42","Muy mala",0.314,0.275,0.261,0.289,0.135
"P42","No sabe",0.02,0.013,0.008,0.044,0.053
"P43","Muy buena",0.185,0.187,0.135,0.111,0.073
"P43","Buena",0.191,0.259,0.157,0.175,0.136
"P43","Ni buena ni mala",0.275,0.302,0.12,0.267,0.265
"P43","Mala",0.095,0.08,0.085,0.21,0.136
"P43","Muy mala",0.206,0.143,0.429,0.211,0.266
"P43","No sabe",0.048,0.029,0.074,0.026,0.124
"P44","Muy buena",0.147,0.119,0.093,0.11,0.083
"P44","Buena",0.224,0.232,0.155,0.088,0.081
"P44","Ni buena ni mala",0.288,0.358,0.319,0.319,0.281
"P44","Mala",0.103,0.088,0.141,0.096,0.149
"P44","Muy mala",0.159,0.141,0.179,0.279,0.245
"P44","No sabe",0.079,0.062,0.113,0.108,0.161
"P45","Muy buena",0.187,0.118,0.154,0.073,0.204
"P45","Buena",0.152,0.276,0.245,0.235,0.267
"P45","Ni buena ni mala",0.222,0.252,0.312,0.247,0.227
"P45","Mala",0.156,0.187,0.113,0.173,0.147
"P45","Muy mala",0.246,0.153,0.131,0.215,0.108
"P45","No sabe",0.037,0.014,0.045,0.057,0.047
"P46","Que continúe el intendente Julio Zamora",0.186,0.074,0.174,0.082,0.259
"P46","Que continúe Julio Zamora pero con mejoras",0.125,0.297,0.286,0.196,0.238
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.132,0.168,0.192,0.239,0.225
"P46","Que cambie el intendente Julio Zamora",0.557,0.461,0.348,0.483,0.278
"P47","Es kirchnerista",0.286,0.151,0.121,0.127,0.173
"P47","Forma parte del Frente de Todos",0.236,0.378,0.274,0.3,0.246
"P47","Es un hombre de Massa",0.12,0.148,0.132,0.167,0.155
"P47","Es un peronista independiente de centro",0.149,0.091,0.163,0.081,0.232
"P47","Es un oportunista y está donde le conviene",0.124,0.203,0.231,0.248,0.023
"P47","No sabe",0.085,0.029,0.079,0.077,0.171
"P48","El tránsito",0.337,0.254,0.236,0.12,0.359
"P48","El arreglo de las calles",0.082,0.107,0.076,0.123,0.1
"P48","Los parques y espacios públicos",0.079,0.084,0.056,0.124,0.072
"P48","El sistema de salud",0.052,0.034,0.074,0.077,0.024
"P48","La limpieza de las calles",0.072,0.105,0.149,0.186,0.125
"P48","El deporte y la cultura",0.095,0.124,0.101,0.138,0.055
"P48","La obra pública",0.009,0.01,0.07,0.034,0.085
"P48","La luminaria",0.051,0.08,0.072,0.063,0.003
"P48","No sabe",0.223,0.202,0.166,0.135,0.177
"P49","El tránsito",0.388,0.202,0.153,0.125,0.062
"P49","El arreglo de las calles",0.082,0.153,0.059,0.079,0.122
"P49","Los parques y espacios públicos",0.105,0.165,0.286,0.171,0.094
"P49","El sistema de salud",0.059,0.099,0.093,0.14,0.109
"P49","La limpieza de las calles",0.184,0.214,0.122,0.176,0.188
"P49","El deporte y la cultura",0.037,0.033,0.039,0.095,0.028
"P49","La obra pública",0.016,0.027,0.083,0.022,0.048
"P49","La luminaria",0.011,0.014,0.034,0.03,0.016
"P49","No sabe",0.118,0.093,0.131,0.162,0.333
"P50","Agua corriente y cloacas",0.633,0.442,0.208,0.268,0.194
"P50","Energía eléctrica",0.126,0.187,0.124,0.126,0.105
"P50","Red de gas natural",0.06,0.109,0.228,0.074,0.08
"P50","Recolección de residuos",0.092,0.088,0.228,0.285,0.071
"P50","Ninguno",0.089,0.174,0.212,0.247,0.55
"P52","Muy buena",0.215,0.054,0.05,0.021,0.021
"P52","Buena",0.077,0.233,0.164,0.094,0.139
"P52","Ni buena ni mala",0.141,0.092,0.206,0.067,0.192
"P52","Mala",0.077,0.106,0.092,0.221,0.092
"P52","Muy mala",0.49,0.502,0.486,0.55,0.548
"P52","No sabe",0,0.013,0.002,0.047,0.008
"P53","Muy buena",0.273,0.189,0.181,0.126,0.153
"P53","Buena",0.169,0.224,0.146,0.147,0.209
"P53","Ni buena ni mala",0.115,0.164,0.082,0.101,0.121
"P53","Mala",0.146,0.091,0.196,0.191,0.114
"P53","Muy mala",0.292,0.332,0.395,0.37,0.403
"P53","No sabe",0.005,0,0,0.065,0
"P54","Muy buena",0.297,0.21,0.309,0.284,0.265
"P54","Buena",0.036,0.093,0.055,0.065,0.164
"P54","Ni buena ni mala",0.058,0.061,0.032,0.052,0.084
"P54","Mala",0.069,0.055,0.066,0.068,0.016
"P54","Muy mala",0.534,0.579,0.538,0.531,0.433
"P54","No sabe",0.006,0.002,0,0,0.038
"P55","Muy buena",0.152,0.109,0.062,0.048,0.138
"P55","Buena",0.179,0.199,0.221,0.152,0.19
"P55","Ni buena ni mala",0.201,0.213,0.108,0.215,0.197
"P55","Mala",0.147,0.19,0.158,0.093,0.186
"P55","Muy mala",0.317,0.287,0.424,0.492,0.289
"P55","No sabe",0.004,0.002,0.027,0,0
"P56","Muy buena",0.127,0.089,0.191,0.035,0.185
"P56","Buena",0.136,0.103,0.076,0.13,0.121
"P56","Ni buena ni mala",0.12,0.117,0.202,0.185,0.16
"P56","Mala",0.108,0.107,0.128,0.07,0.08
"P56","Muy mala",0.506,0.584,0.378,0.568,0.454
"P56","No sabe",0.003,0,0.025,0.012,0
"P57","Muy buena",0.208,0.147,0.256,0.114,0.245
"P57","Buena",0.095,0.091,0.098,0.194,0.071
"P57","Ni buena ni mala",0.137,0.135,0.155,0.117,0.141
"P57","Mala",0.121,0.148,0.136,0.097,0.044
"P57","Muy mala",0.419,0.391,0.304,0.438,0.441
"P57","No sabe",0.02,0.088,0.051,0.04,0.058
"P58","Muy buena",0.284,0.262,0.268,0.203,0.252
"P58","Buena",0.17,0.225,0.138,0.172,0.175
"P58","Ni buena ni mala",0.15,0.14,0.076,0.06,0.091
"P58","Mala",0.086,0.06,0.102,0.134,0.174
"P58","Muy mala",0.306,0.293,0.41,0.431,0.299
"P58","No sabe",0.004,0.02,0.006,0,0.009
"P59","Muy buena",0.266,0.197,0.273,0.226,0.172
"P59","Buena",0.135,0.169,0.056,0.121,0.094
"P59","Ni buena ni mala",0.209,0.2,0.094,0.139,0.184
"P59","Mala",0.15,0.121,0.171,0.101,0.122
"P59","Muy mala",0.231,0.28,0.37,0.387,0.369
"P59","No sabe",0.009,0.033,0.036,0.026,0.059
"P60","Muy buena",0.256,0.207,0.388,0.261,0.295
"P60","Buena",0.084,0.07,0.065,0.11,0.182
"P60","Ni buena ni mala",0.098,0.058,0.049,0.094,0.08
"P60","Mala",0.054,0.076,0.091,0.096,0.065
"P60","Muy mala",0.504,0.573,0.366,0.439,0.37
"P60","No sabe",0.004,0.016,0.041,0,0.008
"P61","Muy buena",0.166,0.092,0.136,0.084,0.118
"P61","Buena",0.164,0.127,0.158,0.188,0.194
"P61","Ni buena ni mala",0.267,0.364,0.207,0.193,0.209
"P61","Mala",0.087,0.093,0.148,0.147,0.068
"P61","Muy mala",0.231,0.204,0.263,0.273,0.281
"P61","No sabe",0.085,0.12,0.088,0.115,0.13
"P62","Muy buena",0.139,0.108,0.084,0.053,0.054
"P62","Buena",0.235,0.195,0.242,0.239,0.243
"P62","Ni buena ni mala",0.263,0.349,0.164,0.168,0.265
"P62","Mala",0.127,0.143,0.176,0.165,0.159
"P62","Muy mala",0.189,0.178,0.28,0.313,0.199
"P62","No sabe",0.047,0.027,0.054,0.062,0.08
