"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.035,0.539,0.142,0.041,0.093,0.163
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.055,0.335,0.066,0,0.043,0.024
"P19","Julio Zamora a intendente por un partido vecinal",0.066,0.063,0.233,0.341,0.147,0.221
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.006,0.483,0.257,0.562,0.049
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.001,0.003,0.207,0.047,0.042
"P19","En blanco",0.006,0.009,0.004,0.019,0.061,0.184
"P19","No sabe",0.012,0.019,0.001,0.005,0.013,0.307
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.826,0.022,0.041,0.115,0.122,0.047
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.05,0.792,0.061,0.063,0.02,0.052
"P21","Julio Zamora a intendente por un partido vecinal",0.086,0.075,0.175,0.233,0.09,0.18
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.067,0.683,0.39,0.321,0.041
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.008,0.007,0.194,0.289,0.017
"P21","En blanco",0.008,0.007,0.015,0,0.144,0.238
"P21","No sabe",0.017,0.029,0.018,0.005,0.014,0.425
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.887,0.037,0.051,0.129,0.14,0.056
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.046,0.801,0.156,0.079,0.111,0.199
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.026,0.031,0.674,0.227,0.267,0.062
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.024,0.087,0.352,0.214,0.01
"P22","En blanco",0,0.032,0.003,0.123,0.232,0.039
"P22","No sabe",0.026,0.075,0.029,0.09,0.036,0.634
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.842,0.045,0.051,0.203,0.09,0.035
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.047,0.749,0.166,0.025,0.137,0.206
"P23","Julio Zamora a intendente por un partido vecinal",0.089,0.056,0.217,0.228,0.199,0.168
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.019,0.521,0.261,0.324,0.05
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.014,0.001,0.176,0.119,0.035
"P23","En blanco",0.003,0.044,0.034,0.089,0.116,0.16
"P23","No sabe",0.004,0.073,0.01,0.018,0.015,0.346
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.715,0.023,0.061,0.253,0.155,0.148
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.062,0.119,0.045,0.118,0.101,0.158
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.063,0.526,0.206,0.013,0.168,0.21
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.12,0.276,0.056,0.283,0.112,0.039
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0,0.011,0.617,0.133,0.391,0.044
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.014,0.008,0.004,0.185,0.003,0.098
"P24","En blanco",0.008,0.012,0.005,0.005,0.052,0.065
"P24","No sabe",0.018,0.025,0.006,0.01,0.018,0.238
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.724,0.033,0.062,0.157,0.172,0.1
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.037,0.52,0.152,0.079,0.149,0.242
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.091,0.333,0.094,0.108,0.022,0.026
"P25","Julio Zamora a intendente por un partido vecinal",0.086,0.065,0.071,0.246,0.05,0.257
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.01,0.605,0.179,0.509,0.058
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.014,0.001,0.004,0.194,0.017,0.073
"P25","En blanco",0.001,0.018,0.002,0.013,0.06,0.018
"P25","No sabe",0.039,0.02,0.01,0.024,0.021,0.226
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.798,0.082,0.074,0.407,0.176,0.117
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.046,0.76,0.058,0.042,0.055,0.153
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.06,0.056,0.64,0.202,0.251,0.108
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.014,0.049,0.045,0.25,0.042,0.007
"P26","En blanco",0.02,0.02,0.131,0.051,0.404,0.062
"P26","No sabe",0.062,0.033,0.052,0.048,0.072,0.553
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.762,0.048,0.064,0.131,0.155,0.126
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.048,0.789,0.066,0.102,0.022,0.167
"P27","Julio Zamora a intendente por un partido vecinal",0.131,0.061,0.203,0.289,0.145,0.184
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.011,0.044,0.574,0.196,0.348,0.024
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.016,0.053,0.175,0.15,0.027
"P27","En blanco",0.011,0.011,0.027,0.09,0.144,0.228
"P27","No sabe",0.029,0.031,0.013,0.017,0.036,0.244
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.842,0.054,0.078,0.217,0.231,0.231
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.051,0.802,0.186,0.014,0.116,0.305
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.037,0.039,0.573,0.228,0.4,0.02
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.01,0.099,0.23,0.063,0.008
"P28","En blanco",0.01,0.048,0.05,0.18,0.129,0.056
"P28","No sabe",0.06,0.047,0.014,0.131,0.061,0.38
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.771,0.064,0.064,0.277,0.189,0.16
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.081,0.744,0.181,0.093,0.183,0.306
"P29","Julio Zamora a intendente por un partido vecinal",0.111,0.082,0.158,0.197,0.28,0.257
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.026,0.539,0.144,0.171,0.017
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.008,0.041,0.222,0.127,0.007
"P29","En blanco",0.013,0.037,0.006,0.009,0.05,0.114
"P29","No sabe",0.019,0.039,0.011,0.058,0,0.139
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.804,0.019,0.053,0.175,0.098,0.135
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.018,0.403,0.14,0.059,0.15,0.182
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.076,0.489,0.076,0.088,0.087,0.112
"P30","Julio Zamora a intendente por un partido vecinal",0.097,0.058,0.114,0.194,0.178,0.277
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.022,0.605,0.173,0.377,0.018
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0,0.092,0.009,0.047
"P30","En blanco",0,0.004,0.01,0.088,0.056,0.036
"P30","No sabe",0.005,0.005,0.002,0.131,0.045,0.193
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.813,0.071,0.064,0.163,0.099,0.159
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.032,0.747,0.125,0.09,0.141,0.252
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.089,0.109,0.626,0.239,0.201,0.023
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.017,0.013,0.04,0.213,0.006,0.03
"P31","En blanco",0.015,0.033,0.118,0.133,0.383,0.022
"P31","No sabe",0.034,0.027,0.027,0.162,0.17,0.514
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.762,0.06,0.058,0.114,0.11,0.129
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.034,0.76,0.146,0.125,0.124,0.175
"P32","Julio Zamora a intendente por un partido vecinal",0.178,0.095,0.171,0.316,0.218,0.268
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.01,0.036,0.529,0.15,0.262,0.02
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0.019,0.076,0.11,0.158,0.006
"P32","En blanco",0.004,0.01,0.018,0.185,0.103,0.127
"P32","No sabe",0.007,0.02,0.002,0,0.025,0.275
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.861,0.036,0.073,0.234,0.142,0.156
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.036,0.765,0.155,0.113,0.113,0.178
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.045,0.059,0.573,0.242,0.288,0.09
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.014,0.004,0.112,0.163,0.119,0.013
"P33","En blanco",0.006,0.021,0.064,0.092,0.22,0.099
"P33","No sabe",0.038,0.115,0.023,0.156,0.118,0.464
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.817,0.067,0.053,0.172,0.118,0.116
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.027,0.743,0.143,0.125,0.085,0.174
"P34","Julio Zamora a intendente por un partido vecinal",0.1,0.066,0.176,0.228,0.306,0.213
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.001,0.021,0.521,0.2,0.242,0.026
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.016,0.027,0.064,0.096,0.134,0.031
"P34","En blanco",0.039,0.037,0.019,0.179,0.076,0.135
"P34","No sabe",0,0.039,0.024,0,0.039,0.305
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.725,0.061,0.014,0.201,0.155,0.099
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.127,0.116,0.119,0.154,0.121,0.199
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.021,0.381,0.113,0.098,0.138,0.18
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.1,0.378,0.118,0.122,0.038,0.111
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.05,0.587,0.171,0.435,0.023
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.013,0.002,0.013,0.167,0.009,0.034
"P35","En blanco",0.008,0.003,0.029,0.065,0.036,0.058
"P35","No sabe",0.006,0.009,0.007,0.022,0.068,0.296
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.812,0.045,0.038,0.194,0.118,0.107
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.006,0.344,0.132,0.127,0.107,0.179
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.063,0.466,0.101,0.081,0.035,0.082
"P36","Julio Zamora a intendente por un partido vecinal",0.103,0.069,0.107,0.201,0.115,0.232
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.001,0.046,0.567,0.226,0.556,0.026
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.012,0.007,0.001,0.171,0.013,0.005
"P36","En blanco",0,0.003,0.033,0,0.028,0.099
"P36","No sabe",0.003,0.02,0.021,0,0.028,0.27
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.842,0.067,0.049,0.205,0.132,0.129
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.03,0.737,0.12,0.108,0.082,0.224
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.058,0.12,0.576,0.191,0.369,0.027
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.007,0.009,0.054,0.289,0.017,0.066
"P37","En blanco",0.014,0.032,0.142,0.134,0.34,0.064
"P37","No sabe",0.049,0.035,0.059,0.073,0.06,0.49
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.845,0.07,0.06,0.149,0.089,0.125
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.043,0.777,0.151,0.19,0.109,0.173
"P38","Julio Zamora a intendente por un partido vecinal",0.088,0.063,0.177,0.195,0.295,0.183
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.003,0.044,0.506,0.227,0.252,0.014
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.021,0.002,0.072,0.167,0.176,0.019
"P38","En blanco",0,0.017,0.034,0.072,0.045,0.185
"P38","No sabe",0,0.027,0,0,0.034,0.301
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.866,0.072,0.061,0.143,0.109,0.131
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.078,0.779,0.201,0.168,0.15,0.212
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.034,0.025,0.574,0.277,0.265,0.07
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.017,0.066,0.255,0.148,0.011
"P39","En blanco",0.004,0.02,0.074,0.056,0.263,0.079
"P39","No sabe",0.016,0.087,0.024,0.101,0.065,0.497
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.616,0.239,0.07,0.092,0.14,0.208
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.28,0.57,0.166,0.261,0.16,0.172
"P40","Julio Zamora a intendente por un partido vecinal",0.086,0.078,0.238,0.244,0.187,0.153
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.025,0.442,0.215,0.236,0.024
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.017,0.061,0.097,0.133,0.004
"P40","En blanco",0.016,0.01,0.02,0.091,0.062,0.258
"P40","No sabe",0,0.061,0.003,0,0.082,0.181
"P41","Muy buena",0.49,0.088,0.017,0.118,0.054,0.075
"P41","Buena",0.252,0.153,0.06,0.222,0.041,0.038
"P41","Ni buena ni mala",0.185,0.165,0.128,0.256,0.193,0.215
"P41","Mala",0.029,0.153,0.216,0.116,0.25,0.153
"P41","Muy mala",0.044,0.418,0.564,0.288,0.438,0.457
"P41","No sabe",0,0.023,0.015,0,0.024,0.062
"P42","Muy buena",0.366,0.073,0.073,0.195,0.102,0.199
"P42","Buena",0.287,0.143,0.122,0.213,0.049,0.143
"P42","Ni buena ni mala",0.186,0.306,0.121,0.161,0.242,0.345
"P42","Mala",0.071,0.211,0.203,0.055,0.164,0.031
"P42","Muy mala",0.066,0.223,0.472,0.376,0.409,0.263
"P42","No sabe",0.024,0.044,0.009,0,0.034,0.019
"P43","Muy buena",0.136,0.26,0.098,0.189,0.056,0.06
"P43","Buena",0.074,0.394,0.187,0.227,0.073,0.139
"P43","Ni buena ni mala",0.199,0.214,0.29,0.271,0.292,0.419
"P43","Mala",0.238,0.026,0.088,0.033,0.157,0.078
"P43","Muy mala",0.274,0.055,0.301,0.253,0.41,0.246
"P43","No sabe",0.079,0.051,0.036,0.027,0.012,0.058
"P44","Muy buena",0.082,0.186,0.104,0.122,0.052,0.077
"P44","Buena",0.031,0.352,0.214,0.203,0.076,0.087
"P44","Ni buena ni mala",0.261,0.266,0.349,0.296,0.388,0.424
"P44","Mala",0.233,0.037,0.094,0.042,0.089,0.089
"P44","Muy mala",0.259,0.045,0.172,0.289,0.37,0.217
"P44","No sabe",0.134,0.114,0.067,0.048,0.025,0.106
"P45","Muy buena",0.268,0.092,0.06,0.236,0.123,0.118
"P45","Buena",0.319,0.202,0.195,0.218,0.029,0.258
"P45","Ni buena ni mala",0.185,0.359,0.14,0.231,0.417,0.275
"P45","Mala",0.083,0.169,0.243,0.025,0.151,0.219
"P45","Muy mala",0.084,0.162,0.344,0.22,0.28,0.063
"P45","No sabe",0.061,0.016,0.018,0.07,0,0.067
"P46","Que continúe el intendente Julio Zamora",0.246,0.081,0.065,0.282,0.137,0.176
"P46","Que continúe Julio Zamora pero con mejoras",0.351,0.132,0.189,0.228,0.081,0.255
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.197,0.211,0.103,0.087,0.305,0.198
"P46","Que cambie el intendente Julio Zamora",0.206,0.576,0.643,0.403,0.477,0.371
"P47","Es kirchnerista",0.134,0.202,0.224,0.297,0.1,0.198
"P47","Forma parte del Frente de Todos",0.377,0.306,0.275,0.22,0.121,0.204
"P47","Es un hombre de Massa",0.148,0.17,0.12,0.141,0.227,0.075
"P47","Es un peronista independiente de centro",0.11,0.117,0.147,0.134,0.254,0.107
"P47","Es un oportunista y está donde le conviene",0.117,0.131,0.202,0.146,0.247,0.234
"P47","No sabe",0.114,0.074,0.032,0.062,0.051,0.182
"P48","El tránsito",0.296,0.261,0.299,0.375,0.152,0.207
"P48","El arreglo de las calles",0.115,0.08,0.093,0.068,0.108,0.104
"P48","Los parques y espacios públicos",0.101,0.079,0.034,0.117,0.2,0.026
"P48","El sistema de salud",0.073,0.04,0.054,0.071,0.012,0.018
"P48","La limpieza de las calles",0.147,0.079,0.098,0.1,0.181,0.135
"P48","El deporte y la cultura",0.097,0.104,0.097,0.03,0.088,0.21
"P48","La obra pública",0.015,0.04,0.024,0.037,0.019,0.065
"P48","La luminaria",0.058,0.084,0.062,0,0.045,0.033
"P48","No sabe",0.098,0.233,0.239,0.202,0.195,0.202
"P49","El tránsito",0.16,0.283,0.199,0.511,0.158,0.156
"P49","El arreglo de las calles",0.094,0.115,0.125,0.068,0.11,0.059
"P49","Los parques y espacios públicos",0.224,0.133,0.195,0.04,0.074,0.06
"P49","El sistema de salud",0.082,0.079,0.1,0.162,0.03,0.159
"P49","La limpieza de las calles",0.194,0.15,0.215,0.169,0.174,0.168
"P49","El deporte y la cultura",0.042,0.054,0.026,0.017,0.129,0.004
"P49","La obra pública",0.03,0.039,0.044,0.012,0.017,0.041
"P49","La luminaria",0.043,0.013,0.005,0,0,0.032
"P49","No sabe",0.131,0.134,0.091,0.021,0.308,0.321
"P50","Agua corriente y cloacas",0.291,0.586,0.359,0.586,0.363,0.346
"P50","Energía eléctrica",0.141,0.125,0.164,0.122,0.173,0.098
"P50","Red de gas natural",0.132,0.04,0.12,0.072,0.187,0.065
"P50","Recolección de residuos",0.168,0.099,0.214,0.051,0.081,0.053
"P50","Ninguno",0.268,0.15,0.143,0.169,0.196,0.438
"P51","Los robos",0.332,0.364,0.341,0.357,0.093,0.288
"P51","El narcotráfico",0.206,0.298,0.326,0.323,0.313,0.224
"P51","La ausencia de patrulleros y personal policial",0.145,0.104,0.128,0.057,0.145,0.201
"P51","Otro",0.187,0.141,0.116,0.129,0.257,0.089
"P51","Ninguno",0.13,0.093,0.089,0.134,0.192,0.198
"P52","Muy buena",0.225,0.052,0.038,0.123,0.056,0.029
"P52","Buena",0.252,0.053,0.083,0.273,0.103,0.172
"P52","Ni buena ni mala",0.276,0.074,0.07,0.037,0.042,0.2
"P52","Mala",0.151,0.1,0.063,0.087,0.125,0.153
"P52","Muy mala",0.07,0.716,0.746,0.468,0.64,0.442
"P52","No sabe",0.026,0.005,0,0.012,0.034,0.004
"P53","Muy buena",0.134,0.28,0.214,0.285,0.103,0.162
"P53","Buena",0.069,0.334,0.252,0.096,0.086,0.047
"P53","Ni buena ni mala",0.064,0.134,0.162,0.1,0.086,0.205
"P53","Mala",0.154,0.086,0.174,0.033,0.157,0.229
"P53","Muy mala",0.566,0.159,0.198,0.486,0.514,0.338
"P53","No sabe",0.013,0.007,0,0,0.054,0.019
"P54","Muy buena",0.728,0.031,0.058,0.303,0.205,0.231
"P54","Buena",0.064,0.057,0.067,0.043,0.068,0.202
"P54","Ni buena ni mala",0.057,0.069,0.027,0.114,0.057,0.07
"P54","Mala",0.04,0.118,0.022,0.06,0.075,0.016
"P54","Muy mala",0.111,0.715,0.826,0.411,0.595,0.481
"P54","No sabe",0,0.01,0,0.069,0,0
"P55","Muy buena",0.195,0.128,0.043,0.13,0.034,0.067
"P55","Buena",0.071,0.361,0.165,0.091,0.139,0.188
"P55","Ni buena ni mala",0.099,0.246,0.154,0.181,0.25,0.37
"P55","Mala",0.175,0.12,0.216,0.086,0.164,0.095
"P55","Muy mala",0.453,0.143,0.422,0.512,0.413,0.242
"P55","No sabe",0.007,0.002,0,0,0,0.038
"P56","Muy buena",0.343,0.03,0.026,0.122,0.034,0.056
"P56","Buena",0.306,0.078,0.032,0.038,0.082,0.008
"P56","Ni buena ni mala",0.185,0.097,0.073,0.379,0.139,0.199
"P56","Mala",0.031,0.191,0.082,0.034,0.183,0.056
"P56","Muy mala",0.135,0.602,0.78,0.427,0.562,0.639
"P56","No sabe",0,0.002,0.007,0,0,0.042
"P57","Muy buena",0.548,0.022,0.022,0.228,0.097,0.147
"P57","Buena",0.293,0.05,0.023,0.03,0.053,0.068
"P57","Ni buena ni mala",0.077,0.185,0.13,0.087,0.124,0.225
