"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P29","Muy buena",0.052,0.079,0.052,0.126,0.106,0.173,0.038,0.025,0.03
"P29","Buena",0.19,0.047,0.073,0.036,0.143,0.119,0.347,0.095,0.034
"P29","Ni buena ni mala",0.146,0.097,0.309,0.137,0.234,0.219,0.231,0.179,0.147
"P29","Mala",0.165,0.181,0.102,0.216,0.152,0.113,0.07,0.191,0.129
"P29","Muy mala",0.439,0.596,0.441,0.485,0.357,0.327,0.271,0.473,0.657
"P29","No sabe",0.008,0,0.023,0,0.008,0.049,0.043,0.037,0.003
"P30","Muy buena",0.117,0.145,0.068,0.342,0.177,0.071,0.122,0.085,0.166
"P30","Buena",0.231,0.191,0.112,0.062,0.055,0.154,0.153,0.261,0.092
"P30","Ni buena ni mala",0.149,0.323,0.247,0.177,0.169,0.137,0.057,0.195,0.251
"P30","Mala",0.191,0.191,0.233,0.171,0.233,0.157,0.134,0.226,0.1
"P30","Muy mala",0.308,0.15,0.331,0.178,0.358,0.474,0.529,0.206,0.375
"P30","No sabe",0.004,0,0.009,0.07,0.008,0.007,0.005,0.027,0.016
"P31","Muy buena",0.25,0.169,0.12,0.134,0.241,0.331,0.5,0.089,0.11
"P31","Buena",0.072,0.067,0.031,0.032,0.107,0.014,0.138,0.09,0.039
"P31","Ni buena ni mala",0.054,0.135,0.2,0.179,0.134,0.042,0.007,0.031,0.122
"P31","Mala",0.141,0.03,0.069,0.141,0.09,0.081,0.053,0.135,0.043
"P31","Muy mala",0.483,0.599,0.573,0.514,0.412,0.525,0.302,0.618,0.683
"P31","No sabe",0,0,0.007,0,0.016,0.007,0,0.037,0.003
"P32","Muy buena",0.249,0.235,0.172,0.333,0.187,0.194,0.098,0.161,0.153
"P32","Buena",0.21,0.428,0.19,0.132,0.224,0.168,0.06,0.171,0.143
"P32","Ni buena ni mala",0.187,0.098,0.292,0.148,0.201,0.161,0.236,0.253,0.291
"P32","Mala",0.118,0.163,0.111,0.052,0.094,0.123,0.132,0.238,0.118
"P32","Muy mala",0.221,0.076,0.233,0.317,0.278,0.305,0.431,0.162,0.285
"P32","No sabe",0.015,0,0.002,0.018,0.016,0.049,0.043,0.015,0.01
"P33","Muy buena",0.169,0.093,0.066,0.291,0.149,0.138,0.115,0.043,0.076
"P33","Buena",0.105,0.212,0.119,0.088,0.248,0.301,0.286,0.143,0.104
"P33","Ni buena ni mala",0.231,0.278,0.178,0.137,0.26,0.053,0.108,0.206,0.122
