"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Nicolás Massot","Negativa",0.258,0.3,0.22,0.374,0.253,0.218,0.184,0.228,0.241,0.318,0.249,0.274,0.259,0.351,0.171,0.391
"Nicolás Massot","No sabe",0.243,0.17,0.31,0.146,0.27,0.255,0.273,0.254,0.245,0.23,0.23,0.312,0.228,0.257,0.21,0.313
"Javier Milei","Positiva",0.278,0.328,0.234,0.4,0.288,0.222,0.189,0.266,0.265,0.31,0.303,0.168,0.3,0.136,0.354,0.441
"Javier Milei","Neutra",0.235,0.2,0.265,0.113,0.249,0.29,0.252,0.249,0.238,0.214,0.238,0.231,0.234,0.152,0.305,0.148
"Javier Milei","Negativa",0.434,0.45,0.421,0.447,0.407,0.451,0.477,0.438,0.425,0.448,0.397,0.534,0.427,0.663,0.296,0.362
"Javier Milei","No sabe",0.053,0.022,0.08,0.04,0.056,0.037,0.082,0.047,0.072,0.028,0.062,0.067,0.039,0.049,0.045,0.049
"Malena Galmarini","Positiva",0.271,0.245,0.293,0.238,0.283,0.273,0.275,0.275,0.295,0.225,0.231,0.277,0.301,0.483,0.138,0.331
"Malena Galmarini","Neutra",0.213,0.206,0.22,0.122,0.242,0.197,0.27,0.219,0.227,0.182,0.222,0.177,0.219,0.227,0.189,0.189
"Malena Galmarini","Negativa",0.451,0.507,0.401,0.564,0.417,0.471,0.375,0.458,0.416,0.504,0.48,0.471,0.421,0.236,0.604,0.454
"Malena Galmarini","No sabe",0.065,0.042,0.086,0.076,0.058,0.059,0.08,0.048,0.062,0.089,0.067,0.075,0.059,0.054,0.069,0.026
"Mauricio Macri","Positiva",0.286,0.255,0.313,0.253,0.257,0.301,0.384,0.289,0.261,0.322,0.307,0.228,0.293,0.108,0.47,0.103
"Mauricio Macri","Neutra",0.189,0.226,0.155,0.256,0.198,0.151,0.143,0.224,0.175,0.172,0.184,0.171,0.199,0.088,0.246,0.255
"Mauricio Macri","Negativa",0.513,0.513,0.513,0.491,0.535,0.543,0.428,0.468,0.555,0.495,0.491,0.601,0.495,0.789,0.282,0.642
"Mauricio Macri","No sabe",0.012,0.006,0.019,0,0.01,0.005,0.045,0.019,0.009,0.011,0.018,0,0.013,0.015,0.002,0
"Sergio Massa","Positiva",0.286,0.26,0.307,0.196,0.305,0.313,0.291,0.307,0.316,0.212,0.255,0.27,0.315,0.421,0.224,0.172
"Sergio Massa","Neutra",0.18,0.19,0.171,0.147,0.212,0.131,0.206,0.178,0.21,0.134,0.18,0.231,0.16,0.244,0.122,0.288
"Sergio Massa","Negativa",0.514,0.522,0.509,0.657,0.448,0.552,0.478,0.477,0.459,0.646,0.542,0.467,0.512,0.329,0.62,0.54
"Sergio Massa","No sabe",0.02,0.028,0.013,0,0.035,0.004,0.025,0.038,0.015,0.008,0.023,0.032,0.013,0.006,0.034,0
"Juan Laborde Rodríguez","Positiva",0.091,0.091,0.091,0.026,0.107,0.088,0.128,0.16,0.081,0.033,0.107,0.038,0.1,0.064,0.133,0
"Juan Laborde Rodríguez","Neutra",0.332,0.37,0.298,0.243,0.366,0.353,0.308,0.297,0.355,0.332,0.276,0.388,0.356,0.29,0.366,0.221
"Juan Laborde Rodríguez","Negativa",0.164,0.18,0.15,0.296,0.155,0.103,0.13,0.176,0.129,0.207,0.161,0.175,0.161,0.16,0.144,0.3
"Juan Laborde Rodríguez","No sabe",0.413,0.359,0.461,0.435,0.372,0.456,0.434,0.367,0.435,0.428,0.456,0.399,0.383,0.486,0.357,0.479
"CFK","Positiva",0.27,0.28,0.262,0.142,0.31,0.281,0.293,0.306,0.279,0.219,0.219,0.429,0.249,0.533,0.139,0.095
"CFK","Neutra",0.096,0.084,0.106,0.081,0.134,0.069,0.048,0.099,0.113,0.064,0.111,0.043,0.105,0.137,0.08,0.049
"CFK","Negativa",0.627,0.633,0.622,0.777,0.554,0.644,0.63,0.582,0.604,0.713,0.658,0.523,0.643,0.327,0.774,0.856
"CFK","No sabe",0.007,0.003,0.01,0,0.002,0.006,0.029,0.013,0.004,0.004,0.012,0.005,0.003,0.003,0.007,0
"Alberto Fernandez","Positiva",0.192,0.139,0.238,0.176,0.197,0.177,0.219,0.18,0.233,0.139,0.15,0.246,0.203,0.396,0.078,0.04
"Alberto Fernandez","Neutra",0.185,0.22,0.156,0.175,0.221,0.163,0.133,0.206,0.207,0.132,0.188,0.178,0.187,0.251,0.143,0.133
"Alberto Fernandez","Negativa",0.606,0.633,0.582,0.649,0.566,0.647,0.606,0.587,0.546,0.719,0.639,0.557,0.6,0.338,0.764,0.827
"Alberto Fernandez","No sabe",0.017,0.008,0.024,0,0.016,0.013,0.042,0.027,0.014,0.01,0.023,0.019,0.01,0.015,0.015,0
