"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco"
"P22","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.014,0,0.035,0.317,0,0
"P22","En blanco",0,0.01,0.072,0,0,0
"P22","No sabe",0.047,0.128,0.194,0,0.044,0
"P26","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.891,0.098,0.094,0.594,0.055,0.771
"P26","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.041,0.744,0.343,0,0.395,0.03
"P26","En blanco",0.013,0.049,0.264,0.104,0.459,0.199
"P26","No sabe",0.055,0.109,0.299,0.302,0.091,0
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.17,0.657,0.026,0,0,0.684
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.09,0.222,0.876,0.232,0.07,0.053
"P27","En blanco",0.53,0.08,0.02,0.157,0.825,0.232
"P27","No sabe",0.21,0.041,0.078,0.611,0.105,0.031
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.877,0.282,0.018,0.44,0.067,0.83
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.046,0.504,0.955,0.251,0.091,0.086
"P28","En blanco",0.03,0.138,0.015,0,0.842,0.053
"P28","No sabe",0.047,0.076,0.012,0.309,0,0.031
"P29","Lo votaría",0.928,0.116,0.042,0.332,0.423,0.427
"P29","Puede que lo vote",0.026,0.195,0.108,0.267,0.065,0.425
"P29","Nunca lo votaría",0.012,0.637,0.779,0.014,0.512,0.095
"P29","No sabe",0.034,0.052,0.071,0.387,0,0.053
"P30","Lo votaría",0.07,0.667,0.092,0,0.731,0.014
"P30","Puede que lo vote",0.033,0.044,0.339,0.287,0,0.376
"P30","Nunca lo votaría",0.824,0.267,0.41,0.404,0.269,0.368
"P30","No sabe",0.073,0.022,0.159,0.309,0,0.242
"P31","Lo votaría",0.052,0.216,0.057,0.197,0.726,0.127
"P31","Puede que lo vote",0.146,0.216,0.196,0.395,0,0.525
"P31","Nunca lo votaría",0.658,0.414,0.489,0.239,0.274,0.291
"P31","No sabe",0.144,0.154,0.258,0.169,0,0.057
"P32","Lo votaría",0.025,0.23,0.871,0.291,0.884,0.068
"P32","Puede que lo vote",0.05,0.304,0.074,0,0,0.43
"P32","Nunca lo votaría",0.851,0.39,0.024,0.46,0.116,0.445
"P32","No sabe",0.074,0.076,0.031,0.249,0,0.057
"P33","Lo votaría",0.059,0.091,0.058,0.662,0.796,0.048
"P33","Puede que lo vote",0.242,0.124,0.068,0.252,0.119,0.47
"P33","Nunca lo votaría",0.584,0.698,0.753,0.086,0.085,0.231
"P33","No sabe",0.115,0.087,0.121,0,0,0.251
"P34","Si",0.41,0.482,0.316,0.182,0.922,0.231
"P34","No",0.59,0.518,0.684,0.818,0.078,0.769
