"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.475,0.069,0.128,0.028,0.054,0.027,0.056
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.21,0.755,0.825,0.902,0.926,0.973,0.914
"P28","En blanco",0.172,0.128,0.047,0.055,0,0,0
"P28","No sabe",0.143,0.048,0,0.015,0.02,0,0.03
"P29","Lo votaría",0.447,0.021,0.142,0.084,0.034,0,0.031
"P29","Puede que lo vote",0.014,0.144,0.147,0.069,0.02,0,0.041
"P29","Nunca lo votaría",0.376,0.796,0.657,0.822,0.946,0.774,0.808
"P29","No sabe",0.163,0.039,0.054,0.025,0,0.226,0.12
"P30","Lo votaría",0.076,0.564,0.096,0.165,0,0.012,0.094
"P30","Puede que lo vote",0.185,0.268,0.185,0.354,0.947,0.153,0.224
"P30","Nunca lo votaría",0.561,0.168,0.458,0.366,0.053,0.835,0.384
"P30","No sabe",0.178,0,0.261,0.115,0,0,0.298
"P31","Lo votaría",0.015,0.101,0.188,0.075,0,0,0.005
"P31","Puede que lo vote",0.218,0.162,0.289,0.226,0,0.362,0.1
"P31","Nunca lo votaría",0.573,0.583,0.186,0.55,1,0.488,0.371
"P31","No sabe",0.194,0.154,0.337,0.149,0,0.15,0.524
"P32","Lo votaría",0.205,0.528,0.764,0.928,0.84,0.626,0.809
"P32","Puede que lo vote",0.037,0.234,0.06,0.036,0.105,0.362,0.029
"P32","Nunca lo votaría",0.584,0.187,0.139,0.03,0.055,0.012,0.027
"P32","No sabe",0.174,0.051,0.037,0.006,0,0,0.135
"P33","Lo votaría",0.014,0.129,0.092,0.067,0.021,0.017,0.14
"P33","Puede que lo vote",0.11,0.063,0.05,0.035,0.036,0.253,0.012
"P33","Nunca lo votaría",0.66,0.736,0.799,0.828,0.693,0.73,0.623
"P33","No sabe",0.216,0.072,0.059,0.07,0.25,0,0.225
"P34","Si",0.318,0.467,0.528,0.409,0.036,0,0.185
"P34","No",0.682,0.533,0.472,0.591,0.964,1,0.815
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.568,0.005,0.169,0.008,0.05,0,0.03
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.059,0.519,0.048,0.044,0,0.022,0.09
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.251,0.439,0.757,0.906,0.872,0.978,0.861
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0,0.037,0,0,0.078,0,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.122,0,0,0.042,0,0,0.009
"PRESIDENTE","En blanco",0,0,0,0,0,0,0
"PRESIDENTE","No sabe",0,0,0.026,0,0,0,0.01
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",1,0,0,0,0,0,0
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0,1,0,0,0,0,0
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0,0,1,0,0,0,0
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0,0,0,1,0,0,0
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0,0,0,1,0,0
"DIPUTADOS","En blanco",0,0,0,0,0,1,0
"DIPUTADOS","No sabe",0,0,0,0,0,0,1
