"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P26","En blanco",0.025,0.043,0.021,0.351,0.241,0.532,0.172
"P26","No sabe",0.049,0.106,0.286,0.191,0.469,0.341,0.401
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.168,0.431,0.322,0.032,0,0.011,0.091
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.076,0.477,0.518,0.842,0.243,0.788,0.841
"P27","En blanco",0.549,0.04,0.087,0.058,0.023,0.13,0.023
"P27","No sabe",0.207,0.052,0.073,0.068,0.734,0.071,0.045
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.868,0.22,0.243,0.041,0.311,0.094,0.084
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.06,0.61,0.632,0.892,0.68,0.845,0.822
"P28","En blanco",0.032,0.117,0.089,0.052,0,0.039,0.016
"P28","No sabe",0.04,0.053,0.036,0.015,0.009,0.022,0.078
"P29","Lo votaría",0.903,0.056,0.245,0.111,0.236,0,0.047
"P29","Puede que lo vote",0.014,0.18,0.202,0.138,0.009,0.07,0.103
"P29","Nunca lo votaría",0.05,0.725,0.475,0.722,0.69,0.662,0.718
"P29","No sabe",0.033,0.039,0.078,0.029,0.065,0.268,0.132
"P30","Lo votaría",0.068,0.526,0.235,0.161,0,0.01,0.062
"P30","Puede que lo vote",0.033,0.205,0.219,0.326,0.737,0.136,0.237
"P30","Nunca lo votaría",0.823,0.269,0.388,0.401,0.08,0.814,0.42
"P30","No sabe",0.076,0,0.158,0.112,0.183,0.04,0.281
"P31","Lo votaría",0.037,0.093,0.253,0.098,0.117,0,0.004
"P31","Puede que lo vote",0.157,0.176,0.283,0.209,0.066,0.238,0.099
"P31","Nunca lo votaría",0.676,0.562,0.205,0.531,0.817,0.588,0.404
"P31","No sabe",0.13,0.169,0.259,0.162,0,0.174,0.493
"P32","Lo votaría",0.029,0.428,0.462,0.91,0.668,0.639,0.717
"P32","Puede que lo vote",0.039,0.223,0.25,0.05,0.063,0.238,0.07
"P32","Nunca lo votaría",0.859,0.29,0.245,0.036,0.269,0.083,0.063
"P32","No sabe",0.073,0.059,0.043,0.004,0,0.04,0.15
"P33","Lo votaría",0.059,0.153,0.054,0.066,0.238,0.015,0.122
"P33","Puede que lo vote",0.235,0.135,0.153,0.089,0.031,0.287,0.024
"P33","Nunca lo votaría",0.593,0.623,0.655,0.774,0.491,0.655,0.626
"P33","No sabe",0.113,0.089,0.138,0.071,0.24,0.043,0.228
"P34","Si",0.41,0.453,0.464,0.381,0.033,0.043,0.201
"P34","No",0.59,0.547,0.536,0.619,0.967,0.957,0.799
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.944,0.004,0.204,0.002,0.037,0,0.027
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.009,0.612,0.19,0.03,0,0.018,0.062
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.031,0.358,0.306,0.934,0.652,0.819,0.769
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0,0.026,0.012,0,0.311,0,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.016,0,0.005,0.034,0,0.06,0.007
"PRESIDENTE","En blanco",0,0,0.244,0,0,0.103,0
"PRESIDENTE","No sabe",0,0,0.039,0,0,0,0.135
