"var","categoria","Empleado sector publico","Empleado sector privado","Changas o trabajos eventuales","Estudiante","Amas de casa","Profesional o independiente","Comerciante, emprendedor o empresario","Trabajador informal","No tengo trabajo"
"P15","Ni buena ni mala",0.227,0.318,0.376,0.17,0.481,0.271,0.259,0.424,0.257
"P15","Mala",0.152,0.191,0.148,0.224,0.083,0.194,0.21,0.06,0.144
"P15","Muy mala",0.12,0.091,0.116,0.241,0.087,0.117,0.128,0.206,0.139
"P15","No sabe",0.042,0.051,0.053,0.118,0.086,0.081,0.234,0.105,0.127
"P16","Muy buena",0.325,0.091,0.169,0.105,0.188,0.123,0.069,0.181,0.158
"P16","Buena",0.115,0.282,0.223,0.118,0.192,0.178,0.112,0.137,0.166
"P16","Ni buena ni mala",0.214,0.253,0.303,0.235,0.334,0.238,0.191,0.306,0.281
"P16","Mala",0.181,0.203,0.131,0.05,0.135,0.243,0.303,0.038,0.181
"P16","Muy mala",0.136,0.125,0.105,0.318,0.08,0.126,0.141,0.242,0.183
"P16","No sabe",0.029,0.046,0.069,0.174,0.071,0.092,0.184,0.096,0.031
"P17","Muy buena",0.334,0.089,0.121,0.08,0.112,0.057,0.105,0.07,0.139
"P17","Buena",0.123,0.253,0.17,0.216,0.186,0.124,0.112,0.111,0.129
"P17","Ni buena ni mala",0.151,0.176,0.268,0.192,0.234,0.182,0.21,0.409,0.125
"P17","Mala",0.139,0.231,0.137,0.053,0.238,0.285,0.126,0.039,0.259
"P17","Muy mala",0.239,0.231,0.265,0.342,0.159,0.32,0.293,0.371,0.266
"P17","No sabe",0.014,0.02,0.039,0.117,0.071,0.032,0.154,0,0.082
"P18","Muy buena",0.39,0.281,0.254,0.238,0.223,0.325,0.159,0.255,0.252
"P18","Buena",0.141,0.242,0.135,0.056,0.288,0.169,0.165,0,0.205
"P18","Ni buena ni mala",0.09,0.159,0.259,0.208,0.125,0.176,0.112,0.16,0.101
"P18","Mala",0.175,0.137,0.156,0.16,0.128,0.134,0.179,0.146,0.244
"P18","Muy mala",0.182,0.168,0.153,0.295,0.166,0.179,0.23,0.439,0.169
"P18","No sabe",0.022,0.013,0.043,0.043,0.07,0.017,0.155,0,0.029
"P20","Muy buena",0.293,0.051,0.073,0.05,0.086,0.06,0.039,0.035,0.066
"P20","Buena",0.149,0.241,0.094,0.035,0.18,0.171,0.177,0.005,0.304
"P20","Ni buena ni mala",0.225,0.308,0.393,0.288,0.36,0.313,0.217,0.605,0.207
"P20","Mala",0.14,0.192,0.122,0.195,0.188,0.248,0.148,0.057,0.128
"P20","Muy mala",0.163,0.165,0.187,0.189,0.066,0.122,0.208,0.207,0.214
"P20","No sabe",0.03,0.043,0.131,0.243,0.12,0.086,0.211,0.091,0.081
"P21","Si",0.576,0.361,0.439,0.262,0.498,0.4,0.314,0.621,0.431
"P21","No",0.277,0.387,0.285,0.373,0.252,0.313,0.284,0.243,0.312
"P21","No sabe",0.147,0.252,0.276,0.365,0.25,0.287,0.402,0.136,0.257
"P23","Gobierno nacional",0.425,0.212,0.286,0.253,0.298,0.217,0.197,0.476,0.323
"P23","Gobierno provincial",0.438,0.615,0.509,0.59,0.521,0.659,0.583,0.451,0.46
"P23","No sabe",0.137,0.173,0.205,0.157,0.181,0.124,0.22,0.073,0.217
"P24","El gobierno anterior de Omar Gutierrez",0.515,0.422,0.423,0.483,0.287,0.352,0.44,0.232,0.216
"P24","El actual gobierno de Rolo Figueroa",0.225,0.316,0.146,0.181,0.345,0.187,0.145,0.114,0.411
"P24","No sabe",0.26,0.262,0.431,0.336,0.368,0.461,0.415,0.654,0.373
"P25","El gobierno anterior de Alberto Fernández",0.55,0.449,0.47,0,0.371,0.332,0.342,0,0.764
"P25","El actual gobierno de Javier Milei",0.347,0.51,0.369,1,0.316,0.472,0.658,1,0.236
"P25","No sabe",0.103,0.041,0.161,0,0.313,0.196,0,0,0
"P26","Si",0.845,0.831,0.769,0.653,0.682,0.854,0.745,0.716,0.736
"P26","No",0.155,0.169,0.231,0.347,0.318,0.146,0.255,0.284,0.264
"P27","Si",0.435,0.279,0.222,0.464,0.12,0.225,0.138,0.329,0.214
"P27","No estoy seguro",0.337,0.5,0.383,0.171,0.558,0.443,0.352,0.428,0.433
"P27","No",0.135,0.131,0.243,0.148,0.096,0.218,0.184,0.191,0.291
"P27","No sabe",0.093,0.09,0.152,0.217,0.226,0.114,0.326,0.052,0.062
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.236,0.296,0.274,0.345,0.226,0.283,0.069,0.063,0.234
"P28","Investigaciones científicas no declaradas con fines secretos",0.231,0.348,0.239,0.2,0.247,0.197,0.273,0.356,0.156
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.209,0.121,0.169,0.158,0.103,0.161,0.089,0,0.172
"P28","Otro",0.126,0.073,0.111,0.077,0.148,0.078,0.122,0.475,0.09
"P28","No sabe",0.198,0.162,0.207,0.22,0.276,0.281,0.447,0.106,0.348
"P29","Es imposible",0.399,0.304,0.252,0.211,0.199,0.253,0.219,0.155,0.276
"P29","Es muy difícil",0.233,0.364,0.248,0.161,0.294,0.348,0.236,0.232,0.289
"P29","Es bastante factible",0.109,0.092,0.159,0.317,0.095,0.117,0.083,0.329,0.149
"P29","Es posible",0.157,0.166,0.158,0.265,0.23,0.167,0.137,0.186,0.153
"P29","No sabe",0.102,0.074,0.183,0.046,0.182,0.115,0.325,0.098,0.133
"P30","Si",0.51,0.432,0.424,0.185,0.263,0.469,0.437,0.287,0.294
"P30","Es probable",0.204,0.222,0.201,0.091,0.272,0.202,0.151,0.279,0.209
"P30","No",0.194,0.224,0.243,0.666,0.288,0.167,0.159,0.395,0.285
"P30","No sabe",0.092,0.122,0.132,0.058,0.177,0.162,0.253,0.039,0.212
"P31","De acuerdo",0.632,0.5,0.553,0.198,0.471,0.676,0.547,0.353,0.451
"P31","Ni de acuerdo ni en desacuerdo",0.152,0.262,0.186,0.282,0.148,0.142,0.071,0.446,0.11
"P31","En desacuerdo",0.172,0.185,0.191,0.52,0.253,0.121,0.091,0.162,0.212
"P31","No sabe",0.044,0.053,0.07,0,0.128,0.061,0.291,0.039,0.227
"P32","Si",0.752,0.608,0.683,0.579,0.664,0.699,0.598,0.898,0.648
"P32","No",0.137,0.282,0.093,0.267,0.139,0.104,0.098,0.066,0.092
"P32","No sabe",0.111,0.11,0.224,0.154,0.197,0.197,0.304,0.036,0.26
"P33","Muy de acuerdo",0.324,0.186,0.267,0.191,0.15,0.158,0.11,0.065,0.108
"P33","De acuerdo",0.159,0.292,0.135,0.114,0.172,0.351,0.142,0,0.176
"P33","Ni de acuerdo ni en desacuerdo",0.137,0.153,0.176,0.028,0.117,0.147,0.186,0.386,0.319
"P33","En desacuerdo",0.285,0.307,0.293,0.606,0.492,0.279,0.367,0.49,0.324
"P33","Muy en desacuerdo",0.081,0.045,0.083,0.061,0.069,0.065,0.076,0.023,0.073
"P33","No sabe",0.014,0.017,0.046,0,0,0,0.119,0.036,0
"P34","Si",0.714,0.703,0.676,0.836,0.621,0.774,0.373,0.662,0.395
"P34","No",0.286,0.297,0.324,0.164,0.379,0.226,0.627,0.338,0.605
"P35","Muy de acuerdo",0.305,0.214,0.274,0.066,0.108,0.299,0.158,0.137,0.175
"P35","De acuerdo",0.226,0.238,0.223,0.028,0.228,0.213,0.221,0.128,0.182
"P35","Ni de acuerdo ni en desacuerdo",0.1,0.156,0.184,0.358,0.224,0.164,0.026,0.232,0.242
"P35","En desacuerdo",0.248,0.26,0.182,0.358,0.387,0.211,0.318,0.473,0.271
"P35","Muy en desacuerdo",0.108,0.132,0.129,0.19,0.053,0.113,0.155,0.03,0.111
"P35","No sabe",0.013,0,0.008,0,0,0,0.122,0,0.019
"P36","1-Excelente",0.387,0.168,0.227,0.045,0.218,0.113,0.13,0.267,0.116
"P36","2",0.092,0.156,0.114,0.136,0.144,0.047,0.175,0.209,0.127
"P36","3",0.035,0.058,0.057,0,0.151,0.221,0.055,0.082,0.013
"P36","4",0.046,0.063,0.039,0.014,0.056,0.065,0.056,0,0.062
"P36","5",0.147,0.205,0.119,0.228,0.137,0.18,0.081,0.346,0.136
"P36","6",0.029,0.035,0.031,0,0.025,0.038,0.01,0,0.044
"P36","7",0.045,0.021,0.031,0,0.008,0.018,0.097,0.065,0.072
"P36","8",0.017,0.048,0.009,0.162,0,0.024,0.011,0,0
"P36","9-Pésimo",0.132,0.181,0.215,0.351,0.195,0.21,0.215,0.031,0.279
"P36","No sabe",0.07,0.065,0.158,0.064,0.066,0.084,0.17,0,0.151
"P37","1-Excelente",0.32,0.121,0.171,0.045,0.127,0.051,0.144,0,0.068
"P37","2",0.117,0.154,0.183,0,0.169,0.052,0.024,0.409,0.065
"P37","3",0.054,0.068,0.063,0,0.064,0.067,0.026,0.161,0.037
"P37","4",0.058,0.093,0.041,0.018,0.086,0.259,0.15,0,0.041
"P37","5",0.141,0.205,0.082,0.311,0.212,0.148,0.177,0.133,0.258
"P37","6",0.039,0.077,0.07,0.28,0.088,0.096,0.027,0.2,0.091
"P37","7",0.04,0.058,0.032,0,0.008,0.052,0.041,0,0.107
"P37","8",0.06,0.026,0.028,0,0.033,0.018,0.02,0.066,0.03
"P37","9-Pésimo",0.124,0.157,0.231,0.325,0.159,0.222,0.207,0.031,0.228
"P37","No sabe",0.047,0.041,0.099,0.021,0.054,0.035,0.184,0,0.075
"P38","1-Excelente",0.338,0.102,0.207,0.063,0.111,0.085,0.149,0.304,0.072
"P38","2",0.097,0.167,0.129,0,0.095,0.176,0.033,0.169,0.044
"P38","3",0.067,0.077,0.044,0.216,0.051,0.075,0.044,0.076,0.064
"P38","4",0.079,0.09,0.057,0,0.076,0.181,0.167,0.15,0.048
"P38","5",0.102,0.164,0.091,0.227,0.156,0.155,0.243,0.133,0.124
"P38","6",0.041,0.093,0.04,0.148,0.044,0.063,0,0.137,0.17
"P38","7",0.04,0.077,0.043,0,0.107,0.03,0.009,0,0.137
"P38","8",0.044,0.031,0.033,0,0.022,0.103,0.02,0,0
"P38","9-Pésimo",0.133,0.161,0.206,0.325,0.172,0.092,0.139,0.031,0.237
"P38","No sabe",0.059,0.038,0.15,0.021,0.166,0.04,0.196,0,0.104
"P39","1-Excelente",0.331,0.127,0.138,0.059,0.21,0.082,0.035,0.309,0.087
"P39","2",0.108,0.131,0.162,0,0.073,0.208,0.021,0.088,0.137
"P39","3",0.086,0.077,0.089,0.07,0.071,0.125,0.017,0.088,0.043
"P39","4",0.064,0.131,0.041,0,0.084,0.082,0.055,0.162,0.037
"P39","5",0.104,0.183,0.122,0.125,0.113,0.169,0.368,0.299,0.239
"P39","6",0.036,0.075,0.043,0.133,0.076,0.074,0.023,0.018,0.035
"P39","7",0.045,0.048,0.017,0.224,0.029,0.014,0.015,0,0.094
"P39","8",0.032,0.032,0.018,0.098,0.105,0.079,0.026,0,0.023
"P39","9-Pésimo",0.141,0.147,0.226,0.27,0.179,0.11,0.158,0.036,0.263
"P39","No sabe",0.053,0.049,0.144,0.021,0.06,0.057,0.282,0,0.042
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.585,0.34,0.307,0.521,0.401,0.309,0.333,0.497,0.276
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.176,0.201,0.187,0.158,0.276,0.272,0.053,0.121,0.223
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.13,0.243,0.222,0.099,0.086,0.212,0.242,0.092,0.253
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.083,0.14,0.193,0.045,0.215,0.2,0.239,0.29,0.215
"P40","No sabe",0.026,0.076,0.091,0.177,0.022,0.007,0.133,0,0.033
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.502,0.324,0.238,0.425,0.431,0.158,0.156,0.18,0.193
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.163,0.158,0.199,0.23,0.141,0.161,0.194,0.444,0.189
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.209,0.317,0.327,0.117,0.249,0.405,0.268,0.089,0.442
"P41","Apoyar totalmente la iniciativa del gobierno nacional",0.096,0.158,0.147,0.228,0.124,0.257,0.254,0.287,0.151
"P41","No sabe",0.03,0.043,0.089,0,0.055,0.019,0.128,0,0.025
"P42","Oponerse totalmente",0.518,0.232,0.283,0.412,0.349,0.169,0.203,0.485,0.107
"P42","Oponerse parcialmente",0.117,0.228,0.082,0.236,0.138,0.137,0.07,0.091,0.157
"P42","Apoyar parcialmente",0.221,0.222,0.316,0.118,0.364,0.292,0.279,0.135,0.349
"P42","Apoyar totalmente",0.116,0.274,0.25,0.234,0.104,0.389,0.292,0.289,0.284
"P42","No sabe",0.028,0.044,0.069,0,0.045,0.013,0.156,0,0.103
"P43","Inseguridad y narcotráfico",0.398,0.332,0.345,0.154,0.178,0.339,0.179,0.34,0.276
"P43","Altos impuestos y tarifas",0.194,0.293,0.272,0,0.22,0.237,0.415,0.169,0.238
"P43","Educación y estado de las escuelas",0.164,0.149,0.166,0.438,0.272,0.187,0.064,0.059,0.219
"P43","Inflación",0.133,0.152,0.069,0.259,0.194,0.189,0.224,0.152,0.208
"P43","Estado de la salud",0.079,0.039,0.071,0.075,0.093,0.04,0.118,0.143,0.009
"P43","Corrupción",0.009,0.016,0.044,0,0.043,0.008,0,0,0.032
"P43","Pobreza",0.012,0.011,0.002,0,0,0,0,0.137,0
"P43","Medio ambiente, incendios y contaminación",0,0,0,0.074,0,0,0,0,0
"P43","Falta de trabajo",0,0,0.031,0,0,0,0,0,0.018
"P43","No sabe",0.011,0.008,0,0,0,0,0,0,0
"P47","Muy buena",0.271,0.047,0.088,0,0,0.009,0.018,0.305,0.025
"P47","Buena",0.271,0.346,0.269,0.035,0.132,0.227,0.213,0.209,0.386
"P47","Ni buena ni mala",0.239,0.375,0.322,0.38,0.458,0.383,0.207,0.287,0.333
"P47","Mala",0.167,0.182,0.135,0.5,0.298,0.228,0.241,0.199,0.194
"P47","Muy mala",0.039,0.046,0.131,0.085,0.095,0.079,0.13,0,0.062
"P47","No sabe",0.013,0.004,0.055,0,0.017,0.074,0.191,0,0
"P48","Peor",0.516,0.277,0.382,0.483,0.37,0.322,0.311,0.181,0.388
"P48","Igual",0.312,0.53,0.468,0.305,0.446,0.382,0.342,0.724,0.436
"P48","Mejor",0.137,0.12,0.083,0.186,0.141,0.166,0.147,0.044,0.153
"P48","No sabe",0.035,0.073,0.067,0.026,0.043,0.13,0.2,0.051,0.023
"P49","Peor",0.468,0.324,0.25,0.505,0.266,0.235,0.247,0.315,0.322
"P49","Igual",0.303,0.368,0.348,0.177,0.427,0.339,0.242,0.119,0.284
"P49","Mejor",0.198,0.227,0.25,0.292,0.219,0.331,0.343,0.515,0.251
"P49","No sabe",0.031,0.081,0.152,0.026,0.088,0.095,0.168,0.051,0.143
"P50","El gobierno de Javier Milei",0.478,0.307,0.241,0.303,0.436,0.174,0.319,0.489,0.247
"P50","El gobierno de Alberto Fernández",0.418,0.589,0.591,0.448,0.473,0.756,0.505,0.377,0.683
"P50","Ambos",0.103,0.076,0.148,0.223,0.074,0.058,0.017,0.134,0.07
"P50","No sabe",0.001,0.028,0.02,0.026,0.017,0.012,0.159,0,0
"P51","Javier Milei",0.525,0.473,0.568,0.477,0.413,0.644,0.464,0.38,0.519
"P51","Los gobernadores",0.374,0.44,0.315,0.359,0.541,0.275,0.373,0.62,0.43
"P51","No sabe",0.101,0.087,0.117,0.164,0.046,0.081,0.163,0,0.051
"P52","Muy buena",0.378,0.147,0.166,0,0.241,0.099,0.092,0.076,0.145
"P52","Buena",0.087,0.185,0.068,0.219,0.196,0.163,0.126,0.044,0.078
"P52","Ni buena ni mala",0.134,0.08,0.141,0.024,0.019,0.032,0.123,0.411,0.056
"P52","Mala",0.112,0.137,0.09,0.425,0.177,0.188,0.026,0,0.302
"P52","Muy mala",0.284,0.451,0.535,0.332,0.367,0.518,0.483,0.469,0.395
"P52","No sabe",0.005,0,0,0,0,0,0.15,0,0.024
"P53","Muy buena",0.256,0.143,0.071,0.063,0.035,0.079,0.101,0.071,0.044
"P53","Buena",0.112,0.222,0.102,0.071,0.127,0.258,0.17,0,0.234
"P53","Ni buena ni mala",0.17,0.168,0.411,0.054,0.2,0.222,0.164,0.351,0.269
"P53","Mala",0.214,0.218,0.248,0.345,0.369,0.254,0.245,0.307,0.179
"P53","Muy mala",0.245,0.238,0.142,0.467,0.224,0.187,0.171,0.271,0.249
"P53","No sabe",0.003,0.011,0.026,0,0.045,0,0.149,0,0.025
"P54","Muy buena",0.359,0.263,0.246,0.062,0.192,0.469,0.341,0.071,0.169
"P54","Buena",0.216,0.275,0.238,0.24,0.078,0.217,0.111,0.306,0.489
"P54","Ni buena ni mala",0.094,0.15,0.194,0.196,0.219,0.072,0.064,0.132,0.032
"P54","Mala",0.109,0.153,0.149,0.226,0.203,0.068,0.17,0.307,0.089
"P54","Muy mala",0.219,0.148,0.147,0.276,0.308,0.174,0.161,0.184,0.221
"P54","No sabe",0.003,0.011,0.026,0,0,0,0.153,0,0
"P55","Muy buena",0.343,0.22,0.112,0.026,0.046,0.317,0.225,0,0.231
"P55","Buena",0.122,0.218,0.139,0.036,0.242,0.273,0.192,0.289,0.264
"P55","Ni buena ni mala",0.187,0.196,0.423,0.338,0.145,0.171,0.093,0.439,0.212
"P55","Mala",0.114,0.125,0.125,0.19,0.207,0.064,0.144,0.088,0.067
"P55","Muy mala",0.225,0.208,0.093,0.39,0.227,0.153,0.179,0.184,0.226
"P55","No sabe",0.009,0.033,0.108,0.02,0.133,0.022,0.167,0,0
"P56","Muy buena",0.451,0.408,0.4,0.063,0.208,0.524,0.274,0.38,0.4
"P56","Buena",0.124,0.189,0.141,0.184,0.191,0.167,0.233,0.089,0.253
"P56","Ni buena ni mala",0.09,0.135,0.189,0.168,0.127,0.053,0.031,0.044,0.109
"P56","Mala",0.092,0.1,0.096,0.212,0.202,0.028,0.152,0.303,0.022
"P56","Muy mala",0.22,0.146,0.094,0.373,0.203,0.172,0.143,0.184,0.216
"P56","No sabe",0.023,0.022,0.08,0,0.069,0.056,0.167,0,0
"P57","Muy buena",0.233,0.15,0.05,0,0.049,0.117,0.052,0,0.041
"P57","Buena",0.132,0.195,0.319,0.194,0.179,0.259,0.261,0.044,0.193
"P57","Ni buena ni mala",0.29,0.404,0.376,0.407,0.429,0.247,0.341,0.655,0.525
"P57","Mala",0.178,0.121,0.104,0.162,0.149,0.168,0.153,0.224,0.152
"P57","Muy mala",0.137,0.111,0.096,0.217,0.141,0.153,0.045,0.077,0.051
"P57","No sabe",0.03,0.019,0.055,0.02,0.053,0.056,0.148,0,0.038
"P58","Muy buena",0.317,0.237,0.182,0.027,0.04,0.366,0.223,0,0.277
"P58","Buena",0.15,0.226,0.263,0.124,0.251,0.177,0.115,0.31,0.3
"P58","Ni buena ni mala",0.189,0.225,0.262,0.282,0.197,0.16,0.167,0.114,0.11
"P58","Mala",0.102,0.133,0.083,0.145,0.126,0.068,0.165,0.301,0.062
"P58","Muy mala",0.224,0.146,0.13,0.403,0.34,0.171,0.178,0.275,0.225
"P58","No sabe",0.018,0.033,0.08,0.019,0.046,0.058,0.152,0,0.026
"P59","Muy buena",0.326,0.182,0.125,0,0.07,0.25,0.35,0.051,0.132
"P59","Buena",0.115,0.256,0.165,0.059,0.079,0.226,0.068,0.091,0.227
"P59","Ni buena ni mala",0.227,0.261,0.369,0.302,0.327,0.262,0.083,0.37,0.357
"P59","Mala",0.105,0.103,0.116,0.298,0.244,0.083,0.168,0.3,0.032
"P59","Muy mala",0.179,0.133,0.101,0.319,0.191,0.115,0.169,0.188,0.189
"P59","No sabe",0.048,0.065,0.124,0.022,0.089,0.064,0.162,0,0.063
