"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.864,0.052,0.085,0.066
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.077,0.576,0.548,0.517
"P35","En blanco",0.043,0.268,0.304,0.054
"P35","No sabe",0.016,0.104,0.063,0.363
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.248,0.263,0.521,0.492
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.068,0.689,0.096,0.058
"P36","En blanco",0.512,0.028,0.343,0.071
"P36","No sabe",0.172,0.02,0.04,0.379
"P40","Lo votaría",0.782,0.04,0.095,0.075
"P40","Puede que lo vote",0.117,0.13,0.076,0.056
"P40","Nunca lo votaría",0.077,0.799,0.805,0.689
"P40","No sabe",0.024,0.031,0.024,0.18
"P41","Lo votaría",0.491,0.02,0.081,0.053
"P41","Puede que lo vote",0.234,0.046,0.063,0.035
"P41","Nunca lo votaría",0.213,0.899,0.835,0.772
"P41","No sabe",0.062,0.035,0.021,0.14
"P42","Lo votaría",0.126,0.48,0.528,0.451
"P42","Puede que lo vote",0.06,0.261,0.108,0.141
"P42","Nunca lo votaría",0.777,0.228,0.338,0.275
"P42","No sabe",0.037,0.031,0.026,0.133
"P43","Lo votaría",0.094,0.275,0.446,0.466
"P43","Puede que lo vote",0.093,0.321,0.205,0.194
"P43","Nunca lo votaría",0.778,0.374,0.324,0.2
"P43","No sabe",0.035,0.03,0.025,0.14
"P44","Lo votaría",0.053,0.573,0.092,0.063
"P44","Puede que lo vote",0.071,0.308,0.12,0.137
"P44","Nunca lo votaría",0.854,0.1,0.752,0.643
"P44","No sabe",0.022,0.019,0.036,0.157
"P45","Lo votaría",0.114,0.08,0.06,0.014
"P45","Puede que lo vote",0.299,0.076,0.086,0.094
"P45","Nunca lo votaría",0.518,0.808,0.833,0.769
"P45","No sabe",0.069,0.036,0.021,0.123
"P46","Lo votaría",0.072,0.035,0.088,0.092
"P46","Puede que lo vote",0.203,0.148,0.157,0.168
"P46","Nunca lo votaría",0.656,0.77,0.715,0.61
"P46","No sabe",0.069,0.047,0.04,0.13
"P57","Si",0.533,0.528,0.537,0.454
"P57","No",0.467,0.472,0.463,0.546
