"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P18","Otros",0.011,0.027,0.007,0.021,0.014,0.052,0.052,0.516,0.086,0.048
"P18","En blanco",0.014,0.007,0.01,0.006,0.018,0.078,0.058,0.069,0.53,0.056
"P18","No sabe",0.014,0.016,0.012,0.024,0.017,0.023,0.038,0.093,0.111,0.702
"P25","Totalmente seguro",0.733,0.661,0.727,0.564,0.751,0.485,0.555,0.433,0.372,0.11
"P25","Bastante seguro",0.142,0.185,0.137,0.188,0.106,0.147,0.125,0.068,0.068,0.058
"P25","Algo seguro",0.074,0.101,0.089,0.146,0.091,0.147,0.201,0.181,0.033,0.113
"P25","Para nada seguro",0.051,0.053,0.047,0.102,0.052,0.221,0.119,0.318,0.527,0.719
"P26","Tiene Decidido que va a ir a votar",0.926,0.877,0.912,0.892,0.906,0.789,0.87,0.79,0.541,0.722
"P26","Tiene dudas sobre si va a ir a votar",0.057,0.076,0.057,0.079,0.057,0.111,0.052,0.118,0.324,0.166
"P26","Tiene Decidido que no va a ir a votar",0.017,0.047,0.031,0.029,0.037,0.1,0.078,0.092,0.135,0.112
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.92,0.647,0.02,0.08,0.044,0.088,0.055,0.163,0.087,0.164
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.022,0.052,0.905,0.464,0.068,0.09,0.064,0.044,0.1,0.058
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.014,0.05,0.047,0.076,0.845,0.017,0.018,0.06,0.023,0.008
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.013,0.121,0.007,0.024,0.008,0.529,0.042,0.023,0.056,0.021
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.005,0.023,0.002,0.064,0.009,0.07,0.764,0.02,0.031,0.046
"P27","Otros",0.01,0.069,0.006,0.168,0.016,0.112,0.027,0.49,0.083,0.08
"P27","En blanco",0.005,0.022,0.005,0.043,0.004,0.032,0.024,0.076,0.41,0.009
"P27","No sabe",0.011,0.016,0.008,0.081,0.006,0.062,0.006,0.124,0.21,0.614
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.915,0.704,0.021,0.041,0.039,0.128,0.091,0.158,0.094,0.189
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.018,0.048,0.616,0.789,0.057,0.068,0.051,0.061,0.099,0.054
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.02,0.035,0.186,0.045,0.852,0.018,0.04,0.072,0.058,0.021
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.098,0.007,0.01,0.013,0.521,0.039,0.04,0.022,0.023
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.006,0.012,0.02,0.03,0.012,0.102,0.68,0.025,0.011,0.038
"P28","Otros",0.007,0.062,0.07,0.045,0.013,0.054,0.032,0.498,0.029,0.107
"P28","En blanco",0.007,0.022,0.033,0.008,0.005,0.022,0.016,0.044,0.427,0.066
"P28","No sabe",0.017,0.019,0.047,0.032,0.009,0.087,0.051,0.102,0.26,0.502
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.918,0.748,0.058,0.127,0.063,0.309,0.208,0.328,0.181,0.212
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.019,0.074,0.895,0.668,0.562,0.145,0.221,0.061,0.138,0.116
"P33","En blanco",0.034,0.117,0.029,0.092,0.255,0.283,0.379,0.275,0.61,0.124
"P33","No sabe",0.029,0.061,0.018,0.113,0.12,0.263,0.192,0.336,0.071,0.548
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.147,0.119,0.864,0.625,0.097,0.16,0.277,0.194,0.109,0.083
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.069,0.075,0.083,0.101,0.846,0.025,0.096,0.077,0.16,0.15
"P34","En blanco",0.562,0.688,0.028,0.12,0.035,0.507,0.381,0.338,0.467,0.207
"P34","No sabe",0.222,0.118,0.025,0.154,0.022,0.308,0.246,0.391,0.264,0.56
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.921,0.761,0.058,0.101,0.09,0.255,0.183,0.297,0.08,0.244
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.024,0.091,0.713,0.833,0.351,0.149,0.222,0.086,0.147,0.105
"P35","En blanco",0.029,0.113,0.133,0.033,0.413,0.372,0.29,0.266,0.545,0.101
"P35","No sabe",0.026,0.035,0.096,0.033,0.146,0.224,0.305,0.351,0.228,0.55
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.175,0.184,0.556,0.854,0.058,0.17,0.275,0.155,0.151,0.103
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.071,0.283,0.073,0.881,0.025,0.099,0.112,0.078,0.099
"P36","En blanco",0.542,0.6,0.087,0.045,0.035,0.585,0.331,0.439,0.404,0.223
"P36","No sabe",0.218,0.145,0.074,0.028,0.026,0.22,0.295,0.294,0.367,0.575
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.913,0.805,0.063,0.165,0.05,0.364,0.238,0.322,0.24,0.281
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.025,0.052,0.48,0.244,0.884,0.037,0.11,0.131,0.101,0.094
"P37","En blanco",0.038,0.09,0.274,0.319,0.044,0.348,0.345,0.261,0.56,0.066
"P37","No sabe",0.024,0.053,0.183,0.272,0.022,0.251,0.307,0.286,0.099,0.559
"P40","Lo votaría",0.907,0.638,0.054,0.1,0.046,0.089,0.19,0.171,0.07,0.171
"P40","Puede que lo vote",0.028,0.192,0.077,0.126,0.159,0.358,0.143,0.201,0.057,0.137
"P40","Nunca lo votaría",0.044,0.131,0.847,0.725,0.764,0.433,0.575,0.404,0.656,0.319
"P40","No sabe",0.021,0.039,0.022,0.049,0.031,0.12,0.092,0.224,0.217,0.373
"P41","Lo votaría",0.425,0.853,0.013,0.047,0.039,0.154,0.052,0.175,0.021,0.083
"P41","Puede que lo vote",0.305,0.072,0.024,0.045,0.056,0.278,0.106,0.171,0.076,0.145
"P41","Nunca lo votaría",0.191,0.057,0.948,0.874,0.868,0.469,0.664,0.416,0.865,0.379
"P41","No sabe",0.079,0.018,0.015,0.034,0.037,0.099,0.178,0.238,0.038,0.393
"P42","Lo votaría",0.084,0.149,0.816,0.376,0.226,0.044,0.122,0.089,0.128,0.097
"P42","Puede que lo vote",0.062,0.039,0.046,0.3,0.387,0.037,0.169,0.15,0.115,0.178
"P42","Nunca lo votaría",0.815,0.785,0.13,0.278,0.344,0.78,0.549,0.592,0.655,0.393
"P42","No sabe",0.039,0.027,0.008,0.046,0.043,0.139,0.16,0.169,0.102,0.332
"P43","Lo votaría",0.03,0.066,0.469,0.82,0.102,0.068,0.109,0.057,0.125,0.04
"P43","Puede que lo vote",0.079,0.05,0.355,0.116,0.266,0.139,0.302,0.149,0.138,0.163
"P43","Nunca lo votaría",0.86,0.846,0.151,0.052,0.595,0.679,0.446,0.579,0.648,0.439
"P43","No sabe",0.031,0.038,0.025,0.012,0.037,0.114,0.143,0.215,0.089,0.358
"P44","Lo votaría",0.028,0.042,0.204,0.163,0.815,0.014,0.056,0.099,0.098,0.008
"P44","Puede que lo vote",0.05,0.041,0.375,0.203,0.079,0.077,0.226,0.132,0.085,0.155
"P44","Nunca lo votaría",0.902,0.892,0.381,0.588,0.097,0.845,0.652,0.588,0.776,0.476
"P44","No sabe",0.02,0.025,0.04,0.046,0.009,0.064,0.066,0.181,0.041,0.361
"P45","Lo votaría",0.069,0.192,0.026,0.02,0.132,0.568,0,0.063,0.015,0.039
"P45","Puede que lo vote",0.292,0.397,0.074,0.087,0.068,0.245,0.103,0.118,0.006,0.097
"P45","Nunca lo votaría",0.572,0.352,0.873,0.846,0.765,0.177,0.782,0.66,0.939,0.479
"P45","No sabe",0.067,0.059,0.027,0.047,0.035,0.01,0.115,0.159,0.04,0.385
"P46","Lo votaría",0.056,0.07,0.028,0.047,0.044,0.131,0.701,0.09,0.064,0.021
"P46","Puede que lo vote",0.194,0.196,0.152,0.268,0.111,0.295,0.09,0.17,0.085,0.161
"P46","Nunca lo votaría",0.68,0.668,0.781,0.629,0.799,0.498,0.122,0.568,0.773,0.45
"P46","No sabe",0.07,0.066,0.039,0.056,0.046,0.076,0.087,0.172,0.078,0.368
"P57","Si",0.539,0.49,0.535,0.506,0.513,0.448,0.642,0.478,0.472,0.477
"P57","No",0.461,0.51,0.465,0.494,0.487,0.552,0.358,0.522,0.528,0.523
