"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P34","En blanco",0.592,0.025,0.044,0.591,0.349,0.31,0.527,0.102
"P34","No sabe",0.206,0.031,0.018,0.118,0.315,0.314,0.104,0.543
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.912,0.062,0.052,0.386,0.212,0.236,0.127,0.127
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.039,0.74,0.393,0.105,0.302,0.365,0.361,0.322
"P35","En blanco",0.033,0.114,0.4,0.367,0.218,0.202,0.401,0.13
"P35","No sabe",0.016,0.084,0.155,0.142,0.268,0.197,0.111,0.421
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.196,0.609,0.065,0.214,0.38,0.414,0.372,0.317
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.245,0.877,0.071,0.081,0.1,0.099,0.137
"P36","En blanco",0.555,0.079,0.035,0.584,0.311,0.269,0.391,0.061
"P36","No sabe",0.195,0.067,0.023,0.131,0.228,0.217,0.138,0.485
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.907,0.071,0.034,0.465,0.248,0.345,0.217,0.187
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.035,0.446,0.893,0.061,0.091,0.106,0.101,0.093
"P37","En blanco",0.034,0.287,0.046,0.378,0.292,0.276,0.618,0.115
"P37","No sabe",0.024,0.196,0.027,0.096,0.369,0.273,0.064,0.605
"P40","Lo votaría",0.872,0.068,0.028,0.174,0.123,0.161,0.025,0.083
"P40","Puede que lo vote",0.061,0.074,0.157,0.285,0.198,0.227,0.162,0.144
"P40","Nunca lo votaría",0.046,0.834,0.784,0.459,0.534,0.479,0.742,0.456
"P40","No sabe",0.021,0.024,0.031,0.082,0.145,0.133,0.071,0.317
"P41","Lo votaría",0.519,0.023,0.027,0.407,0.061,0.23,0.092,0.058
"P41","Puede que lo vote",0.252,0.022,0.049,0.188,0.109,0.133,0.049,0.13
"P41","Nunca lo votaría",0.162,0.941,0.883,0.347,0.674,0.534,0.801,0.528
"P41","No sabe",0.067,0.014,0.041,0.058,0.156,0.103,0.058,0.284
"P42","Lo votaría",0.093,0.771,0.232,0.179,0.135,0.124,0.18,0.108
"P42","Puede que lo vote",0.064,0.08,0.389,0.05,0.193,0.254,0.132,0.17
"P42","Nunca lo votaría",0.806,0.139,0.334,0.738,0.535,0.499,0.627,0.428
"P42","No sabe",0.037,0.01,0.045,0.033,0.137,0.123,0.061,0.294
"P43","Lo votaría",0.047,0.522,0.127,0.115,0.293,0.373,0.4,0.317
"P43","Puede que lo vote",0.074,0.317,0.266,0.08,0.229,0.118,0.109,0.153
"P43","Nunca lo votaría",0.839,0.138,0.566,0.757,0.37,0.428,0.448,0.302
"P43","No sabe",0.04,0.023,0.041,0.048,0.108,0.081,0.043,0.228
"P44","Lo votaría",0.024,0.187,0.804,0.068,0.092,0.127,0.168,0.076
"P44","Puede que lo vote",0.059,0.356,0.082,0.048,0.139,0.115,0.132,0.136
"P44","Nunca lo votaría",0.892,0.418,0.105,0.828,0.7,0.678,0.619,0.521
"P44","No sabe",0.025,0.039,0.009,0.056,0.069,0.08,0.081,0.267
"P45","Lo votaría",0.08,0.027,0.123,0.532,0.046,0.058,0.009,0.031
"P45","Puede que lo vote",0.328,0.069,0.058,0.22,0.111,0.175,0.085,0.12
"P45","Nunca lo votaría",0.523,0.879,0.779,0.206,0.759,0.659,0.811,0.596
"P45","No sabe",0.069,0.025,0.04,0.042,0.084,0.108,0.095,0.253
"P46","Lo votaría",0.048,0.031,0.038,0.155,0.618,0.074,0.086,0.041
"P46","Puede que lo vote",0.201,0.167,0.123,0.232,0.148,0.23,0.129,0.138
"P46","Nunca lo votaría",0.673,0.763,0.788,0.56,0.162,0.614,0.684,0.574
"P46","No sabe",0.078,0.039,0.051,0.053,0.072,0.082,0.101,0.247
"P57","Si",0.538,0.529,0.504,0.437,0.574,0.505,0.58,0.464
"P57","No",0.462,0.471,0.496,0.563,0.426,0.495,0.42,0.536
