"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P30","Ni buena ni mala",0.015,0.14,0.409,0.173,0.21,0.132
"P30","Mala",0.234,0.301,0.307,0.38,0.122,0.187
"P30","Muy mala",0.664,0.341,0.246,0.167,0.184,0.053
"P30","No sabe",0.012,0.074,0.005,0.003,0.025,0.465
"P32","Muy buena",0.066,0.046,0.046,0.246,0.281,0.164
"P32","Buena",0.034,0.208,0.072,0.096,0.25,0.316
"P32","Ni buena ni mala",0.092,0.289,0.489,0.341,0.221,0.281
"P32","Mala",0.288,0.118,0.252,0.15,0.087,0
"P32","Muy mala",0.505,0.303,0.141,0.148,0.157,0.053
"P32","No sabe",0.015,0.036,0,0.019,0.004,0.186
"P33","Muy buena",0.264,0.139,0.065,0.07,0.005,0.07
"P33","Buena",0.257,0.36,0.17,0.038,0.047,0.241
"P33","Ni buena ni mala",0.323,0.311,0.575,0.196,0.16,0.493
"P33","Mala",0.104,0.025,0.139,0.633,0.126,0
"P33","Muy mala",0.044,0.128,0.048,0.063,0.66,0.037
"P33","No sabe",0.008,0.037,0.003,0,0.002,0.159
"P34","Muy buena",0.046,0.005,0.025,0.182,0.392,0.037
"P34","Buena",0.005,0.332,0.028,0.098,0.256,0.319
"P34","Ni buena ni mala",0.074,0.126,0.498,0.108,0.14,0.271
"P34","Mala",0.24,0.139,0.292,0.347,0.03,0.047
"P34","Muy mala",0.626,0.383,0.155,0.262,0.141,0.054
"P34","No sabe",0.009,0.015,0.002,0.003,0.041,0.272
"P35","Muy buena",0.051,0.109,0.049,0.206,0.283,0
"P35","Buena",0.003,0.159,0.127,0.255,0.174,0.067
"P35","Ni buena ni mala",0.073,0.166,0.447,0.165,0.249,0.3
"P35","Mala",0.171,0.146,0.155,0.18,0.103,0.045
"P35","Muy mala",0.62,0.273,0.152,0.194,0.159,0
"P35","No sabe",0.082,0.147,0.07,0,0.032,0.588
