"var","categoria","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus","Retirarla y no presentar nada","Volverla a presentar igual","No sabe"
"P32","No sabe",0.019,0.014,0.011,0.005,0.005,0.033
"P33","Muy buena",0.073,0.033,0.056,0.028,0.092,0.066
"P33","Buena",0.178,0.182,0.145,0.092,0.194,0.046
"P33","Ni buena ni mala",0.44,0.443,0.407,0.315,0.448,0.297
"P33","Mala",0.241,0.27,0.309,0.415,0.201,0.358
"P33","Muy mala",0.053,0.065,0.072,0.144,0.052,0.195
"P33","No sabe",0.015,0.007,0.011,0.006,0.013,0.038
"P34","Mejor",0.14,0.1,0.159,0.028,0.169,0.103
"P34","Igual",0.399,0.332,0.408,0.075,0.489,0.191
"P34","Peor",0.432,0.531,0.397,0.868,0.283,0.62
"P34","No sabe",0.029,0.037,0.036,0.029,0.059,0.086
"P35","Mejor",0.436,0.344,0.447,0.036,0.679,0.211
"P35","Igual",0.207,0.243,0.175,0.074,0.151,0.22
"P35","Peor",0.271,0.311,0.268,0.843,0.087,0.419
"P35","No sabe",0.086,0.102,0.11,0.047,0.083,0.15
"P36","Muy buena",0.073,0.034,0.062,0.056,0.083,0.05
"P36","Buena",0.121,0.092,0.122,0.014,0.131,0.059
"P36","Ni buena ni mala",0.278,0.241,0.238,0.079,0.358,0.308
"P36","Mala",0.371,0.41,0.361,0.319,0.228,0.366
"P36","Muy mala",0.135,0.216,0.202,0.526,0.177,0.151
"P36","No sabe",0.022,0.007,0.015,0.006,0.023,0.066
"P37","Mejor",0.305,0.216,0.315,0.019,0.431,0.197
"P37","Igual",0.265,0.219,0.262,0.04,0.331,0.168
"P37","Peor",0.373,0.484,0.373,0.897,0.188,0.524
"P37","No sabe",0.057,0.081,0.05,0.044,0.05,0.111
"P38","Mejor",0.515,0.429,0.52,0.044,0.729,0.256
"P38","Igual",0.141,0.171,0.125,0.057,0.121,0.154
"P38","Peor",0.278,0.322,0.289,0.869,0.073,0.388
"P38","No sabe",0.066,0.078,0.066,0.03,0.077,0.202
"P39","Muy buena",0.404,0.226,0.41,0.066,0.602,0.106
"P39","Buena",0.253,0.245,0.192,0.019,0.2,0.115
"P39","Ni buena ni mala",0.151,0.218,0.137,0.071,0.103,0.361
"P39","Mala",0.109,0.168,0.138,0.236,0.066,0.193
"P39","Muy mala",0.062,0.131,0.112,0.597,0.019,0.114
"P39","No sabe",0.021,0.012,0.011,0.011,0.01,0.111
"P41","Muy buena",0.332,0.206,0.34,0.024,0.544,0.139
"P41","Buena",0.28,0.256,0.201,0.023,0.264,0.155
"P41","Ni buena ni mala",0.166,0.187,0.154,0.106,0.088,0.332
"P41","Mala",0.124,0.194,0.161,0.256,0.075,0.159
"P41","Muy mala",0.069,0.131,0.135,0.577,0.027,0.14
"P41","No sabe",0.029,0.026,0.009,0.014,0.002,0.075
"P42","Muy buena",0.283,0.164,0.26,0.016,0.443,0.063
"P42","Buena",0.27,0.235,0.208,0.018,0.324,0.129
"P42","Ni buena ni mala",0.257,0.235,0.221,0.1,0.158,0.393
"P42","Mala",0.103,0.18,0.155,0.232,0.034,0.169
"P42","Muy mala",0.081,0.156,0.15,0.622,0.03,0.146
"P42","No sabe",0.006,0.03,0.006,0.012,0.011,0.1
"P43","Muy buena",0.356,0.251,0.305,0.019,0.538,0.074
"P43","Buena",0.232,0.227,0.242,0.039,0.178,0.186
"P43","Ni buena ni mala",0.179,0.231,0.159,0.109,0.192,0.287
"P43","Mala",0.13,0.159,0.168,0.289,0.053,0.223
"P43","Muy mala",0.088,0.119,0.121,0.54,0.029,0.169
"P43","No sabe",0.015,0.013,0.005,0.004,0.01,0.061
"P44","Muy buena",0.068,0.022,0.064,0.07,0.03,0.074
"P44","Buena",0.068,0.063,0.056,0.163,0.041,0.029
"P44","Ni buena ni mala",0.141,0.143,0.097,0.349,0.085,0.306
"P44","Mala",0.234,0.321,0.248,0.237,0.182,0.326
"P44","Muy mala",0.486,0.446,0.531,0.18,0.658,0.223
"P44","No sabe",0.003,0.005,0.004,0.001,0.004,0.042
"P45","Muy buena",0.122,0.103,0.116,0.502,0.034,0.155
"P45","Buena",0.064,0.107,0.059,0.189,0.029,0.031
"P45","Ni buena ni mala",0.077,0.109,0.082,0.14,0.085,0.31
"P45","Mala",0.233,0.218,0.186,0.078,0.127,0.185
"P45","Muy mala",0.499,0.454,0.544,0.09,0.716,0.254
"P45","No sabe",0.005,0.009,0.013,0.001,0.009,0.065
"P46","Muy buena",0.156,0.123,0.105,0.036,0.235,0.078
"P46","Buena",0.221,0.208,0.212,0.024,0.233,0.131
"P46","Ni buena ni mala",0.293,0.219,0.299,0.063,0.318,0.247
"P46","Mala",0.17,0.236,0.203,0.241,0.133,0.282
"P46","Muy mala",0.152,0.209,0.177,0.633,0.078,0.224
"P46","No sabe",0.008,0.005,0.004,0.003,0.003,0.038
"P47","Muy buena",0.055,0.068,0.049,0.041,0.04,0.046
"P47","Buena",0.131,0.164,0.103,0.066,0.083,0.026
"P47","Ni buena ni mala",0.34,0.304,0.286,0.326,0.206,0.52
"P47","Mala",0.256,0.259,0.324,0.308,0.318,0.209
"P47","Muy mala",0.192,0.175,0.23,0.249,0.325,0.105
"P47","No sabe",0.026,0.03,0.008,0.01,0.028,0.094
"P48","Muy buena",0.111,0.06,0.078,0.26,0.016,0.131
"P48","Buena",0.068,0.105,0.061,0.254,0.031,0.051
"P48","Ni buena ni mala",0.105,0.138,0.143,0.296,0.122,0.402
"P48","Mala",0.219,0.271,0.169,0.095,0.182,0.161
"P48","Muy mala",0.496,0.419,0.542,0.089,0.644,0.23
"P48","No sabe",0.001,0.007,0.007,0.006,0.005,0.025
"P49","Muy buena",0.186,0.122,0.091,0.039,0.171,0.04
"P49","Buena",0.251,0.2,0.193,0.023,0.201,0.149
"P49","Ni buena ni mala",0.342,0.288,0.333,0.139,0.331,0.427
"P49","Mala",0.105,0.217,0.164,0.268,0.194,0.186
"P49","Muy mala",0.105,0.159,0.195,0.522,0.097,0.116
"P49","No sabe",0.011,0.014,0.024,0.009,0.006,0.082
"P50","Muy buena",0.125,0.123,0.095,0.539,0.023,0.098
"P50","Buena",0.054,0.097,0.074,0.196,0.003,0.121
"P50","Ni buena ni mala",0.126,0.131,0.139,0.146,0.107,0.472
"P50","Mala",0.158,0.203,0.149,0.044,0.164,0.161
"P50","Muy mala",0.52,0.43,0.513,0.07,0.703,0.136
"P50","No sabe",0.017,0.016,0.03,0.005,0,0.012
"P51","Muy buena",0.246,0.126,0.214,0.05,0.447,0.098
"P51","Buena",0.24,0.169,0.199,0.022,0.147,0.119
"P51","Ni buena ni mala",0.285,0.335,0.314,0.133,0.264,0.418
"P51","Mala",0.085,0.135,0.104,0.165,0.042,0.175
"P51","Muy mala",0.107,0.199,0.143,0.601,0.061,0.108
"P51","No sabe",0.037,0.036,0.026,0.029,0.039,0.082
"P52","Muy buena",0.513,0.323,0.473,0.036,0.709,0.184
"P52","Buena",0.158,0.196,0.143,0.016,0.151,0.149
"P52","Ni buena ni mala",0.139,0.152,0.137,0.05,0.09,0.28
"P52","Mala",0.073,0.125,0.104,0.182,0.022,0.223
"P52","Muy mala",0.11,0.196,0.142,0.713,0.028,0.128
"P52","No sabe",0.007,0.008,0.001,0.003,0,0.036
"P53","Muy buena",0.362,0.314,0.293,0.012,0.536,0.078
"P53","Buena",0.269,0.224,0.232,0.026,0.28,0.178
"P53","Ni buena ni mala",0.176,0.13,0.208,0.072,0.108,0.329
"P53","Mala",0.092,0.13,0.095,0.17,0.046,0.204
"P53","Muy mala",0.097,0.2,0.167,0.718,0.029,0.177
"P53","No sabe",0.004,0.002,0.005,0.002,0.001,0.034
"P54","Muy buena",0.067,0.062,0.083,0.253,0.029,0.087
"P54","Buena",0.118,0.12,0.074,0.214,0.07,0.071
"P54","Ni buena ni mala",0.288,0.319,0.328,0.27,0.282,0.44
"P54","Mala",0.195,0.195,0.167,0.088,0.157,0.1
"P54","Muy mala",0.274,0.242,0.267,0.143,0.412,0.127
"P54","No sabe",0.058,0.062,0.081,0.032,0.05,0.175
"P55","Muy buena",0.036,0.017,0.012,0.094,0.013,0
"P55","Buena",0.087,0.073,0.041,0.233,0.033,0.036
"P55","Ni buena ni mala",0.241,0.287,0.28,0.441,0.227,0.493
"P55","Mala",0.163,0.195,0.131,0.059,0.101,0.224
"P55","Muy mala",0.41,0.356,0.46,0.119,0.574,0.113
"P55","No sabe",0.063,0.072,0.076,0.054,0.052,0.134
"P56","Muy buena",0.029,0.055,0.036,0.026,0.034,0.003
"P56","Buena",0.092,0.137,0.088,0.116,0.091,0.064
"P56","Ni buena ni mala",0.339,0.371,0.412,0.433,0.242,0.459
"P56","Mala",0.218,0.212,0.142,0.235,0.18,0.207
"P56","Muy mala",0.257,0.182,0.276,0.155,0.414,0.075
"P56","No sabe",0.065,0.043,0.046,0.035,0.039,0.192
"P58","Muy buena",0.474,0.34,0.459,0.02,0.644,0.167
"P58","Buena",0.182,0.164,0.146,0.043,0.166,0.024
"P58","Ni buena ni mala",0.16,0.191,0.161,0.136,0.11,0.405
"P58","Mala",0.06,0.107,0.071,0.168,0.026,0.184
"P58","Muy mala",0.098,0.178,0.128,0.607,0.044,0.066
"P58","No sabe",0.026,0.02,0.035,0.026,0.01,0.154
"P59","Muy buena",0.126,0.138,0.125,0.052,0.145,0.093
"P59","Buena",0.243,0.211,0.216,0.077,0.204,0.072
"P59","Ni buena ni mala",0.397,0.406,0.409,0.342,0.447,0.514
"P59","Mala",0.095,0.142,0.103,0.226,0.113,0.137
"P59","Muy mala",0.089,0.069,0.098,0.26,0.068,0.025
"P59","No sabe",0.05,0.034,0.049,0.043,0.023,0.159
"P60","Muy buena",0.199,0.141,0.191,0.02,0.389,0.02
"P60","Buena",0.262,0.187,0.235,0.019,0.281,0.147
"P60","Ni buena ni mala",0.332,0.288,0.246,0.111,0.225,0.399
"P60","Mala",0.064,0.148,0.084,0.108,0.021,0.155
"P60","Muy mala",0.105,0.209,0.186,0.725,0.057,0.17
"P60","No sabe",0.038,0.027,0.058,0.017,0.027,0.109
"P61","Muy buena",0.191,0.13,0.15,0.015,0.344,0.042
"P61","Buena",0.175,0.159,0.133,0.008,0.204,0.04
"P61","Ni buena ni mala",0.364,0.405,0.388,0.279,0.304,0.425
"P61","Mala",0.06,0.111,0.087,0.179,0.043,0.119
"P61","Muy mala",0.1,0.109,0.131,0.445,0.043,0.144
"P61","No sabe",0.11,0.086,0.111,0.074,0.062,0.23
"P64","Muy buena",0.048,0.054,0.037,0.042,0.047,0.022
"P64","Buena",0.103,0.115,0.118,0.073,0.077,0.049
"P64","Ni buena ni mala",0.458,0.459,0.459,0.463,0.416,0.512
"P64","Mala",0.139,0.165,0.108,0.14,0.211,0.104
"P64","Muy mala",0.122,0.092,0.168,0.194,0.16,0.057
"P64","No sabe",0.13,0.115,0.11,0.088,0.089,0.256
"P65","Radio",0.116,0.143,0.152,0.15,0.072,0.146
"P65","Televisión",0.388,0.363,0.363,0.389,0.38,0.294
"P65","Diario",0.073,0.072,0.089,0.051,0.07,0.076
"P65","Medio digital",0.183,0.203,0.177,0.197,0.214,0.107
"P65","Redes Sociales",0.206,0.151,0.183,0.16,0.184,0.291
"P65","Ninguno en particular",0.034,0.067,0.035,0.053,0.08,0.086
"P65","No sabe",0,0.001,0.001,0,0,0
"P66","Muy buena",0.086,0.038,0.088,0.095,0.067,0.071
"P66","Buena",0.139,0.172,0.104,0.258,0.119,0.154
"P66","Ni buena ni mala",0.324,0.303,0.288,0.375,0.229,0.474
"P66","Mala",0.265,0.303,0.299,0.154,0.306,0.191
"P66","Muy mala",0.17,0.163,0.199,0.106,0.229,0.033
"P66","No sabe",0.016,0.021,0.022,0.012,0.05,0.077
"P67","Muy buena",0.061,0.022,0.033,0.025,0.028,0.044
"P67","Buena",0.096,0.099,0.081,0.062,0.131,0.071
"P67","Ni buena ni mala",0.353,0.29,0.286,0.249,0.267,0.505
"P67","Mala",0.246,0.32,0.331,0.248,0.267,0.238
"P67","Muy mala",0.231,0.253,0.256,0.395,0.276,0.069
"P67","No sabe",0.013,0.016,0.013,0.021,0.031,0.073
