"var","categoria","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P12","No sabe",0.079,0.062,0.094,0.029,0.003,0.144,0.746
"P14","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.573,0.087,0.038,0.149,0.017,0.084,0.076
"P14","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.104,0.522,0.031,0.014,0.178,0.014,0.075
"P14","Arabella Carreras por Unidos Bariloche",0.072,0.062,0.824,0.015,0,0.06,0.032
"P14","Pablo Chamátropulos por Podemos Bariloche",0.006,0.05,0.022,0.489,0.006,0.027,0
"P14","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.113,0.06,0.061,0.01,0.769,0.049,0.016
"P14","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.026,0.05,0.02,0.307,0,0.719,0.036
"P14","No sabe",0.106,0.169,0.004,0.016,0.03,0.047,0.765
"P15","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.707,0.116,0.022,0.288,0.011,0,0.097
"P15","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.092,0.57,0.099,0.158,0.166,0.024,0.089
"P15","Arabella Carreras por Unidos Bariloche",0.068,0.075,0.741,0,0.003,0,0.022
"P15","Pablo Chamátropulos por Podemos Bariloche",0.018,0,0,0.497,0.005,0,0.012
"P15","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.02,0.025,0.072,0.03,0.787,0.112,0.021
"P15","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.009,0.011,0.038,0,0.007,0.766,0.014
"P15","No sabe",0.086,0.203,0.028,0.027,0.021,0.098,0.745
"P16","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.668,0.093,0.024,0.081,0.11,0,0.133
"P16","Carlos Valeri  por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.073,0.395,0.171,0,0.149,0.062,0.067
"P16","Arabella Carreras por Unidos Bariloche",0.091,0.124,0.71,0.169,0,0,0.016
"P16","Pablo Chamátropulos por Podemos Bariloche",0.054,0,0.016,0.445,0.005,0.05,0
"P16","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.027,0.075,0.009,0.215,0.718,0.159,0.01
"P16","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.008,0.05,0.066,0.017,0,0.633,0.028
"P16","No sabe",0.079,0.263,0.004,0.073,0.018,0.096,0.746
"P17","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.706,0.065,0.067,0.026,0.063,0.013,0.136
"P17","Carlos Valeri por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.082,0.411,0.181,0,0.009,0.042,0.033
"P17","Arabella Carreras por Unidos Bariloche",0.03,0.067,0.647,0.072,0.11,0,0.013
"P17","Pablo Chamátropulos por Podemos Bariloche",0.054,0.068,0,0.444,0.005,0.165,0
"P17","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.018,0.062,0.032,0.11,0.786,0,0.022
"P17","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.111,0.021,0.113,0,0.673,0.047
"P17","No sabe",0.11,0.216,0.052,0.235,0.027,0.107,0.749
"P18","La votaría",0.354,0.112,0,0.369,0.159,0.071,0.11
"P18","Puede que la vote",0.146,0.308,0.173,0.043,0.199,0.03,0.117
"P18","Nunca la votaría",0.237,0.379,0.672,0.319,0.521,0.704,0.483
"P18","No sabe",0.263,0.201,0.155,0.269,0.121,0.195,0.29
"P19","Lo votaría",0.512,0.027,0.081,0.074,0.089,0.03,0.077
"P19","Puede que lo vote",0.136,0.365,0.219,0.044,0.26,0.108,0.117
"P19","Nunca lo votaría",0.174,0.512,0.636,0.761,0.569,0.725,0.579
"P19","No sabe",0.178,0.096,0.064,0.121,0.082,0.137,0.227
"P20","La votaría",0.29,0.118,0.483,0.374,0.089,0.03,0.08
"P20","Puede que la vote",0.136,0.322,0.32,0.08,0.265,0.048,0.112
"P20","Nunca la votaría",0.549,0.531,0.19,0.494,0.57,0.803,0.615
"P20","No sabe",0.025,0.029,0.007,0.052,0.076,0.119,0.193
"P21","Lo votaría",0.257,0.183,0.105,0.059,0.089,0.061,0.114
"P21","Puede que lo vote",0.198,0.363,0.224,0.028,0.264,0.104,0.133
"P21","Nunca lo votaría",0.347,0.385,0.566,0.819,0.571,0.712,0.527
"P21","No sabe",0.198,0.069,0.105,0.094,0.076,0.123,0.226
"P22","Lo votaría",0.268,0.26,0.048,0.378,0.089,0.03,0.151
"P22","Puede que lo vote",0.203,0.436,0.153,0,0.22,0.133,0.078
"P22","Nunca lo votaría",0.501,0.264,0.685,0.524,0.607,0.73,0.573
"P22","No sabe",0.028,0.04,0.114,0.098,0.084,0.107,0.198
"P23","Lo votaría",0.204,0.484,0.037,0.449,0.091,0.03,0.106
"P23","Puede que lo vote",0.136,0.362,0.106,0,0.286,0.031,0.045
"P23","Nunca lo votaría",0.562,0.142,0.736,0.551,0.545,0.741,0.631
"P23","No sabe",0.098,0.012,0.121,0,0.078,0.198,0.218
"P24","La votaría",0.255,0.114,0.037,0.407,0.152,0.03,0.163
"P24","Puede que la vote",0.108,0.264,0.132,0,0.093,0.031,0.058
"P24","Nunca la votaría",0.525,0.539,0.776,0.516,0.708,0.831,0.548
"P24","No sabe",0.112,0.083,0.055,0.077,0.047,0.108,0.231
"P25","Lo votaría",0.223,0.115,0.139,0.41,0.109,0.03,0.167
"P25","Puede que lo vote",0.181,0.309,0.272,0.014,0.201,0.26,0.097
"P25","Nunca lo votaría",0.507,0.501,0.529,0.513,0.618,0.644,0.528
"P25","No sabe",0.089,0.075,0.06,0.063,0.072,0.066,0.208
"P26","Lo votaría",0.195,0.129,0.063,0.959,0,0.03,0.072
"P26","Puede que lo vote",0.185,0.272,0.09,0.02,0.376,0,0.077
"P26","Nunca lo votaría",0.487,0.543,0.754,0.021,0.549,0.899,0.623
"P26","No sabe",0.133,0.056,0.093,0,0.075,0.071,0.228
"P27","Lo votaría",0.178,0.177,0.021,0.431,0.401,0.046,0.095
"P27","Puede que lo vote",0.098,0.318,0.145,0,0.444,0.068,0.077
"P27","Nunca lo votaría",0.582,0.447,0.739,0.507,0.132,0.805,0.577
"P27","No sabe",0.142,0.058,0.095,0.062,0.023,0.081,0.251
"P28","Lo votaría",0.186,0.031,0.036,0.417,0.375,0.03,0.112
"P28","Puede que lo vote",0.032,0.294,0.137,0,0.204,0.108,0.065
"P28","Nunca lo votaría",0.639,0.608,0.733,0.521,0.386,0.698,0.55
"P28","No sabe",0.143,0.067,0.094,0.062,0.035,0.164,0.273
"P29","Lo votaría",0.181,0.049,0.064,0.418,0.125,0.507,0.132
"P29","Puede que lo vote",0.062,0.214,0.084,0,0.144,0.125,0.041
"P29","Nunca lo votaría",0.681,0.701,0.824,0.52,0.67,0.368,0.621
"P29","No sabe",0.076,0.036,0.028,0.062,0.061,0,0.206
"P30","La votaría",0.163,0.13,0.059,0.053,0.196,0.068,0.134
"P30","Puede que la vote",0.041,0.251,0.138,0.381,0.248,0.176,0.045
"P30","Nunca la votaría",0.7,0.528,0.699,0.507,0.537,0.625,0.586
"P30","No sabe",0.096,0.091,0.104,0.059,0.019,0.131,0.235
"P31","Si",0.387,0.492,0.364,0.326,0.466,0.348,0.473
"P31","No",0.613,0.508,0.636,0.674,0.534,0.652,0.527
