"var","categoria","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P10","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0,0.073,0.004,0,0.764,0.204,0.034
"P10","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.07,0.055,0.02,0,0.027,0.619,0.004
"P10","No sabe",0.072,0.282,0.008,0.024,0.03,0.046,0.854
"P11","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.645,0.029,0.125,0.017,0.018,0.083,0.095
"P11","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.202,0.53,0.031,0,0.011,0.039,0.047
"P11","Arabella Carreras por Unidos Bariloche",0.021,0.076,0.737,0,0.023,0,0.033
"P11","Pablo Chamátropulos por Podemos Bariloche",0.047,0,0.004,0.983,0.012,0,0.008
"P11","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.009,0.075,0.008,0,0.825,0.089,0.022
"P11","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.019,0.065,0,0.033,0.665,0.01
"P11","No sabe",0.076,0.271,0.03,0,0.078,0.124,0.785
"P13","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.793,0.077,0.143,0.014,0.004,0.152,0.09
"P13","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.018,0.605,0.102,0,0.035,0.166,0.044
"P13","Arabella Carreras por Unidos Bariloche",0.023,0.035,0.714,0.139,0.032,0.023,0.052
"P13","Pablo Chamátropulos por Podemos Bariloche",0.066,0,0.008,0.847,0.066,0.063,0.008
"P13","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.013,0.157,0.009,0,0.709,0.016,0.002
"P13","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.073,0,0,0.023,0.545,0.057
"P13","No sabe",0.087,0.053,0.024,0,0.131,0.035,0.747
"P14","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.718,0.04,0.052,0,0.076,0,0.055
"P14","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.086,0.682,0.026,0,0.035,0.022,0.09
"P14","Arabella Carreras por Unidos Bariloche",0,0.085,0.874,0,0.025,0.01,0.023
"P14","Pablo Chamátropulos por Podemos Bariloche",0.005,0.01,0,0.963,0.032,0.092,0.007
"P14","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.075,0.071,0.021,0,0.745,0.09,0.036
"P14","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.068,0.003,0,0,0.017,0.745,0.06
"P14","No sabe",0.048,0.109,0.027,0.037,0.07,0.041,0.729
"P15","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.717,0.067,0.12,0.016,0.08,0.257,0.066
"P15","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.107,0.617,0.092,0.038,0.08,0.08,0.107
"P15","Arabella Carreras por Unidos Bariloche",0.033,0.109,0.651,0,0.023,0.055,0.025
"P15","Pablo Chamátropulos por Podemos Bariloche",0.02,0,0.01,0.809,0.006,0,0.034
"P15","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0,0.04,0.089,0.137,0.758,0,0.054
"P15","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.007,0,0,0.019,0.586,0.039
"P15","No sabe",0.123,0.16,0.038,0,0.034,0.022,0.675
"P16","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.739,0.055,0.029,0.035,0.084,0.182,0.04
"P16","Carlos Valeri  por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.086,0.437,0.116,0,0.037,0,0.078
"P16","Arabella Carreras por Unidos Bariloche",0.024,0.086,0.768,0,0.055,0.135,0.022
"P16","Pablo Chamátropulos por Podemos Bariloche",0.059,0.01,0.006,0.948,0.017,0,0.044
"P16","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.066,0.081,0.064,0,0.745,0.019,0.023
"P16","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.002,0,0,0.032,0.626,0.035
"P16","No sabe",0.026,0.329,0.017,0.017,0.03,0.038,0.758
"P17","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.652,0.11,0.138,0.056,0.102,0.082,0.092
"P17","Carlos Valeri por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.077,0.388,0.135,0,0.033,0.035,0.068
"P17","Arabella Carreras por Unidos Bariloche",0.024,0.15,0.64,0,0.01,0,0.012
"P17","Pablo Chamátropulos por Podemos Bariloche",0.04,0.122,0.012,0.901,0.005,0,0.022
"P17","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0,0.036,0.043,0.043,0.761,0.09,0.004
"P17","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0,0,0,0.069,0.701,0.047
"P17","No sabe",0.207,0.194,0.032,0,0.02,0.092,0.755
"P18","La votaría",0.561,0.085,0.038,0.023,0.067,0.155,0.025
"P18","Puede que la vote",0.122,0.339,0.139,0.046,0.055,0.192,0.154
"P18","Nunca la votaría",0.169,0.321,0.733,0.564,0.698,0.319,0.496
"P18","No sabe",0.148,0.255,0.09,0.367,0.18,0.334,0.325
"P19","Lo votaría",0.516,0.077,0.091,0.055,0.023,0.104,0.106
"P19","Puede que lo vote",0.136,0.353,0.205,0.047,0.116,0.283,0.121
"P19","Nunca lo votaría",0.271,0.483,0.604,0.829,0.732,0.408,0.49
"P19","No sabe",0.077,0.087,0.1,0.069,0.129,0.205,0.283
"P20","La votaría",0.414,0.1,0.541,0,0.007,0.198,0.033
"P20","Puede que la vote",0.092,0.415,0.298,0.141,0.137,0.097,0.139
"P20","Nunca la votaría",0.473,0.449,0.136,0.859,0.746,0.691,0.638
"P20","No sabe",0.021,0.036,0.025,0,0.11,0.014,0.19
"P21","Lo votaría",0.319,0.179,0.114,0,0.02,0.066,0.094
"P21","Puede que lo vote",0.112,0.448,0.278,0.049,0.104,0.188,0.157
"P21","Nunca lo votaría",0.438,0.283,0.515,0.863,0.766,0.599,0.484
"P21","No sabe",0.131,0.09,0.093,0.088,0.11,0.147,0.265
"P22","Lo votaría",0.383,0.209,0.099,0,0.046,0.275,0.069
"P22","Puede que lo vote",0.154,0.441,0.139,0,0.084,0.307,0.113
"P22","Nunca lo votaría",0.444,0.296,0.64,0.926,0.796,0.384,0.596
"P22","No sabe",0.019,0.054,0.122,0.074,0.074,0.034,0.222
"P23","Lo votaría",0.333,0.416,0.031,0.073,0.045,0.283,0.03
"P23","Puede que lo vote",0.115,0.391,0.062,0,0.149,0.182,0.086
"P23","Nunca lo votaría",0.536,0.113,0.777,0.927,0.733,0.47,0.596
"P23","No sabe",0.016,0.08,0.13,0,0.073,0.065,0.288
"P24","La votaría",0.386,0.141,0.025,0,0.117,0.149,0.102
"P24","Puede que la vote",0.08,0.197,0.134,0,0.104,0.199,0.055
"P24","Nunca la votaría",0.488,0.531,0.755,0.903,0.741,0.635,0.559
"P24","No sabe",0.046,0.131,0.086,0.097,0.038,0.017,0.284
"P25","Lo votaría",0.305,0.164,0.127,0,0.099,0.151,0.126
"P25","Puede que lo vote",0.148,0.351,0.207,0.024,0.032,0.351,0.155
"P25","Nunca lo votaría",0.454,0.417,0.597,0.903,0.808,0.463,0.5
"P25","No sabe",0.093,0.068,0.069,0.073,0.061,0.035,0.219
"P26","Lo votaría",0.364,0.04,0.051,0.945,0.007,0.181,0
"P26","Puede que lo vote",0.112,0.384,0.155,0.018,0.11,0.316,0.075
"P26","Nunca lo votaría",0.426,0.46,0.702,0.037,0.774,0.479,0.718
"P26","No sabe",0.098,0.116,0.092,0,0.109,0.024,0.207
"P27","Lo votaría",0.331,0.157,0.04,0.023,0.408,0.191,0
"P27","Puede que lo vote",0.094,0.331,0.056,0.018,0.297,0.357,0.111
"P27","Nunca lo votaría",0.511,0.413,0.779,0.886,0.266,0.422,0.586
"P27","No sabe",0.064,0.099,0.125,0.073,0.029,0.03,0.303
"P28","Lo votaría",0.353,0.096,0.04,0,0.359,0.018,0.017
"P28","Puede que lo vote",0.043,0.112,0.077,0,0.258,0.424,0.079
"P28","Nunca lo votaría",0.538,0.664,0.759,0.926,0.35,0.379,0.634
"P28","No sabe",0.066,0.128,0.124,0.074,0.033,0.179,0.27
"P29","Lo votaría",0.344,0.096,0.055,0,0.079,0.381,0.025
"P29","Puede que lo vote",0.035,0.139,0.04,0,0.173,0.391,0.028
"P29","Nunca lo votaría",0.557,0.722,0.846,0.926,0.692,0.228,0.743
"P29","No sabe",0.064,0.043,0.059,0.074,0.056,0,0.204
"P30","La votaría",0.216,0.097,0.019,0,0.159,0.379,0.028
"P30","Puede que la vote",0.147,0.169,0.128,0.022,0.279,0.255,0.056
"P30","Nunca la votaría",0.563,0.652,0.719,0.907,0.546,0.307,0.659
"P30","No sabe",0.074,0.082,0.134,0.071,0.016,0.059,0.257
"P31","Si",0.432,0.412,0.391,0.463,0.443,0.321,0.454
"P31","No",0.568,0.588,0.609,0.537,0.557,0.679,0.546
