"var","categoria","Cambia Bariloche","Juntos Somos Río Negro","Unidos Bariloche","Podemos Bariloche","Vamos con Todos","Nos Une Río Negro","No sabe"
"P15","Arabella Carreras por Unidos Bariloche",0.058,0.238,0.291,0.094,0.033,0.038,0.086
"P15","Pablo Chamátropulos por Podemos Bariloche",0.017,0.026,0.016,0.518,0,0,0.028
"P15","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.031,0.036,0.254,0.025,0.603,0.054,0.122
"P15","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.072,0.032,0.049,0,0.118,0.252,0.084
"P15","No sabe",0.086,0.185,0.127,0.134,0.016,0.286,0.409
"P16","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.488,0.121,0.095,0.244,0.17,0.13,0.149
"P16","Carlos Valeri  por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.085,0.354,0.154,0.172,0,0.081,0.098
"P16","Arabella Carreras por Unidos Bariloche",0.168,0.218,0.198,0.085,0.12,0.047,0.118
"P16","Pablo Chamátropulos por Podemos Bariloche",0.012,0.023,0.012,0.44,0.009,0,0.049
"P16","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.083,0.003,0.262,0.017,0.643,0.191,0.122
"P16","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.077,0.019,0.11,0,0.039,0.33,0.07
"P16","No sabe",0.087,0.262,0.169,0.042,0.019,0.221,0.394
"P17","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.467,0.089,0.324,0.442,0.038,0.183,0.18
"P17","Carlos Valeri por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.058,0.364,0.063,0,0,0,0.075
"P17","Arabella Carreras por Unidos Bariloche",0.104,0.173,0.258,0.1,0,0.031,0.108
"P17","Pablo Chamátropulos por Podemos Bariloche",0.081,0.051,0.012,0.411,0.007,0.066,0.027
"P17","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.035,0.039,0.109,0,0.63,0.152,0.143
"P17","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.107,0.016,0.104,0,0.131,0.211,0.07
"P17","No sabe",0.148,0.268,0.13,0.047,0.194,0.357,0.397
"P18","La votaría",0.439,0.089,0.192,0.249,0.556,0,0.082
"P18","Puede que la vote",0.243,0.17,0.419,0,0.021,0.033,0.165
"P18","Nunca la votaría",0.183,0.513,0.389,0.474,0.309,0.316,0.516
"P18","No sabe",0.135,0.228,0,0.277,0.114,0.651,0.237
"P19","Lo votaría",0.533,0.04,0,0.229,0,0.505,0.128
"P19","Puede que lo vote",0.2,0.284,0.221,0,0.18,0.024,0.169
"P19","Nunca lo votaría",0.129,0.532,0.542,0.721,0.762,0.453,0.541
"P19","No sabe",0.138,0.144,0.237,0.05,0.058,0.018,0.162
"P20","La votaría",0.305,0.249,0.315,0.368,0.537,0.034,0.111
"P20","Puede que la vote",0.206,0.314,0.045,0.021,0.033,0.21,0.182
"P20","Nunca la votaría",0.446,0.386,0.64,0.611,0.371,0.756,0.605
"P20","No sabe",0.043,0.051,0,0,0.059,0,0.102
"P21","Lo votaría",0.221,0.217,0.045,0.304,0,0.31,0.085
"P21","Puede que lo vote",0.248,0.325,0.118,0,0.012,0.063,0.202
"P21","Nunca lo votaría",0.34,0.327,0.546,0.696,0.926,0.603,0.559
"P21","No sabe",0.191,0.131,0.291,0,0.062,0.024,0.154
"P22","Lo votaría",0.235,0.206,0,0.303,0.529,0.042,0.121
"P22","Puede que lo vote",0.333,0.253,0.047,0,0.022,0.056,0.18
"P22","Nunca lo votaría",0.381,0.442,0.953,0.697,0.386,0.88,0.576
"P22","No sabe",0.051,0.099,0,0,0.063,0.022,0.123
"P23","Lo votaría",0.216,0.291,0,0.309,0.576,0.04,0.107
"P23","Puede que lo vote",0.206,0.247,0.047,0,0.023,0.022,0.143
"P23","Nunca lo votaría",0.508,0.368,0.7,0.691,0.401,0.695,0.62
"P23","No sabe",0.07,0.094,0.253,0,0,0.243,0.13
"P24","La votaría",0.288,0.159,0,0.249,0.385,0.041,0.113
"P24","Puede que la vote",0.156,0.143,0.047,0,0.226,0,0.091
"P24","Nunca la votaría",0.503,0.555,0.701,0.731,0.389,0.715,0.675
"P24","No sabe",0.053,0.143,0.252,0.02,0,0.244,0.121
"P25","Lo votaría",0.273,0.157,0,0.252,0.387,0.28,0.1
"P25","Puede que lo vote",0.257,0.232,0.297,0.02,0.033,0.028,0.195
"P25","Nunca lo votaría",0.376,0.471,0.703,0.728,0.58,0.642,0.587
"P25","No sabe",0.094,0.14,0,0,0,0.05,0.118
"P26","Lo votaría",0.239,0.109,0.03,0.591,0.596,0.04,0.063
"P26","Puede que lo vote",0.277,0.138,0,0.259,0.036,0.021,0.18
"P26","Nunca lo votaría",0.36,0.614,0.97,0.15,0.368,0.652,0.641
"P26","No sabe",0.124,0.139,0,0,0,0.287,0.116
"P27","Lo votaría",0.226,0.105,0,0.278,0.919,0.04,0.105
"P27","Puede que lo vote",0.173,0.197,0.12,0,0.053,0,0.222
"P27","Nunca lo votaría",0.504,0.535,0.63,0.722,0.028,0.678,0.564
"P27","No sabe",0.097,0.163,0.25,0,0,0.282,0.109
"P28","Lo votaría",0.219,0.075,0.142,0.319,0.451,0.04,0.13
"P28","Puede que lo vote",0.173,0.105,0.086,0,0.391,0,0.088
"P28","Nunca lo votaría",0.513,0.642,0.772,0.681,0.158,0.668,0.637
"P28","No sabe",0.095,0.178,0,0,0,0.292,0.145
"P29","Lo votaría",0.24,0.078,0,0.321,0.468,0.3,0.099
"P29","Puede que lo vote",0.094,0.151,0.114,0,0.077,0.021,0.085
"P29","Nunca lo votaría",0.598,0.65,0.886,0.679,0.455,0.679,0.72
"P29","No sabe",0.068,0.121,0,0,0,0,0.096
"P30","La votaría",0.217,0.019,0,0.325,0.214,0.038,0.128
"P30","Puede que la vote",0.16,0.133,0.084,0.018,0.582,0,0.118
"P30","Nunca la votaría",0.54,0.629,0.916,0.657,0.204,0.89,0.648
"P30","No sabe",0.083,0.219,0,0,0,0.072,0.106
"P31","Si",0.486,0.577,0.181,0.654,0.012,0.265,0.385
"P31","No",0.514,0.423,0.819,0.346,0.988,0.735,0.615
