"var","categoria","Pablo Todero a Diputado Nacional por Unión por la Patria","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Nadia Márquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Patricia Jure a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P21","Buena",0.211,0.244,0.203,0.348,0.319,0.164,0.215
"P21","Ni buena ni mala",0.375,0.34,0.309,0.23,0.233,0.274,0.415
"P21","Mala",0.079,0.079,0.062,0.035,0.183,0.132,0.042
"P21","Muy mala",0.016,0.022,0.03,0.182,0.218,0.139,0.091
"P21","No sabe",0.003,0.013,0.029,0.045,0,0.153,0.027
"P22","Muy buena",0.32,0.114,0.134,0.033,0.051,0.172,0.148
"P22","Buena",0.207,0.129,0.174,0.394,0.186,0.19,0.177
"P22","Ni buena ni mala",0.366,0.295,0.375,0.254,0.314,0.363,0.395
"P22","Mala",0.07,0.282,0.198,0.252,0.391,0.075,0.113
"P22","Muy mala",0.013,0.147,0.053,0.05,0.036,0.112,0.091
"P22","No sabe",0.024,0.033,0.066,0.017,0.022,0.088,0.076
"P23","Muy buena",0.131,0.095,0.185,0.088,0.112,0.033,0.118
"P23","Buena",0.193,0.149,0.111,0.247,0.085,0.117,0.056
"P23","Ni buena ni mala",0.291,0.239,0.298,0.309,0.066,0.355,0.328
"P23","Mala",0.241,0.342,0.259,0.244,0.535,0.241,0.327
"P23","Muy mala",0.14,0.168,0.124,0.112,0.202,0.18,0.143
"P23","No sabe",0.004,0.007,0.023,0,0,0.074,0.028
"P24","Muy buena",0.19,0.166,0.185,0.246,0.085,0.062,0.13
"P24","Buena",0.281,0.215,0.193,0.286,0.165,0.085,0.177
"P24","Ni buena ni mala",0.283,0.297,0.267,0.219,0.121,0.43,0.271
"P24","Mala",0.126,0.235,0.218,0.068,0.492,0.217,0.241
"P24","Muy mala",0.101,0.072,0.108,0.069,0.137,0.094,0.142
"P24","No sabe",0.019,0.015,0.029,0.112,0,0.112,0.039
"P25","Muy buena",0.084,0.105,0.087,0.063,0.102,0,0.068
"P25","Buena",0.132,0.037,0.048,0.045,0.021,0.007,0.06
"P25","Ni buena ni mala",0.39,0.252,0.368,0.386,0.061,0.533,0.269
"P25","Mala",0.21,0.329,0.301,0.262,0.596,0.165,0.302
"P25","Muy mala",0.151,0.245,0.159,0.158,0.22,0.171,0.241
"P25","No sabe",0.033,0.032,0.037,0.086,0,0.124,0.06
"P26","Muy buena",0.124,0.059,0.051,0.092,0.034,0,0.057
"P26","Buena",0.147,0.035,0.12,0.048,0.222,0.026,0.02
"P26","Ni buena ni mala",0.427,0.264,0.335,0.403,0.117,0.495,0.283
"P26","Mala",0.18,0.285,0.228,0.161,0.426,0.163,0.275
"P26","Muy mala",0.096,0.276,0.198,0.174,0.201,0.227,0.262
"P26","No sabe",0.026,0.081,0.068,0.122,0,0.089,0.103
"P27","Si",0.484,0.472,0.36,0.414,0.427,0.256,0.298
"P27","No",0.516,0.528,0.64,0.586,0.573,0.744,0.702
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.868,0.052,0.084,0.239,0.23,0.179,0.071
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.064,0.705,0.02,0.269,0.156,0.144,0.135
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.058,0.213,0.865,0.261,0.074,0.437,0.355
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.006,0.007,0.006,0.023,0.52,0.003,0.009
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.002,0.003,0.005,0.051,0,0.046,0.016
"PRESIDENTE","En blanco",0,0.016,0.005,0.09,0,0.167,0
"PRESIDENTE","No sabe",0.002,0.004,0.015,0.067,0.02,0.024,0.414
"CORTA_DIPUTADOS","Si",0.132,0.296,0.135,0.887,0.479,0.786,0.586
"CORTA_DIPUTADOS","No",0.868,0.704,0.865,0.113,0.521,0.214,0.414
