"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco"
"P10_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.997,0,0,0,0,0
"P10_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0,0.966,0,0,0,0
"P10_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0,0,0.992,0,0,0
"P10_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.003,0.034,0.008,0.141,0.31,0
"P10_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0,0,0,0.859,0,0
"P10_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0,0,0.69,0
"P10_imputada","En blanco",0,0,0,0,0,1
"P18_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.341,0.141,0.066,0.103,0.31,0.146
"P18_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.068,0.412,0.196,0.086,0.25,0.136
"P18_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.205,0.065,0.325,0.205,0.169,0.08
"P18_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.166,0.218,0.146,0.337,0.271,0.414
"P18_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.09,0.067,0.029,0.254,0,0
"P18_imputada","En blanco",0.13,0.097,0.238,0.015,0,0.224
"DIPUTADOS_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.68,0.082,0.035,0.035,0.19,0.089
"DIPUTADOS_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.033,0.618,0.104,0.027,0.032,0.073
"DIPUTADOS_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.105,0.038,0.633,0.069,0.119,0.041
"DIPUTADOS_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.078,0.163,0.086,0.251,0.385,0.225
"DIPUTADOS_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.042,0.04,0.015,0.612,0,0
"DIPUTADOS_imputada","En blanco",0.062,0.059,0.127,0.006,0.274,0.572
