"var","categoria","Pablo Todero a Diputado Nacional por Unión por la Patria","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Nadia Márquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Patricia Jure a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P24","Ni buena ni mala",0.217,0.29,0.238,0.25,0.153,0.325,0.265
"P24","Mala",0.086,0.185,0.212,0.081,0.411,0.276,0.293
"P24","Muy mala",0.076,0.105,0.065,0.081,0.062,0.12,0.144
"P24","No sabe",0.04,0.003,0.045,0.075,0,0.106,0.03
"P25","Muy buena",0.119,0.106,0.153,0.079,0.173,0,0.054
"P25","Buena",0.125,0.058,0.021,0.055,0.029,0.008,0.046
"P25","Ni buena ni mala",0.328,0.209,0.395,0.413,0.068,0.48,0.245
"P25","Mala",0.268,0.311,0.237,0.222,0.549,0.203,0.331
"P25","Muy mala",0.125,0.278,0.146,0.176,0.181,0.198,0.292
"P25","No sabe",0.035,0.038,0.048,0.055,0,0.111,0.032
"P26","Muy buena",0.191,0.04,0.112,0.048,0.064,0,0.072
"P26","Buena",0.152,0.041,0.16,0.052,0.342,0.031,0.027
"P26","Ni buena ni mala",0.351,0.23,0.258,0.441,0.092,0.454,0.265
"P26","Mala",0.207,0.281,0.215,0.168,0.38,0.161,0.282
"P26","Muy mala",0.061,0.305,0.177,0.19,0.122,0.245,0.291
"P26","No sabe",0.038,0.103,0.078,0.101,0,0.109,0.063
"P27","Si",0.512,0.49,0.471,0.456,0.318,0.261,0.371
"P27","No",0.488,0.51,0.529,0.544,0.682,0.739,0.629
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.614,0.099,0.223,0.303,0.438,0.216,0.095
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.186,0.418,0.052,0.236,0.261,0.165,0.184
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.168,0.405,0.642,0.284,0.139,0.526,0.47
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.019,0.015,0.017,0.029,0.128,0.003,0.012
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.006,0.027,0.014,0.03,0,0,0.024
"PRESIDENTE","En blanco",0,0.027,0.012,0.043,0,0.057,0
"PRESIDENTE","No sabe",0.007,0.009,0.04,0.075,0.034,0.033,0.215
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",1,0,0,0,0,0,0
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0,0.972,0,0,0,0,0
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0,0,1,0,0,0,0
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0,0.028,0,1,0.015,0,0
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0,0,0,0,0.985,0,0
"DIPUTADOS","En blanco",0,0,0,0,0,1,0
"DIPUTADOS","No sabe",0,0,0,0,0,0,1
"CORTA_DIPUTADOS","Si",0.385,0.573,0.36,1,0.869,0.942,0.787
"CORTA_DIPUTADOS","No",0.615,0.427,0.64,0,0.131,0.058,0.213
