"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P44","Mauricio Macri – María Eugenia Vidal",0.432,0.443,0.391,0.196
"P44","Sergio Massa – Wado de Pedro",0.29,0.309,0.345,0.36
"P44","No sabe",0.278,0.248,0.264,0.444
"P45","Sergio Massa – Wado de Pedro",0.279,0.294,0.331,0.313
"P45","Javier Milei – José Luis Espert",0.279,0.345,0.391,0.267
"P45","No sabe",0.442,0.361,0.278,0.42
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.4,0.429,0.249,0.225
"P46","Javier Milei – José Luis Espert",0.264,0.234,0.309,0.199
"P46","No sabe",0.336,0.337,0.442,0.576
"P47","Muy buena",0.154,0.106,0.064,0.095
"P47","Buena",0.064,0.12,0.161,0.146
"P47","Ni buena ni mala",0.164,0.162,0.164,0.255
"P47","Mala",0.149,0.125,0.105,0.176
"P47","Muy mala",0.469,0.486,0.495,0.267
"P47","No sabe",0,0.001,0.011,0.061
"P48","Muy buena",0.079,0.08,0.071,0.139
"P48","Buena",0.082,0.129,0.156,0.144
"P48","Ni buena ni mala",0.114,0.125,0.121,0.211
"P48","Mala",0.166,0.149,0.097,0.14
"P48","Muy mala",0.542,0.514,0.547,0.305
"P48","No sabe",0.017,0.003,0.008,0.061
"P49","Muy buena",0.147,0.19,0.295,0.27
"P49","Buena",0.031,0.079,0.069,0.155
"P49","Ni buena ni mala",0.066,0.056,0.041,0.093
"P49","Mala",0.098,0.071,0.032,0.083
"P49","Muy mala",0.641,0.601,0.561,0.344
"P49","No sabe",0.017,0.003,0.002,0.055
"P50","Muy buena",0.122,0.147,0.185,0.038
"P50","Buena",0.197,0.19,0.155,0.087
"P50","Ni buena ni mala",0.151,0.192,0.139,0.15
"P50","Mala",0.206,0.137,0.115,0.288
"P50","Muy mala",0.307,0.33,0.405,0.392
"P50","No sabe",0.017,0.004,0.001,0.045
"P51","Muy buena",0.266,0.19,0.116,0.103
"P51","Buena",0.276,0.269,0.181,0.129
"P51","Ni buena ni mala",0.235,0.233,0.17,0.269
"P51","Mala",0.143,0.126,0.147,0.158
"P51","Muy mala",0.08,0.18,0.384,0.186
"P51","No sabe",0,0.002,0.002,0.155
"P52","Muy buena",0.166,0.083,0.074,0.11
"P52","Buena",0.114,0.16,0.149,0.183
"P52","Ni buena ni mala",0.204,0.221,0.168,0.33
"P52","Mala",0.153,0.172,0.129,0.124
"P52","Muy mala",0.352,0.361,0.478,0.168
"P52","No sabe",0.011,0.003,0.002,0.085
"P53","Muy buena",0.232,0.214,0.316,0.087
"P53","Buena",0.133,0.225,0.13,0.136
"P53","Ni buena ni mala",0.197,0.2,0.101,0.171
"P53","Mala",0.21,0.09,0.08,0.227
"P53","Muy mala",0.228,0.27,0.369,0.262
"P53","No sabe",0,0.001,0.004,0.117
"P54","Muy buena",0.202,0.136,0.185,0.095
"P54","Buena",0.145,0.136,0.121,0.125
"P54","Ni buena ni mala",0.287,0.314,0.21,0.277
"P54","Mala",0.177,0.155,0.108,0.171
"P54","Muy mala",0.186,0.254,0.37,0.227
"P54","No sabe",0.003,0.005,0.006,0.105
"P55","Muy buena",0.284,0.176,0.153,0.092
"P55","Buena",0.166,0.261,0.166,0.145
"P55","Ni buena ni mala",0.271,0.201,0.148,0.215
"P55","Mala",0.155,0.114,0.132,0.154
"P55","Muy mala",0.124,0.243,0.393,0.263
"P55","No sabe",0,0.005,0.008,0.131
"P56","Muy buena",0.165,0.083,0.079,0.088
"P56","Buena",0.077,0.154,0.17,0.191
"P56","Ni buena ni mala",0.117,0.18,0.158,0.27
"P56","Mala",0.298,0.202,0.128,0.152
"P56","Muy mala",0.326,0.378,0.462,0.197
"P56","No sabe",0.017,0.003,0.003,0.102
"P57","Muy buena",0.455,0.09,0.014,0.037
"P57","Buena",0.17,0.382,0.046,0.093
"P57","Ni buena ni mala",0.18,0.351,0.313,0.483
"P57","Mala",0.128,0.068,0.248,0.122
"P57","Muy mala",0.039,0.093,0.346,0.041
"P57","No sabe",0.028,0.016,0.033,0.224
"P58","Muy buena",0.155,0.084,0.024,0.017
"P58","Buena",0.258,0.2,0.087,0.08
"P58","Ni buena ni mala",0.38,0.437,0.308,0.418
"P58","Mala",0.077,0.097,0.162,0.161
"P58","Muy mala",0.063,0.134,0.365,0.108
"P58","No sabe",0.067,0.048,0.054,0.216
"P59","Siempre",0.352,0.272,0.312,0.324
"P59","Casi siempre",0.362,0.424,0.388,0.391
"P59","Casi nunca",0.204,0.203,0.19,0.196
"P59","Nunca, pero esta es una excepción",0.082,0.101,0.11,0.089
"P60","Si",0.545,0.516,0.57,0.551
"P60","No",0.455,0.484,0.43,0.449
