"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P18","Puede que lo vote",0.283,0.46,0.37
"P18","Nunca lo votaría",0.246,0.249,0.249
"P18","No sabe",0.006,0.031,0.032
"P19","Lo votaría",0.145,0.077,0.114
"P19","Puede que lo vote",0.225,0.284,0.275
"P19","Nunca lo votaría",0.593,0.566,0.56
"P19","No sabe",0.037,0.073,0.051
"P20","La votaría",0.483,0.545,0.429
"P20","Puede que la vote",0.219,0.256,0.248
"P20","Nunca la votaría",0.218,0.137,0.31
"P20","No sabe",0.08,0.062,0.013
"P21","Lo votaría",0.349,0.088,0.049
"P21","Puede que lo vote",0.29,0.612,0.134
"P21","Nunca lo votaría",0.28,0.237,0.788
"P21","No sabe",0.081,0.063,0.029
"P22","La votaría",0.343,0.272,0.232
"P22","Puede que la vote",0.389,0.418,0.317
"P22","Nunca la votaría",0.201,0.231,0.397
"P22","No sabe",0.067,0.079,0.054
"P23","Lo votaría",0.05,0.033,0.015
"P23","Puede que lo vote",0.101,0.093,0.101
"P23","Nunca lo votaría",0.838,0.847,0.849
"P23","No sabe",0.011,0.027,0.035
"P24","Lo votaría",0.058,0.063,0.077
"P24","Puede que lo vote",0.179,0.257,0.34
"P24","Nunca lo votaría",0.641,0.611,0.526
"P24","No sabe",0.122,0.069,0.057
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.553,0.596,0.441
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.218,0.212,0.266
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.01,0.006,0.025
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.032,0.015,0.123
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.124,0.074,0.016
"P25","Nicolás del Caño – Myriam Bregman",0.01,0,0.013
"P25","Otros candidatos",0.053,0.097,0.116
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.03,0.023,0.12
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.716,0.751,0.641
"P29","Javier Milei – José Luis Espert por los liberales",0.168,0.079,0.02
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0,0.002,0.018
"P29","Otro candidato",0.086,0.145,0.201
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.515,0.554,0.583
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.049,0.032,0.162
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.266,0.236,0.041
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0,0.003,0.006
"P31","Otro candidato",0.17,0.175,0.208
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.074,0.043,0.122
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.657,0.731,0.67
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.169,0.089,0.02
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.043,0.019,0.012
"P33","Otro candidato",0.057,0.118,0.176
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.082,0.071,0.133
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.491,0.53,0.618
"P35","Javier Milei – José Luis Espert por los liberales",0.307,0.198,0.044
