"var","categoria","Sergio Massa – Wado de Pedro","Javier Milei – José Luis Espert","No sabe"
"P12","A Facundo Manes",0.294,0.032,0.072
"P12","A Gerardo Morales",0.093,0.003,0.026
"P13","Seguro lo votaria",0.167,0.223,0.135
"P13","Quizás lo votaría",0.26,0.426,0.253
"P13","Nunca lo votaría",0.573,0.351,0.612
"P14","Lo votaría",0.08,0.323,0.302
"P14","Puede que lo vote",0.069,0.3,0.206
"P14","Nunca lo votaría",0.798,0.32,0.41
"P14","No sabe",0.053,0.057,0.082
"P15","Lo votaría",0.295,0.068,0.054
"P15","Puede que lo vote",0.4,0.094,0.135
"P15","Nunca lo votaría",0.231,0.797,0.716
"P15","No sabe",0.074,0.041,0.095
"P16","Lo votaría",0.249,0.043,0.093
"P16","Puede que lo vote",0.393,0.057,0.075
"P16","Nunca lo votaría",0.279,0.877,0.76
"P16","No sabe",0.079,0.023,0.072
"P17","La votaría",0.695,0.073,0.186
"P17","Puede que la vote",0.105,0.027,0.052
"P17","Nunca la votaría",0.182,0.876,0.724
"P17","No sabe",0.018,0.024,0.038
"P18","Lo votaría",0.109,0.153,0.263
"P18","Puede que lo vote",0.106,0.331,0.278
"P18","Nunca lo votaría",0.768,0.458,0.383
"P18","No sabe",0.017,0.058,0.076
"P19","Lo votaría",0.055,0.048,0.085
"P19","Puede que lo vote",0.215,0.221,0.26
"P19","Nunca lo votaría",0.627,0.653,0.518
"P19","No sabe",0.103,0.078,0.137
"P20","La votaría",0.087,0.45,0.268
"P20","Puede que la vote",0.053,0.252,0.242
"P20","Nunca la votaría",0.824,0.266,0.416
"P20","No sabe",0.036,0.032,0.074
"P21","Lo votaría",0.046,0.387,0.087
"P21","Puede que lo vote",0.072,0.361,0.158
"P21","Nunca lo votaría",0.841,0.228,0.666
"P21","No sabe",0.041,0.024,0.089
"P22","La votaría",0.069,0.172,0.172
"P22","Puede que la vote",0.068,0.323,0.276
"P22","Nunca la votaría",0.811,0.458,0.432
"P22","No sabe",0.052,0.047,0.12
"P23","Lo votaría",0.188,0.044,0.052
"P23","Puede que lo vote",0.433,0.101,0.148
"P23","Nunca lo votaría",0.319,0.834,0.722
"P23","No sabe",0.06,0.021,0.078
"P24","Lo votaría",0.044,0.032,0.071
"P24","Puede que lo vote",0.144,0.193,0.21
"P24","Nunca lo votaría",0.734,0.694,0.583
"P24","No sabe",0.078,0.081,0.136
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.065,0.27,0.297
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.049,0.091,0.236
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.056,0.022,0.054
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.744,0.086,0.162
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.024,0.434,0.055
"P25","Nicolás del Caño – Myriam Bregman",0.027,0.014,0.031
"P25","Otros candidatos",0.035,0.083,0.165
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.788,0.111,0.193
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.094,0.343,0.432
"P29","Javier Milei – José Luis Espert por los liberales",0.032,0.452,0.073
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.032,0.009,0.048
"P29","Otro candidato",0.054,0.085,0.254
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.135,0.258,0.427
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.571,0.093,0.157
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.04,0.521,0.077
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.066,0.008,0.053
"P31","Otro candidato",0.188,0.12,0.286
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.709,0.084,0.057
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.102,0.438,0.434
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.018,0.401,0.079
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.056,0.012,0.072
"P33","Otro candidato",0.115,0.065,0.358
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.705,0.107,0.08
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.126,0.24,0.422
"P35","Javier Milei – José Luis Espert por los liberales",0.028,0.533,0.072
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.051,0.012,0.056
"P35","Otro candidato",0.09,0.108,0.37
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.784,0.075,0.216
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.111,0.269,0.421
"P37","Javier Milei – José Luis Espert por los liberales",0.029,0.552,0.069
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.023,0.008,0.037
"P37","Otro candidato",0.053,0.096,0.257
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.726,0.082,0.063
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.107,0.365,0.425
"P38","Javier Milei – José Luis Espert por los liberales",0.023,0.462,0.073
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.041,0.011,0.053
"P38","Otro candidato",0.103,0.08,0.386
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.799,0.102,0.209
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.14,0.598,0.44
"P39","No sabe",0.061,0.3,0.351
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.689,0.105,0.127
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.133,0.552,0.451
"P40","No sabe",0.178,0.343,0.422
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.823,0.09,0.055
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.112,0.695,0.469
"P41","No sabe",0.065,0.215,0.476
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.823,0.097,0.165
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.127,0.591,0.468
"P42","No sabe",0.05,0.312,0.367
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.805,0.102,0.047
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.127,0.575,0.448
"P43","No sabe",0.068,0.323,0.505
"P44","Mauricio Macri – María Eugenia Vidal",0.217,0.543,0.387
"P44","Sergio Massa – Wado de Pedro",0.734,0.198,0.093
"P44","No sabe",0.049,0.259,0.52
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.274,0.249,0.374
"P46","Javier Milei – José Luis Espert",0.071,0.66,0.047
"P46","No sabe",0.655,0.091,0.579
"P47","Muy buena",0.179,0.027,0.051
"P47","Buena",0.312,0.065,0.069
"P47","Ni buena ni mala",0.272,0.085,0.176
"P47","Mala",0.13,0.071,0.165
"P47","Muy mala",0.102,0.736,0.522
"P47","No sabe",0.005,0.016,0.017
"P48","Muy buena",0.166,0.013,0.073
"P48","Buena",0.347,0.049,0.055
"P48","Ni buena ni mala",0.21,0.059,0.134
"P48","Mala",0.126,0.087,0.144
"P48","Muy mala",0.149,0.779,0.572
"P48","No sabe",0.002,0.013,0.022
"P49","Muy buena",0.631,0.036,0.148
"P49","Buena",0.135,0.04,0.066
"P49","Ni buena ni mala",0.056,0.038,0.061
"P49","Mala",0.032,0.035,0.086
"P49","Muy mala",0.144,0.844,0.623
"P49","No sabe",0.002,0.007,0.016
"P50","Muy buena",0.088,0.202,0.173
"P50","Buena",0.075,0.2,0.193
"P50","Ni buena ni mala",0.047,0.219,0.182
"P50","Mala",0.191,0.114,0.132
"P50","Muy mala",0.595,0.264,0.302
"P50","No sabe",0.004,0.001,0.018
"P51","Muy buena",0.056,0.144,0.221
"P51","Buena",0.082,0.263,0.247
"P51","Ni buena ni mala",0.109,0.26,0.219
"P51","Mala",0.208,0.13,0.094
"P51","Muy mala",0.537,0.195,0.181
"P51","No sabe",0.008,0.008,0.038
"P52","Muy buena",0.19,0.033,0.042
"P52","Buena",0.323,0.071,0.079
"P52","Ni buena ni mala",0.247,0.117,0.244
"P52","Mala",0.107,0.137,0.173
"P52","Muy mala",0.133,0.632,0.437
"P52","No sabe",0,0.01,0.025
"P53","Muy buena",0.077,0.425,0.268
"P53","Buena",0.076,0.2,0.175
"P53","Ni buena ni mala",0.062,0.162,0.181
"P53","Mala",0.127,0.081,0.111
"P53","Muy mala",0.65,0.124,0.237
"P53","No sabe",0.008,0.008,0.028
"P54","Muy buena",0.033,0.365,0.072
"P54","Buena",0.05,0.24,0.075
"P54","Ni buena ni mala",0.137,0.225,0.372
"P54","Mala",0.14,0.088,0.166
"P54","Muy mala",0.625,0.076,0.288
"P54","No sabe",0.015,0.006,0.027
"P55","Muy buena",0.051,0.221,0.199
"P55","Buena",0.058,0.262,0.224
"P55","Ni buena ni mala",0.096,0.205,0.216
"P55","Mala",0.164,0.133,0.099
"P55","Muy mala",0.623,0.169,0.221
"P55","No sabe",0.008,0.01,0.041
"P56","Muy buena",0.189,0.03,0.049
"P56","Buena",0.354,0.064,0.085
"P56","Ni buena ni mala",0.239,0.103,0.182
"P56","Mala",0.084,0.16,0.228
"P56","Muy mala",0.128,0.636,0.428
"P56","No sabe",0.006,0.007,0.028
"P57","Muy buena",0.071,0.043,0.071
"P57","Buena",0.143,0.127,0.137
"P57","Ni buena ni mala",0.366,0.296,0.333
"P57","Mala",0.193,0.19,0.176
"P57","Muy mala",0.181,0.313,0.213
"P57","No sabe",0.046,0.031,0.07
"P58","Muy buena",0.024,0.04,0.072
"P58","Buena",0.066,0.126,0.175
"P58","Ni buena ni mala",0.263,0.413,0.375
"P58","Mala",0.201,0.122,0.106
"P58","Muy mala",0.407,0.207,0.197
"P58","No sabe",0.039,0.092,0.075
"P59","Siempre",0.353,0.271,0.3
"P59","Casi siempre",0.409,0.424,0.349
"P59","Casi nunca",0.142,0.204,0.236
"P59","Nunca, pero esta es una excepción",0.096,0.101,0.115
"P60","Si",0.614,0.534,0.517
"P60","No",0.386,0.466,0.483
