"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P47","Buena",0.039,0.058,0.239,0.118
"P47","Ni buena ni mala",0.025,0.088,0.295,0.117
"P47","Mala",0.083,0.102,0.141,0.182
"P47","Muy mala",0.798,0.675,0.212,0.367
"P47","No sabe",0.007,0.007,0.009,0.11
"P48","Muy buena",0.022,0.057,0.117,0.133
"P48","Buena",0.008,0.047,0.262,0.109
"P48","Ni buena ni mala",0.016,0.06,0.225,0.114
"P48","Mala",0.078,0.103,0.138,0.199
"P48","Muy mala",0.872,0.722,0.247,0.353
"P48","No sabe",0.004,0.011,0.011,0.092
"P49","Muy buena",0.024,0.08,0.468,0.202
"P49","Buena",0,0.024,0.139,0.115
"P49","Ni buena ni mala",0.007,0.042,0.08,0.056
"P49","Mala",0.044,0.058,0.047,0.085
"P49","Muy mala",0.924,0.79,0.261,0.441
"P49","No sabe",0.001,0.006,0.005,0.101
"P50","Muy buena",0.358,0.149,0.057,0.049
"P50","Buena",0.305,0.243,0.049,0.1
"P50","Ni buena ni mala",0.172,0.288,0.084,0.211
"P50","Mala",0.022,0.153,0.196,0.273
"P50","Muy mala",0.142,0.161,0.609,0.291
"P50","No sabe",0.001,0.006,0.005,0.076
"P51","Muy buena",0.246,0.205,0.06,0.112
"P51","Buena",0.376,0.272,0.073,0.226
"P51","Ni buena ni mala",0.256,0.248,0.149,0.187
"P51","Mala",0.067,0.094,0.211,0.082
"P51","Muy mala",0.053,0.177,0.496,0.161
"P51","No sabe",0.002,0.004,0.011,0.232
"P52","Muy buena",0.042,0.043,0.127,0.07
"P52","Buena",0.043,0.073,0.239,0.228
"P52","Ni buena ni mala",0.082,0.165,0.28,0.183
"P52","Mala",0.129,0.18,0.134,0.1
"P52","Muy mala",0.699,0.531,0.217,0.263
"P52","No sabe",0.005,0.008,0.003,0.156
"P53","Muy buena",0.721,0.181,0.06,0.032
"P53","Buena",0.155,0.382,0.061,0.174
"P53","Ni buena ni mala",0.024,0.241,0.139,0.359
"P53","Mala",0.024,0.079,0.16,0.119
"P53","Muy mala",0.073,0.115,0.574,0.092
"P53","No sabe",0.003,0.002,0.006,0.224
"P54","Muy buena",0.278,0.242,0.077,0.115
"P54","Buena",0.21,0.181,0.057,0.137
"P54","Ni buena ni mala",0.321,0.333,0.161,0.316
"P54","Mala",0.11,0.121,0.143,0.131
"P54","Muy mala",0.073,0.112,0.554,0.144
"P54","No sabe",0.008,0.011,0.008,0.157
"P55","Muy buena",0.312,0.241,0.046,0.119
"P55","Buena",0.331,0.246,0.075,0.226
"P55","Ni buena ni mala",0.251,0.222,0.109,0.2
"P55","Mala",0.063,0.111,0.182,0.097
"P55","Muy mala",0.037,0.162,0.578,0.146
"P55","No sabe",0.006,0.018,0.01,0.212
"P56","Muy buena",0.04,0.041,0.133,0.059
"P56","Buena",0.034,0.071,0.274,0.134
"P56","Ni buena ni mala",0.076,0.11,0.238,0.311
"P56","Mala",0.164,0.222,0.123,0.234
"P56","Muy mala",0.683,0.554,0.218,0.139
"P56","No sabe",0.003,0.002,0.014,0.123
"P57","Muy buena",0.058,0.078,0.062,0.009
"P57","Buena",0.106,0.19,0.134,0.101
"P57","Ni buena ni mala",0.274,0.272,0.381,0.38
"P57","Mala",0.195,0.193,0.181,0.161
"P57","Muy mala",0.341,0.214,0.205,0.067
"P57","No sabe",0.026,0.053,0.037,0.282
"P58","Muy buena",0.087,0.078,0.012,0.009
"P58","Buena",0.202,0.192,0.053,0.105
"P58","Ni buena ni mala",0.413,0.366,0.314,0.348
"P58","Mala",0.098,0.107,0.183,0.113
"P58","Muy mala",0.143,0.167,0.391,0.115
"P58","No sabe",0.057,0.09,0.047,0.31
"P59","Siempre",0.345,0.256,0.301,0.336
"P59","Casi siempre",0.422,0.414,0.373,0.395
"P59","Casi nunca",0.154,0.202,0.218,0.156
"P59","Nunca, pero esta es una excepción",0.079,0.128,0.108,0.113
"P60","Si",0.551,0.457,0.586,0.635
"P60","No",0.449,0.543,0.414,0.365
