"var","categoria","1","2","3","4","5","6","7","8","9"
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.133,0.057,0.052,0.212,0.185,0.176,0.259,0.317,0.289
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.056,0.103,0.075,0.048,0.072,0,0.005,0.029,0.007
"P33","Otro candidato",0.212,0.187,0.209,0.144,0.232,0.138,0.15,0.131,0.145
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.456,0.296,0.423,0.369,0.239,0.281,0.114,0.075,0.162
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.141,0.31,0.193,0.214,0.271,0.272,0.34,0.325,0.316
"P35","Javier Milei – José Luis Espert por los liberales",0.151,0.083,0.092,0.204,0.198,0.216,0.343,0.428,0.334
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.043,0.099,0.018,0.074,0.052,0.032,0.012,0.017,0.01
"P35","Otro candidato",0.209,0.212,0.274,0.139,0.24,0.199,0.191,0.155,0.178
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.571,0.494,0.572,0.495,0.259,0.233,0.158,0.07,0.166
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.144,0.312,0.174,0.196,0.325,0.296,0.342,0.355,0.334
"P37","Javier Milei – José Luis Espert por los liberales",0.152,0.088,0.141,0.15,0.185,0.208,0.323,0.443,0.358
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.026,0.039,0.031,0.04,0.036,0,0.006,0.016,0.007
"P37","Otro candidato",0.107,0.067,0.082,0.119,0.195,0.263,0.171,0.116,0.135
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.467,0.318,0.461,0.341,0.243,0.196,0.111,0.097,0.136
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.169,0.309,0.223,0.189,0.312,0.395,0.43,0.436,0.397
"P38","Javier Milei – José Luis Espert por los liberales",0.147,0.098,0.089,0.216,0.157,0.21,0.244,0.361,0.298
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.054,0.047,0.033,0.043,0.052,0,0.015,0.023,0.019
"P38","Otro candidato",0.163,0.228,0.194,0.211,0.236,0.199,0.2,0.083,0.15
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.597,0.496,0.612,0.516,0.295,0.253,0.155,0.116,0.183
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.197,0.387,0.268,0.326,0.379,0.491,0.615,0.629,0.549
"P39","No sabe",0.206,0.117,0.12,0.158,0.326,0.256,0.23,0.255,0.268
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.493,0.482,0.462,0.366,0.242,0.22,0.132,0.059,0.151
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.192,0.358,0.241,0.308,0.412,0.478,0.524,0.608,0.481
"P40","No sabe",0.315,0.16,0.297,0.326,0.346,0.302,0.344,0.333,0.368
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.528,0.313,0.516,0.51,0.261,0.207,0.136,0.079,0.135
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.199,0.415,0.245,0.296,0.413,0.569,0.698,0.678,0.614
"P41","No sabe",0.273,0.272,0.239,0.194,0.326,0.224,0.166,0.243,0.251
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.614,0.397,0.591,0.432,0.289,0.255,0.141,0.082,0.173
