"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Nicolás del Caño – Myriam Bregman","Otros candidatos"
"P13","Seguro lo votaria",0.188,0.159,0.109,0.078,0.4,0.22,0.094
"P13","Quizás lo votaría",0.388,0.294,0.123,0.072,0.454,0,0.328
"P13","Nunca lo votaría",0.424,0.547,0.768,0.85,0.146,0.78,0.578
"P14","Lo votaría",0.735,0.206,0.086,0.033,0.137,0.105,0.1
"P14","Puede que lo vote",0.191,0.415,0.136,0.035,0.338,0.1,0.207
"P14","Nunca lo votaría",0.061,0.317,0.673,0.869,0.432,0.617,0.498
"P14","No sabe",0.013,0.062,0.105,0.063,0.093,0.178,0.195
"P15","Lo votaría",0.085,0.081,0.311,0.22,0.055,0.026,0.037
"P15","Puede que lo vote",0.061,0.086,0.275,0.426,0.095,0.063,0.115
"P15","Nunca lo votaría",0.825,0.753,0.316,0.266,0.787,0.77,0.655
"P15","No sabe",0.029,0.08,0.098,0.088,0.063,0.141,0.193
"P16","Lo votaría",0.02,0.035,0.544,0.273,0.011,0.018,0.02
"P16","Puede que lo vote",0.014,0.031,0.282,0.404,0.027,0.222,0.039
"P16","Nunca lo votaría",0.955,0.893,0.152,0.21,0.924,0.674,0.792
"P16","No sabe",0.011,0.041,0.022,0.113,0.038,0.086,0.149
"P17","La votaría",0.03,0.021,0.496,0.829,0.006,0.101,0.063
"P17","Puede que la vote",0.006,0.015,0.246,0.114,0.038,0.111,0.055
"P17","Nunca la votaría",0.952,0.936,0.203,0.032,0.923,0.716,0.725
"P17","No sabe",0.012,0.028,0.055,0.025,0.033,0.072,0.157
"P18","Lo votaría",0.278,0.525,0.13,0.088,0.053,0.071,0.074
"P18","Puede que lo vote",0.448,0.309,0.16,0.048,0.253,0.082,0.281
"P18","Nunca lo votaría",0.245,0.131,0.583,0.817,0.596,0.825,0.448
"P18","No sabe",0.029,0.035,0.127,0.047,0.098,0.022,0.197
"P19","Lo votaría",0.07,0.172,0.05,0.035,0.03,0.045,0.13
"P19","Puede que lo vote",0.224,0.38,0.248,0.171,0.205,0.175,0.216
"P19","Nunca lo votaría",0.634,0.363,0.458,0.662,0.63,0.745,0.456
"P19","No sabe",0.072,0.085,0.244,0.132,0.135,0.035,0.198
"P20","La votaría",0.609,0.266,0.038,0.02,0.283,0.11,0.251
"P20","Puede que la vote",0.219,0.352,0.167,0.052,0.305,0.15,0.13
"P20","Nunca la votaría",0.126,0.314,0.708,0.887,0.339,0.718,0.457
"P20","No sabe",0.046,0.068,0.087,0.041,0.073,0.022,0.162
"P21","Lo votaría",0.144,0.124,0.087,0.018,0.699,0.127,0.054
"P21","Puede que lo vote",0.381,0.23,0.162,0.035,0.216,0.091,0.215
"P21","Nunca lo votaría",0.414,0.566,0.673,0.892,0.069,0.745,0.552
"P21","No sabe",0.061,0.08,0.078,0.055,0.016,0.037,0.179
"P22","La votaría",0.314,0.249,0.026,0.023,0.141,0.071,0.054
"P22","Puede que la vote",0.42,0.354,0.142,0.035,0.244,0.055,0.211
"P22","Nunca la votaría",0.198,0.281,0.659,0.891,0.569,0.816,0.565
"P22","No sabe",0.068,0.116,0.173,0.051,0.046,0.058,0.17
"P23","Lo votaría",0.023,0.038,0.297,0.158,0.046,0.018,0.03
"P23","Puede que lo vote",0.08,0.099,0.285,0.438,0.089,0.145,0.101
"P23","Nunca lo votaría",0.868,0.805,0.319,0.314,0.833,0.789,0.713
"P23","No sabe",0.029,0.058,0.099,0.09,0.032,0.048,0.156
"P24","Lo votaría",0.052,0.15,0.058,0.028,0.015,0,0.018
"P24","Puede que lo vote",0.249,0.375,0.2,0.097,0.11,0.028,0.188
"P24","Nunca lo votaría",0.636,0.359,0.504,0.757,0.773,0.88,0.581
"P24","No sabe",0.063,0.116,0.238,0.118,0.102,0.092,0.213
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.024,0.031,0.666,0.944,0.01,0.033,0.041
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.904,0.506,0.039,0.021,0.048,0.074,0.104
"P29","Javier Milei – José Luis Espert por los liberales",0.037,0.128,0.023,0.009,0.899,0.093,0.08
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.004,0.018,0.036,0.015,0.005,0.74,0.026
"P29","Otro candidato",0.031,0.317,0.236,0.011,0.038,0.06,0.749
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.586,0.749,0.159,0.092,0.026,0,0.12
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.096,0.05,0.708,0.59,0.012,0.013,0.025
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.146,0.106,0.042,0.023,0.916,0.135,0.095
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.002,0.015,0.014,0.047,0.002,0.802,0.038
"P31","Otro candidato",0.17,0.08,0.077,0.248,0.044,0.05,0.722
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.056,0.084,0.552,0.679,0.009,0.028,0.075
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.789,0.568,0.085,0.029,0.157,0.093,0.296
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.058,0.115,0.034,0.024,0.807,0.04,0.065
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.014,0.027,0.046,0.044,0.003,0.797,0.032
"P33","Otro candidato",0.083,0.206,0.283,0.224,0.024,0.042,0.532
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.093,0.081,0.482,0.666,0.042,0.023,0.125
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.595,0.72,0.104,0.059,0.02,0,0.119
"P35","Javier Milei – José Luis Espert por los liberales",0.158,0.094,0.058,0.02,0.858,0.098,0.11
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.003,0.006,0.037,0.041,0.008,0.794,0.014
"P35","Otro candidato",0.151,0.099,0.319,0.214,0.072,0.085,0.632
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.039,0.071,0.59,0.925,0.006,0.062,0.047
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.616,0.791,0.123,0.038,0.029,0,0.159
"P37","Javier Milei – José Luis Espert por los liberales",0.179,0.073,0.046,0.002,0.901,0.102,0.108
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.004,0,0.018,0.006,0.003,0.724,0.018
"P37","Otro candidato",0.162,0.065,0.223,0.029,0.061,0.112,0.668
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.018,0.055,0.503,0.736,0.017,0.025,0.095
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.887,0.619,0.044,0.025,0.053,0.016,0.157
"P38","Javier Milei – José Luis Espert por los liberales",0.038,0.115,0.084,0.014,0.876,0.103,0.089
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.007,0.024,0.036,0.04,0.003,0.742,0.012
"P38","Otro candidato",0.05,0.187,0.333,0.185,0.051,0.114,0.647
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.047,0.049,0.67,0.935,0.035,0.22,0.077
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.922,0.634,0.045,0.037,0.409,0.103,0.312
"P39","No sabe",0.031,0.317,0.285,0.028,0.556,0.677,0.611
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.023,0.024,0.761,0.752,0.038,0.2,0.031
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.771,0.819,0.04,0.015,0.374,0.165,0.32
"P40","No sabe",0.206,0.157,0.199,0.233,0.588,0.635,0.649
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.02,0.071,0.487,0.791,0.03,0.314,0.111
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.897,0.646,0.064,0.002,0.583,0.167,0.455
"P41","No sabe",0.083,0.283,0.449,0.207,0.387,0.519,0.434
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.014,0.039,0.593,0.938,0.026,0.289,0.069
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.772,0.869,0.055,0.021,0.449,0.139,0.361
"P42","No sabe",0.214,0.092,0.352,0.041,0.525,0.572,0.57
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.009,0.028,0.532,0.81,0.038,0.245,0.079
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.775,0.854,0.059,0.021,0.404,0.165,0.319
"P43","No sabe",0.216,0.118,0.409,0.169,0.558,0.59,0.602
"P44","Mauricio Macri – María Eugenia Vidal",0.825,0.555,0.125,0.088,0.415,0.149,0.306
"P44","Sergio Massa – Wado de Pedro",0.109,0.186,0.497,0.708,0.104,0.352,0.138
"P44","No sabe",0.066,0.259,0.378,0.204,0.481,0.499,0.556
"P45","Sergio Massa – Wado de Pedro",0.097,0.125,0.416,0.74,0.042,0.365,0.117
"P45","Javier Milei – José Luis Espert",0.455,0.263,0.183,0.097,0.861,0.208,0.319
"P45","No sabe",0.448,0.612,0.401,0.163,0.097,0.427,0.564
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.525,0.724,0.208,0.155,0.061,0.178,0.232
"P46","Javier Milei – José Luis Espert",0.286,0.118,0.159,0.033,0.866,0.229,0.209
"P46","No sabe",0.189,0.158,0.633,0.812,0.073,0.593,0.559
"P47","Muy buena",0.047,0.091,0.236,0.141,0.012,0.037,0.03
"P47","Buena",0.046,0.018,0.184,0.343,0.075,0.019,0.012
"P47","Ni buena ni mala",0.032,0.067,0.297,0.355,0.058,0.29,0.161
"P47","Mala",0.063,0.185,0.119,0.127,0.08,0.346,0.159
"P47","Muy mala",0.805,0.639,0.14,0.024,0.757,0.286,0.599
"P47","No sabe",0.007,0,0.024,0.01,0.018,0.022,0.039
"P48","Muy buena",0.012,0.045,0.401,0.161,0.004,0.039,0.027
"P48","Buena",0.006,0.009,0.279,0.398,0.016,0.039,0.009
"P48","Ni buena ni mala",0.037,0.086,0.156,0.261,0.03,0.233,0.129
"P48","Mala",0.059,0.198,0.044,0.134,0.09,0.203,0.161
"P48","Muy mala",0.885,0.659,0.096,0.036,0.839,0.486,0.63
"P48","No sabe",0.001,0.003,0.024,0.01,0.021,0,0.044
"P49","Muy buena",0.025,0.017,0.297,0.731,0.012,0.131,0.043
"P49","Buena",0,0.002,0.192,0.202,0.004,0.035,0.046
"P49","Ni buena ni mala",0.013,0.064,0.225,0.051,0.036,0.115,0.055
"P49","Mala",0.034,0.117,0.105,0.007,0.034,0.307,0.084
"P49","Muy mala",0.926,0.8,0.168,0.004,0.9,0.401,0.74
"P49","No sabe",0.002,0,0.013,0.005,0.014,0.011,0.032
"P50","Muy buena",0.458,0.101,0.095,0.071,0.087,0.034,0.024
"P50","Buena",0.32,0.277,0.03,0.03,0.139,0.148,0.165
"P50","Ni buena ni mala",0.092,0.332,0.131,0.022,0.288,0.047,0.263
"P50","Mala",0.018,0.129,0.303,0.195,0.167,0.239,0.137
"P50","Muy mala",0.112,0.159,0.427,0.673,0.317,0.532,0.376
"P50","No sabe",0,0.002,0.014,0.009,0.002,0,0.035
"P51","Muy buena",0.258,0.477,0.101,0.01,0.073,0,0.064
"P51","Buena",0.455,0.326,0.102,0.014,0.195,0.065,0.174
"P51","Ni buena ni mala",0.22,0.151,0.174,0.11,0.307,0.056,0.344
"P51","Mala",0.038,0.026,0.333,0.197,0.155,0.391,0.176
"P51","Muy mala",0.017,0.017,0.253,0.649,0.256,0.488,0.194
"P51","No sabe",0.012,0.003,0.037,0.02,0.014,0,0.048
"P52","Muy buena",0.027,0.097,0.257,0.162,0.007,0,0.04
"P52","Buena",0.063,0.091,0.271,0.319,0.04,0.052,0.078
"P52","Ni buena ni mala",0.101,0.204,0.256,0.305,0.113,0.203,0.202
"P52","Mala",0.135,0.159,0.088,0.111,0.156,0.36,0.156
"P52","Muy mala",0.668,0.449,0.114,0.094,0.668,0.385,0.482
"P52","No sabe",0.006,0,0.014,0.009,0.016,0,0.042
"P53","Muy buena",0.597,0.259,0.083,0.026,0.335,0.147,0.277
"P53","Buena",0.203,0.238,0.098,0.055,0.245,0.02,0.135
"P53","Ni buena ni mala",0.065,0.317,0.209,0.076,0.158,0.246,0.164
"P53","Mala",0.035,0.086,0.174,0.149,0.101,0.091,0.125
"P53","Muy mala",0.087,0.097,0.395,0.683,0.146,0.496,0.265
"P53","No sabe",0.013,0.003,0.041,0.011,0.015,0,0.034
"P54","Muy buena",0.123,0.066,0.134,0.003,0.648,0.028,0.041
"P54","Buena",0.238,0.137,0.065,0.014,0.202,0.13,0.111
"P54","Ni buena ni mala",0.443,0.443,0.252,0.099,0.092,0.136,0.35
"P54","Mala",0.113,0.238,0.08,0.159,0.024,0.074,0.174
"P54","Muy mala",0.07,0.116,0.418,0.709,0.034,0.632,0.266
"P54","No sabe",0.013,0,0.051,0.016,0,0,0.058
"P55","Muy buena",0.375,0.251,0.096,0.007,0.176,0.02,0.097
"P55","Buena",0.367,0.319,0.103,0.006,0.216,0.116,0.19
"P55","Ni buena ni mala",0.201,0.294,0.149,0.074,0.197,0.183,0.26
"P55","Mala",0.028,0.09,0.25,0.158,0.153,0.281,0.2
"P55","Muy mala",0.013,0.025,0.375,0.74,0.242,0.4,0.204
"P55","No sabe",0.016,0.021,0.027,0.015,0.016,0,0.049
"P56","Muy buena",0.04,0.047,0.309,0.168,0.02,0.02,0.009
"P56","Buena",0.04,0.058,0.373,0.364,0.051,0.057,0.046
"P56","Ni buena ni mala",0.113,0.136,0.149,0.284,0.09,0.154,0.149
"P56","Mala",0.162,0.317,0.033,0.069,0.142,0.37,0.279
"P56","Muy mala",0.639,0.437,0.136,0.091,0.685,0.399,0.498
"P56","No sabe",0.006,0.005,0,0.024,0.012,0,0.019
"P57","Muy buena",0.029,0.147,0.134,0.042,0.032,0.042,0.12
"P57","Buena",0.08,0.172,0.183,0.15,0.13,0.022,0.183
"P57","Ni buena ni mala",0.257,0.397,0.355,0.405,0.306,0.146,0.243
"P57","Mala",0.232,0.137,0.063,0.175,0.182,0.451,0.181
"P57","Muy mala",0.357,0.124,0.154,0.174,0.292,0.339,0.243
"P57","No sabe",0.045,0.023,0.111,0.054,0.058,0,0.03
"P58","Muy buena",0.064,0.154,0.073,0.008,0.021,0,0.033
"P58","Buena",0.185,0.287,0.039,0.048,0.097,0.022,0.139
"P58","Ni buena ni mala",0.401,0.452,0.438,0.23,0.411,0.182,0.422
"P58","Mala",0.147,0.054,0.146,0.185,0.109,0.249,0.131
"P58","Muy mala",0.143,0.027,0.17,0.482,0.249,0.547,0.149
"P58","No sabe",0.06,0.026,0.134,0.047,0.113,0,0.126
"P59","Siempre",0.32,0.285,0.296,0.337,0.254,0.307,0.307
"P59","Casi siempre",0.437,0.398,0.313,0.407,0.387,0.133,0.379
"P59","Casi nunca",0.167,0.263,0.187,0.14,0.226,0.394,0.245
"P59","Nunca, pero esta es una excepción",0.076,0.054,0.204,0.116,0.133,0.166,0.069
"P60","Si",0.602,0.49,0.592,0.603,0.494,0.521,0.461
"P60","No",0.398,0.51,0.408,0.397,0.506,0.479,0.539
