"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.026,0.828,0.457,0.128,0.43
"P42","No sabe",0.063,0.151,0.511,0.562,0.509
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.79,0.02,0.025,0.258,0.077
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.025,0.811,0.429,0.094,0.421
"P43","No sabe",0.185,0.169,0.546,0.648,0.502
"P44","Mauricio Macri – María Eugenia Vidal",0.096,0.788,0.427,0.066,0.281
"P44","Sergio Massa – Wado de Pedro",0.698,0.142,0.097,0.326,0.139
"P44","No sabe",0.206,0.07,0.476,0.608,0.58
"P45","Sergio Massa – Wado de Pedro",0.71,0.102,0.051,0.354,0.133
"P45","Javier Milei – José Luis Espert",0.114,0.423,0.829,0.108,0.236
"P45","No sabe",0.176,0.475,0.12,0.538,0.631
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.162,0.594,0.06,0.239,0.37
"P46","Javier Milei – José Luis Espert",0.051,0.222,0.858,0.109,0.158
"P46","No sabe",0.787,0.184,0.082,0.652,0.472
"P47","Muy buena",0.144,0.065,0.028,0.071,0.043
"P47","Buena",0.334,0.021,0.064,0.065,0.051
"P47","Ni buena ni mala",0.35,0.031,0.064,0.299,0.155
"P47","Mala",0.127,0.099,0.082,0.345,0.153
"P47","Muy mala",0.035,0.777,0.745,0.202,0.57
"P47","No sabe",0.01,0.007,0.017,0.018,0.028
"P48","Muy buena",0.183,0.019,0.015,0.108,0.037
"P48","Buena",0.386,0.007,0.007,0.043,0.046
"P48","Ni buena ni mala",0.253,0.03,0.051,0.265,0.125
"P48","Mala",0.125,0.088,0.094,0.217,0.18
"P48","Muy mala",0.042,0.852,0.814,0.367,0.58
"P48","No sabe",0.011,0.004,0.019,0,0.032
"P49","Muy buena",0.696,0.014,0.015,0.173,0.047
"P49","Buena",0.2,0.003,0.004,0.047,0.042
"P49","Ni buena ni mala",0.07,0.018,0.039,0.094,0.083
"P49","Mala",0.01,0.049,0.051,0.323,0.101
"P49","Muy mala",0.02,0.913,0.878,0.354,0.704
"P49","No sabe",0.004,0.003,0.013,0.009,0.023
"P50","Muy buena",0.064,0.365,0.072,0.037,0.091
"P50","Buena",0.031,0.34,0.169,0.023,0.102
"P50","Ni buena ni mala",0.048,0.141,0.29,0.078,0.265
"P50","Mala",0.196,0.026,0.173,0.261,0.202
"P50","Muy mala",0.653,0.125,0.294,0.601,0.316
"P50","No sabe",0.008,0.003,0.002,0,0.024
"P51","Muy buena",0.012,0.332,0.07,0.023,0.187
"P51","Buena",0.031,0.42,0.206,0.058,0.184
"P51","Ni buena ni mala",0.117,0.193,0.312,0.112,0.277
"P51","Mala",0.204,0.035,0.15,0.357,0.167
"P51","Muy mala",0.609,0.016,0.248,0.45,0.152
"P51","No sabe",0.027,0.004,0.014,0,0.033
"P52","Muy buena",0.176,0.035,0.023,0,0.07
"P52","Buena",0.312,0.068,0.055,0.088,0.09
"P52","Ni buena ni mala",0.312,0.103,0.118,0.258,0.226
"P52","Mala",0.102,0.142,0.139,0.372,0.183
"P52","Muy mala",0.09,0.646,0.65,0.282,0.402
"P52","No sabe",0.008,0.006,0.015,0,0.029
"P53","Muy buena",0.032,0.512,0.356,0.027,0.235
"P53","Buena",0.065,0.233,0.212,0.017,0.146
"P53","Ni buena ni mala",0.09,0.107,0.199,0.308,0.194
"P53","Mala",0.137,0.049,0.085,0.125,0.174
"P53","Muy mala",0.657,0.095,0.134,0.523,0.22
"P53","No sabe",0.019,0.004,0.014,0,0.031
"P54","Muy buena",0.013,0.101,0.606,0.008,0.076
"P54","Buena",0.028,0.212,0.219,0.017,0.078
"P54","Ni buena ni mala",0.121,0.464,0.13,0.167,0.281
"P54","Mala",0.144,0.136,0.01,0.184,0.245
"P54","Muy mala",0.676,0.074,0.034,0.597,0.285
"P54","No sabe",0.018,0.013,0.001,0.027,0.035
"P55","Muy buena",0.014,0.366,0.174,0.016,0.099
"P55","Buena",0.021,0.373,0.214,0.131,0.168
"P55","Ni buena ni mala",0.082,0.204,0.222,0.076,0.304
"P55","Mala",0.163,0.03,0.152,0.341,0.196
"P55","Muy mala",0.7,0.015,0.222,0.361,0.204
"P55","No sabe",0.02,0.012,0.016,0.075,0.029
"P56","Muy buena",0.172,0.047,0.026,0.016,0.056
"P56","Buena",0.363,0.045,0.065,0.064,0.062
"P56","Ni buena ni mala",0.287,0.091,0.086,0.129,0.187
"P56","Mala",0.066,0.197,0.138,0.412,0.29
"P56","Muy mala",0.091,0.617,0.673,0.316,0.399
"P56","No sabe",0.021,0.003,0.012,0.063,0.006
"P57","Muy buena",0.046,0.043,0.042,0.099,0.164
"P57","Buena",0.157,0.102,0.135,0.063,0.17
"P57","Ni buena ni mala",0.406,0.305,0.298,0.148,0.277
"P57","Mala",0.151,0.23,0.18,0.436,0.137
"P57","Muy mala",0.169,0.295,0.296,0.198,0.216
"P57","No sabe",0.071,0.025,0.049,0.056,0.036
"P58","Muy buena",0.011,0.084,0.033,0.011,0.076
"P58","Buena",0.052,0.211,0.101,0.018,0.173
"P58","Ni buena ni mala",0.249,0.408,0.422,0.244,0.428
"P58","Mala",0.177,0.139,0.107,0.243,0.083
"P58","Muy mala",0.447,0.109,0.249,0.381,0.145
"P58","No sabe",0.064,0.049,0.088,0.103,0.095
"P59","Siempre",0.326,0.323,0.267,0.35,0.268
"P59","Casi siempre",0.408,0.447,0.36,0.171,0.347
"P59","Casi nunca",0.14,0.158,0.251,0.317,0.309
"P59","Nunca, pero esta es una excepción",0.126,0.072,0.122,0.162,0.076
"P60","Si",0.597,0.558,0.496,0.597,0.505
"P60","No",0.403,0.442,0.504,0.403,0.495
