"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P13","Nunca lo votaría",0.85,0.478,0.413
"P14","Lo votaría",0.028,0.473,0.153
"P14","Puede que lo vote",0.037,0.313,0.211
"P14","Nunca lo votaría",0.877,0.18,0.534
"P14","No sabe",0.058,0.034,0.102
"P15","Lo votaría",0.293,0.068,0.054
"P15","Puede que lo vote",0.437,0.076,0.131
"P15","Nunca lo votaría",0.192,0.818,0.712
"P15","No sabe",0.078,0.038,0.103
"P16","Lo votaría",0.276,0.021,0.105
"P16","Puede que lo vote",0.464,0.009,0.085
"P16","Nunca lo votaría",0.173,0.949,0.738
"P16","No sabe",0.087,0.021,0.072
"P17","La votaría",0.777,0.024,0.203
"P17","Puede que la vote",0.133,0.002,0.053
"P17","Nunca la votaría",0.067,0.973,0.678
"P17","No sabe",0.023,0.001,0.066
"P18","Lo votaría",0.077,0.323,0.073
"P18","Puede que lo vote",0.066,0.421,0.192
"P18","Nunca lo votaría",0.826,0.22,0.638
"P18","No sabe",0.031,0.036,0.097
"P19","Lo votaría",0.034,0.102,0.039
"P19","Puede que lo vote",0.18,0.307,0.178
"P19","Nunca lo votaría",0.669,0.525,0.636
"P19","No sabe",0.117,0.066,0.147
"P20","La votaría",0.026,0.516,0.215
"P20","Puede que la vote",0.04,0.275,0.204
"P20","Nunca la votaría",0.904,0.176,0.495
"P20","No sabe",0.03,0.033,0.086
"P21","Lo votaría",0.011,0.241,0.286
"P21","Puede que lo vote",0.051,0.323,0.197
"P21","Nunca lo votaría",0.896,0.396,0.447
"P21","No sabe",0.042,0.04,0.07
"P22","La votaría",0.021,0.269,0.098
"P22","Puede que la vote",0.033,0.41,0.174
"P22","Nunca la votaría",0.889,0.258,0.624
"P22","No sabe",0.057,0.063,0.104
"P23","Lo votaría",0.203,0.039,0.042
"P23","Puede que lo vote",0.47,0.077,0.142
"P23","Nunca lo votaría",0.269,0.866,0.726
"P23","No sabe",0.058,0.018,0.09
"P24","Lo votaría",0.036,0.084,0.013
"P24","Puede que lo vote",0.12,0.289,0.095
"P24","Nunca lo votaría",0.751,0.547,0.758
"P24","No sabe",0.093,0.08,0.134
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.006,0.43,0.152
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.011,0.27,0.047
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.082,0.007,0.065
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.836,0.018,0.178
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.022,0.189,0.33
"P25","Nicolás del Caño – Myriam Bregman",0.019,0.01,0.046
"P25","Otros candidatos",0.024,0.076,0.182
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.91,0.023,0.216
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.019,0.613,0.162
"P29","Javier Milei – José Luis Espert por los liberales",0.016,0.217,0.35
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.023,0.007,0.06
"P29","Otro candidato",0.032,0.14,0.212
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.085,0.557,0.094
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.637,0.075,0.142
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.031,0.259,0.375
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.057,0.009,0.064
"P31","Otro candidato",0.19,0.1,0.325
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.79,0.044,0.054
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.037,0.659,0.2
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.016,0.171,0.345
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.039,0.019,0.082
"P33","Otro candidato",0.118,0.107,0.319
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.761,0.079,0.083
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.076,0.558,0.063
"P35","Javier Milei – José Luis Espert por los liberales",0.022,0.251,0.397
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.042,0.011,0.068
"P35","Otro candidato",0.099,0.101,0.389
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.862,0.047,0.216
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.056,0.598,0.052
"P37","Javier Milei – José Luis Espert por los liberales",0.015,0.263,0.393
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.015,0.005,0.051
"P37","Otro candidato",0.052,0.087,0.288
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.829,0.02,0.06
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.036,0.645,0.134
"P38","Javier Milei – José Luis Espert por los liberales",0.011,0.207,0.379
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.03,0.013,0.064
"P38","Otro candidato",0.094,0.115,0.363
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.891,0.052,0.224
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.045,0.8,0.238
"P39","No sabe",0.064,0.148,0.538
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.816,0.02,0.134
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.028,0.885,0.087
"P40","No sabe",0.156,0.095,0.779
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.913,0.023,0.074
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.01,0.85,0.323
"P41","No sabe",0.077,0.127,0.603
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.936,0.018,0.194
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.03,0.944,0.078
"P42","No sabe",0.034,0.038,0.728
"P44","Mauricio Macri – María Eugenia Vidal",0.121,0.748,0.189
"P44","Sergio Massa – Wado de Pedro",0.819,0.165,0.056
"P44","No sabe",0.06,0.087,0.755
"P45","Sergio Massa – Wado de Pedro",0.831,0.103,0.072
"P45","Javier Milei – José Luis Espert",0.12,0.529,0.388
"P45","No sabe",0.049,0.368,0.54
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.19,0.556,0.067
"P46","Javier Milei – José Luis Espert",0.058,0.362,0.387
"P46","No sabe",0.752,0.082,0.546
"P47","Muy buena",0.142,0.063,0.048
"P47","Buena",0.325,0.038,0.101
"P47","Ni buena ni mala",0.371,0.015,0.18
"P47","Mala",0.116,0.11,0.137
"P47","Muy mala",0.04,0.768,0.504
"P47","No sabe",0.006,0.006,0.03
"P48","Muy buena",0.166,0.009,0.089
"P48","Buena",0.404,0.007,0.067
"P48","Ni buena ni mala",0.268,0.029,0.127
"P48","Mala",0.122,0.115,0.117
"P48","Muy mala",0.038,0.836,0.565
"P48","No sabe",0.002,0.004,0.035
"P49","Muy buena",0.673,0.018,0.165
"P49","Buena",0.178,0.002,0.079
"P49","Ni buena ni mala",0.089,0.007,0.071
"P49","Mala",0.016,0.051,0.084
"P49","Muy mala",0.043,0.92,0.578
"P49","No sabe",0.001,0.002,0.023
"P50","Muy buena",0.06,0.267,0.109
"P50","Buena",0.022,0.309,0.098
"P50","Ni buena ni mala",0.038,0.184,0.225
"P50","Mala",0.204,0.071,0.179
"P50","Muy mala",0.672,0.168,0.37
"P50","No sabe",0.004,0.001,0.019
"P51","Muy buena",0.014,0.308,0.049
"P51","Buena",0.029,0.403,0.108
"P51","Ni buena ni mala",0.108,0.203,0.283
"P51","Mala",0.224,0.055,0.178
"P51","Muy mala",0.611,0.029,0.34
"P51","No sabe",0.014,0.002,0.042
"P52","Muy buena",0.202,0.044,0.023
"P52","Buena",0.355,0.055,0.081
"P52","Ni buena ni mala",0.283,0.098,0.247
"P52","Mala",0.097,0.165,0.149
"P52","Muy mala",0.061,0.634,0.469
"P52","No sabe",0.002,0.004,0.031
"P53","Muy buena",0.039,0.468,0.221
"P53","Buena",0.065,0.227,0.143
"P53","Ni buena ni mala",0.074,0.138,0.197
"P53","Mala",0.15,0.066,0.112
"P53","Muy mala",0.665,0.098,0.289
"P53","No sabe",0.007,0.003,0.038
"P54","Muy buena",0.015,0.201,0.268
"P54","Buena",0.031,0.204,0.121
"P54","Ni buena ni mala",0.079,0.366,0.253
"P54","Mala",0.169,0.14,0.078
"P54","Muy mala",0.697,0.079,0.251
"P54","No sabe",0.009,0.01,0.029
"P55","Muy buena",0.009,0.306,0.121
"P55","Buena",0.023,0.356,0.123
"P55","Ni buena ni mala",0.083,0.226,0.199
"P55","Mala",0.169,0.077,0.165
"P55","Muy mala",0.711,0.03,0.338
"P55","No sabe",0.005,0.005,0.054
"P56","Muy buena",0.189,0.041,0.043
"P56","Buena",0.392,0.044,0.088
"P56","Ni buena ni mala",0.261,0.084,0.198
"P56","Mala",0.061,0.225,0.168
"P56","Muy mala",0.084,0.603,0.476
"P56","No sabe",0.013,0.003,0.027
"P57","Muy buena",0.051,0.072,0.057
"P57","Buena",0.162,0.151,0.088
"P57","Ni buena ni mala",0.401,0.286,0.319
"P57","Mala",0.176,0.202,0.176
"P57","Muy mala",0.152,0.27,0.284
"P57","No sabe",0.058,0.019,0.076
"P58","Muy buena",0.006,0.096,0.018
"P58","Buena",0.052,0.228,0.057
"P58","Ni buena ni mala",0.25,0.42,0.368
"P58","Mala",0.194,0.11,0.132
"P58","Muy mala",0.444,0.092,0.32
"P58","No sabe",0.054,0.054,0.105
"P59","Siempre",0.359,0.295,0.268
"P59","Casi siempre",0.417,0.434,0.322
"P59","Casi nunca",0.108,0.203,0.271
"P59","Nunca, pero esta es una excepción",0.116,0.068,0.139
"P60","Si",0.62,0.535,0.512
"P60","No",0.38,0.465,0.488
