"var","categoria","Mauricio Macri – María Eugenia Vidal","Sergio Massa – Wado de Pedro","No sabe"
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.178,0.069,0.114
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.015,0.069,0.063
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.072,0.672,0.232
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.197,0.057,0.313
"P25","Nicolás del Caño – Myriam Bregman",0.009,0.025,0.043
"P25","Otros candidatos",0.074,0.039,0.185
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.088,0.738,0.261
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.593,0.123,0.073
"P29","Javier Milei – José Luis Espert por los liberales",0.219,0.057,0.335
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.005,0.028,0.063
"P29","Otro candidato",0.095,0.054,0.268
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.482,0.142,0.13
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.09,0.55,0.177
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.286,0.065,0.339
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.007,0.059,0.065
"P31","Otro candidato",0.135,0.184,0.289
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.094,0.663,0.065
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.64,0.126,0.133
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.177,0.052,0.331
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.009,0.056,0.082
"P33","Otro candidato",0.08,0.103,0.389
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.099,0.67,0.1
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.489,0.117,0.118
"P35","Javier Milei – José Luis Espert por los liberales",0.276,0.058,0.355
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0.048,0.065
"P35","Otro candidato",0.124,0.107,0.362
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.089,0.715,0.264
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.484,0.142,0.11
"P37","Javier Milei – José Luis Espert por los liberales",0.287,0.064,0.355
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.007,0.02,0.048
"P37","Otro candidato",0.133,0.059,0.223
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.08,0.678,0.089
