"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P21","A Martín Lousteau",0.006,0.011,0,0.037,0.058
"P22","Seguro lo votaria",0.261,0.573,0.018,0.045,0.155
"P22","Quizás lo votaría",0.337,0.074,0.143,0.371,0.22
"P22","Nunca lo votaría",0.402,0.353,0.839,0.584,0.625
"P23","Muy buena",0.153,0.109,0.106,0.058,0.176
"P23","Buena",0.138,0.141,0.117,0.129,0.154
"P23","Ni buena ni mala",0.185,0.184,0.143,0.178,0.251
"P23","Mala",0.161,0.109,0.126,0.201,0.057
"P23","Muy mala",0.361,0.424,0.508,0.412,0.333
"P23","No sabe",0.002,0.033,0,0.022,0.029
"P24","Muy buena",0.123,0.148,0.074,0.142,0.13
"P24","Buena",0.154,0.199,0.165,0.103,0.134
"P24","Ni buena ni mala",0.171,0.22,0.216,0.103,0.16
"P24","Mala",0.198,0.154,0.202,0.271,0.242
"P24","Muy mala",0.348,0.266,0.343,0.376,0.334
"P24","No sabe",0.006,0.013,0,0.005,0
"P25","Muy buena",0.24,0.147,0.185,0.182,0.24
"P25","Buena",0.086,0.103,0.142,0.094,0.09
"P25","Ni buena ni mala",0.097,0.117,0.071,0.079,0.138
"P25","Mala",0.093,0.143,0.167,0.102,0.104
"P25","Muy mala",0.465,0.481,0.435,0.541,0.426
"P25","No sabe",0.019,0.009,0,0.002,0.002
"P26","Muy buena",0.174,0.191,0.14,0.157,0.171
"P26","Buena",0.171,0.278,0.274,0.312,0.184
"P26","Ni buena ni mala",0.215,0.231,0.242,0.102,0.235
"P26","Mala",0.139,0.118,0.132,0.096,0.117
"P26","Muy mala",0.275,0.158,0.168,0.313,0.281
"P26","No sabe",0.026,0.024,0.044,0.02,0.012
"P27","Muy buena",0.134,0.05,0.216,0.128,0.153
"P27","Buena",0.135,0.214,0.131,0.203,0.213
"P27","Ni buena ni mala",0.191,0.196,0.217,0.108,0.18
"P27","Mala",0.149,0.131,0.166,0.154,0.122
"P27","Muy mala",0.385,0.401,0.27,0.389,0.325
"P27","No sabe",0.006,0.008,0,0.018,0.007
"P28","Muy buena",0.202,0.265,0.204,0.274,0.235
"P28","Buena",0.186,0.149,0.19,0.1,0.144
"P28","Ni buena ni mala",0.16,0.246,0.187,0.109,0.132
"P28","Mala",0.108,0.062,0.049,0.202,0.103
"P28","Muy mala",0.333,0.25,0.37,0.309,0.345
"P28","No sabe",0.011,0.028,0,0.006,0.041
"P29","Muy buena",0.145,0.231,0.202,0.126,0.168
"P29","Buena",0.138,0.135,0.231,0.155,0.051
"P29","Ni buena ni mala",0.236,0.298,0.299,0.18,0.276
"P29","Mala",0.135,0.098,0.022,0.119,0.129
"P29","Muy mala",0.313,0.199,0.217,0.391,0.343
"P29","No sabe",0.033,0.039,0.029,0.029,0.033
